Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE_COMMERCIAL,BCBSMT_HEALTHLINK_NETWORK,BCBSMT-TRADITIONAL_NETWORK,InterWest_PPO,MONTANA_HEALTH_CO-OP,MONTANA_HEALTH_CO-OP_HPN_PRODUCT,PACIFIC_SOURCE_COMMERCIAL_,UHC,hospital
1360073_1,UIBC,Inpatient,301,83550,Iron binding capacity,,0,78,78,40.69,78,74.1,70.2,70.2,75.66,74.1,66.3,74.1,73.32,Daniels_Memorial_Hospital
1360073_1,UIBC,Outpatient,301,83550,Iron binding capacity,,0,78,78,40.69,78,74.1,40.69,40.69,75.66,74.1,66.3,74.1,73.32,Daniels_Memorial_Hospital
1444135_1,"Metanephrines, Fract Random Ur",Inpatient,301,83835,Metanephrines,,0,58,58,49.3,78.858,55.1,52.2,52.2,56.26,55.1,49.3,55.1,54.52,Daniels_Memorial_Hospital
1444135_1,"Metanephrines, Fract Random Ur",Outpatient,301,83835,Metanephrines,,0,58,58,49.3,78.858,55.1,78.858,78.858,56.26,55.1,49.3,55.1,54.52,Daniels_Memorial_Hospital
1460081_1,InactiveCMV DNA Quant PCR (Focus 45050),Inpatient,,,,,0,644,644,547.4,624.68,611.8,579.6,579.6,624.68,611.8,547.4,611.8,605.36,Daniels_Memorial_Hospital
1460081_1,InactiveCMV DNA Quant PCR (Focus 45050),Outpatient,,,,,0,644,644,547.4,624.68,611.8,579.6,579.6,624.68,611.8,547.4,611.8,605.36,Daniels_Memorial_Hospital
1490077_1,CT Non Ionic Contrast 300/399 per ml,Inpatient,255,Q9967,"Locm 300-399mg/ml iodine,1ml",,1,307,307,1.0185,297.79,291.65,276.3,276.3,297.79,291.65,260.95,291.65,288.58,Daniels_Memorial_Hospital
1490077_1,CT Non Ionic Contrast 300/399 per ml,Outpatient,255,Q9967,"Locm 300-399mg/ml iodine,1ml",,1,307,307,1.0185,297.79,291.65,1.0185,1.0185,297.79,291.65,260.95,291.65,288.58,Daniels_Memorial_Hospital
1490089_1,"Culture Sputum No Gram Stain, Regional",Inpatient,306,87070,"Culture, bacterial; any other source except urine, blood or stool, aerobic, with isolation and presumptive identification of isolates",,0,88,88,40.118,88,83.6,79.2,79.2,85.36,83.6,74.8,83.6,82.72,Daniels_Memorial_Hospital
1490089_1,"Culture Sputum No Gram Stain, Regional",Outpatient,306,87070,"Culture, bacterial; any other source except urine, blood or stool, aerobic, with isolation and presumptive identification of isolates",,0,88,88,40.118,88,83.6,40.118,40.118,85.36,83.6,74.8,83.6,82.72,Daniels_Memorial_Hospital
1490090_1,Culture Wound Abscess No Gram Stain,Inpatient,306,87070,"Culture, bacterial; any other source except urine, blood or stool, aerobic, with isolation and presumptive identification of isolates",,0,162,162,40.118,162,153.9,145.8,145.8,157.14,153.9,137.7,153.9,152.28,Daniels_Memorial_Hospital
1490090_1,Culture Wound Abscess No Gram Stain,Outpatient,306,87070,"Culture, bacterial; any other source except urine, blood or stool, aerobic, with isolation and presumptive identification of isolates",,0,162,162,40.118,162,153.9,40.118,40.118,157.14,153.9,137.7,153.9,152.28,Daniels_Memorial_Hospital
1502073_1,Anti-CCP Ab,Inpatient,302,86200,"Cyclic citrullinated peptide (CCP), antibody",,0,66,66,56.1,66,62.7,59.4,59.4,64.02,62.7,56.1,62.7,62.04,Daniels_Memorial_Hospital
1502073_1,Anti-CCP Ab,Outpatient,302,86200,"Cyclic citrullinated peptide (CCP), antibody",,0,66,66,56.1,66,62.7,60.242,60.242,64.02,62.7,56.1,62.7,62.04,Daniels_Memorial_Hospital
1530078_1,UA Micro Reflex Culture,Inpatient,307,81015,Urinalysis; microscopic only,,0,42,42,14.17,42,39.9,37.8,37.8,40.74,39.9,35.7,39.9,39.48,Daniels_Memorial_Hospital
1530078_1,UA Micro Reflex Culture,Outpatient,307,81015,Urinalysis; microscopic only,,0,42,42,14.17,42,39.9,14.17,14.17,40.74,39.9,35.7,39.9,39.48,Daniels_Memorial_Hospital
1530079_1,UA Complete Reflex Culture,Inpatient,307,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,54,54,14.768,54,51.3,48.6,48.6,52.38,51.3,45.9,51.3,50.76,Daniels_Memorial_Hospital
1530079_1,UA Complete Reflex Culture,Outpatient,307,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,54,54,14.768,54,51.3,14.768,14.768,52.38,51.3,45.9,51.3,50.76,Daniels_Memorial_Hospital
1530085_1,UA Routine Reflex Culture,Inpatient,307,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,42,42,10.452,42,39.9,37.8,37.8,40.74,39.9,35.7,39.9,39.48,Daniels_Memorial_Hospital
1530085_1,UA Routine Reflex Culture,Outpatient,307,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,42,42,10.452,42,39.9,10.452,10.452,40.74,39.9,35.7,39.9,39.48,Daniels_Memorial_Hospital
1534116_1,00121-0722-08 - senna 175mg/5mL syrup 120mL,Inpatient,,,,,0,213.78,213.78,181.713,213.78,203.091,192.402,192.402,207.3666,203.091,181.713,203.091,200.9532,Daniels_Memorial_Hospital
1534116_1,00121-0722-08 - senna 175mg/5mL syrup 120mL,Outpatient,,,,,0,213.78,213.78,181.713,213.78,203.091,192.402,192.402,207.3666,203.091,181.713,203.091,200.9532,Daniels_Memorial_Hospital
1540072_1,HCV Reflex HCV RT-PCR Quant,Inpatient,302,86803,Hepatitis C antibody,,0,128,128,66.378,128,121.6,115.2,115.2,124.16,121.6,108.8,121.6,120.32,Daniels_Memorial_Hospital
1540072_1,HCV Reflex HCV RT-PCR Quant,Outpatient,302,86803,Hepatitis C antibody,,0,128,128,66.378,128,121.6,66.378,66.378,124.16,121.6,108.8,121.6,120.32,Daniels_Memorial_Hospital
1562076_1,Culture Sputum Legionella,Inpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,28,28,23.8,30.836,26.6,25.2,25.2,27.16,26.6,23.8,26.6,26.32,Daniels_Memorial_Hospital
1562076_1,Culture Sputum Legionella,Outpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,28,28,23.8,30.836,26.6,30.836,30.836,27.16,26.6,23.8,26.6,26.32,Daniels_Memorial_Hospital
1600072_1,"EBV DNA Detect/Quant, P (Mayo EBVQN)",Inpatient,306,87799,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; quantification, each organism",,0,326,326,199.368,316.22,309.7,293.4,293.4,316.22,309.7,277.1,309.7,306.44,Daniels_Memorial_Hospital
1600072_1,"EBV DNA Detect/Quant, P (Mayo EBVQN)",Outpatient,306,87799,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; quantification, each organism",,0,326,326,199.368,316.22,309.7,199.368,199.368,316.22,309.7,277.1,309.7,306.44,Daniels_Memorial_Hospital
1622073_1,"Clostridium Difficile A and B, Regional",Inpatient,306,87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Clostridium difficile toxin(s)",,0,206,206,55.796,206,195.7,185.4,185.4,199.82,195.7,175.1,195.7,193.64,Daniels_Memorial_Hospital
1622073_1,"Clostridium Difficile A and B, Regional",Outpatient,306,87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Clostridium difficile toxin(s)",,0,206,206,55.796,206,195.7,55.796,55.796,199.82,195.7,175.1,195.7,193.64,Daniels_Memorial_Hospital
1640072_1,"Mycoplasma Pneumoniae, Ab IgG & IgM (Mayo MYCO)",Inpatient,300,86738,Antibody; mycoplasma,,0,60,60,51,61.594,57,54,54,58.2,57,51,57,56.4,Daniels_Memorial_Hospital
1640072_1,"Mycoplasma Pneumoniae, Ab IgG & IgM (Mayo MYCO)",Outpatient,300,86738,Antibody; mycoplasma,,0,60,60,51,61.594,57,61.594,61.594,58.2,57,51,57,56.4,Daniels_Memorial_Hospital
1640073_1,"M. Pneumoniae Ab, IgM",Inpatient,300,86738,Antibody; mycoplasma,,0,146,146,61.594,146,138.7,131.4,131.4,141.62,138.7,124.1,138.7,137.24,Daniels_Memorial_Hospital
1640073_1,"M. Pneumoniae Ab, IgM",Outpatient,300,86738,Antibody; mycoplasma,,0,146,146,61.594,146,138.7,61.594,61.594,141.62,138.7,124.1,138.7,137.24,Daniels_Memorial_Hospital
1640075_1,"M. Pneumoniae Ab, IgG",Inpatient,300,86738,Antibody; mycoplasma,,0,146,146,61.594,146,138.7,131.4,131.4,141.62,138.7,124.1,138.7,137.24,Daniels_Memorial_Hospital
1640075_1,"M. Pneumoniae Ab, IgG",Outpatient,300,86738,Antibody; mycoplasma,,0,146,146,61.594,146,138.7,61.594,61.594,141.62,138.7,124.1,138.7,137.24,Daniels_Memorial_Hospital
1644072_1,"FK506 Tacrol, St. Vs",Inpatient,300,80197,Tacrolimus,,0,245,245,63.934,245,232.75,220.5,220.5,237.65,232.75,208.25,232.75,230.3,Daniels_Memorial_Hospital
1644072_1,"FK506 Tacrol, St. Vs",Outpatient,300,80197,Tacrolimus,,0,245,245,63.934,245,232.75,63.934,63.934,237.65,232.75,208.25,232.75,230.3,Daniels_Memorial_Hospital
1670073_1,Culture Blood Line,Inpatient,306,87040,"Culture, bacterial; blood, aerobic, with isolation and presumptive identification of isolates (includes anaerobic culture, if appropriate)",,0,192,192,48.022,192,182.4,172.8,172.8,186.24,182.4,163.2,182.4,180.48,Daniels_Memorial_Hospital
1670073_1,Culture Blood Line,Outpatient,306,87040,"Culture, bacterial; blood, aerobic, with isolation and presumptive identification of isolates (includes anaerobic culture, if appropriate)",,0,192,192,48.022,192,182.4,48.022,48.022,186.24,182.4,163.2,182.4,180.48,Daniels_Memorial_Hospital
1908081_1,Brucella,Inpatient,302,86622,Antibody; Brucella,,0,68,68,41.574,68,64.6,61.2,61.2,65.96,64.6,57.8,64.6,63.92,Daniels_Memorial_Hospital
1908081_1,Brucella,Outpatient,302,86622,Antibody; Brucella,,0,68,68,41.574,68,64.6,41.574,41.574,65.96,64.6,57.8,64.6,63.92,Daniels_Memorial_Hospital
1926074_1,"Norovirus Testing, State",Inpatient,306,87798,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism",,0,166,166,141.1,166,157.7,149.4,149.4,161.02,157.7,141.1,157.7,156.04,Daniels_Memorial_Hospital
1926074_1,"Norovirus Testing, State",Outpatient,306,87798,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism",,0,166,166,141.1,166,157.7,163.358,163.358,161.02,157.7,141.1,157.7,156.04,Daniels_Memorial_Hospital
2106072_1,Protein S Activity (Mayo S_FX),Inpatient,300,85306,"Clotting inhibitors or anticoagulants; protein S, free",,0,217,217,71.318,217,206.15,195.3,195.3,210.49,206.15,184.45,206.15,203.98,Daniels_Memorial_Hospital
2106072_1,Protein S Activity (Mayo S_FX),Outpatient,300,85306,"Clotting inhibitors or anticoagulants; protein S, free",,0,217,217,71.318,217,206.15,71.318,71.318,210.49,206.15,184.45,206.15,203.98,Daniels_Memorial_Hospital
2210072_1,"Metanephrines, Fract 24hr Urine (Mayo METAF)",Inpatient,301,83835,Metanephrines,,0,93,93,78.858,93,88.35,83.7,83.7,90.21,88.35,79.05,88.35,87.42,Daniels_Memorial_Hospital
2210072_1,"Metanephrines, Fract 24hr Urine (Mayo METAF)",Outpatient,301,83835,Metanephrines,,0,93,93,78.858,93,88.35,78.858,78.858,90.21,88.35,79.05,88.35,87.42,Daniels_Memorial_Hospital
2266082_1,"Charge SPEP, Quant",Inpatient,301,84165,"Protein; electrophoretic fractionation and quantitation, serum",,0,138,138,49.998,138,131.1,124.2,124.2,133.86,131.1,117.3,131.1,129.72,Daniels_Memorial_Hospital
2266082_1,"Charge SPEP, Quant",Outpatient,301,84165,"Protein; electrophoretic fractionation and quantitation, serum",,0,138,138,49.998,138,131.1,49.998,49.998,133.86,131.1,117.3,131.1,129.72,Daniels_Memorial_Hospital
2318072_1,H pylori Ab IgG,Inpatient,302,86677,Antibody; Helicobacter pylori,,0,194,194,67.522,194,184.3,174.6,174.6,188.18,184.3,164.9,184.3,182.36,Daniels_Memorial_Hospital
2318072_1,H pylori Ab IgG,Outpatient,302,86677,Antibody; Helicobacter pylori,,0,194,194,67.522,194,184.3,67.522,67.522,188.18,184.3,164.9,184.3,182.36,Daniels_Memorial_Hospital
2332072_1,"PTH, Intact No Reflex",Inpatient,301,83970,Parathormone (parathyroid hormone),,0,345,345,192.114,334.65,327.75,310.5,310.5,334.65,327.75,293.25,327.75,324.3,Daniels_Memorial_Hospital
2332072_1,"PTH, Intact No Reflex",Outpatient,301,83970,Parathormone (parathyroid hormone),,0,345,345,192.114,334.65,327.75,192.114,192.114,334.65,327.75,293.25,327.75,324.3,Daniels_Memorial_Hospital
2412072_1,CMV IgG,Inpatient,302,86644,Antibody; cytomegalovirus (CMV),,0,179,179,67.002,179,170.05,161.1,161.1,173.63,170.05,152.15,170.05,168.26,Daniels_Memorial_Hospital
2412072_1,CMV IgG,Outpatient,302,86644,Antibody; cytomegalovirus (CMV),,0,179,179,67.002,179,170.05,67.002,67.002,173.63,170.05,152.15,170.05,168.26,Daniels_Memorial_Hospital
2412073_1,CMV IgM,Inpatient,302,86645,"Antibody; cytomegalovirus (CMV), IgM",,0,122,122,78.416,122,115.9,109.8,109.8,118.34,115.9,103.7,115.9,114.68,Daniels_Memorial_Hospital
2412073_1,CMV IgM,Outpatient,302,86645,"Antibody; cytomegalovirus (CMV), IgM",,0,122,122,78.416,122,115.9,78.416,78.416,118.34,115.9,103.7,115.9,114.68,Daniels_Memorial_Hospital
2532074_1,"Occult Blood, Stool, Diagnostic specimen",Inpatient,301,82272,"Blood, occult, by peroxidase activity (eg, guaiac), qualitative, feces, 1-3 simultaneous determinations, performed for other than colorectal neoplasm screening",,0,42,42,15.938,42,39.9,37.8,37.8,40.74,39.9,35.7,39.9,39.48,Daniels_Memorial_Hospital
2532074_1,"Occult Blood, Stool, Diagnostic specimen",Outpatient,301,82272,"Blood, occult, by peroxidase activity (eg, guaiac), qualitative, feces, 1-3 simultaneous determinations, performed for other than colorectal neoplasm screening",,0,42,42,15.938,42,39.9,15.938,15.938,40.74,39.9,35.7,39.9,39.48,Daniels_Memorial_Hospital
2538073_1,Ganglioside Ab Panel (Mayo GM1B),Inpatient,300,83520,"Immunoassay for analyte other than infectious agent antibody or infectious agent antigen; quantitative, not otherwise specified",,0,37,37,31.45,65.104,35.15,33.3,33.3,35.89,35.15,31.45,35.15,34.78,Daniels_Memorial_Hospital
2538073_1,Ganglioside Ab Panel (Mayo GM1B),Outpatient,300,83520,"Immunoassay for analyte other than infectious agent antibody or infectious agent antigen; quantitative, not otherwise specified",,0,37,37,31.45,65.104,35.15,65.104,65.104,35.89,35.15,31.45,35.15,34.78,Daniels_Memorial_Hospital
2538084_1,US Exam,Inpatient,402,76706,"Ultrasound, abdominal aorta, real time with image documentation, screening study for abdominal aortic aneurysm (AAA)",,0,709,709,534.624,687.73,673.55,638.1,638.1,687.73,673.55,602.65,673.55,666.46,Daniels_Memorial_Hospital
2538084_1,US Exam,Outpatient,402,76706,"Ultrasound, abdominal aorta, real time with image documentation, screening study for abdominal aortic aneurysm (AAA)",,0,709,709,534.624,687.73,673.55,534.624,534.624,687.73,673.55,602.65,673.55,666.46,Daniels_Memorial_Hospital
2538085_2,US AAA Screening - Report,ProFee,972,76706,"Ultrasound, abdominal aorta, real time with image documentation, screening study for abdominal aortic aneurysm (AAA)",,0,89,89,84.55,96.08,96.08,,,0,,,84.55,96.08,Daniels_Memorial_Hospital
2610077_1,Oxcarbazepine Metabolite (Mayo OMHC),Inpatient,301,80183,Oxcarbazepine,,0,68,68,57.8,68,64.6,61.2,61.2,65.96,64.6,57.8,64.6,63.92,Daniels_Memorial_Hospital
2610077_1,Oxcarbazepine Metabolite (Mayo OMHC),Outpatient,301,80183,Oxcarbazepine,,0,68,68,57.8,68,64.6,61.672,61.672,65.96,64.6,57.8,64.6,63.92,Daniels_Memorial_Hospital
2752075_1,XR Exam,Inpatient,320,73030,"Radiologic examination, shoulder; complete, minimum of 2 views",,0,429,429,157.584,416.13,407.55,386.1,386.1,416.13,407.55,364.65,407.55,403.26,Daniels_Memorial_Hospital
2752075_1,XR Exam,Outpatient,320,73030,"Radiologic examination, shoulder; complete, minimum of 2 views",,0,429,429,157.584,416.13,407.55,157.584,157.584,416.13,407.55,364.65,407.55,403.26,Daniels_Memorial_Hospital
2752076_2,XR Shoulder 2 View L - Report,ProFee,972,73030,"Radiologic examination, shoulder; complete, minimum of 2 views",,0,71,71,29.16,71,29.16,,,0,,,67.45,29.16,Daniels_Memorial_Hospital
2752077_1,XR Exam,Inpatient,320,73030,"Radiologic examination, shoulder; complete, minimum of 2 views",,0,429,429,157.584,416.13,407.55,386.1,386.1,416.13,407.55,364.65,407.55,403.26,Daniels_Memorial_Hospital
2752077_1,XR Exam,Outpatient,320,73030,"Radiologic examination, shoulder; complete, minimum of 2 views",,0,429,429,157.584,416.13,407.55,157.584,157.584,416.13,407.55,364.65,407.55,403.26,Daniels_Memorial_Hospital
2752078_2,XR Shoulder 2 View R - Report,ProFee,972,73030,"Radiologic examination, shoulder; complete, minimum of 2 views",,0,71,71,26.29,71,29.16,,,0,,,67.45,26.29,Daniels_Memorial_Hospital
2890098_1,EC Exam,Inpatient,483,93308,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, follow-up or limited study",,0,1105,1105,939.25,1071.85,1049.75,994.5,994.5,1071.85,1049.75,939.25,1049.75,1038.7,Daniels_Memorial_Hospital
2890098_1,EC Exam,Outpatient,483,93308,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, follow-up or limited study",,0,1105,1105,939.25,1071.85,1049.75,994.5,994.5,1071.85,1049.75,939.25,1049.75,1038.7,Daniels_Memorial_Hospital
2890104_1,EC Exam,Inpatient,483,93306,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",,0,1800,1800,1530,1746,1710,1620,1620,1746,1710,1530,1710,1692,Daniels_Memorial_Hospital
2890104_1,EC Exam,Outpatient,483,93306,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",,0,1800,1800,1530,1746,1710,1620,1620,1746,1710,1530,1710,1692,Daniels_Memorial_Hospital
2902072_1,"Sodium, POC",Inpatient,300,84295,"Sodium; serum, plasma or whole blood",,0,8,8,6.8,22.386,7.6,7.2,7.2,7.76,7.6,6.8,7.6,7.52,Daniels_Memorial_Hospital
2902072_1,"Sodium, POC",Outpatient,300,84295,"Sodium; serum, plasma or whole blood",,0,8,8,6.8,22.386,7.6,22.386,22.386,7.76,7.6,6.8,7.6,7.52,Daniels_Memorial_Hospital
2902073_1,"Potassium, POC",Inpatient,300,84132,"Potassium; serum, plasma or whole blood",,0,8,8,6.8,21.424,7.6,7.2,7.2,7.76,7.6,6.8,7.6,7.52,Daniels_Memorial_Hospital
2902073_1,"Potassium, POC",Outpatient,300,84132,"Potassium; serum, plasma or whole blood",,0,8,8,6.8,21.424,7.6,21.424,21.424,7.76,7.6,6.8,7.6,7.52,Daniels_Memorial_Hospital
2902074_1,"Glucose, POC",Inpatient,300,82947,"Glucose; quantitative, blood (except reagent strip)",,0,8,8,6.8,18.278,7.6,7.2,7.2,7.76,7.6,6.8,7.6,7.52,Daniels_Memorial_Hospital
2902074_1,"Glucose, POC",Outpatient,300,82947,"Glucose; quantitative, blood (except reagent strip)",,0,8,8,6.8,18.278,7.6,18.278,18.278,7.76,7.6,6.8,7.6,7.52,Daniels_Memorial_Hospital
2902075_1,"Hct, POC",Inpatient,300,85014,Blood count; hematocrit (Hct),,0,12,12,10.2,12,11.4,10.8,10.8,11.64,11.4,10.2,11.4,11.28,Daniels_Memorial_Hospital
2902075_1,"Hct, POC",Outpatient,300,85014,Blood count; hematocrit (Hct),,0,12,12,10.2,12,11.4,11.05,11.05,11.64,11.4,10.2,11.4,11.28,Daniels_Memorial_Hospital
2904072_1,"pH, V",Inpatient,300,82803,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation)",,0,81,81,68.85,98.28,76.95,72.9,72.9,78.57,76.95,68.85,76.95,76.14,Daniels_Memorial_Hospital
2904072_1,"pH, V",Outpatient,300,82803,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation)",,0,81,81,68.85,98.28,76.95,98.28,98.28,78.57,76.95,68.85,76.95,76.14,Daniels_Memorial_Hospital
2904107_1,"Calcium, Ionized POC",Inpatient,300,82330,Calcium; ionized,,0,8,8,6.8,63.648,7.6,7.2,7.2,7.76,7.6,6.8,7.6,7.52,Daniels_Memorial_Hospital
2904107_1,"Calcium, Ionized POC",Outpatient,300,82330,Calcium; ionized,,0,8,8,6.8,63.648,7.6,63.648,63.648,7.76,7.6,6.8,7.6,7.52,Daniels_Memorial_Hospital
294944_1,Kirby-Bauer,Inpatient,306,87184,"Susceptibility studies, antimicrobial agent; disk method, per plate (12 or fewer agents)",,0,130,130,32.084,130,123.5,117,117,126.1,123.5,110.5,123.5,122.2,Daniels_Memorial_Hospital
