ALT CODE TYPE,ALT CODE,NAME,CURRENT STANDARD AMOUNT,GROSS CHARGES,SELF PAY CHARGES,MINIMUM NEGOTIATED CHARGES,MAXIMUM NEGOTIATED CHARGES,PAYER - AARP,PAYER - AETNA,PAYER - AID ASSOCIATION FOR LUTHERANS,PAYER - ALLEGIANCE BENEFIT PLAN MANAGEMENT,PAYER - ANTHEM,PAYER - APWU,PAYER - BANKERS,PAYER - BLUE CROSS BLUE SHIELD,PAYER - CHAMPUS VA,PAYER - CIGNA,PAYER - COLONIAL LIFE,PAYER - CONTINENTAL GENERAL,PAYER - CONTINENTAL LIFE,PAYER - EMBS,PAYER - EMPLOYEE BENEFIT MANAGEMENT SERVICES,PAYER - EQUITABLE LIFE,PAYER - GE,PAYER - GEHA,PAYER - GOLDEN,PAYER - HEALTH INFO NET,PAYER - HUMANA,PAYER - KAISER PERMANENTE,PAYER - LOOMIS,PAYER - MACO,PAYER - MAIL HANDLERS,PAYER - MARSH,PAYER - MT HEALTH COOP,PAYER - MT MEDICAL BILLING,PAYER - MUTUAL OF OMAHA,PAYER - OPERATING ENGINEERS,PAYER - PACIFIC SOURCE,PAYER - PHYSICIANS MUTUAL,PAYER - PRINCIPAL LIFE,PAYER - RURAL CARRIER,PAYER - STERLING,PAYER - TRICARE FOR LIFE,PAYER - TRICARE NORTHWEST,PAYER - TRIWEST,PAYER - UHC,PAYER - UNITED AMERICAN,PAYER - UNITED HEALTHCARE,PAYER - USAA,PAYER - VA NETWORK,hospital
HCPCS,G8985,CARRY GOAL STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8990,OTHER PT CURRENT STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8984,CARRY CURRENT STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8991,OTHER PT GOAL STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8988,SELF CARE GOAL STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8990,OTHER PT CURRENT STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8983,BODY POSITION D/C STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G9186,MOTOR SPEECH GOAL STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8987,SELF CARE CURRENT STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8999,MOTOR SPEECH CURRENT STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G9169,MEMORY GOAL STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8991,OTHER OT GOAL STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8987,SELF CARE CURRENT STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G9163,LANGUAGE EXPRESS GOAL STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8983,BODY POSITION D/C STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G9168,MEMORY CURRENT STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8988,SELF CARE GOAL STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8989,SELF CARE D/C STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G9174,SPEECH LANGUAGE CURRENT STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G9164,LANGUAGE EXPRESS D/C STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8986,CARRY D/C STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G9175,SPEECH LANGUAGE GOAL STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G9162,LANGUAGE EXPRESS CURRENT STATU,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8989,SELF CARE D/C STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G9158,MOTOR SPEECH D/C STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8992,OTHER PT D/C STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8990,OTHER OT CURRENT STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G0470,FQHC VISIT MH ESTABLISHED PT,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G9170,MEMORY D/C STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8993,SUB PT CURRENT STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8992,OTHER OT D/C STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G8994,SUB PT GOAL STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G9172,VOICE GOAL STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,G9171,VOICE CURRENT STATUS,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,St_Luke_Community_Hospital
HCPCS,Q9967,CONTRAST OMNIPAQUE 300-PER 1ML,1.7,1.7,1.36,0.53,1.7,1.7,1.69,1.7,1.37,0.53,1.43,1.69,1.23,0.99,1.4,1.67,1.7,1.7,1.52,1.31,1.7,1.7,1.43,1.7,1.7,1.64,1.02,1.09,1.33,1.49,1.7,1.43,0.84,1.7,1.7,1.39,1.7,1.69,1.7,1.7,1.69,0.79,0.99,1.7,1.7,1.42,1.7,0.94,St_Luke_Community_Hospital
