Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE,BCBSMT_BLUE_OPTIONS,BCBSMT_HEALTHLINK_NETWORK,BCBSMT_POS_CLOSED_NETWORK,BCBSMT_TRADITIONAL,EBMS,FIRST_CHOICE,INTERWEST_HEALTH_PPO,INTERWEST_HEALTH_PPO_DIRECT,INTERWEST_HEALTH_TRADITIONAL,MONTANA_HEALTH_COOP,PACIFIC_SOURCE,UHC,hospital
26010012_1,HC IV INFUSION CONCURRENT,Inpatient,260,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)",,0,107,101.65,62.262,107,101.65,96.3,96.3,101.65,107,101.65,96.3,104.86,104.86,107,96.3,101.65,98.44,Barrett_Hospital_and_Healthcare
26010012_1,HC IV INFUSION CONCURRENT,Outpatient,260,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)",,0,107,101.65,62.262,107,101.65,62.262,96.3,101.65,107,101.65,96.3,104.86,104.86,107,96.3,101.65,98.44,Barrett_Hospital_and_Healthcare
26010025_1,HC INFUSION HYDRATION EA ADD HR,Inpatient,260,96361,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)",,0,90,85.5,41.148,90,85.5,81,81,85.5,90,85.5,81,88.2,88.2,90,81,85.5,82.8,Barrett_Hospital_and_Healthcare
26010025_1,HC INFUSION HYDRATION EA ADD HR,Outpatient,260,96361,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)",,0,90,85.5,41.148,90,85.5,41.148,81,85.5,90,85.5,81,88.2,88.2,90,81,85.5,82.8,Barrett_Hospital_and_Healthcare
26010026_1,HC SQ INFUSION ADDL SITE,Inpatient,260,96371,Subcutaneous infusion for therapy or prophylaxis (specify substance or drug); additional pump set-up with establishment of new subcutaneous infusion site(s) (List separately in addition to code for primary procedure),,0,189,179.55,170.1,189.936,179.55,170.1,170.1,179.55,189,179.55,170.1,185.22,185.22,189,170.1,179.55,173.88,Barrett_Hospital_and_Healthcare
26010026_1,HC SQ INFUSION ADDL SITE,Outpatient,260,96371,Subcutaneous infusion for therapy or prophylaxis (specify substance or drug); additional pump set-up with establishment of new subcutaneous infusion site(s) (List separately in addition to code for primary procedure),,0,189,179.55,170.1,189.936,179.55,189.936,170.1,179.55,189,179.55,170.1,185.22,185.22,189,170.1,179.55,173.88,Barrett_Hospital_and_Healthcare
30000003_1,HC CELL COUNT MISCELLANEOUS BODY FLUIDS #,Inpatient,300,89050,"Cell count, miscellaneous body fluids (eg, cerebrospinal fluid, joint fluid), except blood",,0,91,86.45,33.8,91,86.45,81.9,81.9,86.45,91,86.45,81.9,89.18,89.18,91,81.9,86.45,83.72,Barrett_Hospital_and_Healthcare
30000003_1,HC CELL COUNT MISCELLANEOUS BODY FLUIDS #,Outpatient,300,89050,"Cell count, miscellaneous body fluids (eg, cerebrospinal fluid, joint fluid), except blood",,0,91,86.45,33.8,91,86.45,33.8,81.9,86.45,91,86.45,81.9,89.18,89.18,91,81.9,86.45,83.72,Barrett_Hospital_and_Healthcare
30000004_1,HC CELL COUNT MISC BODY FLUIDS W/DIFFERENTIAL COUNT #,Inpatient,300,89051,"Cell count, miscellaneous body fluids (eg, cerebrospinal fluid, joint fluid), except blood; with differential count",,0,91,86.45,39.44,91,86.45,81.9,81.9,86.45,91,86.45,81.9,89.18,89.18,91,81.9,86.45,83.72,Barrett_Hospital_and_Healthcare
30000004_1,HC CELL COUNT MISC BODY FLUIDS W/DIFFERENTIAL COUNT #,Outpatient,300,89051,"Cell count, miscellaneous body fluids (eg, cerebrospinal fluid, joint fluid), except blood; with differential count",,0,91,86.45,39.44,91,86.45,39.44,81.9,86.45,91,86.45,81.9,89.18,89.18,91,81.9,86.45,83.72,Barrett_Hospital_and_Healthcare
30000006_1,HC CRYSTAL ID LIGHT MICROSCOPY ALYS TISS/ANY FLUID #,Inpatient,300,89060,"Crystal identification by light microscopy with or without polarizing lens analysis, tissue or any body fluid (except urine)",,0,60,57,51.2,60,57,54,54,57,60,57,54,58.8,58.8,60,54,57,55.2,Barrett_Hospital_and_Healthcare
30000006_1,HC CRYSTAL ID LIGHT MICROSCOPY ALYS TISS/ANY FLUID #,Outpatient,300,89060,"Crystal identification by light microscopy with or without polarizing lens analysis, tissue or any body fluid (except urine)",,0,60,57,51.2,60,57,51.2,54,57,60,57,54,58.8,58.8,60,54,57,55.2,Barrett_Hospital_and_Healthcare
30000007_1,HC CELL COUNT MISCELLANEOUS BODY FLUIDS #,Inpatient,300,89050,"Cell count, miscellaneous body fluids (eg, cerebrospinal fluid, joint fluid), except blood",,0,91,86.45,33.8,91,86.45,81.9,81.9,86.45,91,86.45,81.9,89.18,89.18,91,81.9,86.45,83.72,Barrett_Hospital_and_Healthcare
30000007_1,HC CELL COUNT MISCELLANEOUS BODY FLUIDS #,Outpatient,300,89050,"Cell count, miscellaneous body fluids (eg, cerebrospinal fluid, joint fluid), except blood",,0,91,86.45,33.8,91,86.45,33.8,81.9,86.45,91,86.45,81.9,89.18,89.18,91,81.9,86.45,83.72,Barrett_Hospital_and_Healthcare
30000008_1,HC CELL COUNT MISC BODY FLUIDS W/DIFFERENTIAL COUNT #,Inpatient,300,89051,"Cell count, miscellaneous body fluids (eg, cerebrospinal fluid, joint fluid), except blood; with differential count",,0,89,84.55,39.44,89,84.55,80.1,80.1,84.55,89,84.55,80.1,87.22,87.22,89,80.1,84.55,81.88,Barrett_Hospital_and_Healthcare
30000008_1,HC CELL COUNT MISC BODY FLUIDS W/DIFFERENTIAL COUNT #,Outpatient,300,89051,"Cell count, miscellaneous body fluids (eg, cerebrospinal fluid, joint fluid), except blood; with differential count",,0,89,84.55,39.44,89,84.55,39.44,80.1,84.55,89,84.55,80.1,87.22,87.22,89,80.1,84.55,81.88,Barrett_Hospital_and_Healthcare
30000010_1,HC CELL COUNT MISC BODY FLUIDS W/DIFFERENTIAL COUNT #,Inpatient,300,89051,"Cell count, miscellaneous body fluids (eg, cerebrospinal fluid, joint fluid), except blood; with differential count",,0,89,84.55,39.44,89,84.55,80.1,80.1,84.55,89,84.55,80.1,87.22,87.22,89,80.1,84.55,81.88,Barrett_Hospital_and_Healthcare
30000010_1,HC CELL COUNT MISC BODY FLUIDS W/DIFFERENTIAL COUNT #,Outpatient,300,89051,"Cell count, miscellaneous body fluids (eg, cerebrospinal fluid, joint fluid), except blood; with differential count",,0,89,84.55,39.44,89,84.55,39.44,80.1,84.55,89,84.55,80.1,87.22,87.22,89,80.1,84.55,81.88,Barrett_Hospital_and_Healthcare
30000011_1,HC CELL COUNT MISC BODY FLUIDS W/DIFFERENTIAL COUNT #,Inpatient,300,89051,"Cell count, miscellaneous body fluids (eg, cerebrospinal fluid, joint fluid), except blood; with differential count",,0,89,84.55,39.44,89,84.55,80.1,80.1,84.55,89,84.55,80.1,87.22,87.22,89,80.1,84.55,81.88,Barrett_Hospital_and_Healthcare
30000011_1,HC CELL COUNT MISC BODY FLUIDS W/DIFFERENTIAL COUNT #,Outpatient,300,89051,"Cell count, miscellaneous body fluids (eg, cerebrospinal fluid, joint fluid), except blood; with differential count",,0,89,84.55,39.44,89,84.55,39.44,80.1,84.55,89,84.55,80.1,87.22,87.22,89,80.1,84.55,81.88,Barrett_Hospital_and_Healthcare
30010003_1,HC ALLG SPEC IGE RECOMB EA,Inpatient,302,86008,"Allergen specific IgE; quantitative or semiquantitative, recombinant or purified component, each",,0,51,48.45,45.9,128.4,48.45,45.9,45.9,48.45,51,48.45,45.9,49.98,49.98,51,45.9,48.45,46.92,Barrett_Hospital_and_Healthcare
30010003_1,HC ALLG SPEC IGE RECOMB EA,Outpatient,302,86008,"Allergen specific IgE; quantitative or semiquantitative, recombinant or purified component, each",,0,51,48.45,45.9,128.4,48.45,128.4,45.9,48.45,51,48.45,45.9,49.98,49.98,51,45.9,48.45,46.92,Barrett_Hospital_and_Healthcare
30010004_1,HC BLOOD DRAW VENIPUNCTURE,Inpatient,300,36415,Collection of venous blood by venipuncture,,0,21,19.95,17.4,21,19.95,18.9,18.9,19.95,21,19.95,18.9,20.58,20.58,21,18.9,19.95,19.32,Barrett_Hospital_and_Healthcare
30010004_1,HC BLOOD DRAW VENIPUNCTURE,Outpatient,300,36415,Collection of venous blood by venipuncture,,0,21,19.95,17.4,21,19.95,17.4,18.9,19.95,21,19.95,18.9,20.58,20.58,21,18.9,19.95,19.32,Barrett_Hospital_and_Healthcare
30010009_1,HC ROUTINE VENIPUNCTURE - COLLECTION VENOUS BLD,Inpatient,300,36415,Collection of venous blood by venipuncture,,0,21,19.95,17.4,21,19.95,18.9,18.9,19.95,21,19.95,18.9,20.58,20.58,21,18.9,19.95,19.32,Barrett_Hospital_and_Healthcare
30010009_1,HC ROUTINE VENIPUNCTURE - COLLECTION VENOUS BLD,Outpatient,300,36415,Collection of venous blood by venipuncture,,0,21,19.95,17.4,21,19.95,17.4,18.9,19.95,21,19.95,18.9,20.58,20.58,21,18.9,19.95,19.32,Barrett_Hospital_and_Healthcare
30010011_1,HC CAPILLARY BLOOD DRAW,Inpatient,300,36416,"Collection of capillary blood specimen (eg, finger, heel, ear stick)",,0,21,19.95,18.9,35.16,19.95,18.9,18.9,19.95,21,19.95,18.9,20.58,20.58,21,18.9,19.95,19.32,Barrett_Hospital_and_Healthcare
30010011_1,HC CAPILLARY BLOOD DRAW,Outpatient,300,36416,"Collection of capillary blood specimen (eg, finger, heel, ear stick)",,0,21,19.95,18.9,35.16,19.95,35.16,18.9,19.95,21,19.95,18.9,20.58,20.58,21,18.9,19.95,19.32,Barrett_Hospital_and_Healthcare
30010013_1,HC WITHDRAWAL OF ARTERIAL BLOOD,Inpatient,300,36600,"Arterial puncture, withdrawal of blood for diagnosis",,0,81,76.95,72.9,98.4,76.95,72.9,72.9,76.95,81,76.95,72.9,79.38,79.38,81,72.9,76.95,74.52,Barrett_Hospital_and_Healthcare
30010013_1,HC WITHDRAWAL OF ARTERIAL BLOOD,Outpatient,300,36600,"Arterial puncture, withdrawal of blood for diagnosis",,0,81,76.95,72.9,98.4,76.95,98.4,72.9,76.95,81,76.95,72.9,79.38,79.38,81,72.9,76.95,74.52,Barrett_Hospital_and_Healthcare
30010014_1,HC ZIKA VIRUS IGM ANTIBODY,Inpatient,302,86794,"Antibody; Zika virus, IgM",,0,183,173.85,120.64,183,173.85,164.7,164.7,173.85,183,173.85,164.7,179.34,179.34,183,164.7,173.85,168.36,Barrett_Hospital_and_Healthcare
30010014_1,HC ZIKA VIRUS IGM ANTIBODY,Outpatient,302,86794,"Antibody; Zika virus, IgM",,0,183,173.85,120.64,183,173.85,120.64,164.7,173.85,183,173.85,164.7,179.34,179.34,183,164.7,173.85,168.36,Barrett_Hospital_and_Healthcare
30010015_1,HC IADNA DNA/RNA RSV AMPLIFIED PROBE TECHNIQUE #,Inpatient,306,87634,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory syncytial virus, amplified probe technique",,0,145,137.75,130.5,502.64,137.75,130.5,130.5,137.75,145,137.75,130.5,142.1,142.1,145,130.5,137.75,133.4,Barrett_Hospital_and_Healthcare
30010015_1,HC IADNA DNA/RNA RSV AMPLIFIED PROBE TECHNIQUE #,Outpatient,306,87634,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory syncytial virus, amplified probe technique",,0,145,137.75,130.5,502.64,137.75,502.64,130.5,137.75,145,137.75,130.5,142.1,142.1,145,130.5,137.75,133.4,Barrett_Hospital_and_Healthcare
30010080_1,HC IADNA DNA/RNA ZIKA VIRUS AMPLIFIED PROBE TQ #,Inpatient,306,87662,"Infectious agent detection by nucleic acid (DNA or RNA); Zika virus, amplified probe technique",,0,215,204.25,193.5,367.44,204.25,193.5,193.5,204.25,215,204.25,193.5,210.7,210.7,215,193.5,204.25,197.8,Barrett_Hospital_and_Healthcare
30010080_1,HC IADNA DNA/RNA ZIKA VIRUS AMPLIFIED PROBE TQ #,Outpatient,306,87662,"Infectious agent detection by nucleic acid (DNA or RNA); Zika virus, amplified probe technique",,0,215,204.25,193.5,367.44,204.25,367.44,193.5,204.25,215,204.25,193.5,210.7,210.7,215,193.5,204.25,197.8,Barrett_Hospital_and_Healthcare
30010085_1,HC MOLECULAR HLA-DPA TYPING,Inpatient,310,81376,"HLA Class II typing, low resolution (eg, antigen equivalents); one locus (eg, HLA-DRB1, -DRB3/4/5, -DQB1, -DQA1, -DPB1, or -DPA1), each",,0,129,122.55,116.1,875.16,122.55,116.1,116.1,122.55,129,122.55,116.1,126.42,126.42,129,116.1,122.55,118.68,Barrett_Hospital_and_Healthcare
30010085_1,HC MOLECULAR HLA-DPA TYPING,Outpatient,310,81376,"HLA Class II typing, low resolution (eg, antigen equivalents); one locus (eg, HLA-DRB1, -DRB3/4/5, -DQB1, -DQA1, -DPB1, or -DPA1), each",,0,129,122.55,116.1,875.16,122.55,875.16,116.1,122.55,129,122.55,116.1,126.42,126.42,129,116.1,122.55,118.68,Barrett_Hospital_and_Healthcare
30010094_1,HC PR 82044 URINE MICRO ALBUMIN SEMIQUANT,Inpatient,301,82044,"Albumin; urine (eg, microalbumin), semiquantitative (eg, reagent strip assay)",,0,32,30.4,28.8,36.12,30.4,28.8,28.8,30.4,32,30.4,28.8,31.36,31.36,32,28.8,30.4,29.44,Barrett_Hospital_and_Healthcare
30010094_1,HC PR 82044 URINE MICRO ALBUMIN SEMIQUANT,Outpatient,301,82044,"Albumin; urine (eg, microalbumin), semiquantitative (eg, reagent strip assay)",,0,32,30.4,28.8,36.12,30.4,36.12,28.8,30.4,32,30.4,28.8,31.36,31.36,32,28.8,30.4,29.44,Barrett_Hospital_and_Healthcare
30010238_1,HC UNLISTED MOLELCULAR PATHOLOGY PROCEDURE,Inpatient,310,81479,Unlisted molecular pathology procedure,,0,1286,1221.7,1080.24,1286,1221.7,1157.4,1157.4,1221.7,1286,1221.7,1157.4,1260.28,1260.28,1286,1157.4,1221.7,1183.12,Barrett_Hospital_and_Healthcare
30010238_1,HC UNLISTED MOLELCULAR PATHOLOGY PROCEDURE,Outpatient,310,81479,Unlisted molecular pathology procedure,,0,1286,1221.7,1080.24,1286,1221.7,1080.24,1157.4,1221.7,1286,1221.7,1157.4,1260.28,1260.28,1286,1157.4,1221.7,1183.12,Barrett_Hospital_and_Healthcare
30010245_1,HC FETAL CONGENITAL ABNOR ASSAY FOUR ANAL,Inpatient,310,81511,"Fetal congenital abnormalities, biochemical assays of four analytes (AFP, uE3, hCG [any form], DIA) utilizing maternal serum, algorithm reported as a risk score (may include additional results from previous biochemical testing)",,0,142,134.9,125.64,142,134.9,127.8,127.8,134.9,142,134.9,127.8,139.16,139.16,142,127.8,134.9,130.64,Barrett_Hospital_and_Healthcare
30010245_1,HC FETAL CONGENITAL ABNOR ASSAY FOUR ANAL,Outpatient,310,81511,"Fetal congenital abnormalities, biochemical assays of four analytes (AFP, uE3, hCG [any form], DIA) utilizing maternal serum, algorithm reported as a risk score (may include additional results from previous biochemical testing)",,0,142,134.9,125.64,142,134.9,125.64,127.8,134.9,142,134.9,127.8,139.16,139.16,142,127.8,134.9,130.64,Barrett_Hospital_and_Healthcare
30010251_1,HC ANTIBODY JOHN CUNNINGHAM VIRUS,Inpatient,302,86711,Antibody; JC (John Cunningham) virus,,0,77,73.15,69.3,103.08,73.15,69.3,69.3,73.15,77,73.15,69.3,75.46,75.46,77,69.3,73.15,70.84,Barrett_Hospital_and_Healthcare
30010251_1,HC ANTIBODY JOHN CUNNINGHAM VIRUS,Outpatient,302,86711,Antibody; JC (John Cunningham) virus,,0,77,73.15,69.3,103.08,73.15,103.08,69.3,73.15,77,73.15,69.3,75.46,75.46,77,69.3,73.15,70.84,Barrett_Hospital_and_Healthcare
30010260_1,HC IADNA RESPIRATRY PROBE & REV TRNSCR 3-5 TARGETS,Inpatient,306,87631,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 3-5 targets",,0,252,239.4,226.8,918.6,239.4,226.8,226.8,239.4,252,239.4,226.8,246.96,246.96,252,226.8,239.4,231.84,Barrett_Hospital_and_Healthcare
30010260_1,HC IADNA RESPIRATRY PROBE & REV TRNSCR 3-5 TARGETS,Outpatient,306,87631,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 3-5 targets",,0,252,239.4,226.8,918.6,239.4,918.6,226.8,239.4,252,239.4,226.8,246.96,246.96,252,226.8,239.4,231.84,Barrett_Hospital_and_Healthcare
30010262_1,HC IADNA RESPIRATRY PROBE & REV TRNSCR 12-25 TARGET,Inpatient,306,87633,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 12-25 targets",,0,131,124.45,117.9,2984.4,124.45,117.9,117.9,124.45,131,124.45,117.9,128.38,128.38,131,117.9,124.45,120.52,Barrett_Hospital_and_Healthcare
30010262_1,HC IADNA RESPIRATRY PROBE & REV TRNSCR 12-25 TARGET,Outpatient,306,87633,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 12-25 targets",,0,131,124.45,117.9,2984.4,124.45,2984.4,117.9,124.45,131,124.45,117.9,128.38,128.38,131,117.9,124.45,120.52,Barrett_Hospital_and_Healthcare
30010266_1,HC BCR/ABL TRANSLOCATION MAJOR BREAKPOINT,Inpatient,310,81206,"BCR/ABL1 (t(9;22)) (eg, chronic myelogenous leukemia) translocation analysis; major breakpoint, qualitative or quantitative",,0,375,356.25,337.5,1174.04,356.25,337.5,337.5,356.25,375,356.25,337.5,367.5,367.5,375,337.5,356.25,345,Barrett_Hospital_and_Healthcare
30010266_1,HC BCR/ABL TRANSLOCATION MAJOR BREAKPOINT,Outpatient,310,81206,"BCR/ABL1 (t(9;22)) (eg, chronic myelogenous leukemia) translocation analysis; major breakpoint, qualitative or quantitative",,0,375,356.25,337.5,1174.04,356.25,1174.04,337.5,356.25,375,356.25,337.5,367.5,367.5,375,337.5,356.25,345,Barrett_Hospital_and_Healthcare
30010267_1,HC PROTHROMBIN G20210A GENE ANALYSIS,Inpatient,310,81240,"F2 (prothrombin, coagulation factor II) (eg, hereditary hypercoagulability) gene analysis, 20210G>A variant",,0,273,259.35,245.7,381,259.35,245.7,245.7,259.35,273,259.35,245.7,267.54,267.54,273,245.7,259.35,251.16,Barrett_Hospital_and_Healthcare
30010267_1,HC PROTHROMBIN G20210A GENE ANALYSIS,Outpatient,310,81240,"F2 (prothrombin, coagulation factor II) (eg, hereditary hypercoagulability) gene analysis, 20210G>A variant",,0,273,259.35,245.7,381,259.35,381,245.7,259.35,273,259.35,245.7,267.54,267.54,273,245.7,259.35,251.16,Barrett_Hospital_and_Healthcare
30010268_1,HC FRAGILE X GENE ANALYSIS,Inpatient,310,81243,"FMR1 (fragile X mental retardation 1) (eg, fragile X mental retardation) gene analysis; evaluation to detect abnormal (eg, expanded) alleles",,0,261,247.95,234.9,330.84,247.95,234.9,234.9,247.95,261,247.95,234.9,255.78,255.78,261,234.9,247.95,240.12,Barrett_Hospital_and_Healthcare
30010268_1,HC FRAGILE X GENE ANALYSIS,Outpatient,310,81243,"FMR1 (fragile X mental retardation 1) (eg, fragile X mental retardation) gene analysis; evaluation to detect abnormal (eg, expanded) alleles",,0,261,247.95,234.9,330.84,247.95,330.84,234.9,247.95,261,247.95,234.9,255.78,255.78,261,234.9,247.95,240.12,Barrett_Hospital_and_Healthcare
30010269_1,HC JAK2 GENE ANALYSIS P.VAL617PHE VARIANT #,Inpatient,310,81270,"JAK2 (Janus kinase 2) (eg, myeloproliferative disorder) gene analysis, p.Val617Phe (V617F) variant",,0,499,474.05,449.1,656.4,474.05,449.1,449.1,474.05,499,474.05,449.1,489.02,489.02,499,449.1,474.05,459.08,Barrett_Hospital_and_Healthcare
30010269_1,HC JAK2 GENE ANALYSIS P.VAL617PHE VARIANT #,Outpatient,310,81270,"JAK2 (Janus kinase 2) (eg, myeloproliferative disorder) gene analysis, p.Val617Phe (V617F) variant",,0,499,474.05,449.1,656.4,474.05,656.4,449.1,474.05,499,474.05,449.1,489.02,489.02,499,449.1,474.05,459.08,Barrett_Hospital_and_Healthcare
30010270_1,HC MTHFR GENE ANALYSIS,Inpatient,310,81291,"MTHFR (5,10-methylenetetrahydrofolate reductase) (eg, hereditary hypercoagulability) gene analysis, common variants (eg, 677T, 1298C)",,0,210,199.5,189,378.96,199.5,189,189,199.5,210,199.5,189,205.8,205.8,210,189,199.5,193.2,Barrett_Hospital_and_Healthcare
30010270_1,HC MTHFR GENE ANALYSIS,Outpatient,310,81291,"MTHFR (5,10-methylenetetrahydrofolate reductase) (eg, hereditary hypercoagulability) gene analysis, common variants (eg, 677T, 1298C)",,0,210,199.5,189,378.96,199.5,378.96,189,199.5,210,199.5,189,205.8,205.8,210,189,199.5,193.2,Barrett_Hospital_and_Healthcare
30010271_1,HC BCR/ABL TRANSLOCATION MINOR BREAKPOINT,Inpatient,310,81207,"BCR/ABL1 (t(9;22)) (eg, chronic myelogenous leukemia) translocation analysis; minor breakpoint, qualitative or quantitative",,0,366,347.7,329.4,1037.08,347.7,329.4,329.4,347.7,366,347.7,329.4,358.68,358.68,366,329.4,347.7,336.72,Barrett_Hospital_and_Healthcare
30010271_1,HC BCR/ABL TRANSLOCATION MINOR BREAKPOINT,Outpatient,310,81207,"BCR/ABL1 (t(9;22)) (eg, chronic myelogenous leukemia) translocation analysis; minor breakpoint, qualitative or quantitative",,0,366,347.7,329.4,1037.08,347.7,1037.08,329.4,347.7,366,347.7,329.4,358.68,358.68,366,329.4,347.7,336.72,Barrett_Hospital_and_Healthcare
30010272_1,HC FACTOR V LEIDEN GENE ANALYSIS,Inpatient,310,81241,"F5 (coagulation factor V) (eg, hereditary hypercoagulability) gene analysis, Leiden variant",,0,181,171.95,162.9,437.56,171.95,162.9,162.9,171.95,181,171.95,162.9,177.38,177.38,181,162.9,171.95,166.52,Barrett_Hospital_and_Healthcare
30010272_1,HC FACTOR V LEIDEN GENE ANALYSIS,Outpatient,310,81241,"F5 (coagulation factor V) (eg, hereditary hypercoagulability) gene analysis, Leiden variant",,0,181,171.95,162.9,437.56,171.95,437.56,162.9,171.95,181,171.95,162.9,177.38,177.38,181,162.9,171.95,166.52,Barrett_Hospital_and_Healthcare
30010276_1,HC CYSTIC FIBROSIS GENE ANALYSIS,Inpatient,310,81220,"CFTR (cystic fibrosis transmembrane conductance regulator) (eg, cystic fibrosis) gene analysis; common variants (eg, ACMG/ACOG guidelines)",,0,500,475,450,3228.28,475,450,450,475,500,475,450,490,490,500,450,475,460,Barrett_Hospital_and_Healthcare
