Procedure Number,Description,Standard Amount,UB Code,Modifier 1,hospital
PH000072,CREON CAPSULE DR 24K-76K-120K,33.75,250,,Advanced_Care_Hospital_Of_Montana
PH000073,Azelastine Hcl 0.15% 30mL Spra,267.32,250,,Advanced_Care_Hospital_Of_Montana
PH000074,Premarin Vaginal Cr-Appl 42Gm,1939.25,250,,Advanced_Care_Hospital_Of_Montana
PH000075,Premarin 0.3 Mg,29.76,250,,Advanced_Care_Hospital_Of_Montana
PH000076,Premarin 0.625 mg Tab,29.76,250,,Advanced_Care_Hospital_Of_Montana
PH000078,Pfizerpen 5 Million Units Vial,61.06,250,,Advanced_Care_Hospital_Of_Montana
PH000079,Pfizerpen,244.22,250,,Advanced_Care_Hospital_Of_Montana
PH000080,Vfend 200 Mg Tablet,17.7,250,,Advanced_Care_Hospital_Of_Montana
PH000081,Vfend IV 200 Mg Vial,719.71,250,,Advanced_Care_Hospital_Of_Montana
PH000082,Geodon 20 mg Vial,262.41,250,,Advanced_Care_Hospital_Of_Montana
PH000083,Androgel 1% (25 Mg) Gel Packet,99.7,250,,Advanced_Care_Hospital_Of_Montana
PH000084,Flecainide Acet 50 Mg Tab,8.08,250,,Advanced_Care_Hospital_Of_Montana
PH000085,Flecainide 100 mg Tab,14.32,250,,Advanced_Care_Hospital_Of_Montana
PH000086,Flecainide Acet 150 Mg Tab,17.37,250,,Advanced_Care_Hospital_Of_Montana
PH000087,PredniSONE 10 mg Tab,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000088,Prednisone 20 Mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000090,Calcium Acetate 667 Mg,4.11,250,,Advanced_Care_Hospital_Of_Montana
PH000091,Oxcarbazepine 150 Mg,6.03,250,,Advanced_Care_Hospital_Of_Montana
PH000092,Ramipril 2.5 Mg,7.22,250,,Advanced_Care_Hospital_Of_Montana
PH000093,Acarbose 25 Mg,3.64,250,,Advanced_Care_Hospital_Of_Montana
PH000094,Mycophenolate 250 Mg,15.87,250,,Advanced_Care_Hospital_Of_Montana
PH000096,MORPHINE IR TABLET 30 MG,6.18,250,,Advanced_Care_Hospital_Of_Montana
PH000097,MORPHINE ORAL SOL 2 MG / 1 ML,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000099,Cyclophosphamide 25 Mg Cap,37.45,250,,Advanced_Care_Hospital_Of_Montana
PH000100,cyclophosphamide 50 MG TAB,68.72,250,,Advanced_Care_Hospital_Of_Montana
PH000101,Desvenlafaxine ER 50 Mg,47.8,250,,Advanced_Care_Hospital_Of_Montana
PH000102,Morphine Sulf 20 Mg/1mL Oral,3.36,250,,Advanced_Care_Hospital_Of_Montana
PH000104,Dipyridamole 25 MG tab,5.68,250,,Advanced_Care_Hospital_Of_Montana
PH000105,lithium carbonate 300 MG CAP,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000106,Calcitriol 1 mcg/mL Oral Sol,47.73,250,,Advanced_Care_Hospital_Of_Montana
PH000107,Lidocaine 4% Topical Sol 50 mL,192.0,250,,Advanced_Care_Hospital_Of_Montana
PH000108,Azathioprine 50 Mg,9.38,250,,Advanced_Care_Hospital_Of_Montana
PH000109,Leucovorin Calcium  5 mg Tab,8.2,250,,Advanced_Care_Hospital_Of_Montana
PH000110,Clotrimazole 10 Mg Troche,13.74,250,,Advanced_Care_Hospital_Of_Montana
PH000111,Dexamethasone 1 mg Tab,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000112,dexAMETHasone 4 mg,4.82,250,,Advanced_Care_Hospital_Of_Montana
PH000113,dexAMETHasone .5 mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000114,Furosemide 20 mg Tab,2.06,250,,Advanced_Care_Hospital_Of_Montana
PH000115,Furosemide 40 mg Tab,2.35,250,,Advanced_Care_Hospital_Of_Montana
PH000116,lithium carbonate 300 mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000117,Methadone 5 mg Tab,1.54,250,,Advanced_Care_Hospital_Of_Montana
PH000118,Methadone 10 mg Tab,1.75,250,,Advanced_Care_Hospital_Of_Montana
PH000119,Prednisone 5 Mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000120,Prednisone 1 Mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000121,Coumadin 5 mg,11.1,250,,Advanced_Care_Hospital_Of_Montana
PH000122,Sustiva 600 Mg Tablet,156.9,250,,Advanced_Care_Hospital_Of_Montana
PH000123,"Griseofulvin,micro 500Mg Tab",37.4,250,,Advanced_Care_Hospital_Of_Montana
PH000125,Nevanac 0.1% Ophth Sol 3 mL,1303.82,250,,Advanced_Care_Hospital_Of_Montana
PH000126,Flarex 0.1% Eye Drops,431.81,250,,Advanced_Care_Hospital_Of_Montana
PH000127,Betoptic S 0.25% Eye Dps 10 ml,1490.54,250,,Advanced_Care_Hospital_Of_Montana
PH000128,Pataday 0.2% Eye Drops 2 mL,895.87,250,,Advanced_Care_Hospital_Of_Montana
PH000129,Azopt 1% Eye Drops 10 ML,1647.5,250,,Advanced_Care_Hospital_Of_Montana
PH000130,Isopto Atropine  1% Ophth Drop,232.03,250,,Advanced_Care_Hospital_Of_Montana
PH000131,Eye-Stream Solution 30mL,90.48,257,,Advanced_Care_Hospital_Of_Montana
PH000132,Tobrex 0.3 %,1028.93,250,,Advanced_Care_Hospital_Of_Montana
PH000134,Tobradex 0.3 %-0.1%,1095.41,250,,Advanced_Care_Hospital_Of_Montana
PH000135,Ciloxan 0.3% Ophth Ointment,1028.93,250,,Advanced_Care_Hospital_Of_Montana
PH000136,Vigamox 0.5% 3 mL Opth Sol,835.78,250,,Advanced_Care_Hospital_Of_Montana
PH000137,Pazeo 0.7% Eye Drops 2.5 mL,986.02,250,,Advanced_Care_Hospital_Of_Montana
PH000138,Icaps Areds Formula 250 MG-200,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000139,Cipro HC Otic Susp 10 ML,1516.18,250,,Advanced_Care_Hospital_Of_Montana
PH000140,CIPRODEX OTIC SUSP 0.3 %-0.1%,1195.63,250,,Advanced_Care_Hospital_Of_Montana
PH000141,DurezoL 0.05 %,996.58,250,,Advanced_Care_Hospital_Of_Montana
PH000143,Nicotine 14Mg/24hr,8.53,257,,Advanced_Care_Hospital_Of_Montana
PH000144,Nicotine 21 Mg/24hr,8.53,257,,Advanced_Care_Hospital_Of_Montana
PH000145,Dilantin 50 mg Tab,6.42,250,,Advanced_Care_Hospital_Of_Montana
PH000146,Lyrica 25 mg,41.22,250,,Advanced_Care_Hospital_Of_Montana
PH000147,Lyrica 50 mg,41.22,250,,Advanced_Care_Hospital_Of_Montana
PH000148,Lyrica 75 mg,45.33,250,,Advanced_Care_Hospital_Of_Montana
PH000149,Lyrica 150 mg,41.22,250,,Advanced_Care_Hospital_Of_Montana
PH000150,Norvir 100 Mg Tablet,41.15,250,,Advanced_Care_Hospital_Of_Montana
PH000151,adalimumab SYRINGEKIT 40 MG /,14323.63,250,,Advanced_Care_Hospital_Of_Montana
PH000152,Depakote ER 250 mg,16.1,250,,Advanced_Care_Hospital_Of_Montana
PH000154,Zemplar 2 Mcg/ml Vial,29.09,250,,Advanced_Care_Hospital_Of_Montana
PH000155,Divalproex 125 mg Sprinkle Cap,5.07,250,,Advanced_Care_Hospital_Of_Montana
PH000156,Erythromycin Base 250 Mg,55.7,250,,Advanced_Care_Hospital_Of_Montana
PH000157,Riluzole 50 mg,130.79,250,,Advanced_Care_Hospital_Of_Montana
PH000158,Myfortic 180 Mg Tablet,27.4,250,,Advanced_Care_Hospital_Of_Montana
PH000159,Diclofenac Potassium 50 mg Tab,11.04,250,,Advanced_Care_Hospital_Of_Montana
PH000160,Tekturna 150 Mg Tablet,39.14,250,,Advanced_Care_Hospital_Of_Montana
PH000161,Tekturna 300 Mg Tablet,49.38,250,,Advanced_Care_Hospital_Of_Montana
PH000162,TOBI 300 mg/5 mL Neb,628.94,250,,Advanced_Care_Hospital_Of_Montana
PH000163,Exelon 4.6 mg/24hr Patch,109.76,250,,Advanced_Care_Hospital_Of_Montana
PH000164,Exelon 9.5 mg Patch,109.73,250,,Advanced_Care_Hospital_Of_Montana
PH000165,Entresto 24 Mg-26 Mg Tablet,46.63,250,,Advanced_Care_Hospital_Of_Montana
PH000166,Asmanex Twisthaler 220 mCg #30,919.44,250,,Advanced_Care_Hospital_Of_Montana
PH000168,Nitro-dur 0.3 mg/hr Patch,188.41,250,,Advanced_Care_Hospital_Of_Montana
PH000169,Irbesartan 150 mg Tab,12.53,250,,Advanced_Care_Hospital_Of_Montana
PH000171,Lantus,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000174,Nortriptyline 10 mg Cap,2.94,250,,Advanced_Care_Hospital_Of_Montana
PH000175,Nortriptyline 25 mg Cap,5.87,250,,Advanced_Care_Hospital_Of_Montana
PH000176,Ketoconazole 2% Cream 15g,525.32,250,,Advanced_Care_Hospital_Of_Montana
PH000177,BusPIRone TABLET 15 MG,8.08,250,,Advanced_Care_Hospital_Of_Montana
PH000178,Pioglitazone 45 mg Tab,46.45,250,,Advanced_Care_Hospital_Of_Montana
PH000179,Amox Tr-K Clav Tablet 500-125,15.14,250,,Advanced_Care_Hospital_Of_Montana
PH000182,LANSOPRAZOLE ODT TABLET 15 MG,63.09,250,,Advanced_Care_Hospital_Of_Montana
PH000183,Cephalexin 250 Mg,2.77,250,,Advanced_Care_Hospital_Of_Montana
PH000184,Cephalexin 500 Mg,5.5,250,,Advanced_Care_Hospital_Of_Montana
PH000185,Disulfiram 500 Mg,26.11,250,,Advanced_Care_Hospital_Of_Montana
PH000187,Hydrocodone- IBU 7.5/200Mg,5.03,250,,Advanced_Care_Hospital_Of_Montana
PH000188,Sildenafil 20 mg Tab,88.19,250,,Advanced_Care_Hospital_Of_Montana
PH000190,"Cyclosporine, modified 50 Mg",10.95,250,,Advanced_Care_Hospital_Of_Montana
PH000191,Budesonide  0.5 mg/2 mL Neb,44.32,250,,Advanced_Care_Hospital_Of_Montana
PH000192,Azithromycin 600 Mg,74.73,250,,Advanced_Care_Hospital_Of_Montana
PH000193,Fexofenadine 60 Mg,6.06,257,,Advanced_Care_Hospital_Of_Montana
PH000194,Glimepiride 1 Mg Tab,4.03,250,,Advanced_Care_Hospital_Of_Montana
PH000195,Glimepiride 2 mg Tab,3.53,250,,Advanced_Care_Hospital_Of_Montana
PH000196,Valacyclovir 500 Mg,28.9,250,,Advanced_Care_Hospital_Of_Montana
PH000197,Metformin ER 500Mg,5.35,250,,Advanced_Care_Hospital_Of_Montana
PH000198,Trandolapril 2 Mg,4.96,250,,Advanced_Care_Hospital_Of_Montana
PH000199,Calcitriol  0.25 mcg Cap,4.84,250,,Advanced_Care_Hospital_Of_Montana
PH000200,Finasteride 5 Mg,12.52,250,,Advanced_Care_Hospital_Of_Montana
PH000201,Venlafaxine ER 37.5 mg Cap,16.65,250,,Advanced_Care_Hospital_Of_Montana
PH000202,VENLAFAXINE  ER CAPSULE 75 MG,18.66,250,,Advanced_Care_Hospital_Of_Montana
PH000203,Mycophenolate 500 Mg,6.25,250,,Advanced_Care_Hospital_Of_Montana
PH000204,Anastrozole 1 Mg,53.98,250,,Advanced_Care_Hospital_Of_Montana
PH000205,Famciclovir 500 Mg,50.77,250,,Advanced_Care_Hospital_Of_Montana
PH000206,Cimetidine 300 mg Tab,8.21,250,,Advanced_Care_Hospital_Of_Montana
PH000207,Mexiletine 150 MG,10.14,250,,Advanced_Care_Hospital_Of_Montana
PH000208,Acyclovir 200 Mg Cap,3.89,250,,Advanced_Care_Hospital_Of_Montana
PH000209,Acyclovir 800 Mg Tab,18.2,250,,Advanced_Care_Hospital_Of_Montana
PH000210,DHS Sal 3% Shampoo 4 oz.,25.78,257,,Advanced_Care_Hospital_Of_Montana
PH000211,Primidone 250 Mg,3.98,250,,Advanced_Care_Hospital_Of_Montana
PH000212,Lido/Prilo 2.5 %-2.5% Cream 5G,32.16,250,,Advanced_Care_Hospital_Of_Montana
PH000213,Flavoxate 100 Mg Tab,5.85,250,,Advanced_Care_Hospital_Of_Montana
PH000214,Demeclocycline 150 mg,37.6,250,,Advanced_Care_Hospital_Of_Montana
PH000215,Pyridostigmine 60 mg Tab,5.1,250,,Advanced_Care_Hospital_Of_Montana
PH000216,Dantrolene Sodium 50 Mg,6.91,250,,Advanced_Care_Hospital_Of_Montana
PH000217,Fludricortisone 0.1 Mg Tab,2.99,250,,Advanced_Care_Hospital_Of_Montana
PH000218,Chlorhexidine 0.12% ORAL 473mL,20.0,250,,Advanced_Care_Hospital_Of_Montana
PH000219,Magnesium Hydroxide 30mL UD,9.36,257,,Advanced_Care_Hospital_Of_Montana
PH000220,Docusate Sod 100 mg/10 mL UD,2.8,257,,Advanced_Care_Hospital_Of_Montana
PH000221,Citric Acid/Sodium Citrate 30,17.04,250,,Advanced_Care_Hospital_Of_Montana
PH000224,Guaifen/Dextrom 200Mg/10mL UD,8.48,257,,Advanced_Care_Hospital_Of_Montana
PH000225,amantadine 50 MG/5 ML SOLUTION,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000226,Acetaminophen 650 Mg/20.3 mL,8.16,257,,Advanced_Care_Hospital_Of_Montana
PH000227,ETHOSUXIMIDE SOLUTION 250 MG /,1.98,250,,Advanced_Care_Hospital_Of_Montana
PH000228,VALPROATE SODIUM ORAL SOLN 120,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000229,Sucralfate 1 GM/10ML Susp,43.44,250,,Advanced_Care_Hospital_Of_Montana
PH000230,Guaif-Cod 100-10Mg/5mL Syring,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH000231,Metoclopramide 10 Mg/10mL,8.92,250,,Advanced_Care_Hospital_Of_Montana
PH000233,Maalox  Liquid UD CU 200-200/5,14.4,257,,Advanced_Care_Hospital_Of_Montana
PH000234,MAALOX/MYLANTA 1200 MG / 30 ML,15.16,257,,Advanced_Care_Hospital_Of_Montana
PH000235,Maalox Plus Susp 30 mL UD,15.12,257,,Advanced_Care_Hospital_Of_Montana
PH000236,Lactulose 10 G/15 mL UD CUP,3.24,250,,Advanced_Care_Hospital_Of_Montana
PH000237,Valproic Acid 250 mg/5 mL Soln,2.24,250,,Advanced_Care_Hospital_Of_Montana
PH000238,Megestrol 400 mg/10 mL Susp,17.16,250,,Advanced_Care_Hospital_Of_Montana
PH000240,Vimpat 200 Mg/20 mL Vial,392.21,250,,Advanced_Care_Hospital_Of_Montana
PH000241,Vimpat 50 Mg Tab,52.57,250,,Advanced_Care_Hospital_Of_Montana
PH000242,Vimpat 100 mg Tab,74.71,250,,Advanced_Care_Hospital_Of_Montana
PH000243,Vimpat 200 mg Tab,79.15,250,,Advanced_Care_Hospital_Of_Montana
PH000244,Vimpat 10 Mg/mL Oral Sol 200mL,8.84,250,,Advanced_Care_Hospital_Of_Montana
PH000245,Mineral Oil Enema 133 mL,8.3,257,,Advanced_Care_Hospital_Of_Montana
PH000246,Habitrol 7 mg/24hr Patch,14.85,257,,Advanced_Care_Hospital_Of_Montana
PH000247,Abreva 10% Cream,74.21,257,,Advanced_Care_Hospital_Of_Montana
PH000248,Nicorette 2 mg Mini Lozenge,2.16,257,,Advanced_Care_Hospital_Of_Montana
PH000249,Nicorette 4 mg Mini Lozenge,174.72,257,,Advanced_Care_Hospital_Of_Montana
PH000250,Phenobarbital 100 mg Tab,2.98,250,,Advanced_Care_Hospital_Of_Montana
PH000251,Ketamine 500 mg/10 mL Vial,27.98,250,,Advanced_Care_Hospital_Of_Montana
PH000253,niCARdipine 25 MG/10 ML VIAL,122.5,250,,Advanced_Care_Hospital_Of_Montana
PH000254,Benztropine 2 mg/2 mL Amp,288.0,250,,Advanced_Care_Hospital_Of_Montana
PH000255,Enalaprilat 1.25Mg/mL 1mL,23.19,250,,Advanced_Care_Hospital_Of_Montana
PH000256,Lotrimin 2% Powder,23.09,257,,Advanced_Care_Hospital_Of_Montana
PH000257,Triam Acetonide 0.5% Cr 15 Gm,44.4,250,,Advanced_Care_Hospital_Of_Montana
PH000258,Triam Acetonide 0.025% Cr,17.86,250,,Advanced_Care_Hospital_Of_Montana
PH000259,Triam Acetonide 0.1% Cr 15 Gm,14.4,250,,Advanced_Care_Hospital_Of_Montana
PH000260,TRIAMCINOLONE ACETONIDE  0.1%,22.32,250,,Advanced_Care_Hospital_Of_Montana
PH000261,Neosporin 15Gm Oint,18.43,257,,Advanced_Care_Hospital_Of_Montana
PH000262,betamethasone valerate 0.1%Crm,228.36,250,,Advanced_Care_Hospital_Of_Montana
PH000263,"Petrolatum,white 5g",1.5,257,,Advanced_Care_Hospital_Of_Montana
PH000264,"Nystatin 100,000 Unit/g Cream",70.0,250,,Advanced_Care_Hospital_Of_Montana
PH000266,Clobetasol 0.05% Crm 45 G,1538.76,250,,Advanced_Care_Hospital_Of_Montana
PH000267,Clindamycin 1% Gel 30g,414.6,250,,Advanced_Care_Hospital_Of_Montana
PH000268,Lidocaine 5% oint 35.44Gm,1200.0,250,,Advanced_Care_Hospital_Of_Montana
PH000269,Betamet Diprop/Prop Gly 0.05 %,752.6,250,,Advanced_Care_Hospital_Of_Montana
PH000270,Triam Acetonide 0.1% Lotion,169.68,250,,Advanced_Care_Hospital_Of_Montana
PH000271,NovoLIN N,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH000272,NovoLIN 70-30,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH000273,NovoLOG Mix 70-30,144.06,250,,Advanced_Care_Hospital_Of_Montana
PH000274,Levemir,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000275,Vagifem 10 mcg Tab,102.1,250,,Advanced_Care_Hospital_Of_Montana
PH000276,"COAGULATION FACTOR VIIA,R 2 mg",11.52,250,,Advanced_Care_Hospital_Of_Montana
PH000277,NovoLOG,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000278,LISINOpril 40Mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000279,Gabapentin 100 Mg Cap,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000281,Anagrelide 0.5 mg Cap,44.65,250,,Advanced_Care_Hospital_Of_Montana
PH000282,Fluconazole 100 Mg Tab,38.13,250,,Advanced_Care_Hospital_Of_Montana
PH000283,Cyclosporine 25 Mg,5.5,250,,Advanced_Care_Hospital_Of_Montana
PH000284,cycloSPORINE 100 mg (modified),21.99,250,,Advanced_Care_Hospital_Of_Montana
PH000285,Lanoxin 250 mcg,9.2,250,,Advanced_Care_Hospital_Of_Montana
PH000286,Cefuroxime Sodium 1.5 Gm,26.05,250,,Advanced_Care_Hospital_Of_Montana
PH000287,Serevent Diskus 50 mcg,1165.01,250,,Advanced_Care_Hospital_Of_Montana
PH000288,Mepron 750 Mg/5 mL Suspension,159.17,250,,Advanced_Care_Hospital_Of_Montana
PH000289,Abacavir Sulfate 300 mg,40.18,250,,Advanced_Care_Hospital_Of_Montana
PH000290,Ventolin HFA 90mCg/puf 60 dos,265.73,250,,Advanced_Care_Hospital_Of_Montana
PH000291,Advair DISKUS 100-50 MCG,728.3,250,,Advanced_Care_Hospital_Of_Montana
PH000292,Advair DISKUS 250-50 MCG,728.3,250,,Advanced_Care_Hospital_Of_Montana
PH000293,Advair DISKUS 500-50 MCG,1187.04,250,,Advanced_Care_Hospital_Of_Montana
PH000294,Avodart 0.5 Mg Softgel,37.98,250,,Advanced_Care_Hospital_Of_Montana
PH000295,Flovent HFA 44 mcg,953.18,250,,Advanced_Care_Hospital_Of_Montana
PH000296,Flovent HFA 110 mcg,1276.08,250,,Advanced_Care_Hospital_Of_Montana
PH000297,Breo Ellipta 100-25 mCg Inh,689.09,250,,Advanced_Care_Hospital_Of_Montana
PH000298,Avandia 4 mg,27.11,250,,Advanced_Care_Hospital_Of_Montana
PH000299,Anoro Ellipta 62.5-25 mCg Inh,501.31,250,,Advanced_Care_Hospital_Of_Montana
PH000300,Incruse 62.5 mCg Inh 30 dose,1699.68,250,,Advanced_Care_Hospital_Of_Montana
PH000301,Breo Ellipta 200-25 mCg Inh,689.09,250,,Advanced_Care_Hospital_Of_Montana
PH000302,Trelegy Ellipta 100-62.5-25,1346.35,250,,Advanced_Care_Hospital_Of_Montana
PH000303,Aspirin 325 mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH000304,Aspirin 325 mg,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH000305,HydrALAzine 25 Mg Tab,2.03,250,,Advanced_Care_Hospital_Of_Montana
PH000306,HydrALAzine 50 Mg Tab,2.25,250,,Advanced_Care_Hospital_Of_Montana
PH000307,Orphenadrine ER 100 mg Tab,8.74,250,,Advanced_Care_Hospital_Of_Montana
PH000308,Midodrine 5 mg Tab,10.84,250,,Advanced_Care_Hospital_Of_Montana
PH000309,Etodolac 400 Mg,5.87,250,,Advanced_Care_Hospital_Of_Montana
PH000310,Nabumetone 500 Mg,5.19,250,,Advanced_Care_Hospital_Of_Montana
PH000311,Nabumetone 750 mg Tab,6.13,250,,Advanced_Care_Hospital_Of_Montana
PH000312,Sotalol 80 Mg,9.28,250,,Advanced_Care_Hospital_Of_Montana
PH000313,Methimazole 10 Mg,3.07,250,,Advanced_Care_Hospital_Of_Montana
PH000314,Cilostazol 100 Mg,7.3,250,,Advanced_Care_Hospital_Of_Montana
PH000315,Oxandrolone 10Mg,75.0,250,,Advanced_Care_Hospital_Of_Montana
PH000316,Itraconazole 100 Mg Cap,37.21,250,,Advanced_Care_Hospital_Of_Montana
PH000317,Symbicort 160-4.5 mCg 120 inh,1783.97,250,,Advanced_Care_Hospital_Of_Montana
PH000318,SYMBICORT   80 / 4.5 mcg *INHA,1053.84,250,,Advanced_Care_Hospital_Of_Montana
PH000319,Brilinta 90 Mg Tablet,33.03,250,,Advanced_Care_Hospital_Of_Montana
PH000320,Sensorcaine 0.5% Vial,30.24,250,,Advanced_Care_Hospital_Of_Montana
PH000321,NexIUM 40 mg,44.05,250,,Advanced_Care_Hospital_Of_Montana
PH000322,CeraVe Moistur Lotion 355mL,41.76,250,,Advanced_Care_Hospital_Of_Montana
