Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,BCBSMT_BLUE_OPTIONS,EBMS__RMHN_NETWORK_,FIRST_CHOICE,GEHA,MONTANA_HEALTH_CO-OP,MULTIPLAN,PACIFIC_SOURCE,hospital
33000040_1,ROOM/BED: Swing Bed Hospice Respite RMH,Inpatient,129,,,,0,201,201,164.82,201,180.9,190.95,194.97,164.82,,194.97,190.95,Roundup_Memorial_Healthcare
39281_2,99281 ED PROF SELF LIMITED/MINOR,ProFee,981,99281,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor.",,0,114,114,36.992,114,91.2,96.9,37.3376,93.48,36.992,,,Roundup_Memorial_Healthcare
39282_2,99282 ED PROF LOW TO MODERATE SEVERITY,ProFee,981,99282,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity.",,0,153,153,71.094,153,122.4,130.05,71.7582,125.46,71.094,,,Roundup_Memorial_Healthcare
39283_2,99283 ED PROF EMER DEPT MODERATE SEVERITY,ProFee,981,99283,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",,0,238,238,106.352,238,190.4,202.3,107.3456,195.16,106.352,,,Roundup_Memorial_Healthcare
39283_2{2},99283 ED PROF MODERATE SEVERITY,ProFee,981,99283,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",,0,238,238,106.352,238,190.4,202.3,107.3456,195.16,106.352,,,Roundup_Memorial_Healthcare
39284_2,99284 ED PROF HIGH SEVERITY & URGENT EVAL,ProFee,981,99284,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician, or other qualified health care professionals but do not pose an immediate significant threat to life or physiologic function.",,0,363,363,195.364,363,290.4,308.55,197.1892,297.66,195.364,,,Roundup_Memorial_Healthcare
39285_2,99285 ED PROF HIGHT SEVERITY & THREAT,ProFee,981,99285,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components within the constraints imposed by the urgency of the patient's clinical condition and/or mental status: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity and pose an immediate significant threat to life or physiologic function.",,0,566,566,283.798,566,452.8,481.1,286.4494,464.12,283.798,,,Roundup_Memorial_Healthcare
40075008_1,Lyme Ab Serum,Inpatient,302,86618,Antibody; Borrelia burgdorferi (Lyme disease),,0,114,114,91.2,114,102.6,108.3,110.58,93.48,,110.58,108.3,Roundup_Memorial_Healthcare
40075008_1,Lyme Ab Serum,Outpatient,302,86618,Antibody; Borrelia burgdorferi (Lyme disease),,0,114,114,91.2,114,91.2,108.3,110.58,93.48,,110.58,108.3,Roundup_Memorial_Healthcare
40120185_1,oseltamivir phosphate 6mg/mL 60mL bottle rmh,Inpatient,250,,,,60,405.6,405.6,324.48,405.6,365.04,385.32,393.432,332.592,,393.432,385.32,Roundup_Memorial_Healthcare
40120185_1,oseltamivir phosphate 6mg/mL 60mL bottle rmh,Outpatient,250,,,,60,405.6,405.6,324.48,405.6,324.48,385.32,393.432,332.592,,393.432,385.32,Roundup_Memorial_Healthcare
40200031_1,RMH COLONOSCOPY,Ambulatory Surgical,750,45378,"Colonoscopy, flexible; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",,0,2166,2166,1732.8,2166,1732.8,2057.7,2101.02,1776.12,,2101.02,2057.7,Roundup_Memorial_Healthcare
40200031_1,RMH COLONOSCOPY,Inpatient,750,45378,"Colonoscopy, flexible; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",,0,2166,2166,1732.8,2166,1949.4,2057.7,2101.02,1776.12,,2101.02,2057.7,Roundup_Memorial_Healthcare
40200032_1,RMH COLONOSCOPY W/BIOPSY,Ambulatory Surgical,750,45380,"Colonoscopy, flexible; with biopsy, single or multiple",,0,2427,2427,1941.6,2427,1941.6,2305.65,2354.19,1990.14,,2354.19,2305.65,Roundup_Memorial_Healthcare
40200032_1,RMH COLONOSCOPY W/BIOPSY,Inpatient,750,45380,"Colonoscopy, flexible; with biopsy, single or multiple",,0,2427,2427,1941.6,2427,2184.3,2305.65,2354.19,1990.14,,2354.19,2305.65,Roundup_Memorial_Healthcare
40200033_1,RMH UPPER GI ENDOSCOPY,Ambulatory Surgical,750,43235,"Esophagogastroduodenoscopy, flexible, transoral; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",,0,1472,1472,1177.6,1472,1177.6,1398.4,1427.84,1207.04,,1427.84,1398.4,Roundup_Memorial_Healthcare
40200033_1,RMH UPPER GI ENDOSCOPY,Inpatient,750,43235,"Esophagogastroduodenoscopy, flexible, transoral; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",,0,1472,1472,1177.6,1472,1324.8,1398.4,1427.84,1207.04,,1427.84,1398.4,Roundup_Memorial_Healthcare
40200034_1,RMH UPPER GI ENDOSCOPY W/BIOPSY,Ambulatory Surgical,750,43239,"Esophagogastroduodenoscopy, flexible, transoral; with biopsy, single or multiple",,0,1993,1993,1594.4,1993,1594.4,1893.35,1933.21,1634.26,,1933.21,1893.35,Roundup_Memorial_Healthcare
40200034_1,RMH UPPER GI ENDOSCOPY W/BIOPSY,Inpatient,750,43239,"Esophagogastroduodenoscopy, flexible, transoral; with biopsy, single or multiple",,0,1993,1993,1594.4,1993,1793.7,1893.35,1933.21,1634.26,,1933.21,1893.35,Roundup_Memorial_Healthcare
40200035_1,RMH COLONOSCOPY SCREENING (HIGH RISK),Ambulatory Surgical,750,G0105,Colorectal scrn; hi risk ind,,0,2427,2427,1941.6,2427,1941.6,2305.65,2354.19,1990.14,,2354.19,2305.65,Roundup_Memorial_Healthcare
40200035_1,RMH COLONOSCOPY SCREENING (HIGH RISK),Inpatient,750,G0105,Colorectal scrn; hi risk ind,,0,2427,2427,1941.6,2427,2184.3,2305.65,2354.19,1990.14,,2354.19,2305.65,Roundup_Memorial_Healthcare
40200036_1,RMH COLONOSCOPY SCREENING (NO HIGH RISK),Ambulatory Surgical,750,G0121,Colon ca scrn not hi rsk ind,,0,2166,2166,1732.8,2166,1732.8,2057.7,2101.02,1776.12,,2101.02,2057.7,Roundup_Memorial_Healthcare
40200036_1,RMH COLONOSCOPY SCREENING (NO HIGH RISK),Inpatient,750,G0121,Colon ca scrn not hi rsk ind,,0,2166,2166,1732.8,2166,1949.4,2057.7,2101.02,1776.12,,2101.02,2057.7,Roundup_Memorial_Healthcare
40200050_1,32551 ED PROC CHEST TUBE PLCMNT- HOSPITAL,Emergency,450,32551,"Tube thoracostomy, includes connection to drainage system (eg, water seal), when performed, open (separate procedure)",,0,1108,1108,886.4,1108,886.4,1052.6,1074.76,908.56,,1074.76,1052.6,Roundup_Memorial_Healthcare
40200050_1,32551 ED PROC CHEST TUBE PLCMNT- HOSPITAL,Inpatient,450,32551,"Tube thoracostomy, includes connection to drainage system (eg, water seal), when performed, open (separate procedure)",,0,1108,1108,886.4,1108,997.2,1052.6,1074.76,908.56,,1074.76,1052.6,Roundup_Memorial_Healthcare
40500018_1,COLD PK INSTANT__MDS137000,Inpatient,271,,,,0,7,7,5.6,7,6.3,6.65,6.79,5.74,,6.79,6.65,Roundup_Memorial_Healthcare
40500018_1,COLD PK INSTANT__MDS137000,Outpatient,271,,,,0,7,7,5.6,7,5.6,6.65,6.79,5.74,,6.79,6.65,Roundup_Memorial_Healthcare
40500019_1,HOT PK INSTANT__MDS138005,Inpatient,271,,,,0,6,6,4.8,6,5.4,5.7,5.82,4.92,,5.82,5.7,Roundup_Memorial_Healthcare
40500019_1,HOT PK INSTANT__MDS138005,Outpatient,271,,,,0,6,6,4.8,6,4.8,5.7,5.82,4.92,,5.82,5.7,Roundup_Memorial_Healthcare
40500043_1,BANDAGE GAUZE 4 X 4 STERILE__NON21420,Inpatient,272,,,,0,9,9,7.2,9,8.1,8.55,8.73,7.38,,8.73,8.55,Roundup_Memorial_Healthcare
40500043_1,BANDAGE GAUZE 4 X 4 STERILE__NON21420,Outpatient,272,,,,0,9,9,7.2,9,7.2,8.55,8.73,7.38,,8.73,8.55,Roundup_Memorial_Healthcare
40500054_1,ATTENDS BRIEF SM__BRBOX10,Inpatient,271,,,,0,57,57,45.6,57,51.3,54.15,55.29,46.74,,55.29,54.15,Roundup_Memorial_Healthcare
40500054_1,ATTENDS BRIEF SM__BRBOX10,Outpatient,271,,,,0,57,57,45.6,57,45.6,54.15,55.29,46.74,,55.29,54.15,Roundup_Memorial_Healthcare
40500056_1,ATTENDS BRIEF MED__BRB20,Inpatient,271,,,,0,54,54,43.2,54,48.6,51.3,52.38,44.28,,52.38,51.3,Roundup_Memorial_Healthcare
40500056_1,ATTENDS BRIEF MED__BRB20,Outpatient,271,,,,0,54,54,43.2,54,43.2,51.3,52.38,44.28,,52.38,51.3,Roundup_Memorial_Healthcare
40500075_1,AIRWAY 90MM MED ADDL__689187,Inpatient,271,,,,0,5,5,4,5,4.5,4.75,4.85,4.1,,4.85,4.75,Roundup_Memorial_Healthcare
40500075_1,AIRWAY 90MM MED ADDL__689187,Outpatient,271,,,,0,5,5,4,5,4,4.75,4.85,4.1,,4.85,4.75,Roundup_Memorial_Healthcare
40500083_1,BANDAGE ABD PD__NON21453,Inpatient,272,,,,0,5,5,4,5,4.5,4.75,4.85,4.1,,4.85,4.75,Roundup_Memorial_Healthcare
40500083_1,BANDAGE ABD PD__NON21453,Outpatient,272,,,,0,5,5,4,5,4,4.75,4.85,4.1,,4.85,4.75,Roundup_Memorial_Healthcare
40500086_1,DRESSING TELFA 3 X 4__2132,Inpatient,272,,,,0,9,9,7.2,9,8.1,8.55,8.73,7.38,,8.73,8.55,Roundup_Memorial_Healthcare
40500086_1,DRESSING TELFA 3 X 4__2132,Outpatient,272,,,,0,9,9,7.2,9,7.2,8.55,8.73,7.38,,8.73,8.55,Roundup_Memorial_Healthcare
40500088_1,BANDAGE ADAPTIC 3 X 3__2012,Inpatient,272,,,,0,5,5,4,5,4.5,4.75,4.85,4.1,,4.85,4.75,Roundup_Memorial_Healthcare
40500088_1,BANDAGE ADAPTIC 3 X 3__2012,Outpatient,272,,,,0,5,5,4,5,4,4.75,4.85,4.1,,4.85,4.75,Roundup_Memorial_Healthcare
40500089_1,BANDAGE ADAPTIC 3 X 8__2013,Inpatient,272,,,,0,9,9,7.2,9,8.1,8.55,8.73,7.38,,8.73,8.55,Roundup_Memorial_Healthcare
40500089_1,BANDAGE ADAPTIC 3 X 8__2013,Outpatient,272,,,,0,9,9,7.2,9,7.2,8.55,8.73,7.38,,8.73,8.55,Roundup_Memorial_Healthcare
40500090_1,BANDAGE ADAPTIC 3 X 16__2014,Inpatient,272,,,,0,9,9,7.2,9,8.1,8.55,8.73,7.38,,8.73,8.55,Roundup_Memorial_Healthcare
40500090_1,BANDAGE ADAPTIC 3 X 16__2014,Outpatient,272,,,,0,9,9,7.2,9,7.2,8.55,8.73,7.38,,8.73,8.55,Roundup_Memorial_Healthcare
40500091_1,"BANDAGE STERI-STRIP 1/4""__A1846",Inpatient,272,,,,0,8,8,6.4,8,7.2,7.6,7.76,6.56,,7.76,7.6,Roundup_Memorial_Healthcare
40500091_1,"BANDAGE STERI-STRIP 1/4""__A1846",Outpatient,272,,,,0,8,8,6.4,8,6.4,7.6,7.76,6.56,,7.76,7.6,Roundup_Memorial_Healthcare
40500094_1,BANDAGE TEGADERM 2 X 3__1683,Inpatient,272,A6257,Transparent film <= 16 sq in,,0,6,6,4.8,6,5.4,5.7,5.82,4.92,,5.82,5.7,Roundup_Memorial_Healthcare
40500094_1,BANDAGE TEGADERM 2 X 3__1683,Outpatient,272,A6257,Transparent film <= 16 sq in,,0,6,6,4.8,6,4.8,5.7,5.82,4.92,,5.82,5.7,Roundup_Memorial_Healthcare
