Charge Master Code,Description,Invoice Label,Dynamic Pricing,Price,Soft Code,HCPCS Code,HCPCS Multiplier,Revenue Code,Effective Date,Expiration Date,Department,Fractional Billing,Minimum Price,Default Cost,Cost Multiplier,Charge Code Type,hospital
2012,ER ROOM CHARGE - LEVEL 5,ER ROOM CHARGE - LEVEL 5,,500.0,,99285,1.0,450,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
2013,INDWELLING BLADDER CATHETER  INSER,INDWELLING BLADDER CATHETER  INSER,,205.0,,51702,1.0,761,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
2014,MODERATE SEDATION EACH ADDIT 15 MIN,MODERATE SEDATION EACH ADDIT 15 MIN,,750.0,,99153,1.0,450,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
2015,MODERATE SEDATION INITIAL 15 MIN <5YRS,MODERATE SEDATION INITIAL 15 MIN <5YRS,,1100.0,,99152,1.0,450,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
2016,MODERATE SEDATION INITIAL 15 MIN >5YS,MODERATE SEDATION INITIAL 15 MIN >5YS,,1100.0,,99151,1.0,450,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
2017,STRAIGHT CATH IN ER,STRAIGHT CATH IN ER,,195.0,,51701,1.0,761,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3001,APPLICATION SHORT LEG CAST NON WA,APPLICATION SHORT LEG CAST NON WA,,217.0,,29405,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3002,APPLICATION SHORT LEG CAST WALKING,APPLICATION SHORT LEG CAST WALKING,,238.0,,29425,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3003,APPLICATION SHORT LEG SPLINT,APPLICATION SHORT LEG SPLINT,,147.0,,29515,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3004,BIOSPY SOFT TISSUE LEG ANKLE,BIOSPY SOFT TISSUE LEG ANKLE,,477.88,,27613,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3005,CAST APP OF HAND AND LOWER FOREAR,CAST APP OF HAND AND LOWER FOREAR,,191.0,,29085,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3006,CAST APPLICATION OF LONG ARM,CAST APPLICATION OF LONG ARM,,215.0,,29065,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3010,CLSD TMT DISLOCATION JOINT,CLSD TMT DISLOCATION JOINT,,522.72,,26770,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3011,CLSD TMT METACARPAL DISL W/MANIP,CLSD TMT METACARPAL DISL W/MANIP,,611.74,,26700,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3012,CONTROL NASAL HEM POSTERIOR INITIAL,CONTROL NASAL HEM POSTERIOR INITIAL,,491.27,,30905,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3013,CONTROL NASAL HEMORRHAGE,CONTROL NASAL HEMORRHAGE,,392.88,,30903,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3016,DRAINAGE OF FINGER ABSCESS SIMPLE,DRAINAGE OF FINGER ABSCESS SIMPLE,,501.31,,26010,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3017,DRESS DEBRIDE LEG,DRESS DEBRIDE LEG,,349.0,,16030,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3018,DRSG DEBRIDMENT MEDIUM 5% TO 10%,DRSG DEBRIDMENT MEDIUM 5% TO 10%,,281.78,,16025,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3019,DRSG DEBRIDMENT PARTIAL THCKNS BUR,DRSG DEBRIDMENT PARTIAL THCKNS BUR,,155.28,,16020,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3020,ER CARE LEVEL 1,ER CARE LEVEL 1,,150.0,,99281,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3021,ER CARE LEVEL 2,ER CARE LEVEL 2,,175.0,,99282,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3022,ER CARE LEVEL 3,ER CARE LEVEL 3,,225.0,,99283,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3023,ER CARE LEVEL 4,ER CARE LEVEL 4,,350.0,,99284,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3024,ER CARE LEVEL 5,ER CARE LEVEL 5,,475.0,,99285,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3025,ER OB DELIVERY  PRO FEE,ER OB DELIVERY  PRO FEE,,2500.0,,99464,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3026,EXCISION LESION CYST GANGLION,EXCISION LESION CYST GANGLION,,911.59,,28090,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3027,FINGER SPLINT,FINGER SPLINT,,80.0,,29130,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3028,FOREIGN BODY REMOVAL EYE,FOREIGN BODY REMOVAL EYE,,141.0,,65205,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3029,FOREIGN BODY REMOVAL SIMPLE,FOREIGN BODY REMOVAL SIMPLE,,387.52,,20520,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3035,I&D ABSCESS  SIMPLE  SINGLE,I&D ABSCESS  SIMPLE  SINGLE,,221.54,,10060,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3036,INDWELLING BLADDER CATH INSERTION,INDWELLING BLADDER CATH INSERTION,,205.0,,51702,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3037,INITIAL TRMT 1ST DEGREE BURN,INITIAL TRMT 1ST DEGREE BURN,,130.51,,16000,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3042,LAC REPAIR COMPLEX TRUNK 1.1-2.5C,LAC REPAIR COMPLEX TRUNK 1.1-2.5C,,631.82,,13100,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3043,LAC REPAIR COMPLX ARM LEG 1.1-2.5 C,LAC REPAIR COMPLX ARM LEG 1.1-2.5 C,,660.6,,13120,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3044,LAC REPAIR COMPLX ARM LEG 2.6-7.5 C,LAC REPAIR COMPLX ARM LEG 2.6-7.5 C,,805.17,,13121,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3045,LAC REPAIR COMPLX EAR NOSE LIP 2.6-7C,LAC REPAIR COMPLX EAR NOSE LIP 2.6-7C,,1059.0,,13152,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3046,LAC REPAIR COMPLX EAR NOSE LIP TO 1.0C,LAC REPAIR COMPLX EAR NOSE LID TO 1.0C,,798.47,,13150,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3047,LAC REPAIR COMPLX EYE NOSE EAR 1.1-2.5C,LAC REPAIR COMPLX EYE NOSE EAR 1.1-2.5C,,798.47,,13151,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3048,LAC REPAIR COMPLX FACIAL 1.2-2.5 C,LAC REPAIR COMPLX FACIAL 1.2-2.5 C,,727.53,,13131,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3049,LAC REPAIR COMPLX FACIAL 2.6-7.5C,LAC REPAIR COMPLX FACIAL 2.6-7.5C,,900.21,,13132,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3050,LAC REPAIR COMPLX TRUNK 2.6-7.5 C,LAC REPAIR COMPLX TRUNK 2.6-7.5 C,,746.94,,13101,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3051,LAC REPAIR FACIAL 12.6 TO 20.0 C,LAC REPAIR FACIAL 12.6 TO 20.0 C,,500.0,,12016,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3052,LAC REPAIR FACIAL 5.1-7.5 C,LAC REPAIR FACIAL 5.1-7.5 C,,329.0,,12014,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3053,LAC REPAIR FACIAL UP TO 2.5 C,LAC REPAIR FACIAL UP TO 2.5 C,,236.0,,12011,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3054,LAC REPAIR INTERMED 7.6CM-12.5C,LAC REPAIR INTERMED 7.6CM-12.5C,,588.98,,12034,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3055,LAC REPAIR INTERMED FACIAL 2.6-5.0 C,LAC REPAIR INTERMED FACIAL 2.6-5.0 C,,554.85,,12052,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3056,LAC REPAIR INTERMED FACIAL 5.1-7.5 C,LAC REPAIR INTERMED FACIAL 5.1-7.5 C,,652.57,,12053,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3057,LAC REPAIR INTERMED FACIAL TO 2.5 C,LAC REPAIR INTERMED FACIAL TO 2.5 C,,486.58,,12051,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3058,LAC REPAIR INTERMED NECK HAND FT TO2.5C,LAC REPAIR INTERMED NECK HAND FT TO2.5C,,456.46,,12041,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3059,LAC REPAIR INTERMED TRUCK 12.6-20.0C,LAC REPAIR INTERMED TRUCK 12.6-20.0C,,722.84,,12035,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3060,LAC REPAIR INTERMED TRUNK ARM LEG 2.6-7C,LAC REPAIR INTERMED TRUNK ARM LEG 2.6-7C,,571.58,,12032,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3061,LAC REPAIR INTERMED TRUNK TO 2.5 C,LAC REPAIR INTERMED TRUNK TO 2.5 C,,447.09,,12031,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3062,LAC REPAIR LAYER CLOSURE OF WOUND,LAC REPAIR LAYER CLOSURE OF WOUND,,456.46,,12041,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3063,LAC REPAIR NON FACIAL 2.6-7.5C,LAC REPAIR NON FACIAL 2.6-7.5C,,249.0,,12002,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3064,LAC REPAIR NON FACIAL 7.6-12.5C,LAC REPAIR NON FACIAL 7.6-12.5C,,299.0,,12004,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3065,LAC REPAIR NON FACIAL TO 2.5 C,LAC REPAIR NON FACIAL TO 2.5 C,,228.0,,12001,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3066,LAC REPAIR SCALP TRUNK NECK,LAC REPAIR SCALP TRUNK NECK,,464.0,,12006,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3067,LAC REPAIR SIMPE 2.6 CM TO 5.0 CM,LAC REPAIR SIMPE 2.6 CM TO 5.0 CM,,281.0,,12013,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3068,LAC REPAIR SIMPLE 12.6 TO 20.0 C,LAC REPAIR SIMPLE 12.6 TO 20.0 C,,373.0,,12005,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3069,LAC REPAIR SIMPLE FACIAL 7.6-12.5C,LAC REPAIR SIMPLE FACIAL 7.6-12.5C,,413.0,,12015,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3070,LAC REPAIR TRUNK OR EXTREM 20.1-30.0C,LAC REPAIR TRUNK OR EXTREM 20.1-30.0C,,794.46,,12036,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3071,LAYER CLSR FACE EARS EYES 7.6-12.5,LAYER CLSR FACE EARS EYES 7.6-12.5,,694.73,,12054,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3072,LAYER CLSR INTERMED NON FACIAL 2.6-7.5C,LAYER CLSR INTERMED NON FACIAL 2.6-7.5C,,544.81,,12042,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3073,LAYER CLSR INTERMED NON FACIAL UP TO 7.6C,LAYER CLSR INTERMED NON FACIAL UP TO 7.6C,,679.34,,12044,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3074,LAYER CLSR NECK HANDS FEET 2.5 C,LAYER CLSR NECK HANDS FEET 2.5 C,,765.68,,12045,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3075,LONG LEG SPLINT THGH TO ANKLE APPLIC,LONG LEG SPLINT THGH TO ANKLE APPLIC,,177.0,,29505,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3076,NASAL PACKING ANTE AND OR CAUTERY,NASAL PACKING ANTE AND OR CAUTERY,,200.0,,30901,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3084,OUT PATIENT VISIT,OUT PATIENT VISIT,,100.0,,99211,1.0,982,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3085,PERITONEOCENTESIS INITIAL,PERITONEOCENTESIS INITIAL,,302.0,,49080,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3086,PROLONG TIME INPT OFFICE,PROLONG TIME INPT OFFICE,,188.07,,99354,1.0,983,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3087,PUNCTURE ASP ABSCESS HEMA CYST,PUNCTURE ASP ABSCESS HEMA CYST,,246.97,,10160,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3088,REMOVAL FOREIGN BODY ARM ELBOW SUBCU,REMOVAL FOREIGN BODY ARM ELBOW SUBCU,,395.56,,24200,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3089,REMOVAL FOREIGN BODY EAR W/O ANEST,REMOVAL FOREIGN BODY EAR W/O ANEST,,234.26,,69200,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3090,REMOVAL FOREIGN BODY EXTERNAL EYE,REMOVAL FOREIGN BODY EXTERNAL EYE,,141.0,,65205,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3091,REMOVAL FOREIGN BODY FOOT SUBC,REMOVAL FOREIGN BODY FOOT SUBC,,495.28,,28190,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3092,REMOVAL FOREIGN BODY INTERPHAL JNT,REMOVAL FOREIGN BODY INTERPHAL JNT,,1042.0,,26080,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3093,REMOVAL FOREIGN BODY PELVIS OR HIP,REMOVAL FOREIGN BODY PELVIS OR HIP,,564.22,,27086,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3094,REMOVAL FOREIGN BODY THIGH KNEE,REMOVAL FOREIGN BODY THIGH KNEE,,1163.24,,27372,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3095,SHORT ARM CAST APPLICATION,SHORT ARM CAST APPLICATION,,190.0,,29075,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3096,STRAPPING-SHOULDER VALPEAU,STRAPPING-SHOULDER VALPEAU,,92.0,,29240,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3106,TRAUMA ACTIVATION FEE,TRAUMA ACTIVATION FEE,,1233.0,,G0390,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3107,TRIGGER POINT INJ SINGLE OR MULTI,TRIGGER POINT INJ SINGLE OR MULTI,,138.0,,20552,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
3109,UNNA BOOT APPLICATION,UNNA BOOT APPLICATION,,107.0,,29580,1.0,981,2017-06-06,,EMERGENCY DEPARTMENT,,,,,Standard,Granite_County_Medical_Center
4002,SPIROMETRY PREPOST BRONCHIDILATO,SPIROMETRY PREPOST BRONCHIDILATO,,132.0,,94060,1.0,460,2017-06-06,,CC_PFT,,,,,Standard,Granite_County_Medical_Center
5459,ADHESIVE SKIN TOPICAL .7ML    STERILE DERMABOND ADVANCED,ADHESIVE SKIN TOPICAL,,184.0,,G0168,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5292,ADHESIVE SKIN TOPICAL MINI    .36ML HIGH VISCOSITY DERMABOND,ADHESIVE SKIN TOPICAL,,184.0,,G0168,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5201,ANKLE SPLINT MED              **DISC BY MFG-NO REPLACEMENT**,ANKLE SPLINT MED,,86.25,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5427,APPLICATOR SILVER NITRATE 6IN WOOD SHAFT GRAFCO,APPLICATOR SILVER NITRATE,,15.25,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5422,BAG DRAIN URINE 2000ML STERILECENTER ENTRY ANTI-REFLUX,BAG DRAIN URINE,,12.5,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5280,BAG EMESIS BLUE NONSTERILE    40OZ 1000ML,BAG EMESIS,,10.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5326,BAG EMESIS W/ TWIST CLOSURE   LATEX FREE  SIC-SAK,BAG EMESIS,,10.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5259,BAG LEG URINARY 900ML LATEX   FREE W/ TWIST VALVE,BAG LEG URINARY,,10.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5293,BANDAGE ADHESIVE 2X3IN PATCH  FABRIC COVERLET,BANDAGE ADH,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5406,BANDAGE ADHESIVE 3/4X3IN      STERILE NEON ASSORTED COLOR,BANDAGE ADH,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5111,BANDAGE ADHESIVE 3/4X3IN STRIPCOVERLET,BANDAGE ADH,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5467,BANDAGE STRETCH CONFORM 4X75INSTERILE SOFT POUCH,BANDAGE STRETCH,,12.5,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5215,BASIN WASH RECTANGULAR 6QUART DUSTY ROSE,BASIN WASH,,8.8,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5175,BASIN WASH RECTANGULAR 8QUART GRAPHITE 10X13 1/4X3 3/4IN,BASIN WASH,,8.8,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5418,BATTERY RECHARGEABLE 3.5VOLT  NICKEL CADMIUM,BATTERY RECHARGEABLE,,55.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5423,"BEDSIDE UTILITY BAG POLY      7X11""""100X20/CA",BEDSIDE UTILITY BAG,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5443,BENZOIN TINCTURE COMPOUND     2/3CC VIAL STERI-STRIP BRAND,BENZOIN TINCTURE,,5.75,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5248,BOOT WALKER HIGHTIDE MEDIUM   ROCKER BOTTOM CROSS STRAPPING,BOOT WALKER,,157.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5224,BOOT WALKER LARGE ROCKER SOLE F11+ M10+ PROSTEP,BOOT WALKER,,100.2,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5378,BOOT WALKER MEDIUM ROCKER SOLEF7 TO 11 M6 TO 10 PROSTEP,BOOT WALKER,,100.2,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5466,BOOT WALKER SMALL ROCKER SOLE F UP TO 7 M UP TO 6 PROSTEP,BOOT WALKER,,100.2,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5115,BOOT WALKER XLARGE CLOSED HEELPNEUMATIC AIR INLINE,BOOT WALKER,,162.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5205,BRACE ANKLE ASO BLACK LARGE,BRACE ANKLE ASO,,94.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5227,BRACE ANKLE ASO BLACK XLARGE,BRACE ANKLE ASO,,94.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5469,BRACE ANKLE MEDIUM LACE-UP    8 1/2-10IN,BRACE ANKLE  LACE-UP,,49.2,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5107,BRACE ANKLE SMALL RIGHT       AIRCAST AIR-STIRRUP,BRACE ANKLE AIRCAST,,94.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5145,BRACE ANKLE WEB LARGE         ACUTEBRACE/SPORTS SUPPORT,BRACE ANKLE,,86.25,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5298,BRACE ANKLE WEB XLARGE        ACUTEBRACE/SPORTS SUPPORT,BRACE ANKLE,,86.25,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5132,BRACE ANKLE XLARGE LEFT       AIRSPORT AIRCAST,BRACE ANKLE,,90.85,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5334,BRACE ANKLE XLARGE RIGHT      AIRSPORT AIRCAST,BRACE ANKLE,,90.85,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5188,BRACE WRIST ELASTIC LARGE LEFT,BRACE WRIST E,,30.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
