Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,Allegiance,ALLEGIANCE_MEDICARE_RBPHP,BCBSMT_HEALTHLINK,BCBSMT_TRADITIONAL,Indian_Health_Svcs_,PACIFIC_SOURCE_,hospital
1176080_1,"Interp Anti-C3b,C3d DAT",Outpatient,302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,85.75,64.31,50.59,145.47,81.46,145.47,79.75,85.75,50.59,81.46,Poplar_Community_Hospital
1360073_1,UIBC,Inpatient,301,83550,Iron binding capacity,,0,88.5,66.38,52.22,150.13,84.08,84.08,82.31,88.5,,84.08,Poplar_Community_Hospital
1360073_1,UIBC,Outpatient,301,83550,Iron binding capacity,,0,88.5,66.38,52.22,150.13,84.08,150.13,82.31,88.5,52.22,84.08,Poplar_Community_Hospital
1364072_1,"Cholesterol, Fluid (Regional)",Inpatient,301,84311,"Spectrophotometry, analyte not elsewhere specified",,0,78,58.5,46.02,132.32,74.1,74.1,72.54,78,,74.1,Poplar_Community_Hospital
1364072_1,"Cholesterol, Fluid (Regional)",Outpatient,301,84311,"Spectrophotometry, analyte not elsewhere specified",,0,78,58.5,46.02,132.32,74.1,132.32,72.54,78,46.02,74.1,Poplar_Community_Hospital
1364073_1,"Inactive Lactic Acid, Fluid",Inpatient,,,,,0,202.75,152.06,119.62,343.95,192.61,192.61,188.56,202.75,,192.61,Poplar_Community_Hospital
1364073_1,"Inactive Lactic Acid, Fluid",Outpatient,,,,,0,202.75,152.06,119.62,343.95,192.61,343.95,188.56,202.75,119.62,192.61,Poplar_Community_Hospital
1402127_1,"Hemoglobin Hemocue, Nursing",Inpatient,300,85018,Blood count; hemoglobin (Hgb),,0,39,29.25,23.01,66.16,37.05,37.05,36.27,39,,37.05,Poplar_Community_Hospital
1402127_1,"Hemoglobin Hemocue, Nursing",Outpatient,300,85018,Blood count; hemoglobin (Hgb),,0,39,29.25,23.01,66.16,37.05,66.16,36.27,39,23.01,37.05,Poplar_Community_Hospital
1420072_1,"Blood Gas Panel, Cord Art",Inpatient,301,82805,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry",,0,229.25,171.94,135.26,388.9,217.79,217.79,213.2,229.25,,217.79,Poplar_Community_Hospital
1420072_1,"Blood Gas Panel, Cord Art",Outpatient,301,82805,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry",,0,229.25,171.94,135.26,388.9,217.79,388.9,213.2,229.25,135.26,217.79,Poplar_Community_Hospital
1424072_1,"Blood Gas Panel, Cord Ven",Inpatient,301,82805,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry",,0,172.75,129.56,101.92,293.05,164.11,164.11,160.66,172.75,,164.11,Poplar_Community_Hospital
1424072_1,"Blood Gas Panel, Cord Ven",Outpatient,301,82805,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry",,0,172.75,129.56,101.92,293.05,164.11,293.05,160.66,172.75,101.92,164.11,Poplar_Community_Hospital
1444135_1,"Metanephrines, Fract Random Ur",Inpatient,301,83835,Metanephrines,,0,304.5,228.38,179.66,516.55,289.28,289.28,283.19,304.5,,289.28,Poplar_Community_Hospital
1444135_1,"Metanephrines, Fract Random Ur",Outpatient,301,83835,Metanephrines,,0,304.5,228.38,179.66,516.55,289.28,516.55,283.19,304.5,179.66,289.28,Poplar_Community_Hospital
1446074_1,"Platelet, Reticulated Count (YPI)",Inpatient,305,85055,Reticulated platelet assay,,0,187.75,140.81,110.77,318.5,178.36,178.36,174.61,187.75,,178.36,Poplar_Community_Hospital
1446074_1,"Platelet, Reticulated Count (YPI)",Outpatient,305,85055,Reticulated platelet assay,,0,187.75,140.81,110.77,318.5,178.36,318.5,174.61,187.75,110.77,178.36,Poplar_Community_Hospital
1456077_1,CT 3D Rendering/Modality Software,Inpatient,350,76376,"3D rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality with image postprocessing under concurrent supervision; not requiring image postprocessing on an independent workstation",,0,536,402,316.24,909.27,509.2,509.2,498.48,536,,509.2,Poplar_Community_Hospital
1456077_1,CT 3D Rendering/Modality Software,Outpatient,350,76376,"3D rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality with image postprocessing under concurrent supervision; not requiring image postprocessing on an independent workstation",,0,536,402,316.24,909.27,509.2,909.27,498.48,536,316.24,509.2,Poplar_Community_Hospital
1460081_1,InactiveCMV DNA Quant PCR (Focus 45050),Inpatient,,,,,0,665.5,499.13,392.65,1128.95,632.23,632.23,618.92,665.5,,632.23,Poplar_Community_Hospital
1460081_1,InactiveCMV DNA Quant PCR (Focus 45050),Outpatient,,,,,0,665.5,499.13,392.65,1128.95,632.23,1128.95,618.92,665.5,392.65,632.23,Poplar_Community_Hospital
1490075_1,XR Non Ionic Contrast 300/399 per ml,Inpatient,255,Q9967,"Locm 300-399mg/ml iodine,1ml",,1,108.5,81.38,64.02,184.06,103.08,103.08,100.91,108.5,,103.08,Poplar_Community_Hospital
1490075_1,XR Non Ionic Contrast 300/399 per ml,Outpatient,255,Q9967,"Locm 300-399mg/ml iodine,1ml",,1,108.5,81.38,64.02,184.06,103.08,184.06,100.91,108.5,64.02,103.08,Poplar_Community_Hospital
1490077_1,CT Non Ionic Contrast 300/399 per ml,Inpatient,255,Q9967,"Locm 300-399mg/ml iodine,1ml",,1,108.5,81.38,64.02,184.06,103.08,103.08,100.91,108.5,,103.08,Poplar_Community_Hospital
1490077_1,CT Non Ionic Contrast 300/399 per ml,Outpatient,255,Q9967,"Locm 300-399mg/ml iodine,1ml",,1,108.5,81.38,64.02,184.06,103.08,184.06,100.91,108.5,64.02,103.08,Poplar_Community_Hospital
1528084_1,"Bill Surg, Morph Anal Semi Qnt 88360",Inpatient,310,88360,"Morphometric analysis, tumor immunohistochemistry (eg, Her-2/neu, estrogen receptor/progesterone receptor), quantitative or semiquantitative, per specimen, each single antibody stain procedure; manual",,0,411.75,308.81,242.93,698.49,391.16,391.16,382.93,411.75,,391.16,Poplar_Community_Hospital
1528084_1,"Bill Surg, Morph Anal Semi Qnt 88360",Outpatient,310,88360,"Morphometric analysis, tumor immunohistochemistry (eg, Her-2/neu, estrogen receptor/progesterone receptor), quantitative or semiquantitative, per specimen, each single antibody stain procedure; manual",,0,411.75,308.81,242.93,698.49,391.16,698.49,382.93,411.75,242.93,391.16,Poplar_Community_Hospital
1530078_1,UA Micro Reflex Culture,Inpatient,307,81015,Urinalysis; microscopic only,,0,33,24.75,19.47,55.98,31.35,31.35,30.69,33,,31.35,Poplar_Community_Hospital
1530078_1,UA Micro Reflex Culture,Outpatient,307,81015,Urinalysis; microscopic only,,0,33,24.75,19.47,55.98,31.35,55.98,30.69,33,19.47,31.35,Poplar_Community_Hospital
1530079_1,UA Complete Reflex Culture,Inpatient,307,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,54.5,40.88,32.16,92.45,51.78,51.78,50.69,54.5,,51.78,Poplar_Community_Hospital
1530079_1,UA Complete Reflex Culture,Outpatient,307,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,54.5,40.88,32.16,92.45,51.78,92.45,50.69,54.5,32.16,51.78,Poplar_Community_Hospital
1530085_1,UA Routine Reflex Culture,Inpatient,307,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,34.75,26.06,20.5,58.95,33.01,33.01,32.32,34.75,,33.01,Poplar_Community_Hospital
1530085_1,UA Routine Reflex Culture,Outpatient,307,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,34.75,26.06,20.5,58.95,33.01,58.95,32.32,34.75,20.5,33.01,Poplar_Community_Hospital
1540072_1,HCV Reflex HCV RT-PCR Quant,Inpatient,302,86803,Hepatitis C antibody,,0,163.75,122.81,96.61,277.79,155.56,155.56,152.29,163.75,,155.56,Poplar_Community_Hospital
1540072_1,HCV Reflex HCV RT-PCR Quant,Outpatient,302,86803,Hepatitis C antibody,,0,163.75,122.81,96.61,277.79,155.56,277.79,152.29,163.75,96.61,155.56,Poplar_Community_Hospital
1562076_1,Culture Sputum Legionella,Inpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,72.25,54.19,42.63,122.56,68.64,68.64,67.19,72.25,,68.64,Poplar_Community_Hospital
1562076_1,Culture Sputum Legionella,Outpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,72.25,54.19,42.63,122.56,68.64,122.56,67.19,72.25,42.63,68.64,Poplar_Community_Hospital
1566072_1,"Inactive Charge TSH, PKU Newborn",Inpatient,,,,,0,177.25,132.94,104.58,300.69,168.39,168.39,164.84,177.25,,168.39,Poplar_Community_Hospital
1566072_1,"Inactive Charge TSH, PKU Newborn",Outpatient,,,,,0,177.25,132.94,104.58,300.69,168.39,300.69,164.84,177.25,104.58,168.39,Poplar_Community_Hospital
1600072_1,"EBV DNA Detect/Quant, P (Mayo EBVQN)",Inpatient,306,87799,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; quantification, each organism",,0,135.25,101.44,79.8,229.44,128.49,128.49,125.78,135.25,,128.49,Poplar_Community_Hospital
1600072_1,"EBV DNA Detect/Quant, P (Mayo EBVQN)",Outpatient,306,87799,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; quantification, each organism",,0,135.25,101.44,79.8,229.44,128.49,229.44,125.78,135.25,79.8,128.49,Poplar_Community_Hospital
1622073_1,"Clostridium Difficile A and B, Regional",Inpatient,306,87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Clostridium difficile toxin(s)",,0,171.5,128.63,101.19,290.93,162.93,162.93,159.5,171.5,,162.93,Poplar_Community_Hospital
1622073_1,"Clostridium Difficile A and B, Regional",Outpatient,306,87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Clostridium difficile toxin(s)",,0,171.5,128.63,101.19,290.93,162.93,290.93,159.5,171.5,101.19,162.93,Poplar_Community_Hospital
1628073_1,RBC LR IR CPD E0179,Inpatient,390,P9040,Rbc leukoreduced irradiated,,0,1275.5,956.63,752.55,2163.76,1211.73,1211.73,1186.22,1275.5,,1211.73,Poplar_Community_Hospital
1628073_1,RBC LR IR CPD E0179,Outpatient,390,P9040,Rbc leukoreduced irradiated,,0,1275.5,956.63,752.55,2163.76,1211.73,2163.76,1186.22,1275.5,752.55,1211.73,Poplar_Community_Hospital
1628075_1,RBC LR AS3 E0382,Inpatient,390,P9016,Rbc leukocytes reduced,,0,668,501,394.12,1133.2,634.6,634.6,621.24,668,,634.6,Poplar_Community_Hospital
1628075_1,RBC LR AS3 E0382,Outpatient,390,P9016,Rbc leukocytes reduced,,0,668,501,394.12,1133.2,634.6,1133.2,621.24,668,394.12,634.6,Poplar_Community_Hospital
1670073_1,Culture Blood Line,Inpatient,306,87040,"Culture, bacterial; blood, aerobic, with isolation and presumptive identification of isolates (includes anaerobic culture, if appropriate)",,0,137.5,103.13,81.13,233.26,130.63,130.63,127.88,137.5,,130.63,Poplar_Community_Hospital
1670073_1,Culture Blood Line,Outpatient,306,87040,"Culture, bacterial; blood, aerobic, with isolation and presumptive identification of isolates (includes anaerobic culture, if appropriate)",,0,137.5,103.13,81.13,233.26,130.63,233.26,127.88,137.5,81.13,130.63,Poplar_Community_Hospital
1712073_1,RBC LR IR AS3 E0379,Inpatient,390,P9040,Rbc leukoreduced irradiated,,0,1275.5,956.63,752.55,2163.76,1211.73,1211.73,1186.22,1275.5,,1211.73,Poplar_Community_Hospital
1712073_1,RBC LR IR AS3 E0379,Outpatient,390,P9040,Rbc leukoreduced irradiated,,0,1275.5,956.63,752.55,2163.76,1211.73,2163.76,1186.22,1275.5,752.55,1211.73,Poplar_Community_Hospital
1896073_1,Auto Diff,Inpatient,305,85025,"Blood count; complete (CBC), automated (Hgb, Hct, RBC, WBC and platelet count) and automated differential WBC count",,0,97.5,73.13,57.53,165.4,92.63,92.63,90.68,97.5,,92.63,Poplar_Community_Hospital
1896073_1,Auto Diff,Outpatient,305,85025,"Blood count; complete (CBC), automated (Hgb, Hct, RBC, WBC and platelet count) and automated differential WBC count",,0,97.5,73.13,57.53,165.4,92.63,165.4,90.68,97.5,57.53,92.63,Poplar_Community_Hospital
1908081_1,Brucella,Inpatient,302,86622,Antibody; Brucella,,0,129.75,97.31,76.55,220.11,123.26,123.26,120.67,129.75,,123.26,Poplar_Community_Hospital
1908081_1,Brucella,Outpatient,302,86622,Antibody; Brucella,,0,129.75,97.31,76.55,220.11,123.26,220.11,120.67,129.75,76.55,123.26,Poplar_Community_Hospital
1926074_1,"Norovirus Testing, State",Inpatient,306,87798,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism",,0,277.75,208.31,163.87,471.18,263.86,263.86,258.31,277.75,,263.86,Poplar_Community_Hospital
1926074_1,"Norovirus Testing, State",Outpatient,306,87798,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism",,0,277.75,208.31,163.87,471.18,263.86,471.18,258.31,277.75,163.87,263.86,Poplar_Community_Hospital
2080072_1,Culture Rectal VRE,Inpatient,306,87046,"Culture, bacterial; stool, aerobic, additional pathogens, isolation and presumptive identification of isolates, each plate",,0,121.25,90.94,71.54,205.69,115.19,115.19,112.76,121.25,,115.19,Poplar_Community_Hospital
2080072_1,Culture Rectal VRE,Outpatient,306,87046,"Culture, bacterial; stool, aerobic, additional pathogens, isolation and presumptive identification of isolates, each plate",,0,121.25,90.94,71.54,205.69,115.19,205.69,112.76,121.25,71.54,115.19,Poplar_Community_Hospital
2106072_1,Protein S Activity (Mayo S_FX),Inpatient,300,85306,"Clotting inhibitors or anticoagulants; protein S, free",,0,274.75,206.06,162.1,466.09,261.01,261.01,255.52,274.75,,261.01,Poplar_Community_Hospital
2106072_1,Protein S Activity (Mayo S_FX),Outpatient,300,85306,"Clotting inhibitors or anticoagulants; protein S, free",,0,274.75,206.06,162.1,466.09,261.01,466.09,255.52,274.75,162.1,261.01,Poplar_Community_Hospital
2210072_1,"Metanephrines, Fract 24hr Urine (Mayo METAF)",Inpatient,301,83835,Metanephrines,,0,304.5,228.38,179.66,516.55,289.28,289.28,283.19,304.5,,289.28,Poplar_Community_Hospital
2210072_1,"Metanephrines, Fract 24hr Urine (Mayo METAF)",Outpatient,301,83835,Metanephrines,,0,304.5,228.38,179.66,516.55,289.28,516.55,283.19,304.5,179.66,289.28,Poplar_Community_Hospital
2266082_1,"Charge SPEP, Quant",Inpatient,301,84165,"Protein; electrophoretic fractionation and quantitation, serum",,0,145.5,109.13,85.85,246.83,138.23,138.23,135.32,145.5,,138.23,Poplar_Community_Hospital
2266082_1,"Charge SPEP, Quant",Outpatient,301,84165,"Protein; electrophoretic fractionation and quantitation, serum",,0,145.5,109.13,85.85,246.83,138.23,246.83,135.32,145.5,85.85,138.23,Poplar_Community_Hospital
2286073_1,XR Fluoro Exam,Inpatient,320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821,615.75,484.39,1392.74,779.95,779.95,763.53,821,,779.95,Poplar_Community_Hospital
2286073_1,XR Fluoro Exam,Outpatient,320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821,615.75,484.39,1392.74,779.95,1392.74,763.53,821,484.39,779.95,Poplar_Community_Hospital
2286074_1,XR Fluoro Exam,Inpatient,320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821,615.75,484.39,1392.74,779.95,779.95,763.53,821,,779.95,Poplar_Community_Hospital
2286074_1,XR Fluoro Exam,Outpatient,320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821,615.75,484.39,1392.74,779.95,1392.74,763.53,821,484.39,779.95,Poplar_Community_Hospital
2286075_1,XR Fluoro Exam,Inpatient,320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821,615.75,484.39,1392.74,779.95,779.95,763.53,821,,779.95,Poplar_Community_Hospital
2286075_1,XR Fluoro Exam,Outpatient,320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821,615.75,484.39,1392.74,779.95,1392.74,763.53,821,484.39,779.95,Poplar_Community_Hospital
2286079_1,XR Fluoro Exam,Inpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.5,287.63,226.27,650.57,364.33,364.33,356.66,383.5,,364.33,Poplar_Community_Hospital
2286079_1,XR Fluoro Exam,Outpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.5,287.63,226.27,650.57,364.33,650.57,356.66,383.5,226.27,364.33,Poplar_Community_Hospital
2286080_1,XR Fluoro Exam,Inpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.5,287.63,226.27,650.57,364.33,364.33,356.66,383.5,,364.33,Poplar_Community_Hospital
2286080_1,XR Fluoro Exam,Outpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.5,287.63,226.27,650.57,364.33,650.57,356.66,383.5,226.27,364.33,Poplar_Community_Hospital
2286081_1,XR Fluoro Exam,Inpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.5,287.63,226.27,650.57,364.33,364.33,356.66,383.5,,364.33,Poplar_Community_Hospital
2286081_1,XR Fluoro Exam,Outpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.5,287.63,226.27,650.57,364.33,650.57,356.66,383.5,226.27,364.33,Poplar_Community_Hospital
2286082_1,XR Fluoro Exam,Inpatient,320,74270,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,749.5,562.13,442.21,1271.45,712.03,712.03,697.04,749.5,,712.03,Poplar_Community_Hospital
2286082_1,XR Fluoro Exam,Outpatient,320,74270,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,749.5,562.13,442.21,1271.45,712.03,1271.45,697.04,749.5,442.21,712.03,Poplar_Community_Hospital
2286083_1,XR Fluoro Exam,Inpatient,320,74280,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; double-contrast (eg, high density barium and air) study, including glucagon, when administered",,0,978.75,734.06,577.46,1660.35,929.81,929.81,910.24,978.75,,929.81,Poplar_Community_Hospital
2286083_1,XR Fluoro Exam,Outpatient,320,74280,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; double-contrast (eg, high density barium and air) study, including glucagon, when administered",,0,978.75,734.06,577.46,1660.35,929.81,1660.35,910.24,978.75,577.46,929.81,Poplar_Community_Hospital
2286084_1,XR Fluoro Exam,Inpatient,320,74220,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,328.5,246.38,193.82,557.27,312.08,312.08,305.51,328.5,,312.08,Poplar_Community_Hospital
2286084_1,XR Fluoro Exam,Outpatient,320,74220,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,328.5,246.38,193.82,557.27,312.08,557.27,305.51,328.5,193.82,312.08,Poplar_Community_Hospital
2286087_1,XR Fluoro Exam,Inpatient,320,74220,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,328.5,246.38,193.82,557.27,312.08,312.08,305.51,328.5,,312.08,Poplar_Community_Hospital
2286087_1,XR Fluoro Exam,Outpatient,320,74220,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,328.5,246.38,193.82,557.27,312.08,557.27,305.51,328.5,193.82,312.08,Poplar_Community_Hospital
2286088_1,XR Fluoro Exam,Inpatient,320,74270,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,749.5,562.13,442.21,1271.45,712.03,712.03,697.04,749.5,,712.03,Poplar_Community_Hospital
2286088_1,XR Fluoro Exam,Outpatient,320,74270,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,749.5,562.13,442.21,1271.45,712.03,1271.45,697.04,749.5,442.21,712.03,Poplar_Community_Hospital
2286098_1,XR Fluoro Exam,Inpatient,320,76080,"Radiologic examination, abscess, fistula or sinus tract study, radiological supervision and interpretation",,0,1545.25,1158.94,911.7,2621.36,1467.99,1467.99,1437.08,1545.25,,1467.99,Poplar_Community_Hospital
2286098_1,XR Fluoro Exam,Outpatient,320,76080,"Radiologic examination, abscess, fistula or sinus tract study, radiological supervision and interpretation",,0,1545.25,1158.94,911.7,2621.36,1467.99,2621.36,1437.08,1545.25,911.7,1467.99,Poplar_Community_Hospital
2318072_1,H pylori Ab IgG,Inpatient,302,86677,Antibody; Helicobacter pylori,,0,166.75,125.06,98.38,282.87,158.41,158.41,155.08,166.75,,158.41,Poplar_Community_Hospital
2318072_1,H pylori Ab IgG,Outpatient,302,86677,Antibody; Helicobacter pylori,,0,166.75,125.06,98.38,282.87,158.41,282.87,155.08,166.75,98.38,158.41,Poplar_Community_Hospital
2332072_1,"PTH, Intact No Reflex",Inpatient,301,83970,Parathormone (parathyroid hormone),,0,369.25,276.94,217.86,626.4,350.79,350.79,343.4,369.25,,350.79,Poplar_Community_Hospital
2332072_1,"PTH, Intact No Reflex",Outpatient,301,83970,Parathormone (parathyroid hormone),,0,369.25,276.94,217.86,626.4,350.79,626.4,343.4,369.25,217.86,350.79,Poplar_Community_Hospital
2350081_1,EC Cardiac Doppler Complete,Inpatient,483,93320,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); complete",,0,454.5,340.88,268.16,771.01,431.78,431.78,422.69,454.5,,431.78,Poplar_Community_Hospital
2350081_1,EC Cardiac Doppler Complete,Outpatient,483,93320,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); complete",,0,454.5,340.88,268.16,771.01,431.78,771.01,422.69,454.5,268.16,431.78,Poplar_Community_Hospital
2350082_1,EC Cardiac Doppler Limited,Inpatient,,,,,0,272,204,160.48,461.42,258.4,258.4,252.96,272,,258.4,Poplar_Community_Hospital
2350082_1,EC Cardiac Doppler Limited,Outpatient,,,,,0,272,204,160.48,461.42,258.4,461.42,252.96,272,160.48,258.4,Poplar_Community_Hospital
