CDM Item Number,Revenue Code,Service ID,Service Mod1,Service Mod2,Service Mod3,Service Mod4,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Default),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Federal),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Medicare Advantage),Payer Negotiated Charge: Medicare A MT JF (Plan: All),Payer Negotiated Charge: Medicare B MT JF (Plan: All),Payer Negotiated Charge: Medicare Railroad Palmetto GBA (Plan: All),hospital
3080059,750,12015,,,,,LAC REPAIR SIMP FACE 7.6 TO 12.5CM,384.0,384.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080060,450,12016,,,,,LAC REPAIR SIMP FACE 12.6 TO 20.0CM,480.0,480.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080061,450,12017,,,,,LAC REPAIR SIMP FACE 20.1 TO 30.0CM,510.0,510.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080062,450,12031,,,,,LAC REPAIR INTER <2.5CM,545.0,545.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080063,450,12032,,,,,LAC REPAIR INTER 2.6 TO 7.5CM,681.0,681.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080064,450,12034,,,,,LAC REPAIR INTER 7.6 TO 12.5CM,721.0,721.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080065,450,12035,,,,,LAC REPAIR INTER 12.6 TO 20.0CM,860.0,860.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080066,450,12036,,,,,LAC REPAIR INTER 20.1 TO 30.0CM,963.0,963.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080067,450,12037,,,,,LAC REPAIR INTER >30CM,1093.0,1093.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080068,450,12041,,,,,LAC REPAIR INTER EXT <2.5CM,561.0,561.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080069,450,12042,,,,,LAC REPAIR INTER EXT 2.6 TO 7.5CM,653.0,653.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080070,450,12044,,,,,LAC REPAIR INTER EXT 7.6 TO 12.5CM,827.0,827.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080071,450,12045,,,,,LAC REPAIR INTER EXT 12.6 TO 20.0CM,907.0,907.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080072,450,12046,,,,,LAC REPAIR INTER EXT 20.1 TO 30.0CM,1144.0,1144.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080073,450,12047,,,,,LAC REPAIR INTER EXT >30CM,1254.0,1254.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080074,450,12051,,,,,LAC REPAIR INTER FACE <2.5CM,603.0,603.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080075,450,12052,,,,,LAC REPAIR INTER FACE 2.6 TO 5.0CM,676.0,676.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080076,450,12053,,,,,LAC REPAIR INTER FACE 5.1 TO 7.5CM,792.0,792.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080077,450,12054,,,,,LAC REPAIR INTER FACE 7.6 TO 12.5CM,831.0,831.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080078,450,12055,,,,,LAC REPAIR INTER FACE 12.6 TO 20.0CM,1086.0,1086.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080079,450,12056,,,,,LAC REPAIR INTER FACE 20.1 TO 30.0CM,1226.0,1226.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080080,450,12057,,,,,LAC REPAIR INTER FACE >30CM,1355.0,1355.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080081,450,13100,,,,,LAC REPAIR COMP <2.5CM,754.0,754.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080082,450,13101,,,,,LAC REPAIR COMP 2.6 TO 7.5CM,890.0,890.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080083,450,13102,,,,,LAC REPAIR COMP >7.5(EACH ADDL 5CM),270.0,270.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080084,450,13120,,,,,LAC COMP HEAD/EXT <2.5CM,780.0,780.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080085,450,13121,,,,,LAC COMP HEAD/EXT 2.6 TO 7.5CM,979.0,979.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080086,450,13122,,,,,LAC COMP HEAD/EXT >7.5(EACH ADDL 5CM),301.0,301.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080087,450,13131,,,,,LAC COMP FACE/HAND <2.5CM,867.0,867.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080088,450,13132,,,,,LAC REPAIR COMP FACE/HAND 2.6 TO 7.5CM,1248.0,1248.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080089,450,13133,,,,,LAC COMP FACE/HAND > 7.5(EACH ADDL 5CM),395.0,395.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080090,450,16000,,,,,BURN CARE 1ST,160.0,160.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080091,450,16020,,,,,BURN CARE 2ND PART THICKNESS/DRESS,188.0,188.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080092,450,16025,,,,,BURN CARE 2ND 5-10% PART THICKNESS/DRESS,342.0,342.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080093,450,16030,,,,,BURN CARE 2ND > 10% PART THICKNESS/DRESS,432.0,432.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080094,450,20550,,,,,INJ TRIGGER POINT SINGLE LIGAMENT,145.0,145.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080095,450,20551,,,,,INJ TRIGGER POINT - SINGLE TENDON,136.0,136.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080096,450,20552,,,,,"INJ TRIGGER POINT, 1-2 MUSCLE",127.0,127.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080097,450,20553,,,,,"INJ TRIGGER POINT, 3 OR MORE MUSCLES",328.0,328.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080098,450,20600,,,,,INJ / ASP SMALL JOIINT OR BURSA,116.0,116.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080099,450,20605,,,,,INJ / ASP INTER JOINT OR BURSA,137.0,137.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080100,450,20610,,,,,INJ / ASP MAJOR JOINT OR BURSA,214.0,214.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080101,450,21310,,,,,FRACTURE CARE NASAL W/O MANI,298.0,298.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080102,450,21315,,,,,FRACTURE CARE NASAL W/REDUCTION,624.0,624.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080103,450,23500,,,,,FRACTURE CARE CLAVICAL W/O MANI,493.0,493.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080104,450,23520,,,,,FRACTURE CARE STERNOCLAV W/O MANI,530.0,530.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080105,450,23570,,,,,FRACTURE CARE SCAPULAR W/O MANI,522.0,522.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080106,450,23575,,,,,FRACTURE CARE SCAPULAR W/REDUCTION,897.0,897.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080108,450,23650,,,,,SHOULDER DISLOCATION W/MANI,761.0,761.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080109,450,24600,,,,,FRACTURE / DISLOCATION ELBOW,831.0,831.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080110,450,24640,,,,,FRACTURE / DISLOCATION NURSEMAID ELBOW,316.0,316.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080111,450,25500,,,,,FRACTURE CARE RADIUS W/O MANI,622.0,622.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080112,450,25530,,,,,FRACTURE CARE ULNA W/O MANI,602.0,602.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080113,450,25560,,,,,FRACTURE CARE RAD/UNLA W/O MANI,636.0,636.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080114,450,25565,,,,,FRACTURE CARE RAD/UNLA W/MANI,1188.0,1188.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080115,450,25600,,,,,FRACTURE CARE DISTAL RADIAL W/O MANI,761.0,761.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080116,450,25605,,,,,FRACTURE CARE DISTAL RADIAL W/MANI,1247.0,1247.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080117,450,26600,,,,,FRACTURE CARE METACARPAL W/O MANI,680.0,680.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080118,450,26665,,,,,FRACTURE CARE THUMB OPEN W/MANI,1396.0,1396.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080119,450,26720,,,,,FRACTURE CARE PHALANGE SHAFT W/O MANI,453.0,453.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080120,450,26725,,,,,FRACTURE CARE PHALANGE SHAFT W/MANI,780.0,780.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080121,450,26750,,,,,FRACTURE CARE DISTAL PHALANGE W/O MANI,426.0,426.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080122,450,26755,,,,,FRACTURE CARE DISTAL PHALANGE W/MANI,711.0,711.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080123,450,26770,,,,,FRACTURE CARE INTERPHALAN JT W/MANI,630.0,630.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080124,450,27560,,,,,FRACTURE / DISLOCATION PATELLAR,838.0,838.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080125,450,27752,,,,,FRACTURE CARE TIBIAL SHAFT W/MANI,1234.0,1234.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080126,450,27786,,,,,FRACTURE CARE DISTAL FIB W/O MANI,721.0,721.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080127,450,27840,,,,,FRACTURE / DISLOCATION ANKLE,844.0,844.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080128,450,28470,,,,,FRACTURE CARE METATARSAL W/O MANIP,500.0,500.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080129,450,28490,,,,,FRACTURE CARE TOES W/O MANIP,326.0,326.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080130,450,29065,,,,,CAST APP LONG ARM(SHOULDER-HAND),218.0,218.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080131,450,29075,,,,,CAST APP SHORT ARM(FOREARM-HAND),193.0,193.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080132,450,29085,,,,,CAST APPLICATION GAUNTLET(HAND),217.0,217.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080133,450,29105,,,,,SPLINT APP LONG ARM(SHOULDER-HAND),201.0,201.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080134,450,29125,,,,,SPLINT APP SHORT ARM(FOREARM-HAND),145.0,145.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080135,450,29130,,,,,SPLINT APP FINGER,94.0,94.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080136,450,29505,,,,,SPLINT APP LONG LEG(THIGH-ANKLE/TOE),191.0,191.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080137,450,29515,,,,,SPLINT APP SHORT LEG(CALF-FOOT),162.0,162.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080138,450,51702,,,,,FOLEY CATHETER INSERTION,159.0,159.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080139,450,65205,,,,,FOREIGN BODY REMOVAL EYE,112.0,112.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3080140,450,69200,,,,,FOREIGN BODY REMOVAL EAR,274.0,274.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100001,260,96365,,,,,INFUS NCOP INITL <1.5 HR,430.0,430.0,286.7,286.7,,,,,286.7,,,Fallon_Medical_Complex_Hospital
3100002,260,96366,,,,,INFUS NCOP ADDL HR(S),165.0,165.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100003,260,96367,,,,,INFUS NCOP NEW DRUG SAME DAY,180.0,180.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100005,260,96361,,,,,INFUS OP HYDRATN ADDL HR,140.0,140.0,119.57,119.57,,,,,119.57,,,Fallon_Medical_Complex_Hospital
3100006,260,96360,,,,,INFUS OP HYDRATN <1.25 HR,380.0,380.0,272.18,272.18,,,,,272.18,,,Fallon_Medical_Complex_Hospital
3100023,761,Q0081,,,,,PROCEDURE I,190.0,190.0,121.6,121.6,,,,,121.6,,,Fallon_Medical_Complex_Hospital
3100024,761,Q0081,,,,,PROCEDURE II,385.0,385.0,121.6,121.6,,,,,121.6,,,Fallon_Medical_Complex_Hospital
3100025,761,96372,,,,,INJ OP IM OR SUBQ,70.0,70.0,44.8,44.8,,,,,44.8,,,Fallon_Medical_Complex_Hospital
3100026,761,51701,,,,,STRAIGHT CATHETER INSERTION,100.0,100.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100027,260,96374,,,,,INJ IV PUSH INITL SUBST,115.0,115.0,69.83,69.83,,,,,69.83,,,Fallon_Medical_Complex_Hospital
3100031,761,30903,,,,,CAUTERIZE NASAL ANTERIOR-EXTENSIVE,190.0,190.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100032,761,30906,,,,,CAUTERIZE NASAL POSTERIOR-SUBS,60.0,60.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100033,761,30905,,,,,CAUTERIZE NASAL POSTERIOR-INITIAL,260.0,260.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100034,761,30901,,,,,CAUTERIZE NASAL ANTERIOR -SIMPLE,130.0,130.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100035,260,96375,,,,,INJ IV PUSH ADDL SUBST,115.0,115.0,72.92,72.92,,,,,72.92,,,Fallon_Medical_Complex_Hospital
3100036,771,G0008,,,,,INJ FLU VACC,27.0,27.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100044,942,97802,,,,,DIET ASSESSMT INIT 15M,50.0,50.0,32.7,32.7,,,,,32.7,,,Fallon_Medical_Complex_Hospital
3100050,762,G0378,,,,,RM OBSERVATION I,625.0,625.0,75.58,75.58,,,,,75.58,,,Fallon_Medical_Complex_Hospital
3100060,762,G0378,,,,,RM OBSERVATION I,75.0,75.0,75.58,75.58,,,,,75.58,,,Fallon_Medical_Complex_Hospital
3100070,762,G0378,,,,,RM OBSERVATION I,14.0,14.0,75.58,75.58,,,,,75.58,,,Fallon_Medical_Complex_Hospital
3100080,762,G0378,,,,,RM OBSERVATION II,825.0,825.0,75.58,75.58,,,,,75.58,,,Fallon_Medical_Complex_Hospital
3100090,762,G0378,,,,,RM OBSERVATION II,99.0,99.0,75.58,75.58,,,,,75.58,,,Fallon_Medical_Complex_Hospital
3100100,762,G0378,,,,,RM OBSERVATION II,18.0,18.0,75.58,75.58,,,,,75.58,,,Fallon_Medical_Complex_Hospital
3100102,391,36430,,,,,TRANSFUSION BLOOD 2 HR,620.0,620.0,438.4,438.4,,,,,438.4,,,Fallon_Medical_Complex_Hospital
3100103,391,36430,,,,,TRANSFUSION BLOOD 3 HR,720.0,720.0,438.4,438.4,,,,,438.4,,,Fallon_Medical_Complex_Hospital
3100104,391,36430,,,,,TRANSFUSION BLOOD 4 HR,870.0,870.0,438.4,438.4,,,,,438.4,,,Fallon_Medical_Complex_Hospital
3100106,391,36430,,,,,TRANSFUSION BLOOD 6 HR,1120.0,1120.0,438.4,438.4,,,,,438.4,,,Fallon_Medical_Complex_Hospital
3100108,761,96523,,,,,PROCEDURE-PORT IRRIGATION,170.0,170.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100109,761,51798,,,,,BLADDER SCAN -PORTABLE,60.0,60.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100110,260,96376,,,,,INJ IVP SAME DRUG /P30MIN,115.0,115.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100111,260,96366,,,,,INFUS NCOP SAME DA ADD HR,165.0,165.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100118,391,36430,,,,,TRANSFUSION BLOOD 8 HR,1320.0,1320.0,438.4,438.4,,,,,438.4,,,Fallon_Medical_Complex_Hospital
3100119,760,10060,,,,,I & D ABCESS,267.0,267.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100120,982,10060,,,,,PHYS I & D ABCESS,267.0,267.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100121,982,10120,,,,,PHYS FB REMOVAL OTHER,343.0,343.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100122,761,10120,,,,,FOREIGN BODY INC/ REM,343.0,343.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100123,761,10140,,,,,I & D HEMATOMA/ FLUID COLL,358.0,358.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100124,982,10140,,,,,PHYS I & D HEM/ FLUID COLL,358.0,358.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100125,982,10160,,,,,PHYS PUNCTURE ASP/ CYST FLUID,297.0,297.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100126,761,10160,,,,,PUNCTURE ASP/ CYST FLUID,297.0,297.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100127,760,11042,,,,,DEBRIDEMENT SKIN/ ULCER,248.0,248.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100128,982,11042,,,,,PHYS DEBRIDEMENT SKIN/ ULCER,248.0,248.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100129,761,11730,,,,,NAIL AVULSION,231.0,231.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100130,982,11730,,,,,PHYS NAIL AVULSION,231.0,231.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100131,760,20550,,,,,INJ TRIGGER PT SINGLE LIGAMENT,145.0,145.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100132,982,20550,,,,,PHYS INJ TRIGGER PT SINGLE LIGAMENT,145.0,145.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100133,982,20551,,,,,PHYS INJ TRIGGER PT SINGLE TENDON,136.0,136.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100134,761,20551,,,,,INJ TRIGGER PT SINGLE TENDON,136.0,136.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100135,760,20552,,,,,INJ TRIGGER PT 1-2 MUSCLES,127.0,127.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3100136,982,20552,,,,,PHYS INJ TRIGGER PT 1-2 MUSCLES,127.0,127.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
