Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,BCBSMT_POS_CLOSED_NETWORK,BCBSMT_TRADIIONAL_NETWORK,ROCKY_MOUNTAIN_HEALTH_NETWORK
1490077_1,CT Non Ionic Contrast 300/399 per ml,Outpatient,255,Q9967,"Locm 300-399mg/ml iodine,1ml",,1,7,7,6.65,7,6.86,7,6.65
1490088_1,Culture Fluid No Gram Stain,Inpatient,306,87070,"Culture, bacterial; any other source except urine, blood or stool, aerobic, with isolation and presumptive identification of isolates",,0,131,131,124.45,131,128.38,131,124.45
1490088_1,Culture Fluid No Gram Stain,Outpatient,306,87070,"Culture, bacterial; any other source except urine, blood or stool, aerobic, with isolation and presumptive identification of isolates",,0,131,131,124.45,131,128.38,131,124.45
1490089_1,"Culture Sputum No Gram Stain, Regional",Inpatient,306,87070,"Culture, bacterial; any other source except urine, blood or stool, aerobic, with isolation and presumptive identification of isolates",,0,131,131,124.45,131,128.38,131,124.45
1490089_1,"Culture Sputum No Gram Stain, Regional",Outpatient,306,87070,"Culture, bacterial; any other source except urine, blood or stool, aerobic, with isolation and presumptive identification of isolates",,0,131,131,124.45,131,128.38,131,124.45
1490090_1,Culture Wound Abscess No Gram Stain,Inpatient,306,87070,"Culture, bacterial; any other source except urine, blood or stool, aerobic, with isolation and presumptive identification of isolates",,0,131,131,124.45,131,128.38,131,124.45
1490090_1,Culture Wound Abscess No Gram Stain,Outpatient,306,87070,"Culture, bacterial; any other source except urine, blood or stool, aerobic, with isolation and presumptive identification of isolates",,0,131,131,124.45,131,128.38,131,124.45
1502073_1,Anti-CCP Ab,Inpatient,302,86200,"Cyclic citrullinated peptide (CCP), antibody",,0,100,100,95,100,98,100,95
1502073_1,Anti-CCP Ab,Outpatient,302,86200,"Cyclic citrullinated peptide (CCP), antibody",,0,100,100,95,100,98,100,95
1530078_1,UA Micro Reflex Culture,Inpatient,307,81015,Urinalysis; microscopic only,,0,37,37,35.15,37,36.26,37,35.15
1530078_1,UA Micro Reflex Culture,Outpatient,307,81015,Urinalysis; microscopic only,,0,37,37,35.15,37,36.26,37,35.15
1530079_1,UA Complete Reflex Culture,Inpatient,307,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,56,56,53.2,56,54.88,56,53.2
1530079_1,UA Complete Reflex Culture,Outpatient,307,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,56,56,53.2,56,54.88,56,53.2
1530085_1,UA Routine Reflex Culture,Inpatient,307,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,34,34,32.3,34,33.32,34,32.3
1530085_1,UA Routine Reflex Culture,Outpatient,307,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,34,34,32.3,34,33.32,34,32.3
1540072_1,HCV Reflex HCV RT-PCR Quant,Inpatient,302,86803,Hepatitis C antibody,,0,141,141,133.95,141,138.18,141,133.95
1540072_1,HCV Reflex HCV RT-PCR Quant,Outpatient,302,86803,Hepatitis C antibody,,0,141,141,133.95,141,138.18,141,133.95
1562073_1,Culture Bronc Wash Legionella,Inpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,83,83,78.85,83,81.34,83,78.85
1562073_1,Culture Bronc Wash Legionella,Outpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,83,83,78.85,83,81.34,83,78.85
1562074_1,Culture BAL Legionella,Inpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,83,83,78.85,83,81.34,83,78.85
1562074_1,Culture BAL Legionella,Outpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,83,83,78.85,83,81.34,83,78.85
1562075_1,Culture Biopsy Tissue Legionella,Inpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,83,83,78.85,83,81.34,83,78.85
1562075_1,Culture Biopsy Tissue Legionella,Outpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,83,83,78.85,83,81.34,83,78.85
1562076_1,Culture Sputum Legionella,Inpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,83,83,78.85,83,81.34,83,78.85
1562076_1,Culture Sputum Legionella,Outpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,83,83,78.85,83,81.34,83,78.85
1562077_1,Culture Fluid Legionella,Inpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,83,83,78.85,83,81.34,83,78.85
1562077_1,Culture Fluid Legionella,Outpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,83,83,78.85,83,81.34,83,78.85
1600072_1,"EBV DNA Detect/Quant, P (Mayo EBVQN)",Inpatient,306,87799,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; quantification, each organism",,0,221,221,209.95,221,216.58,221,209.95
1600072_1,"EBV DNA Detect/Quant, P (Mayo EBVQN)",Outpatient,306,87799,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; quantification, each organism",,0,221,221,209.95,221,216.58,221,209.95
1622073_1,"Clostridium Difficile A and B, Regional",Inpatient,306,87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], fluorescence immunoassay [FIA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative; Clostridium difficile toxin(s)",,0,168,168,159.6,168,164.64,168,159.6
1622073_1,"Clostridium Difficile A and B, Regional",Outpatient,306,87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], fluorescence immunoassay [FIA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative; Clostridium difficile toxin(s)",,0,168,168,159.6,168,164.64,168,159.6
1640073_1,"M. Pneumoniae Ab, IgM",Inpatient,300,86738,Antibody; mycoplasma,,0,105,105,99.75,105,102.9,105,99.75
1640073_1,"M. Pneumoniae Ab, IgM",Outpatient,300,86738,Antibody; mycoplasma,,0,105,105,99.75,105,102.9,105,99.75
1640075_1,"M. Pneumoniae Ab, IgG",Inpatient,300,86738,Antibody; mycoplasma,,0,105,105,99.75,105,102.9,105,99.75
1640075_1,"M. Pneumoniae Ab, IgG",Outpatient,300,86738,Antibody; mycoplasma,,0,105,105,99.75,105,102.9,105,99.75
1670073_1,Culture Blood Line,Inpatient,306,87040,"Culture, bacterial; blood, aerobic, with isolation and presumptive identification of isolates (includes anaerobic culture, if appropriate)",,0,234,234,222.3,234,229.32,234,222.3
1670073_1,Culture Blood Line,Outpatient,306,87040,"Culture, bacterial; blood, aerobic, with isolation and presumptive identification of isolates (includes anaerobic culture, if appropriate)",,0,234,234,222.3,234,229.32,234,222.3
1908081_1,Brucella,Inpatient,302,86622,Antibody; Brucella,,0,107,107,101.65,107,104.86,107,101.65
1908081_1,Brucella,Outpatient,302,86622,Antibody; Brucella,,0,107,107,101.65,107,104.86,107,101.65
1926074_1,"Norovirus Testing, State",Inpatient,306,87798,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism",,0,192,192,182.4,192,188.16,192,182.4
1926074_1,"Norovirus Testing, State",Outpatient,306,87798,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism",,0,192,192,182.4,192,188.16,192,182.4
1984072_1,"Porphyrins, Total Pl",Inpatient,301,84311,"Spectrophotometry, analyte not elsewhere specified",,0,143,143,135.85,143,140.14,143,135.85
1984072_1,"Porphyrins, Total Pl",Outpatient,301,84311,"Spectrophotometry, analyte not elsewhere specified",,0,143,143,135.85,143,140.14,143,135.85
1998076_1,"Estriol, Fract Estrogen",Inpatient,300,82677,Estriol,,0,85,85,80.75,85,83.3,85,80.75
1998076_1,"Estriol, Fract Estrogen",Outpatient,300,82677,Estriol,,0,85,85,80.75,85,83.3,85,80.75
2080072_1,Culture Rectal VRE,Inpatient,306,87046,"Culture, bacterial; stool, aerobic, additional pathogens, isolation and presumptive identification of isolates, each plate",,0,68,68,64.6,68,66.64,68,64.6
2080072_1,Culture Rectal VRE,Outpatient,306,87046,"Culture, bacterial; stool, aerobic, additional pathogens, isolation and presumptive identification of isolates, each plate",,0,68,68,64.6,68,66.64,68,64.6
2106072_1,Protein S Activity (Mayo S_FX),Inpatient,300,85306,"Clotting inhibitors or anticoagulants; protein S, free",,0,228,228,216.6,228,223.44,228,216.6
2106072_1,Protein S Activity (Mayo S_FX),Outpatient,300,85306,"Clotting inhibitors or anticoagulants; protein S, free",,0,228,228,216.6,228,223.44,228,216.6
2210072_1,"Metanephrines, Fract 24hr Urine (Mayo METAF)",Inpatient,301,83835,Metanephrines,,0,185,185,175.75,185,181.3,185,175.75
2210072_1,"Metanephrines, Fract 24hr Urine (Mayo METAF)",Outpatient,301,83835,Metanephrines,,0,185,185,175.75,185,181.3,185,175.75
2266082_1,"Charge SPEP, Quant",Inpatient,301,84165,"Protein; electrophoretic fractionation and quantitation, serum",,0,62,62,58.9,62,60.76,62,58.9
2266082_1,"Charge SPEP, Quant",Outpatient,301,84165,"Protein; electrophoretic fractionation and quantitation, serum",,0,62,62,58.9,62,60.76,62,58.9
2286079_1,XR Fluoro Exam,Inpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,701,701,665.95,701,686.98,701,665.95
2286079_1,XR Fluoro Exam,Outpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,701,701,665.95,701,686.98,701,665.95
2286080_1,XR Fluoro Exam,Inpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,701,701,665.95,701,686.98,701,665.95
2286080_1,XR Fluoro Exam,Outpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,701,701,665.95,701,686.98,701,665.95
2286081_1,XR Fluoro Exam,Inpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,701,701,665.95,701,686.98,701,665.95
2286081_1,XR Fluoro Exam,Outpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,701,701,665.95,701,686.98,701,665.95
2318072_1,H pylori Ab IgG,Inpatient,302,86677,Antibody; Helicobacter pylori,,0,158,158,150.1,158,154.84,158,150.1
2318072_1,H pylori Ab IgG,Outpatient,302,86677,Antibody; Helicobacter pylori,,0,158,158,150.1,158,154.84,158,150.1
2332072_1,"PTH, Intact No Reflex",Inpatient,301,83970,Parathormone (parathyroid hormone),,0,324,324,307.8,324,317.52,324,307.8
2332072_1,"PTH, Intact No Reflex",Outpatient,301,83970,Parathormone (parathyroid hormone),,0,324,324,307.8,324,317.52,324,307.8
2350083_1,EC Cardiac Doppler Limited,Inpatient,483,93321,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); follow-up or limited study (List separately in addition to codes for echocardiographic imaging)",,0,680,680,646,680,666.4,680,646
2350083_1,EC Cardiac Doppler Limited,Outpatient,483,93321,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); follow-up or limited study (List separately in addition to codes for echocardiographic imaging)",,0,680,680,646,680,666.4,680,646
2350085_2,EC Color Flow,ProFee,972,93325,Doppler echocardiography color flow velocity mapping (List separately in addition to codes for echocardiography),,0,489,489,489,489,N/A,N/A,N/A
2412072_1,CMV IgG,Inpatient,302,86644,Antibody; cytomegalovirus (CMV),,0,162,162,153.9,162,158.76,162,153.9
2412072_1,CMV IgG,Outpatient,302,86644,Antibody; cytomegalovirus (CMV),,0,162,162,153.9,162,158.76,162,153.9
2412073_1,CMV IgM,Inpatient,302,86645,"Antibody; cytomegalovirus (CMV), IgM",,0,169,169,160.55,169,165.62,169,160.55
2412073_1,CMV IgM,Outpatient,302,86645,"Antibody; cytomegalovirus (CMV), IgM",,0,169,169,160.55,169,165.62,169,160.55
2532074_1,"Occult Blood, Stool, Diagnostic specimen",Inpatient,301,82272,"Blood, occult, by peroxidase activity (eg, guaiac), qualitative, feces, 1-3 simultaneous determinations, performed for other than colorectal neoplasm screening",,0,40,40,38,40,39.2,40,38
2532074_1,"Occult Blood, Stool, Diagnostic specimen",Outpatient,301,82272,"Blood, occult, by peroxidase activity (eg, guaiac), qualitative, feces, 1-3 simultaneous determinations, performed for other than colorectal neoplasm screening",,0,40,40,38,40,39.2,40,38
2538074_1,"Topiramate, Serum (Mayo TOPI)",Inpatient,301,80201,Topiramate,,0,102,102,96.9,102,99.96,102,96.9
2538074_1,"Topiramate, Serum (Mayo TOPI)",Outpatient,301,80201,Topiramate,,0,102,102,96.9,102,99.96,102,96.9
2538084_1,US Exam,Inpatient,402,76706,"Ultrasound, abdominal aorta, real time with image documentation, screening study for abdominal aortic aneurysm (AAA)",,0,537,537,510.15,537,526.26,537,510.15
2538084_1,US Exam,Outpatient,402,76706,"Ultrasound, abdominal aorta, real time with image documentation, screening study for abdominal aortic aneurysm (AAA)",,0,537,537,510.15,537,526.26,537,510.15
2590091_1,"Histamine, 24 hr Ur (Mayo FH24U)",Inpatient,300,83088,Histamine,,0,134,134,127.3,134,131.32,134,127.3
2590091_1,"Histamine, 24 hr Ur (Mayo FH24U)",Outpatient,300,83088,Histamine,,0,134,134,127.3,134,131.32,134,127.3
2598083_1,"CMV IgM, Torch",Inpatient,300,86645,"Antibody; cytomegalovirus (CMV), IgM",,0,169,169,160.55,169,165.62,169,160.55
2598083_1,"CMV IgM, Torch",Outpatient,300,86645,"Antibody; cytomegalovirus (CMV), IgM",,0,169,169,160.55,169,165.62,169,160.55
2610077_1,Oxcarbazepine Metabolite (Mayo OMHC),Inpatient,301,80183,Oxcarbazepine,,0,162,162,153.9,162,158.76,162,153.9
2610077_1,Oxcarbazepine Metabolite (Mayo OMHC),Outpatient,301,80183,Oxcarbazepine,,0,162,162,153.9,162,158.76,162,153.9
2620072_1,"Amino Acid Ur, Quant up to 5 (Mayo AAPD)",Inpatient,301,82131,"Amino acids; single, quantitative, each specimen",,0,202,202,191.9,202,197.96,202,191.9
2620072_1,"Amino Acid Ur, Quant up to 5 (Mayo AAPD)",Outpatient,301,82131,"Amino acids; single, quantitative, each specimen",,0,202,202,191.9,202,197.96,202,191.9
2658073_1,Guaiac Stools,Inpatient,300,82270,"Blood, occult, by peroxidase activity (eg, guaiac), qualitative; feces, consecutive collected specimens with single determination, for colorectal neoplasm screening (ie, patient was provided 3 cards or single triple card for consecutive collection)",,0,30,30,28.5,30,29.4,30,28.5
2658073_1,Guaiac Stools,Outpatient,300,82270,"Blood, occult, by peroxidase activity (eg, guaiac), qualitative; feces, consecutive collected specimens with single determination, for colorectal neoplasm screening (ie, patient was provided 3 cards or single triple card for consecutive collection)",,0,30,30,28.5,30,29.4,30,28.5
2752075_1,XR Exam,Inpatient,320,73030,"Radiologic examination, shoulder; complete, minimum of 2 views",,0,312,312,296.4,312,305.76,312,296.4
2752075_1,XR Exam,Outpatient,320,73030,"Radiologic examination, shoulder; complete, minimum of 2 views",,0,312,312,296.4,312,305.76,312,296.4
2752077_1,XR Exam,Inpatient,320,73030,"Radiologic examination, shoulder; complete, minimum of 2 views",,0,312,312,296.4,312,305.76,312,296.4
2752077_1,XR Exam,Outpatient,320,73030,"Radiologic examination, shoulder; complete, minimum of 2 views",,0,312,312,296.4,312,305.76,312,296.4
2890093_2,EC Echocardiogram Bubble - Report,ProFee,972,93306,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",,0,227,227,227,227,N/A,N/A,N/A
2890094_1,EC Exam,Inpatient,483,93306,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",,0,1784,1784,1694.8,1784,1748.32,1784,1694.8
2890094_1,EC Exam,Outpatient,483,93306,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",,0,1784,1784,1694.8,1784,1748.32,1784,1694.8
2890097_2,EC Echocardiogram Limited - Report,ProFee,972,93308,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, follow-up or limited study",,0,94,94,94,94,N/A,N/A,N/A
2890098_1,EC Exam,Inpatient,483,93308,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, follow-up or limited study",,0,698,698,663.1,698,684.04,698,663.1
2890098_1,EC Exam,Outpatient,483,93308,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, follow-up or limited study",,0,698,698,663.1,698,684.04,698,663.1
2890103_2,EC Echocardiogram Complete - Report,ProFee,972,93306,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",,0,227,227,227,227,N/A,N/A,N/A
2890104_1,EC Exam,Inpatient,483,93306,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",,0,1784,1784,1694.8,1784,1748.32,1784,1694.8
2890104_1,EC Exam,Outpatient,483,93306,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",,0,1784,1784,1694.8,1784,1748.32,1784,1694.8
294944_1,Kirby-Bauer,Inpatient,306,87184,"Susceptibility studies, antimicrobial agent; disk method, per plate (12 or fewer agents)",,0,26,26,24.7,26,25.48,26,24.7
294944_1,Kirby-Bauer,Outpatient,306,87184,"Susceptibility studies, antimicrobial agent; disk method, per plate (12 or fewer agents)",,0,26,26,24.7,26,25.48,26,24.7
294946_1,Minimum Inhibitory Concentration,Inpatient,306,87186,"Susceptibility studies, antimicrobial agent; microdilution or agar dilution (minimum inhibitory concentration [MIC] or breakpoint), each multi-antimicrobial, per plate",,0,107,107,101.65,107,104.86,107,101.65
294946_1,Minimum Inhibitory Concentration,Outpatient,306,87186,"Susceptibility studies, antimicrobial agent; microdilution or agar dilution (minimum inhibitory concentration [MIC] or breakpoint), each multi-antimicrobial, per plate",,0,107,107,101.65,107,104.86,107,101.65
295362_1,"Bill Surg, Special Stains Group I 88312",Inpatient,310,88312,"Special stain including interpretation and report; Group I for microorganisms (eg, acid fast, methenamine silver)",,0,278,278,264.1,278,272.44,278,264.1
295362_1,"Bill Surg, Special Stains Group I 88312",Outpatient,310,88312,"Special stain including interpretation and report; Group I for microorganisms (eg, acid fast, methenamine silver)",,0,278,278,264.1,278,272.44,278,264.1
295380_1,"Bill Cyto, Cytopath with Centrifugation  88104",Inpatient,311,88104,"Cytopathology, fluids, washings or brushings, except cervical or vaginal; smears with interpretation",,0,167,167,158.65,167,163.66,167,158.65
295380_1,"Bill Cyto, Cytopath with Centrifugation  88104",Outpatient,311,88104,"Cytopathology, fluids, washings or brushings, except cervical or vaginal; smears with interpretation",,0,167,167,158.65,167,163.66,167,158.65
295944_1,17 - Hydroxyprogesterone (Mayo OHPG),Inpatient,301,83498,"Hydroxyprogesterone, 17-d",,0,47,47,44.65,47,46.06,47,44.65
295944_1,17 - Hydroxyprogesterone (Mayo OHPG),Outpatient,301,83498,"Hydroxyprogesterone, 17-d",,0,47,47,44.65,47,46.06,47,44.65
295952_1,HIAA-5 Quant (Mayo HIAA),Inpatient,301,83497,"Hydroxyindolacetic acid, 5-(HIAA)",,0,141,141,133.95,141,138.18,141,133.95
295952_1,HIAA-5 Quant (Mayo HIAA),Outpatient,301,83497,"Hydroxyindolacetic acid, 5-(HIAA)",,0,141,141,133.95,141,138.18,141,133.95
295956_1,Acetaminophen Level,Inpatient,301,80307,"Drug test(s), presumptive, any number of drug classes, any number of devices or procedures; by instrument chemistry analyzers (eg, utilizing immunoassay [eg, EIA, ELISA, EMIT, FPIA, IA, KIMS, RIA]), chromatography (eg, GC, HPLC), and mass spectrometry either with or without chromatography, (eg, DART, DESI, GC-MS, GC-MS/MS, LC-MS, LC-MS/MS, LDTD, MALDI, TOF) includes sample validation when performed, per date of service",,0,296,296,281.2,296,290.08,296,281.2
295956_1,Acetaminophen Level,Outpatient,301,80307,"Drug test(s), presumptive, any number of drug classes, any number of devices or procedures; by instrument chemistry analyzers (eg, utilizing immunoassay [eg, EIA, ELISA, EMIT, FPIA, IA, KIMS, RIA]), chromatography (eg, GC, HPLC), and mass spectrometry either with or without chromatography, (eg, DART, DESI, GC-MS, GC-MS/MS, LC-MS, LC-MS/MS, LDTD, MALDI, TOF) includes sample validation when performed, per date of service",,0,296,296,281.2,296,290.08,296,281.2
295972_1,ACTH (Mayo ACTH),Inpatient,301,82024,Adrenocorticotropic hormone (ACTH),,0,274,274,260.3,274,268.52,274,260.3
295972_1,ACTH (Mayo ACTH),Outpatient,301,82024,Adrenocorticotropic hormone (ACTH),,0,274,274,260.3,274,268.52,274,260.3
295976_1,Alanine aminotransferase,Inpatient,301,84460,Transferase; alanine amino (ALT) (SGPT),,0,25,25,23.75,25,24.5,25,23.75
295976_1,Alanine aminotransferase,Outpatient,301,84460,Transferase; alanine amino (ALT) (SGPT),,0,25,25,23.75,25,24.5,25,23.75
295978_1,"Albumin, Blood",Inpatient,301,82040,"Albumin; serum, plasma or whole blood",,0,25,25,23.75,25,24.5,25,23.75
295978_1,"Albumin, Blood",Outpatient,301,82040,"Albumin; serum, plasma or whole blood",,0,25,25,23.75,25,24.5,25,23.75
295980_1,"Microalbumin, Ur 10 Hr",Inpatient,301,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,73,73,69.35,73,71.54,73,69.35
295980_1,"Microalbumin, Ur 10 Hr",Outpatient,301,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,73,73,69.35,73,71.54,73,69.35
295982_1,"Albumin, Fluid (Regional)",Inpatient,301,82042,"Albumin; other source, quantitative, each specimen",,0,102,102,96.9,102,99.96,102,96.9
295982_1,"Albumin, Fluid (Regional)",Outpatient,301,82042,"Albumin; other source, quantitative, each specimen",,0,102,102,96.9,102,99.96,102,96.9
295986_1,"Prealbumin, Blood",Inpatient,301,84134,Prealbumin,,0,160,160,152,160,156.8,160,152
295986_1,"Prealbumin, Blood",Outpatient,301,84134,Prealbumin,,0,160,160,152,160,156.8,160,152
295988_1,Aldolase (Mayo ALS),Inpatient,301,82085,Aldolase,,0,98,98,93.1,98,96.04,98,93.1
295988_1,Aldolase (Mayo ALS),Outpatient,301,82085,Aldolase,,0,98,98,93.1,98,96.04,98,93.1
295990_1,Aldosterone (Mayo ALDS),Inpatient,301,82088,Aldosterone,,0,285,285,270.75,285,279.3,285,270.75
295990_1,Aldosterone (Mayo ALDS),Outpatient,301,82088,Aldosterone,,0,285,285,270.75,285,279.3,285,270.75
295994_1,"Phosphatase, Alk",Inpatient,301,84075,"Phosphatase, alkaline",,0,25,25,23.75,25,24.5,25,23.75
295994_1,"Phosphatase, Alk",Outpatient,301,84075,"Phosphatase, alkaline",,0,25,25,23.75,25,24.5,25,23.75
296000_1,"AFP, Tumor Marker",Inpatient,300,82105,Alpha-fetoprotein (AFP); serum,,0,73,73,69.35,73,71.54,73,69.35
296000_1,"AFP, Tumor Marker",Outpatient,300,82105,Alpha-fetoprotein (AFP); serum,,0,73,73,69.35,73,71.54,73,69.35
296036_1,"Ammonia, Blood",Inpatient,301,82140,Ammonia,,0,140,140,133,140,137.2,140,133
296036_1,"Ammonia, Blood",Outpatient,301,82140,Ammonia,,0,140,140,133,140,137.2,140,133
296056_1,"Amylase, Blood",Inpatient,301,82150,Amylase,,0,112,112,106.4,112,109.76,112,106.4
296056_1,"Amylase, Blood",Outpatient,301,82150,Amylase,,0,112,112,106.4,112,109.76,112,106.4
296070_1,Angiotensin Converting Enzyme (Mayo ACE),Inpatient,301,82164,Angiotensin I - converting enzyme (ACE),,0,141,141,133.95,141,138.18,141,133.95
296070_1,Angiotensin Converting Enzyme (Mayo ACE),Outpatient,301,82164,Angiotensin I - converting enzyme (ACE),,0,141,141,133.95,141,138.18,141,133.95
296092_1,ANA Screen,Inpatient,309,86038,Antinuclear antibodies (ANA),,0,100,100,95,100,98,100,95
