Run Date: 2/11/2022 3:15:49 PM
CDM Date Stamp: 1/1/2022

Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,Allegiance,Allegiance_Medicare_RBPHP,BCBS_HEALTHLINK_NETWORK,BCBS_TRADITIONAL_NETWORK,Indian_Health_Svcs,PACIFIC_SOURCE_
1176080_1,"Interp Anti-C3b,C3d DAT",Outpatient,0302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,85.75,64.31,49.74,159.50,81.46,159.50,79.75,85.75,49.74,81.46
1360073_1,UIBC,Inpatient,0301,83550,Iron binding capacity,,0,88.50,66.38,51.33,164.61,84.08,84.08,82.31,88.50,N/A,84.08
1360073_1,UIBC,Outpatient,0301,83550,Iron binding capacity,,0,88.50,66.38,51.33,164.61,84.08,164.61,82.31,88.50,51.33,84.08
1364072_1,"Cholesterol, Fluid (Regional)",Inpatient,0301,84311,"Spectrophotometry, analyte not elsewhere specified",,0,78.00,58.50,45.24,145.08,74.10,74.10,72.54,78.00,N/A,74.10
1364072_1,"Cholesterol, Fluid (Regional)",Outpatient,0301,84311,"Spectrophotometry, analyte not elsewhere specified",,0,78.00,58.50,45.24,145.08,74.10,145.08,72.54,78.00,45.24,74.10
1364073_1,"Inactive Lactic Acid, Fluid",Inpatient,,,,,0,202.75,152.06,117.60,377.12,192.61,192.61,188.56,202.75,N/A,192.61
1364073_1,"Inactive Lactic Acid, Fluid",Outpatient,,,,,0,202.75,152.06,117.60,377.12,192.61,377.12,188.56,202.75,117.60,192.61
1402127_1,"Hemoglobin Hemocue, Nursing",Inpatient,0300,85018,Blood count; hemoglobin (Hgb),,0,39.00,29.25,22.62,72.54,37.05,37.05,36.27,39.00,N/A,37.05
1402127_1,"Hemoglobin Hemocue, Nursing",Outpatient,0300,85018,Blood count; hemoglobin (Hgb),,0,39.00,29.25,22.62,72.54,37.05,72.54,36.27,39.00,22.62,37.05
1420072_1,"Blood Gas Panel, Cord Art",Inpatient,0301,82805,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry",,0,229.25,171.94,132.97,426.41,217.79,217.79,213.20,229.25,N/A,217.79
1420072_1,"Blood Gas Panel, Cord Art",Outpatient,0301,82805,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry",,0,229.25,171.94,132.97,426.41,217.79,426.41,213.20,229.25,132.97,217.79
1424072_1,"Blood Gas Panel, Cord Ven",Inpatient,0301,82805,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry",,0,172.75,129.56,100.20,321.32,164.11,164.11,160.66,172.75,N/A,164.11
1424072_1,"Blood Gas Panel, Cord Ven",Outpatient,0301,82805,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry",,0,172.75,129.56,100.20,321.32,164.11,321.32,160.66,172.75,100.20,164.11
1444135_1,"Metanephrines, Fract Random Ur",Inpatient,0301,83835,Metanephrines,,0,304.50,228.38,176.61,566.37,289.28,289.28,283.19,304.50,N/A,289.28
1444135_1,"Metanephrines, Fract Random Ur",Outpatient,0301,83835,Metanephrines,,0,304.50,228.38,176.61,566.37,289.28,566.37,283.19,304.50,176.61,289.28
1446074_1,"Platelet, Reticulated Count (YPI)",Inpatient,0305,85055,Reticulated platelet assay,,0,187.75,140.81,108.90,349.22,178.36,178.36,174.61,187.75,N/A,178.36
1446074_1,"Platelet, Reticulated Count (YPI)",Outpatient,0305,85055,Reticulated platelet assay,,0,187.75,140.81,108.90,349.22,178.36,349.22,174.61,187.75,108.90,178.36
1460081_1,InactiveCMV DNA Quant PCR (Focus 45050),Inpatient,,,,,0,665.50,499.13,385.99,1237.83,632.23,632.23,618.92,665.50,N/A,632.23
1460081_1,InactiveCMV DNA Quant PCR (Focus 45050),Outpatient,,,,,0,665.50,499.13,385.99,1237.83,632.23,1237.83,618.92,665.50,385.99,632.23
1490075_1,XR Non Ionic Contrast 300/399 per ml,Inpatient,0255,Q9967,"Locm 300-399mg/ml iodine,1ml",,0,108.50,81.38,62.93,201.81,103.08,103.08,100.91,108.50,N/A,103.08
1490075_1,XR Non Ionic Contrast 300/399 per ml,Outpatient,0255,Q9967,"Locm 300-399mg/ml iodine,1ml",,0,108.50,81.38,62.93,201.81,103.08,201.81,100.91,108.50,62.93,103.08
1528084_1,"Bill Surg, Morph Anal Semi Qnt 88360",Inpatient,0310,88360,"Morphometric analysis, tumor immunohistochemistry (eg, Her-2/neu, estrogen receptor/progesterone receptor), quantitative or semiquantitative, per specimen, each single antibody stain procedure; manual",,0,411.75,308.81,238.82,765.86,391.16,391.16,382.93,411.75,N/A,391.16
1528084_1,"Bill Surg, Morph Anal Semi Qnt 88360",Outpatient,0310,88360,"Morphometric analysis, tumor immunohistochemistry (eg, Her-2/neu, estrogen receptor/progesterone receptor), quantitative or semiquantitative, per specimen, each single antibody stain procedure; manual",,0,411.75,308.81,238.82,765.86,391.16,765.86,382.93,411.75,238.82,391.16
1530078_1,UA Micro Reflex Culture,Inpatient,0307,81015,Urinalysis; microscopic only,,0,33.00,24.75,19.14,61.38,31.35,31.35,30.69,33.00,N/A,31.35
1530078_1,UA Micro Reflex Culture,Outpatient,0307,81015,Urinalysis; microscopic only,,0,33.00,24.75,19.14,61.38,31.35,61.38,30.69,33.00,19.14,31.35
1530079_1,UA Complete Reflex Culture,Inpatient,0307,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,54.50,40.88,31.61,101.37,51.78,51.78,50.69,54.50,N/A,51.78
1530079_1,UA Complete Reflex Culture,Outpatient,0307,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,54.50,40.88,31.61,101.37,51.78,101.37,50.69,54.50,31.61,51.78
1530085_1,UA Routine Reflex Culture,Inpatient,0307,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,34.75,26.06,20.16,64.64,33.01,33.01,32.32,34.75,N/A,33.01
1530085_1,UA Routine Reflex Culture,Outpatient,0307,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,34.75,26.06,20.16,64.64,33.01,64.64,32.32,34.75,20.16,33.01
1540072_1,HCV Reflex HCV RT-PCR Quant,Inpatient,0302,86803,Hepatitis C antibody,,0,163.75,122.81,94.98,304.58,155.56,155.56,152.29,163.75,N/A,155.56
1540072_1,HCV Reflex HCV RT-PCR Quant,Outpatient,0302,86803,Hepatitis C antibody,,0,163.75,122.81,94.98,304.58,155.56,304.58,152.29,163.75,94.98,155.56
1562076_1,Culture Sputum Legionella,Inpatient,0306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,72.25,54.19,41.91,134.39,68.64,68.64,67.19,72.25,N/A,68.64
1562076_1,Culture Sputum Legionella,Outpatient,0306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,72.25,54.19,41.91,134.39,68.64,134.39,67.19,72.25,41.91,68.64
1566072_1,"Inactive Charge TSH, PKU Newborn",Inpatient,,,,,0,177.25,132.94,102.81,329.69,168.39,168.39,164.84,177.25,N/A,168.39
1566072_1,"Inactive Charge TSH, PKU Newborn",Outpatient,,,,,0,177.25,132.94,102.81,329.69,168.39,329.69,164.84,177.25,102.81,168.39
1600072_1,"EBV DNA Detect/Quant, P (Mayo EBVQN)",Inpatient,0306,87799,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; quantification, each organism",,0,135.25,101.44,78.45,251.57,128.49,128.49,125.78,135.25,N/A,128.49
1600072_1,"EBV DNA Detect/Quant, P (Mayo EBVQN)",Outpatient,0306,87799,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; quantification, each organism",,0,135.25,101.44,78.45,251.57,128.49,251.57,125.78,135.25,78.45,128.49
1622073_1,"Clostridium Difficile A and B, Regional",Inpatient,0306,87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Clostridium difficile toxin(s)",,0,171.50,128.63,99.47,318.99,162.93,162.93,159.50,171.50,N/A,162.93
1622073_1,"Clostridium Difficile A and B, Regional",Outpatient,0306,87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Clostridium difficile toxin(s)",,0,171.50,128.63,99.47,318.99,162.93,318.99,159.50,171.50,99.47,162.93
1628073_1,RBC LR IR CPD E0179,Inpatient,0390,P9040,Rbc leukoreduced irradiated,,0,1275.50,956.63,739.79,2372.43,1211.73,1211.73,1186.22,1275.50,N/A,1211.73
1628073_1,RBC LR IR CPD E0179,Outpatient,0390,P9040,Rbc leukoreduced irradiated,,0,1275.50,956.63,739.79,2372.43,1211.73,2372.43,1186.22,1275.50,739.79,1211.73
1628075_1,RBC LR AS3 E0382,Inpatient,0390,P9016,Rbc leukocytes reduced,,0,668.00,501.00,387.44,1242.48,634.60,634.60,621.24,668.00,N/A,634.60
1628075_1,RBC LR AS3 E0382,Outpatient,0390,P9016,Rbc leukocytes reduced,,0,668.00,501.00,387.44,1242.48,634.60,1242.48,621.24,668.00,387.44,634.60
1670073_1,Culture Blood Line,Inpatient,0306,87040,"Culture, bacterial; blood, aerobic, with isolation and presumptive identification of isolates (includes anaerobic culture, if appropriate)",,0,137.50,103.13,79.75,255.75,130.63,130.63,127.88,137.50,N/A,130.63
1670073_1,Culture Blood Line,Outpatient,0306,87040,"Culture, bacterial; blood, aerobic, with isolation and presumptive identification of isolates (includes anaerobic culture, if appropriate)",,0,137.50,103.13,79.75,255.75,130.63,255.75,127.88,137.50,79.75,130.63
1712073_1,RBC LR IR AS3 E0379,Inpatient,0390,P9040,Rbc leukoreduced irradiated,,0,1275.50,956.63,739.79,2372.43,1211.73,1211.73,1186.22,1275.50,N/A,1211.73
1712073_1,RBC LR IR AS3 E0379,Outpatient,0390,P9040,Rbc leukoreduced irradiated,,0,1275.50,956.63,739.79,2372.43,1211.73,2372.43,1186.22,1275.50,739.79,1211.73
1896073_1,Auto Diff,Inpatient,0305,85025,"Blood count; complete (CBC), automated (Hgb, Hct, RBC, WBC and platelet count) and automated differential WBC count",,0,97.50,73.13,56.55,181.35,92.63,92.63,90.68,97.50,N/A,92.63
1896073_1,Auto Diff,Outpatient,0305,85025,"Blood count; complete (CBC), automated (Hgb, Hct, RBC, WBC and platelet count) and automated differential WBC count",,0,97.50,73.13,56.55,181.35,92.63,181.35,90.68,97.50,56.55,92.63
1908081_1,Brucella,Inpatient,0302,86622,Antibody; Brucella,,0,129.75,97.31,75.26,241.34,123.26,123.26,120.67,129.75,N/A,123.26
1908081_1,Brucella,Outpatient,0302,86622,Antibody; Brucella,,0,129.75,97.31,75.26,241.34,123.26,241.34,120.67,129.75,75.26,123.26
1926074_1,"Norovirus Testing, State",Inpatient,0306,87798,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism",,0,277.75,208.31,161.10,516.62,263.86,263.86,258.31,277.75,N/A,263.86
1926074_1,"Norovirus Testing, State",Outpatient,0306,87798,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism",,0,277.75,208.31,161.10,516.62,263.86,516.62,258.31,277.75,161.10,263.86
2080072_1,Culture Rectal VRE,Inpatient,0306,87046,"Culture, bacterial; stool, aerobic, additional pathogens, isolation and presumptive identification of isolates, each plate",,0,121.25,90.94,70.33,225.53,115.19,115.19,112.76,121.25,N/A,115.19
2080072_1,Culture Rectal VRE,Outpatient,0306,87046,"Culture, bacterial; stool, aerobic, additional pathogens, isolation and presumptive identification of isolates, each plate",,0,121.25,90.94,70.33,225.53,115.19,225.53,112.76,121.25,70.33,115.19
2106072_1,Protein S Activity (Mayo S_FX),Inpatient,0300,85306,"Clotting inhibitors or anticoagulants; protein S, free",,0,274.75,206.06,159.36,511.04,261.01,261.01,255.52,274.75,N/A,261.01
2106072_1,Protein S Activity (Mayo S_FX),Outpatient,0300,85306,"Clotting inhibitors or anticoagulants; protein S, free",,0,274.75,206.06,159.36,511.04,261.01,511.04,255.52,274.75,159.36,261.01
2210072_1,"Metanephrines, Fract 24hr Urine (Mayo METAF)",Inpatient,0301,83835,Metanephrines,,0,304.50,228.38,176.61,566.37,289.28,289.28,283.19,304.50,N/A,289.28
2210072_1,"Metanephrines, Fract 24hr Urine (Mayo METAF)",Outpatient,0301,83835,Metanephrines,,0,304.50,228.38,176.61,566.37,289.28,566.37,283.19,304.50,176.61,289.28
2266082_1,"Charge SPEP, Quant",Inpatient,0301,84165,"Protein; electrophoretic fractionation and quantitation, serum",,0,145.50,109.13,84.39,270.63,138.23,138.23,135.32,145.50,N/A,138.23
2266082_1,"Charge SPEP, Quant",Outpatient,0301,84165,"Protein; electrophoretic fractionation and quantitation, serum",,0,145.50,109.13,84.39,270.63,138.23,270.63,135.32,145.50,84.39,138.23
2286073_1,XR Fluoro Exam,Inpatient,0320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821.00,615.75,476.18,1527.06,779.95,779.95,763.53,821.00,N/A,779.95
2286073_1,XR Fluoro Exam,Outpatient,0320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821.00,615.75,476.18,1527.06,779.95,1527.06,763.53,821.00,476.18,779.95
2286074_1,XR Fluoro Exam,Inpatient,0320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821.00,615.75,476.18,1527.06,779.95,779.95,763.53,821.00,N/A,779.95
2286074_1,XR Fluoro Exam,Outpatient,0320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821.00,615.75,476.18,1527.06,779.95,1527.06,763.53,821.00,476.18,779.95
2286075_1,XR Fluoro Exam,Inpatient,0320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821.00,615.75,476.18,1527.06,779.95,779.95,763.53,821.00,N/A,779.95
2286075_1,XR Fluoro Exam,Outpatient,0320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821.00,615.75,476.18,1527.06,779.95,1527.06,763.53,821.00,476.18,779.95
2286079_1,XR Fluoro Exam,Inpatient,0320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.50,287.63,222.43,713.31,364.33,364.33,356.66,383.50,N/A,364.33
2286079_1,XR Fluoro Exam,Outpatient,0320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.50,287.63,222.43,713.31,364.33,713.31,356.66,383.50,222.43,364.33
2286080_1,XR Fluoro Exam,Inpatient,0320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.50,287.63,222.43,713.31,364.33,364.33,356.66,383.50,N/A,364.33
2286080_1,XR Fluoro Exam,Outpatient,0320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.50,287.63,222.43,713.31,364.33,713.31,356.66,383.50,222.43,364.33
2286081_1,XR Fluoro Exam,Inpatient,0320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.50,287.63,222.43,713.31,364.33,364.33,356.66,383.50,N/A,364.33
2286081_1,XR Fluoro Exam,Outpatient,0320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.50,287.63,222.43,713.31,364.33,713.31,356.66,383.50,222.43,364.33
2286082_1,XR Fluoro Exam,Inpatient,0320,74270,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,749.50,562.13,434.71,1394.07,712.03,712.03,697.04,749.50,N/A,712.03
2286082_1,XR Fluoro Exam,Outpatient,0320,74270,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,749.50,562.13,434.71,1394.07,712.03,1394.07,697.04,749.50,434.71,712.03
2286083_1,XR Fluoro Exam,Inpatient,0320,74280,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; double-contrast (eg, high density barium and air) study, including glucagon, when administered",,0,978.75,734.06,567.68,1820.48,929.81,929.81,910.24,978.75,N/A,929.81
2286083_1,XR Fluoro Exam,Outpatient,0320,74280,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; double-contrast (eg, high density barium and air) study, including glucagon, when administered",,0,978.75,734.06,567.68,1820.48,929.81,1820.48,910.24,978.75,567.68,929.81
2286084_1,XR Fluoro Exam,Inpatient,0320,74220,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,328.50,246.38,190.53,611.01,312.08,312.08,305.51,328.50,N/A,312.08
2286084_1,XR Fluoro Exam,Outpatient,0320,74220,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,328.50,246.38,190.53,611.01,312.08,611.01,305.51,328.50,190.53,312.08
2286087_1,XR Fluoro Exam,Inpatient,0320,74220,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,328.50,246.38,190.53,611.01,312.08,312.08,305.51,328.50,N/A,312.08
2286087_1,XR Fluoro Exam,Outpatient,0320,74220,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,328.50,246.38,190.53,611.01,312.08,611.01,305.51,328.50,190.53,312.08
2286088_1,XR Fluoro Exam,Inpatient,0320,74270,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,749.50,562.13,434.71,1394.07,712.03,712.03,697.04,749.50,N/A,712.03
2286088_1,XR Fluoro Exam,Outpatient,0320,74270,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,749.50,562.13,434.71,1394.07,712.03,1394.07,697.04,749.50,434.71,712.03
2286098_1,XR Fluoro Exam,Inpatient,0320,76080,"Radiologic examination, abscess, fistula or sinus tract study, radiological supervision and interpretation",,0,1545.25,1158.94,896.25,2874.17,1467.99,1467.99,1437.08,1545.25,N/A,1467.99
2286098_1,XR Fluoro Exam,Outpatient,0320,76080,"Radiologic examination, abscess, fistula or sinus tract study, radiological supervision and interpretation",,0,1545.25,1158.94,896.25,2874.17,1467.99,2874.17,1437.08,1545.25,896.25,1467.99
2318072_1,H pylori Ab IgG,Inpatient,0302,86677,Antibody; Helicobacter pylori,,0,166.75,125.06,96.72,310.16,158.41,158.41,155.08,166.75,N/A,158.41
2318072_1,H pylori Ab IgG,Outpatient,0302,86677,Antibody; Helicobacter pylori,,0,166.75,125.06,96.72,310.16,158.41,310.16,155.08,166.75,96.72,158.41
2332072_1,"PTH, Intact No Reflex",Inpatient,0301,83970,Parathormone (parathyroid hormone),,0,369.25,276.94,214.17,686.81,350.79,350.79,343.40,369.25,N/A,350.79
2332072_1,"PTH, Intact No Reflex",Outpatient,0301,83970,Parathormone (parathyroid hormone),,0,369.25,276.94,214.17,686.81,350.79,686.81,343.40,369.25,214.17,350.79
2350081_1,EC Cardiac Doppler Complete,Inpatient,0483,93320,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); complete",,0,454.50,340.88,263.61,845.37,431.78,431.78,422.69,454.50,N/A,431.78
2350081_1,EC Cardiac Doppler Complete,Outpatient,0483,93320,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); complete",,0,454.50,340.88,263.61,845.37,431.78,845.37,422.69,454.50,263.61,431.78
2350082_1,EC Cardiac Doppler Limited,Inpatient,,,,,0,272.00,204.00,157.76,505.92,258.40,258.40,252.96,272.00,N/A,258.40
2350082_1,EC Cardiac Doppler Limited,Outpatient,,,,,0,272.00,204.00,157.76,505.92,258.40,505.92,252.96,272.00,157.76,258.40
2350083_1,EC Cardiac Doppler Limited,Inpatient,0483,93321,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); follow-up or limited study (List separately in addition to codes for echocardiographic imaging)",,0,272.00,204.00,157.76,505.92,258.40,258.40,252.96,272.00,N/A,258.40
2350083_1,EC Cardiac Doppler Limited,Outpatient,0483,93321,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); follow-up or limited study (List separately in addition to codes for echocardiographic imaging)",,0,272.00,204.00,157.76,505.92,258.40,505.92,252.96,272.00,157.76,258.40
2350085_1,EC Color Flow,Inpatient,0483,93325,Doppler echocardiography color flow velocity mapping (List separately in addition to codes for echocardiography),,0,589.50,442.13,341.91,1096.47,560.03,560.03,548.24,589.50,N/A,560.03
2350085_1,EC Color Flow,Outpatient,0483,93325,Doppler echocardiography color flow velocity mapping (List separately in addition to codes for echocardiography),,0,589.50,442.13,341.91,1096.47,560.03,1096.47,548.24,589.50,341.91,560.03
2412072_1,CMV IgG,Inpatient,0302,86644,Antibody; cytomegalovirus (CMV),,0,152.75,114.56,88.60,284.12,145.11,145.11,142.06,152.75,N/A,145.11
2412072_1,CMV IgG,Outpatient,0302,86644,Antibody; cytomegalovirus (CMV),,0,152.75,114.56,88.60,284.12,145.11,284.12,142.06,152.75,88.60,145.11
2412073_1,CMV IgM,Inpatient,0302,86645,"Antibody; cytomegalovirus (CMV), IgM",,0,160.75,120.56,93.24,299.00,152.71,152.71,149.50,160.75,N/A,152.71
2412073_1,CMV IgM,Outpatient,0302,86645,"Antibody; cytomegalovirus (CMV), IgM",,0,160.75,120.56,93.24,299.00,152.71,299.00,149.50,160.75,93.24,152.71
2532074_1,"Occult Blood, Stool, Diagnostic specimen",Inpatient,0301,82272,"Blood, occult, by peroxidase activity (eg, guaiac), qualitative, feces, 1-3 simultaneous determinations, performed for other than colorectal neoplasm screening",,0,68.25,51.19,39.59,126.95,64.84,64.84,63.47,68.25,N/A,64.84
2532074_1,"Occult Blood, Stool, Diagnostic specimen",Outpatient,0301,82272,"Blood, occult, by peroxidase activity (eg, guaiac), qualitative, feces, 1-3 simultaneous determinations, performed for other than colorectal neoplasm screening",,0,68.25,51.19,39.59,126.95,64.84,126.95,63.47,68.25,39.59,64.84
2538073_1,Ganglioside Ab Panel (Mayo GM1B),Inpatient,0300,83520,"Immunoassay for analyte other than infectious agent antibody or infectious agent antigen; quantitative, not otherwise specified",,0,255.50,191.63,148.19,475.23,242.73,242.73,237.62,255.50,N/A,242.73
2538073_1,Ganglioside Ab Panel (Mayo GM1B),Outpatient,0300,83520,"Immunoassay for analyte other than infectious agent antibody or infectious agent antigen; quantitative, not otherwise specified",,0,255.50,191.63,148.19,475.23,242.73,475.23,237.62,255.50,148.19,242.73
2538074_1,"Topiramate, Serum (Mayo TOPI)",Inpatient,0301,80201,Topiramate,,0,238.50,178.88,138.33,443.61,226.58,226.58,221.81,238.50,N/A,226.58
