"Pricing Data as of September 1, 2019",,,,
,,,,
DESCRIPTION,CDM,CPT, Base Price , Professional Fee 
17 Hydroxyprogesterone-Mayo,7052265,83498,$284.00 ,
1ST DEG BURN INITIAL,16000,16000,$256.00 ,
2 Hr Ur Amylase,7050093,82150,$117.00 ,
21 Hydroxylase Ab-Mayo,7052770,83519,$176.00 ,
24 Hour Oximetry - CPL,7530161,94762,$328.00 ,
5 HIAA,7052028,83497,$111.00 ,
5-Hydroxyindoleacetic Acid 24 Hour Urine-Mayo,7052276,83497,$146.00 ,
6 Minute Walk Test - CPL,7500500,94618,$257.00 ,
68kD (hsp-70) Antibodies-Mayo,7052277,84182,$288.00 ,
81210 BRAF,7051826,81210,$286.00 ,
81235 EGFR BY PCR,7051832,81235,"$1,387.00 ",
81275 KRAS,7051825,81275,$654.00 ,
88161 Bill Direct Smear,7052956,88161,$153.00 ,
88173 Bill FNA,7052957,88173,$309.00 ,
"88184 Leuk/Lymphoma Phenotyping, First Marker - Consult",7052649,88184,$397.00 ,
"88185 Leuk/Lymphoma Phenotyping, Each Additional Marker - Consult",7052650,88185,$141.00 ,
88300 AP Bill Surgical Pathology Level I Complexity,7160025,88300,$87.00 ,
88302 AP Bill Surgical Pathology Level II Complexity,7160026,88302,$198.00 ,
88304 AP Bill Surgical Pathology Level III Complexity,7160027,88304,$224.00 ,
88305 AP Bill Surgical Pathology Level IV Complexity,7160028,88305,$236.00 ,
88307 AP Bill Surgical Pathology Level V Complexity,7160029,88307,$661.00 ,
88309 AP Bill Surgical Pathology Level VI Complexity,7160030,88309,$980.00 ,
88311 AP Bill Decalcification,7160035,88311,$38.00 ,
88312 AP Bill Special Stains Group I,7160033,88312,$271.00 ,
88313 AP Bill Special Stains Group II,7160034,88313,$221.00 ,
88331 AP Bill Frozen single specimen,7160031,88331,$210.00 ,
88332 AP Bill Frozen add'l block,7160032,88332,$80.00 ,
"88341 Antibody, each additional stain - SMH",7052642,88341,$236.00 ,
"88342 AP Bill Surg IHC, Each Antibody - SMH",7160023,88342,$300.00 ,
88344 AP Bill Surg IHC Multiplex Antibody - SMH,7052652,88344,$397.00 ,
88360 AP Bill Surg  IHC ER/PR/HER2 Ab - SMH,7160045,88360,$349.00 ,
"88361 û Morphometric analysis, ER/PR/HER2, computer-assisted technology û Consult",7052653,88361,$404.00 ,
88365 IN SITU BY FISH - Consult,7052644,88365,$506.00 ,
88367 ALK (2p23) Translocations,7051831,88367,$768.00 ,
88367 ALK (2p23) Translocations BY FISH initial single probe stain - Consult,7051830,88367,$740.00 ,
88367 EGFR BY FISH - Consult,7052646,88367,"$2,094.00 ",
88367 HER2 BY FISH - Consult,7052647,88367,$661.00 ,
"88368 AP Morphometric Analysis, InSitu, manual - SMH",7051538,88368,$397.00 ,
88374 ALK additional multiplex probe stain - Consult,7052648,88374,$883.00 ,
88374 ALK additional multiplex probe stain - SMH,7051657,88374,$883.00 ,
88381 Microdissection manual,7051846,88381,$331.00 ,
A1 Antigen Typing,7051411,86905,$409.00 ,
AB ID RBC ANTIBODY EACH,7051819,86870,$214.00 ,
ABDOMINAL PARACENTESIS,49082,49082,"$1,102.00 ",
Abdominal Paracentesis with Imaging,49083,49083,"$1,361.00 ",
ABO Front Type,7050104,86900,$115.00 ,
ABO Only,7050104,86900,$115.00 ,
ABO TYPING,70501819,86900,$76.00 ,
Abscess Cyst Contrast Inj,7280079,49424,$402.00 ,
Absolute CD4/CD8 Count W/Ratio,7100653,86360,$146.00 ,
Absolute CD4/CD8 W/Ratio,7100818,86360,$56.00 ,
"ACE, CSF-Mayo FACEC",7052952,82164,$99.00 ,
Acetaminophen Level,7050164,80307,$362.00 ,
"Acetylcholine Receptor (Muscle AChR) Binding Ab, Serum-Mayo",7055733,83519,$145.00 ,
Acetylcholine Receptor Binding Antibody,7050194,83519,$161.00 ,
Acetylcholine Receptor Modulating Antibody,7050194,83519,$161.00 ,
Acid Fast Culture,7050006,87116,$49.00 ,
Acid Fast Stain,7050005,87206,$48.00 ,
"ACTIN AB, IgG (SMOOTH MUSCLE)",7051793,83516,$115.00 ,
Activated Clotting Time,6608787,85347,$47.00 ,
Acylcarnitines Quant Plasma-Mayo,7052829,82017,$158.00 ,
ADAPTER GATEWAY PLUS ROTATE Y,201455,,$153.00 ,
ADAPTER GATEWAY PLUS ROTATE y,4201455,,$201.00 ,
ADDED SEQUENTIAL INTRAVEOUS PUSH/SAME DRUG,96376,96376,$97.00 ,
Addendum Report,1000,,$1.00 ,
Additional Kerotypes,7101014,88280,$118.00 ,
Adenovirus Ab,7052840,86603,$25.00 ,
ADHESIVE TOPICAL SKIN DERMABON,3201401,,$153.00 ,
ADHESIVE TOPICAL SKIN DERMABON,201401,,$153.00 ,
ADHESIVE TOPICAL SKIN Dermabond,4201401,,$153.00 ,
Adjacent Tissue Transfer less than 10sq cm,14060,14060,"$2,717.00 ",
ADJUSTMENT OF GASTRIC BAND DIAMETER VIA SUB-Q PORT BY INJECTION/ASPIRATION OF SALINE,S2083,S2083,$145.00 ,
"Admark (PS-1), Blood (Quest)",7050232,81405,"$4,844.00 ",
ADMARK APP DNA SEQ,7051781,81406,"$1,525.00 ",
ADMARK APP SEQ DUP TEST,7051784,81479,"$1,525.00 ",
ADMARK PHOS TAU NON AB NOS,7052030,83520,$721.00 ,
ADMARK PS-1 DNA SEQ TEST,7051782,81405,"$2,752.00 ",
ADMARK PS-2 DNA,7051783,81406,"$2,031.00 ",
ADMARK TOTAL TAU NON AB,7052031,83520,$721.00 ,
ADMINISTRATION INFLUENZA VIRUS VACCINE,7590176,G0008,$48.00 ,
ADMINISTRATION PNEUMOCOCCAL VACCINE,7590177,G0009,$48.00 ,
Adrenocorticotropic Hormone (ACTH)-Mayo,7052294,82024,$247.00 ,
ADVANCED CARE PLAN  ADDL 30 MIN PROFEE,7460157,99498,,$159.00 
ADVANCED CARE PLAN 30 MIN PROFEE,7460156,99497,,$169.00 
Aerobic Culture w/ Gram Stain - St. Vincent's,7051973,87070,$64.00 ,
Aerosol Continuous,7500253,94640,$278.00 ,
Aerosol Delivery Device -> Continuous bland nebulizer,7500045,94640,$278.00 ,
Aerosol Delivery Device -> Continuous nebulizer,7500253,94640,$278.00 ,
Aerosol Delivery Device -> MetaNeb,7500253,94640,$278.00 ,
Aerosol Delivery Device -> Metered dose inhaler,7500253,94640,$278.00 ,
Aerosol Delivery Device -> Peak flow meter,7500257,94010,$197.00 ,
Aerosol Delivery Device -> Small volume nebulizer,7500253,94640,$278.00 ,
Aerosol Delivery Device -> Sputum Induction,7500253,94640,$278.00 ,
Aerosol Delivery Device -> Ultrasonic nebulizer,7500253,94640,$278.00 ,
Aerosol Delivery Subsequent -> Continuous bland nebulizer,7500254,94640,$278.00 ,
Aerosol Delivery Subsequent -> Continuous nebulizer,7500254,94640,$278.00 ,
Aerosol Delivery Subsequent -> MetaNeb,7500254,94640,$278.00 ,
Aerosol Delivery Subsequent -> Metered dose inhaler,75400254,94640,$278.00 ,
Aerosol Delivery Subsequent -> Peak flow meter,7500254,94640,$278.00 ,
Aerosol Delivery Subsequent -> Small volume nebulizer,7500254,94640,$278.00 ,
Aerosol Delivery Subsequent -> Sputum Induction,7500254,94640,$278.00 ,
Aerosol Delivery Subsequent -> Ultrasonic nebulizer,7500254,94640,$278.00 ,
Aerosol Treatment Route -> Continuous,7500253,94640,$278.00 ,
Aerosol/Metered Dose Inhaler Ed,7530103,94664,$278.00 ,
AFB NON-TB,7052046,87551,$413.00 ,
AFB TB,7052047,87556,$297.00 ,
After Hours Collection-Per Hour (Occ Health),3851816,80305,$70.00 ,
Alanine Amino Trans (ALT),7052754,84460,$30.00 ,
Alanine Aminotransferase,7050169,84460,$59.00 ,
Albumin,7050083,82040,$24.00 ,
Albumin Body Fluid-Mayo,7052725,82042,$178.00 ,
Albumin Level,7050083,82040,$75.00 ,
Albumin Level 24 Hour Urine,7050654,82043,$75.00 ,
Albumin Level BCG Method-Mayo,7052246,82040,$43.00 ,
Albumin Level Urine,7050654,82043,$74.00 ,
"Albumin, CSF",7052562,82042,$17.00 ,
"Albumin, Peritoneal Fluid (Quest)",7051398,82042,$40.00 ,
Albumin/Creatinine Ratio 24 Hour Urine,7050654,82043,$96.00 ,
Alcohol,7100715,80307,$10.00 ,
Alcohol (Ethanol),7051710,80307,$32.00 ,
"ALCOHOL, URINE",7051849,80307,$391.00 ,
Alder,7051553,86003,$17.00 ,
Alder  T2 IGE,7050475,86003,$17.00 ,
Aldolase-Mayo,7052263,82085,$87.00 ,
Aldosterone (Quest),7050200,82088,$421.00 ,
Aldosterone 24 Hour Urine-Mayo,7052588,82088,$379.00 ,
Aldosterone-Mayo,7052295,82088,$421.00 ,
Alfalfa,7051554,86003,$17.00 ,
ALKALINE PHOSPHATASE,7052116,84075,$37.00 ,
Alkaline Phosphatase,7050092,84075,$98.00 ,
"Alkaline Phosphatase, Bone S-Mayo",7055716,84080,$100.00 ,
Allergy Injection - Single (Urgent Care),3851076,95115,,$24.00 
Allergy Injections - 2 or more (Urgent Care),3851075,95117,,$37.00 
"Allergy, Serolab",7051608,86003,$52.00 ,
"Allergy, Serolab - Inhalant Panel",7051610,86003,$52.00 ,
"Allergy, Serolab - Shellfish Panel",7052664,86003,$52.00 ,
ALLOGRAFT EPIFIX 18MM DISK,200175,,"$1,725.00 ",
ALLOGRAFT EPIFIX 2CMX3CM,200174,,$528.00 ,
ALLOGRAFT EPIFIX 4CMX4CM,200173,,$397.00 ,
ALLOGRAFT EPIMESH 4cm X 4.5cm,7602053,,"$2,853.00 ",
ALLOGRAFT EPIMESH 4CMX4.5CM,200176,,"$2,853.00 ",
ALLOGRAFT OASIS 3CMX3.5CM,204220,,$236.00 ,
"ALLOGRAFT, EPIFIX 14MM DISK",,,$397.00 ,
"ALLOGRAFT, EPIFIX 14MM DISK",7460507,Q4186,$408.00 ,
"ALLOGRAFT, EPIFIX 2CMX3CM",,,$528.00 ,
"ALLOGRAFT, EPIFIX 2CMX3CM",7460505,Q4186,$528.00 ,
"ALLOGRAFT, EPIFIX 4CMX4CM",,,$397.00 ,
"ALLOGRAFT, EPIFIX 4CMX4CM",7460506,Q4186,$397.00 ,
"ALLOGRAFT, EPIFIX X 18MM DISK",,,"$1,725.00 ",
ALLOPATCH PER SQ CM,7460269,,$232.00 ,
ALMOND,7051916,86003,$17.00 ,
ALPHA DEFENSIN SF,7055687,83516,$135.00 ,
Alpha Fetoprotein CSF-Mayo,7052701,86316,$128.00 ,
Alpha Fetoprotein Tumor Marker (AFP)-Mayo,7052283,82105,$137.00 ,
Alpha-1-Antitrypsin Stool-Mayo,7052338,82103,$160.00 ,
Alpha-1-Antitrypsin-Mayo,7052296,82103,$160.00 ,
Alpha-Fetoprotein (AFP),7050206,82105,$63.00 ,
Alpha-Fetoprotein Single Marker Screen Maternal-Mayo,7052604,82105,$104.00 ,
"Alpha-fetoprotein, serum",7100201,82105,$119.00 ,
"Alpha-Galactosidase, Leukocytes-Mayo",7055732,82657,$439.00 ,
AlphaSubunit Pituitary Tmr Mkr-Mayo APGH,7052887,82397,$247.00 ,
Alternaria,7051555,86003,$17.00 ,
Alternaria Alternata (M6) IGE,7050475,86003,$17.00 ,
ALTERNARIATENIS IgG,7051910,86001,$56.00 ,
Alterneria Tenis M6 IgE,7100419,86003,$17.00 ,
Aluminum Level-Mayo,7052297,82108,$333.00 ,
Ambulatory Blood Pressure Monitor (24 Hr),7530129,93788,$154.00 ,
AMG (Alpha2macroglobulin),7051638,83883,$346.00 ,
Amikacin Lvl Peak-Mayo,7052785,80150,$54.00 ,
Amikacin Lvl Random-Mayo,7052786,80150,$49.00 ,
Amikacin Lvl Trough-Mayo,7052787,80150,$50.00 ,
Amino Acids Quant Plasma-Mayo,7052828,82139,$697.00 ,
"Amino Acids, Quant (ARUP) 0080710",82139,82139,$697.00 ,
Amitriptyline and Nortriptyline-Mayo,7052394,80335,$60.00 ,
Ammonia (ARUP) 0020043,7051730,82140,$101.00 ,
Ammonia Level,7050217,82140,$189.00 ,
AMNIOFILL,7460350,,$289.00 ,
Amnisure,7051711,84112,$139.00 ,
Amphetamine Conf,7052549,80324,$138.00 ,
Amphetamines,7050567,80305,$375.00 ,
Amphetamines (Quest),7051703,80305,$32.00 ,
Amphetamines 1,7100702,80305,$10.00 ,
AMPHIPHYSIN AB TEST,7052096,84181,$953.00 ,
Amplificatin Target 1st-2nd,7100235,,$85.00 ,
Amplification Multiplex Each,7100517,,$129.00 ,
Amplification Nucleic Acid,7051662,,$188.00 ,
Amplification Target,7050970,,$192.00 ,
Amplification Target A,7100235,,$153.00 ,
Amplification Target Add On,7101064,,$61.00 ,
Amplification Target additional,7051649,,$39.00 ,
Amplification Target B,7100235,,$153.00 ,
Amplification Target C,7100235,,$153.00 ,
Amplification Target More Than 2,7100517,,$43.00 ,
"Amplification, Reference Lab",7101083,,$777.00 ,
Amputation of finger or thumb with local advancement flap,26952,26952,"$6,322.00 ",
Amylase Body Fluid-Mayo,7052572,82150,$46.00 ,
Amylase Level,7050093,82150,$130.00 ,
Amylase Level 24 Hour Urine,7050093,82150,$117.00 ,
Amylase Level Urine,7050439,82150,$117.00 ,
"Amylase Pancreatic, S-Mayo",7052927,82150,$97.00 ,
ANA AB IFA W/REFLEX TITER & PATTERN,7051789,86038,$92.00 ,
ANA EIA W/Reflex IFA,7100442,86038,$76.00 ,
ANA Eia W/Rfx IFA,7050239,86038,$40.00 ,
ANA W/RFX Titer,7100637,86038,$45.00 ,
Anaerobe Identification (Vitek),7050153,87076,$215.00 ,
Anaerobe Identification (Vitek),7050153,87076,$215.00 ,
Anaerobic Culture,7050153,87075,$89.00 ,
ANCA SCREEN W/REFLUX TITER,7052050,86021,$104.00 ,
ANCHOR 1.4MM ICONIX II,3201002,,"$1,625.00 ",
ANCHOR 2.3MM ICONIX II,3201004,,"$1,625.00 ",
ANCHOR 2.4 X 11.7 W/ FIBER,3203978,,$966.00 ,
ANCHOR 3.0MM WEDGE #2 FORCE FI,3200598,,"$1,582.00 ",
ANCHOR 5.0MM WEDGE #2 FORCE FI,3200597,,"$1,285.00 ",
ANCHOR 5.5MM BIOSTEON,3200590,,"$1,625.00 ",
Androstenedione-Mayo,7052343,82157,$433.00 ,
Angioplasty Tibial,7201554,37228,"$23,300.00 ",$668.00 
Angioplasty/Arthrectomy Femoral,7201556,37225,"$25,468.00 ",$742.00 
Angioplasty/Arthrectomy Tibial,7201555,37229,"$34,359.00 ",$865.00 
ANGIOSEAL VIP 6Fr,4202033,C1760,"$1,625.00 ",
Angiotensin Converting Enzyme-Mayo,7052248,82164,$167.00 ,
Annual Nursing Facility Assessment,99318,99318,$155.00 ,
ANOSCOPY DIAGNOSITIC,46600,46600,$257.00 ,
"Anoscopy Diagnostic, w/ or w/o collection of specimen (Urgent Care)",3851030,46600,,$180.00 
ANOSCOPY FB REM,46608,46608,"$1,078.00 ",
ANOSCOPY W/CONTROL OF BLEEDING,46614,46614,"$1,417.00 ",
"ANTI IgE, IgG",7052136,83520,$225.00 ,
"Anti Nuclear Ab by IFA, IgG-Mayo",7052934,86039,$90.00 ,
Antibody Identification,7050002,86870,$349.00 ,
Antibody Screen Gel,7050100,86850,$132.00 ,
Antibody Screen Pre-warmed Gel,7050100,86850,$132.00 ,
Antibody Screen Pre-warmed Tube,7050100,86850,$132.00 ,
Antibody Screen Tube,7050100,86850,$132.00 ,
ANTIDEPRESSANTS CLASS 3-5,7052179,80307,$115.00 ,
Anti-DNase B Titer,7052503,86215,$243.00 ,
Anti-DNase B Titer-Mayo,7052369,86215,$225.00 ,
Antigen Type,7050382,86902,$294.00 ,
ANTI-INFLIXIMAB AB,7052104,82397,$494.00 ,
Antimullerian Hormone-Mayo,7052284,83520,$148.00 ,
Antinuclear Antibody-Mayo,7052229,86038,$85.00 ,
Antinuclear Antiibodies (ANA),7100600,86038,$76.00 ,
ANTI-PHOSPATIDYLE AB IgA,7051746,86148,$139.00 ,
ANTI-PHOSPATIDYLE AB IgG,7051747,86148,$139.00 ,
ANTI-PHOSPATIDYLE AB IgM,7051748,86148,$139.00 ,
Antistrep-O Titer,7052504,86060,$38.00 ,
Antistrep-O Titer-Mayo,7052226,86060,$90.00 ,
Antithrombin III Activity-Mayo,7052292,85300,$181.00 ,
Antithrombin III Antigen-Mayo,7052291,85301,$182.00 ,
Aphasia Assessment Charges ST -> Yes,6055001,96105,$246.00 ,
Apligraf Graft Unit,7460516,,$78.00 ,
Apligraf Graft Unit -> Yes,7460516,,$78.00 ,
APLIGRAF PER SQ CM,7460270,,$62.00 ,
Apolipoprotein A1,7052834,82172,$53.00 ,
Apolipoprotein B,7052566,82172,$188.00 ,
Apolipoprotein B-Mayo,7052326,82172,$96.00 ,
APP LOW COST SS F/N/G/H/F <100SQ CM 1ST <25SQ CM,7460257,,"$1,164.00 ",
APP LOW COST SS F/N/G/H/F <100SQ CM ADDL <25SQ CM,7460258,,$714.00 ,
APP LOW COST SS F/N/G/H/F >100SQ CM 1ST 100SQ CM,7460259,,"$1,164.00 ",
APP LOW COST SS F/N/G/H/F >100SQ CM ADDL 100SQ CM,7460260,,$714.00 ,
APP LOW COST SS T/A/L <100SQ CM 1ST <25SQ CM,7460253,,"$1,164.00 ",
APP LOW COST SS T/A/L <100SQ CM ADDL <25SQ CM,7460254,,$714.00 ,
APP LOW COST SS T/A/L >100SQ CM 1ST 100SQ CM,7460255,,"$3,733.00 ",
APP LOW COST SS T/A/L >100SQ CM ADDL 100SQ CM,7460256,,"$2,137.00 ",
Apple,7051851,86003,$17.00 ,
APPLICATION FINGER SPLINT STATIC,29130,29130,$135.00 ,
APPLICATION OF PASTE BOOT,7460229,29580,$195.00 ,
APPLICATION OF PASTE BOOT PROFEE,7460131,29580,,$78.00 
APPLICATOR CHLORAPREP 26ML TIN,3200685,,$60.00 ,
APPLIER CLIP 10MM,3200437,,$592.00 ,
APPLIER CLIP 5MM,3200340,,$525.00 ,
Apply Colles Splint (Urgent Care),3851039,29125,,$102.00 
Apply Gutter Splint (Urgent Care),3851040,29125,,$102.00 
APPLY LONG ARM SPLINT,7460795,29105,$239.00 ,
Apply Long Leg Splint (Urgent Care),3851047,29505,,$164.00 
APPLY MULTLAY COMPRS LWR LEG,7460230,29581,$325.00 ,
APPLY MULTLAY COMPRS LWR LEG PROFEE,7460132,29581,,$27.00 
Apply Sugar Tong Splint (Urgent Care),3851041,29125,,$102.00 
Apply Thumb Spica Splint (Urgent Care),3851042,29125,,$102.00 
Apply Ulnar Splint (Urgent Care),3851043,29125,,$102.00 
Apply Volar Splint (Urgent Care),3851044,29125,,$102.00 
AQUATIC THERAPY 15 MIN,42097113,97113,$99.00 ,
Arsenic Blood-Mayo,7052327,82175,$94.00 ,
"Arsenic, 24 HR Urine",7050187,82175,$153.00 ,
"Arsenic, Urine",7100617,82175,$137.00 ,
Arterial Puncture,7500260,36600,$154.00 ,
ARTERIAL PUNCTURE,36600,36600,$154.00 ,
ARTHOCENTESIS/INJ SM JT,20600,20600,$358.00 ,
Arthrocentesis - Injection Intermediate Joint Wrist/Ankle/Elbow (Urgent Care),3851057,20605,,$107.00 
Arthrocentesis - Injection Major Joint Shoulder/Hip/Knee (Urgent Care),3851056,20610,,$125.00 
Arthrocentesis - Injection Small Joint or Bursa ex. Fingers/Toes (Urgent Care),3851200,20600,,$204.00 
Arthrocentesis Major Joint or Bursa,7270211,20610,$379.00 ,
ARTHROCENTESIS/INJ INTERMED,20605,20605,$394.00 ,
ARTHROCENTESIS/INJ MAJOR,20610,20610,$417.00 ,
ASA,7051489,,$9.00 ,
ASCA IgA,7052054,86671,$175.00 ,
ASCA IgG,7052053,86671,$175.00 ,
Aspartate Aminotransferase,7050042,84450,$59.00 ,
Aspergillus,7101001,86606,$17.00 ,
Aspergillus Flavus (Quest),7051699,86606,$134.00 ,
Aspergillus Fumigatis,7051556,86003,$17.00 ,
Aspergillus Fumigatus (Quest),7051700,86606,$134.00 ,
"Aspergillus fumigatus, IgE-Mayo",7052921,86003,$52.00 ,
Aspergillus Niger (Quest),7051698,86606,$134.00 ,
Aspergilus Fumigatus (M3) IGE,7050475,86003,$17.00 ,
ASPIRATE INJECTION GANGLION,20612,20612,$358.00 ,
Aspiration - Intermediate Joint or Bursa Temporomandibular/Wrist/Ankle (Urgent Care),3851101,20605,,$214.00 
Aspiration - Major Joint or Bursa Shoulder/Hip/Knee/Subacromial (Urgent Care),3851102,20610,,$249.00 
Aspiration &/or injection of ganglion cyst(s) any location,3851300,20612,,$226.00 
ASSAY IGA/IGD/IGG/IGM EACH 1,7055729,82784,$113.00 ,
ASSAY IGA/IGD/IGG/IGM EACH 2,7055730,82784,$113.00 ,
ASSAY OF SERUM ALBUMIN,7055725,82040,$75.00 ,
ASSEMBLY BASIC a&a,3200428,,$225.00 ,
Assessment Aphasia Per Hour,44096105,96105,$246.00 ,
Audiogram (Occ Health M),3851811,0208T,$40.00 ,
Audiogram (Occ Health N),3851828,0208T,$44.00 ,
AUREOBASIDIUM PULLULANS IgG,7051909,86001,$56.00 ,
Australian Pine,7051886,86003,$17.00 ,
Autologous Donation,7050507,86890,$485.00 ,
AVULSION NAIL PLATE EACH ADD,11732,11732,$110.00 ,
AVULSION OF NAIL PLATE,11730,11730,$269.00 ,
Avulsion of Nail Plate (Urgent Care),3851009,11730,,$239.00 
Axillary Block,6670025,, $86 / Interval ,
Azathioprine (Imuran)-Mayo,7052884,80375,$260.00 ,
"B Cells, total Count",7100815,86355,$52.00 ,
B Henselae IGG,7100770,86611,$76.00 ,
B Henselae IGM,7100770,86611,$76.00 ,
B Quintana IGG,7100770,86611,$76.00 ,
B Quintana IGM,7100770,86611,$76.00 ,
B. parapertussis PCR,7052498,87798,$121.00 ,
B. pertussis PCR,7052497,87798,$121.00 ,
"B.PEMPHIGOLD 180 AB, IgG",7052172,83516,$363.00 ,
"B.PEMPHIGOLD 230 AB, IgG",7052173,83516,$363.00 ,
Bacterial AG/H Influenza Type B,7100500,86403,$46.00 ,
Bacterial AG/N Menigitidis GPB/E.Coli,7100500,86403,$46.00 ,
