Mineral Community Hospital Chargemaster as of 1/1/2022,,,,,,,,,,,,
"Provided by Mineral Community Hospital, 1208 6th Ave East, Superior MT  59872",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Department,Charge Master Code,Plain Language Description,Revenue Code,HCPCS Code,Standard Price,Discounted Cash Price,Allegiance,PacificSoursce,FirstChoiceHealthNetwork,MountainHealthCoop,De-Identified Min Negotiated Charge,De-Identified Max Negotiated Charge
CC-Pharmacy,76,"ROSUVASTATIN CALCIUM 5 MG TAB 5 mg, 90 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,77,"sertraline HCL 25 MG TABLET 25 mg, 30 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,78,"VEKLURY 100 MG VIAL 100 mg, 1 each",250,J3490,,0,0,0,0,0,0,0
Inpatient Hospital,79,atorvastatin 10 MG TABLET,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,80,"FLUoxetine HCL 10 MG CAPSULE 10 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,81,"GABAPENTIN 100 MG CAPSULE 100 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,82,"ZIEXTENZO 6 MG/0.6 ML SYRINGE 6 mg, 0.6 mL",250,J2505,,0,0,0,0,0,0,0
CC-Pharmacy,83,"ADVANCED EYE RELIEF EYE WASH 118 mL, 118 mL",250,,,0,0,0,0,0,0,0
CC-Pharmacy,84,"WATER FOR INJECTION VIAL 20 mL, 20 mL",250,,,0,0,0,0,0,0,0
CC-Pharmacy,85,"CARBIDOPA-LEVODOPA 25-100 TAB 25 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,86,"LIDOCAINE-PRILOCAINE CREAM 30 g, 30 g",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,87,"MEROPENEM IV 500 MG VIAL 500 mg, 1 each",250,J2185,,0,0,0,0,0,0,0
CC-Pharmacy,88,"CODEINE-GUAIFEN 10-100 MG/5 ML 10 mg, 120 mL",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,89,"morphine SULF 10 MG/5 ML SOLN 10 mg, 5 mL",250,,,0,0,0,0,0,0,0
CC-Pharmacy,90,"MAGNESIUM OXIDE 400 MG TABLET 400 mg, 120 eaches",250,,,0,0,0,0,0,0,0
CC-Pharmacy,91,"AMOX-CLAV 400-57 MG/5 ML SUSP 400 mg, 50 mL",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,92,"UNIFINE PENTIPS PLUS 31GX5/16"" 1 ea, 100 eaches",250,,,0,0,0,0,0,0,0
CC-Pharmacy,93,"VITAMIN D3 125 MCG CAPSULE 125 mcg, 100 eaches",250,,,0,0,0,0,0,0,0
CC-Pharmacy,94,"ASPIRIN 81 MG CHEWABLE TABLET 81 mg, 90 eaches",250,,,0,0,0,0,0,0,0
CC-Pharmacy,95,"READI-CAT 2 2% SUSPENSION 450 mL, 450 mL",250,,,0,0,0,0,0,0,0
CC-Pharmacy,96,"PREGABALIN 100 MG CAPSULE 100 mg, 90 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,97,"LISINOPRIL 20 MG TABLET 20 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,98,"TylenoL 325 MG CAPLET 325 mg, 1000 eaches",250,,,0,0,0,0,0,0,0
CC-Pharmacy,99,"NORMAL SALINE FLUSH SYRINGE 10 mL, 10 mL",250,,,0,0,0,0,0,0,0
CC-Pharmacy,100,"FluZONE HIGH-DOSE 2021-22 SYR 1 ea, 0.7 mL",636,90662,,0,0,0,0,0,0,0
CC-Pharmacy,101,"SM MAGNESIUM CITRATE SOLUTION 296 mL, 296 mL",250,,,0,0,0,0,0,0,0
CC-Pharmacy,102,"VITAMIN D3 25 MCG TABLET 25 mcg, 180 eaches",250,,,0,0,0,0,0,0,0
CC-Pharmacy,103,"AMOX-CLAV 600-42.9 MG/5 ML SUS 75 mL, 75 mL",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,104,"ketorolac 30 MG/ML VIAL 30 mg, 1 mL",250,J1885,,0,0,0,0,0,0,0
CC-Pharmacy,105,"VENLAFAXINE HCL ER 150 MG CAP 150 mg, 30 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,106,"methocarbamoL 500 MG TABLET 500 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,107,"ISOVUE-370 76% INFUS BOTTLE 1 ea, 100 mL",250,,,0,0,0,0,0,0,0
CC-Pharmacy,108,"DICLOFENAC SOD DR 75 MG TAB 75 mg, 14 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,109,"PARoxetine HCL 10 MG TABLET 10 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,110,"PROMETHAZINE 25 MG TABLET 25 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,111,"SUMAtriptan 6 MG/0.5 ML VIAL 6 mg, 0.5 mL",250,J3030,,0,0,0,0,0,0,0
CC-Pharmacy,112,"diphenhydrAMINE 25 MG CAPSULE 25 mg, 100 eaches",250,,,0,0,0,0,0,0,0
CC-Pharmacy,113,"CALCITRIOL 0.25 MCG CAPSULE 0.25 mcg, 30 eaches",250,J8499,,0,0,0,0,0,0,0
CC-Pharmacy,114,"fentaNYL 100 MCG/2 ML VIAL 0.05 mg, 2 mL",250,J3010,,0,0,0,0,0,0,0
CC-Pharmacy,115,"BACTERIOSTATIC SALINE VIAL 30 mL, 30 mL",250,,,0,0,0,0,0,0,0
CC-Pharmacy,116,"methocarbamoL 750 MG TABLET 750 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,117,"POTASSIUM CL ER 10 MEQ TABLET 10 mEq, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,118,POTASSIUM CL ER 20 MEQ TABLET 20 mEq,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,119,"DAPTOmycin 500 MG VIAL 500 mg, 1 each",250,J0878,,0,0,0,0,0,0,0
CC-Pharmacy,120,"INFUVITE ADULT VIAL 5 mL, 10 mL",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,121,"PROCTOZONE-HC 2.5% CREAM 1 ea, 30 g",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,122,Normal Saline Flush,250,,,0,0,0,0,0,0,0
CC-Pharmacy,123,Riabni,250,J9310,,0,0,0,0,0,0,0
CC-Pharmacy,124,Xylocaine MPF 1% SDV,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,126,"metFORMIN HCL 500 MG TABLET 500 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,127,"DAPTOmycin 500 MG VIAL 500 mg, 1 each",250,J0878,,0,0,0,0,0,0,0
CC-Pharmacy,128,"AFLURIA QUAD 2021-2022 VIAL 1 ea, 5 mL",250,90688,,0,0,0,0,0,0,0
CC-Pharmacy,129,"VENLAFAXINE HCL ER 75 MG CAP 75 mg, 30 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,130,"MIDAZOLAM HCL 5 MG/5 ML VIAL 5 mg, 5 mL",250,J2250,,0,0,0,0,0,0,0
CC-Pharmacy,131,"buPROPion HCL 75 MG TABLET 75 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,132,"FLUTICASONE PROP 50 MCG SPRAY 1 ea, 16 g",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,133,"lamoTRIgine 100 MG TABLET 100 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,134,"lamoTRIgine 25 MG TABLET 25 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,135,"MONTELUKAST SOD 10 MG TABLET 10 mg, 30 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,136,"sertraline HCL 50 MG TABLET 50 mg, 90 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,137,"MODAFINIL 200 MG TABLET 200 mg, 30 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,138,"HYDROmorphone 2 MG TABLET 2 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,139,"clonazePAM 0.5 MG TABLET 0.5 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,140,"HumaLOG 100 UNIT/ML KWIKPEN 1 ea, 3 mL",250,J1817,,0,0,0,0,0,0,0
CC-Pharmacy,141,"atorvastatin 40 MG TABLET 40 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,142,"ELIQUIS 2.5 MG TABLET 2.5 mg, 60 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,143,"DORZOLAMIDE HCL 2% EYE DROPS 1 ea, 10 mL",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,144,"MIRTAZAPINE 30 MG TABLET 30 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,145,"Spiriva RESPIMAT 2.5 MCG INH 1 ea, 4 g",250,,,0,0,0,0,0,0,0
CC-Pharmacy,146,"dexAMETHasone 0.75 MG TABLET 0.75 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,147,"LOTEPREDNOL ETABONATE 0.5% DRP 1 ea, 5 mL",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,148,"mycophenolate 250 MG CAPSULE 250 mg, 100 eaches",250,J7517,,0,0,0,0,0,0,0
CC-Pharmacy,149,"tacrolimus 0.5 MG CAPSULE (IR) 0.5 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,150,"HYDROCORTISONE 2.5% CREAM 1 ea, 30 g",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,151,"NORDITROPIN FLEXPRO 5 MG/1.5 5 mg, 1.5 mL",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,152,"TEMAZEPAM 7.5 MG CAPSULE 7.5 mg, 30 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,153,"PRIMIDONE 50 MG TABLET 50 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,154,"NAROPIN 0.2% 40 MG/20 ML AMP 2 mL, 20 mL",250,J2795,,0,0,0,0,0,0,0
CC-Pharmacy,155,"CHLORTHALIDONE 25 MG TABLET 25 mg, 90 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,156,"rosuvastatin CALCIUM 10 MG TAB 10 mg, 90 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,157,"XIFAXAN 550 MG TABLET 550 mg, 60 eaches",250,,,0,0,0,0,0,0,0
CC-Pharmacy,158,"metoprolol tartrate 50 MG TAB 50 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,159,"labetalol HCL 20 MG/4 ML VIAL 20 mg, 4 mL",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,160,"BISOPROLOL FUMARATE 5 MG TAB 5 mg, 30 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,161,"ESTRADIOL 1 MG TABLET 1 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,162,"hydrOXYzine PAM 25 MG CAP 25 mg, 100 eaches",250,Q0177,,0,0,0,0,0,0,0
CC-Pharmacy,163,"NORLYDA 0.35 MG TABLET 0.35 mg, 28 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,164,"DEXTROAMP-AMPHETAMIN 20 MG TAB 20 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,165,"methylPREDNISolone 40 MG/ML VL 40 mg, 1 mL",250,J1030,,0,0,0,0,0,0,0
CC-Pharmacy,166,"PROPRANOLOL 40 MG TABLET 40 mg, 50 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,167,"CALCITONIN-SALMON 200 UNITS SP 3.7 mL, 3.7 mL",250,,,0,0,0,0,0,0,0
CC-Pharmacy,168,"DOXEPIN 25 MG CAPSULE 25 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,169,"ENOXAPARIN 30 MG/0.3 ML SYR 30 mg, 0.3 mL",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,170,"ALENDRONATE SODIUM 70 MG TAB 70 mg, 4 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,171,"ALPRAZolam ODT 0.25 MG TAB 0.25 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,172,"PREGABALIN 75 MG CAPSULE 75 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,173,"REGULOID POWDER 1 ea, 284 g",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,174,"rOPINIRole HCL 1 MG TABLET 1 mg, 100 eaches",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,202,MORPHINE SOLN 20 MG / 1 ML,250,,5,4,4.6,4.75,4.75,4.75,4.6,5
CC-Pharmacy,204,FOLIC ACID VIAL 5MG / 1ML,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,204,FOLIC ACID IV 5 MG / 1 ML,250,,10.13,8.1,9.32,9.62,9.62,9.62,9.32,10.13
CC-Pharmacy,206,MORPHINE SULFATE ER 15 MG / 1 TAB,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,207,CALCIUM GLUCONATE VIAL 10% INJ,250,J0610,,0,0,0,0,0,0,0
CC-Pharmacy,208,AZITHROMYCIN SOLN 200 MG / 5 ML,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,210,AMOXICILLIN 250 mg capsule,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,212,AMOXICILLIN/POTASSIUM CLAV     TABLET 500 MG / 1 EA,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,213,EPINEPHRINE  INJ 0.03 MG / 0.03 ML,250,,122.84,98.27,113.01,116.7,116.7,116.7,113.01,122.84
CC-Pharmacy,213,EPINEPHRINE  INJ 0.03 MG / 0.03 ML,250,,728.42,582.74,670.15,692,692,692,670.15,728.42
CC-Pharmacy,216,MORPHINE IR 15 MG / 1 TAB,250,,5.2,4.16,4.78,4.94,4.94,4.94,4.78,5.2
CC-Pharmacy,217,OXYCODONE CR 10 MG / 1 TAB,250,,11.21,8.97,10.31,10.65,10.65,10.65,10.31,11.21
CC-Pharmacy,218,OXYCODONE IR 5 MG / 1 TAB,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,218,OXYCODONE IR 5 MG,250,,5.2,4.16,4.78,4.94,4.94,4.94,4.78,5.2
CC-Pharmacy,219,HYDROCODONE 7.5/325 MG 1 TAB,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,220,ENOXAPARIN SODIUM DISP SYRIN 40 MG / 0.4 ML,250,J1650,,0,0,0,0,0,0,0
CC-Pharmacy,220,ENOXAPARIN INJ 40 MG,250,,4.97,3.98,4.57,4.72,4.72,4.72,4.57,4.97
CC-Pharmacy,221,ENOXAPARIN INJ 60 MG,250,J1650,,0,0,0,0,0,0,0
CC-Pharmacy,222,ENOXAPARIN INJ 80 MG,250,J1650,,0,0,0,0,0,0,0
CC-Pharmacy,223,ENOXAPARIN INJ 100 MG,250,J1650,,0,0,0,0,0,0,0
CC-Pharmacy,226,LORAZEPAM INJ 2 MG / 1 ML,250,J2060,,0,0,0,0,0,0,0
CC-Pharmacy,227,TETANUS DIPHTHERIA PERTUSSIS 0.5 ML,250,90715,,0,0,0,0,0,0,0
CC-Pharmacy,228,INSULIN GLARGINE FLEXPEN 1 UN,250,J1815,,0,0,0,0,0,0,0
CC-Pharmacy,229,AMOX/CLAVULANATE 875 MG / 125 MG   1 TAB,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,230,AMOX/CLAVULANATE POTASSIUM SUSP 125MG/75ML 125 MG / 5 ML,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,233,FUROSEMIDE INJ 40 MG,250,J1940,,0,0,0,0,0,0,0
CC-Pharmacy,237,INSULIN NPH VIAL,250,J1817,,0,0,0,0,0,0,0
CC-Pharmacy,238,INSULIN ASPART FLEXPEN 1 UN,250,J1815,,0,0,0,0,0,0,0
CC-Pharmacy,238,INSULIN ASPART FLEXPEN 1 EA,250,,14.48,11.58,13.32,13.76,13.76,13.76,13.32,14.48
CC-Pharmacy,239,INSULIN DETEMIR FLEXPEN,250,J1815,,0,0,0,0,0,0,0
CC-Pharmacy,239,INSULIN DETEMIR FLEXPEN,250,,1.86,1.49,1.71,1.77,1.77,1.77,1.71,1.86
CC-Pharmacy,240,PHENYTOIN SODIUM INJ 100 MG / 2 ML,250,J1165,,0,0,0,0,0,0,0
CC-Pharmacy,243,ASPIRIN CHEWABLE 81 MG / 1 TAB,250,,0,0,0,0,0,0,0,0
CC-Pharmacy,244,CIPROFLOXACIN HCL 500 MG / 1 TAB,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,247,DOCUSATE SODIUM 100 MG / 1 CAP,250,,0,0,0,0,0,0,0,0
CC-Pharmacy,248,FENTANYL PATCH 50 MCG / 1 EA,250,,22.32,17.86,20.53,21.2,21.2,21.2,20.53,22.32
CC-Pharmacy,250,CIPROFLOXACIN IV 400 MG / 1 EA,250,J0744,,0,0,0,0,0,0,0
CC-Pharmacy,251,EPINEPHRINE 1 MG / 1 ML,250,J0171,,0,0,0,0,0,0,0
CC-Pharmacy,252,ESCITALOPRAM OXALATE 10 MG / 1 TAB,250,,14.31,11.45,13.17,13.59,13.59,13.59,13.17,14.31
CC-Pharmacy,253,NEOMYCIN/POLYMX B/HC OTIC SUSP 10 ML,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,255,DAPTOMYCIN INJ 500 MG / 1 EA,250,J0878,,0,0,0,0,0,0,0
CC-Pharmacy,258,"TORSEMIDE 20 MG TABLET 20 mg,",250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,259,ETOMIDATE INJ 20 MG / 10 ML,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,261,IRBESARTAN 75 MG / 1 TAB,250,,5,4,4.6,4.75,4.75,4.75,4.6,5
CC-Pharmacy,264,PIPERACILLIN/TAZOBACTAM INJ 4.5 GM,250,J2543,,0,0,0,0,0,0,0
CC-Pharmacy,265,HYDROCODINE /APAP 10/325 MG 1 TAB,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,265,HYDROCODONE 10/325MG 1 TAB,250,,5,4,4.6,4.75,4.75,4.75,4.6,5
CC-Pharmacy,269,LABETALOL INJ 20 MG/4ML,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,270,LABETATOL 100 MG / 1 TAB,250,,5,4,4.6,4.75,4.75,4.75,4.6,5
CC-Pharmacy,271,SUCRALFATE 1 GM,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,276,AMPICILLIN SODIUM/SULBACTAM NA VIAL 1 GM,250,J0295,,0,0,0,0,0,0,0
CC-Pharmacy,279,WARFARIN 5 MG / 1 TAB,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,280,BUMETANIDE IV 2.5 MG / 10 ML,250,,9.09,7.27,8.36,8.64,8.64,8.64,8.36,9.09
CC-Pharmacy,281,OSELTAMIVIR PHOSPHATE,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,282,MELOXICAM 7.5 MG,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,283,BUDESONIDE NEB 0.5 MG / 2 ML,250,,29.03,23.22,26.71,27.58,27.58,27.58,26.71,29.03
CC-Pharmacy,284,BENZONATATE 100 MG / 1 EA,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,285,ERTAPENEM INJ 1 GM,250,J1335,,0,0,0,0,0,0,0
CC-Pharmacy,286,METHYLPREDNISOLONE INJ 1000 MG,250,J2930,,0,0,0,0,0,0,0
CC-Pharmacy,288,NYSTATIN POWDER 1 EA,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,290,BUDESONIDE NEB 0.25 MG / 2 ML,250,,32.12,25.7,29.55,30.51,30.51,30.51,29.55,32.12
CC-Pharmacy,295,LEVOTHYROXINE SODIUM TABLET 125 MCG / 1 TAB,250,,5,4,4.6,4.75,4.75,4.75,4.6,5
CC-Pharmacy,297,FLUCONAZOLE INJ *SPECIAL ORDER* 200 MG / 100 ML,250,,52.74,42.19,48.52,50.1,50.1,50.1,48.52,52.74
CC-Pharmacy,300,"ketorolac 15 MG/ML VIAL 15 mg, 1 mL",250,J1885,,0,0,0,0,0,0,0
CC-Pharmacy,301,NICARDIPINE 25 MG / 10 ML,250,J3490,,0,0,0,0,0,0,0
CC-Pharmacy,302,ALTEPLASE INJ 50 MG,250,,117.73,94.18,108.31,111.84,111.84,111.84,108.31,117.73
