Run Date: 10/18/2021 6:47:19 PM
CDM Date Stamp: 10/14/2020

Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE,BCBS_CLOSED_NETWORK,BCBS_HEALTHLINK_NETWORK,BCBS_POS,BCBS_TRADITIONAL,EBMS,HEALTH_INFO_NET_PEAK_EQUITY,HEALTH_INFO_NET_STANDARD,HUMANA_PPO_NETWORK,INTEGRATED_HEALTH_PLAN,INTERWEST_HEALTH_PPO,INTERWEST_HEALTH_TRADITIONAL,MOUNTAIN_HEALTH_CO-OP_HPN,MOUNTAIN_HEALTH_CO-OP_PPO_POS,PACIFIC_SOURCE,UHC_COMMERCIAL
1500396,CLINIC IMMUNIZATION ADM ADDITIONAL,ProFee,0983,90472,"Immunization administration (includes percutaneous, intradermal, subcutaneous, or intramuscular injections); each additional vaccine (single or combination vaccine/toxoid) (List separately in addition to code for primary procedure)",,0,38.0000,30.4000,20.9779,73.5050,21.1860,31.5400,31.5400,31.5400,31.5400,68.3200,32.3000,73.5050,N/A,N/A,0.0000,0.0000,24.7000,28.5000,36.8600,20.9779
1500404,CLINIC WET MOUNT,ProFee,0983,87210,"Smear, primary source with interpretation; wet mount for infectious agents (eg, saline, India ink, KOH preps)",,0,59.0000,47.2000,3.4920,343.4250,N/A,48.9700,48.9700,48.9700,48.9700,319.2000,50.1500,343.4250,N/A,N/A,0.0000,0.0000,6.6930,7.2750,57.2300,3.4920
1500412,CLINIC MMR,ProFee,0983,90707,"Measles, mumps and rubella virus vaccine (MMR), live, for subcutaneous use",,0,104.0000,83.2000,41.6000,187.9800,N/A,86.3200,86.3200,86.3200,86.3200,174.7200,88.4000,187.9800,N/A,N/A,0.0000,0.0000,67.6000,78.0000,100.8800,41.6000
1500420,CLINIC DEXAMETHOSONE PER 1 MG,ProFee,0983,J1100,Dexamethasone sodium phos,,0,4.0000,3.2000,1.6000,3.8800,N/A,3.3200,3.3200,3.3200,3.3200,3.2000,3.4000,3.4000,N/A,N/A,0.0000,0.0000,2.6000,3.0000,3.8800,1.6000
1500453,LAC REPAIR 2.6-5.0 CM,ProFee,0983,12052,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm",,0,886.0000,708.8000,335.6459,862.1775,337.7990,735.3800,735.3800,735.3800,735.3800,801.3600,753.1000,862.1775,N/A,N/A,0.0000,0.0000,575.9000,664.5000,859.4200,335.6459
1500461,FRACTURE CARE PHALANGE WITH MANIP,ProFee,0983,26725,"Closed treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb; with manipulation, with or without skin or skeletal traction, each",,0,1025.0000,820.0000,278.3200,2389.5200,513.7605,850.7500,850.7500,850.7500,850.7500,278.3200,2389.5200,299.4425,N/A,N/A,2354.1792,2354.1792,1886.7654,2096.4060,994.2500,522.2508
1500479,CLINIC HIB,ProFee,0983,90647,"Haemophilus influenzae type b vaccine (Hib), PRP-OMP conjugate, 3 dose schedule, for intramuscular use",,0,71.0000,56.8000,28.4000,83.7475,N/A,58.9300,58.9300,58.9300,58.9300,77.8400,60.3500,83.7475,N/A,N/A,0.0000,0.0000,46.1500,53.2500,68.8700,28.4000
1500487,CLINIC ACTHIB,ProFee,0983,90648,"Haemophilus influenzae type b vaccine (Hib), PRP-T conjugate, 4 dose schedule, for intramuscular use",,0,44.0000,35.2000,17.6000,47.5975,N/A,36.5200,36.5200,36.5200,36.5200,44.2400,37.4000,47.5975,N/A,N/A,0.0000,0.0000,28.6000,33.0000,42.6800,17.6000
1500495,CLINIC PENTACEL,ProFee,0983,90698,"Diphtheria, tetanus toxoids, acellular pertussis vaccine, Haemophilus influenzae type b, and inactivated poliovirus vaccine, (DTaP-IPV/Hib), for intramuscular use",,0,85.0000,68.0000,34.0000,82.4500,N/A,70.5500,70.5500,70.5500,70.5500,40.8800,72.2500,43.9825,N/A,N/A,0.0000,0.0000,55.2500,63.7500,82.4500,34.0000
1500503,CLINIC KINRIX,ProFee,0983,90696,"Diphtheria, tetanus toxoids, acellular pertussis vaccine and inactivated poliovirus vaccine (DTaP-IPV), when administered to children 4 through 6 years of age, for intramuscular use",,0,116.0000,92.8000,46.4000,168.0975,N/A,96.2800,96.2800,96.2800,96.2800,156.2400,98.6000,168.0975,N/A,N/A,0.0000,0.0000,75.4000,87.0000,112.5200,46.4000
1500602,ADMIT/DC SAME DAY OBS LEVEL 1,ProFee,0983,99234,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of low severity. Typically, 40 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,475.0000,380.0000,48.3786,460.7500,221.8645,394.2500,394.2500,394.2500,394.2500,211.1200,65.4500,227.1425,N/A,N/A,64.4820,64.4820,48.3786,53.7540,460.7500,218.5625
1500610,ADMIT/DC SAME DAY OBS LEVEL 2,ProFee,0983,99235,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of moderate severity. Typically, 50 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,640.0000,512.0000,57.2220,620.8000,280.7145,531.2000,531.2000,531.2000,531.2000,267.1200,129.1150,287.3925,N/A,N/A,127.2054,127.2054,57.2220,63.5800,620.8000,277.7364
1500628,ADMIT/DC SAME DAY OBS LEVEL 3,ProFee,0983,99236,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of high severity. Typically, 55 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,788.0000,630.4000,55.6890,764.3600,361.3390,654.0400,654.0400,654.0400,654.0400,343.8400,56.5250,369.9350,N/A,N/A,55.6890,55.6890,112.8834,125.4260,764.3600,356.5905
1500701,SCHOOL PHYSICAL AGES 5-11,ProFee,0983,99393,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, established patient; late childhood (age 5 through 11 years)",,0,30.0000,24.0000,12.0000,131.9475,128.8815,24.9000,24.9000,24.9000,24.9000,122.6400,58.9050,131.9475,N/A,N/A,58.0338,58.0338,78.5502,87.2780,29.1000,12.0000
1500727,SCHOOL PHYSICAL AGES 18-39,ProFee,0983,99395,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, established patient; 18-39 years",,0,30.0000,24.0000,12.0000,153.6375,150.0675,24.9000,24.9000,24.9000,24.9000,142.8000,44.6250,153.6375,N/A,N/A,43.9650,43.9650,27.0504,30.0560,29.1000,12.0000
1500735,EXCISION MALIGNANT LESION,ProFee,0983,11624,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm",,0,1024.0000,819.2000,30.2400,993.2800,403.1225,849.9200,849.9200,849.9200,849.9200,30.2400,728.8750,32.5350,N/A,N/A,718.0950,718.0950,101.4390,112.7100,993.2800,399.8938
1501105,CLINIC DTAP (TRIPEDIA/DAPTACEL),ProFee,0983,90700,"Diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP), when administered to individuals younger than 7 years, for intramuscular use",,0,44.0000,35.2000,17.6000,419.3400,N/A,36.5200,36.5200,36.5200,36.5200,389.7600,37.4000,419.3400,N/A,N/A,0.0000,0.0000,28.6000,33.0000,42.6800,17.6000
1501113,CLINIC POLIO  (IPOL),ProFee,0983,90713,"Poliovirus vaccine, inactivated (IPV), for subcutaneous or intramuscular use",,0,56.0000,44.8000,22.4000,402.4700,N/A,46.4800,46.4800,46.4800,46.4800,374.0800,47.6000,402.4700,N/A,N/A,0.0000,0.0000,36.4000,42.0000,54.3200,22.4000
1501121,CLINIC HIB/HEP B,ProFee,0983,90747,"Hepatitis B vaccine (HepB), dialysis or immunosuppressed patient dosage, 4 dose schedule, for intramuscular use",,0,96.0000,76.8000,38.4000,93.1200,N/A,79.6800,79.6800,79.6800,79.6800,42.0000,81.6000,45.1875,N/A,N/A,0.0000,0.0000,62.4000,72.0000,93.1200,38.4000
1501139,EXC MALIGNANT LESION <.5CM,ProFee,0983,11600,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.5 cm or less",,0,580.0000,464.0000,109.2000,1070.4050,203.6210,481.4000,481.4000,481.4000,481.4000,109.2000,1070.4050,117.4875,N/A,N/A,1054.5738,1054.5738,890.5824,989.5360,562.6000,206.2020
1501147,PMC PROCTOSIGMOID WITH POLYPECTOMY,ProFee,0983,45308,"Proctosigmoidoscopy, rigid; with removal of single tumor, polyp, or other lesion by hot biopsy forceps or bipolar cautery",,0,673.0000,538.4000,142.9523,2935.7300,143.5940,558.5900,558.5900,558.5900,558.5900,509.6000,2935.7300,548.2750,N/A,N/A,2892.3108,2892.3108,1359.8028,1510.8920,652.8100,142.9523
1501154,INCISION/DRAINAGE TOOTH ABSCESS,ProFee,0983,41800,"Drainage of abscess, cyst, hematoma from dentoalveolar structures",,0,835.0000,668.0000,256.2760,2212.5840,257.1745,693.0500,693.0500,693.0500,693.0500,2052.9600,2090.8300,2208.7650,N/A,N/A,2059.9068,2059.9068,1991.3256,2212.5840,809.9500,256.2760
1501162,PMC SIGMOIDOSCOPY ABLATION OF TUM,ProFee,0983,45339,,,0,658.0000,526.4000,263.2000,638.2600,0.0000,546.1400,546.1400,546.1400,546.1400,0.0000,0.0000,0.0000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,638.2600,263.2000
1501170,FRACTURE CARE ULNAR SHAFT,ProFee,0983,25530,Closed treatment of ulnar shaft fracture; without manipulation,,0,798.0000,638.4000,404.8880,1788.2200,404.8880,662.3400,662.3400,662.3400,662.3400,1662.0800,678.3000,1788.2200,N/A,N/A,0.0000,0.0000,518.7000,598.5000,774.0600,406.4150
1501550,HOSPITAL ADMISSION - LEVEL 1,ProFee,0987,99221,"Initial hospital care, per day, for the evaluation and management of a patient, which requires these 3 key components: A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission are of low severity. Typically, 30 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,307.0000,245.6000,42.2064,297.7900,169.4880,254.8100,254.8100,254.8100,254.8100,161.2800,42.8400,173.5200,N/A,N/A,42.2064,42.2064,242.9334,269.9260,297.7900,179.0522
1501576,CLINIC DERMABOND,ProFee,0983,A4550,Surgical trays,,0,121.0000,96.8000,48.4000,117.3700,N/A,100.4300,100.4300,100.4300,100.4300,96.8000,102.8500,102.8500,N/A,N/A,0.0000,0.0000,78.6500,90.7500,117.3700,48.4000
1501600,HOSPITAL ADMISSION - LEVEL 2,ProFee,0987,99222,"Initial hospital care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission are of moderate severity. Typically, 50 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,438.0000,350.4000,37.4544,424.8600,228.9265,363.5400,363.5400,363.5400,363.5400,217.8400,50.5750,234.3725,N/A,N/A,49.8270,49.8270,37.4544,41.6160,424.8600,226.0985
1501659,HOSPITAL ADMISSION - LEVEL 3,ProFee,0987,99223,"Initial hospital care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission are of high severity. Typically, 70 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,614.0000,491.2000,28.7238,595.5800,336.0335,509.6200,509.6200,509.6200,509.6200,319.7600,29.1550,344.0275,N/A,N/A,28.7238,28.7238,44.2170,49.1300,595.5800,332.8178
1501709,HOSPITAL VISIT - LEVEL 1,ProFee,0987,99231,"Subsequent hospital care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: A problem focused interval history; A problem focused examination; Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is stable, recovering or improving. Typically, 15 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,157.0000,125.6000,41.6160,152.2900,65.3235,130.3100,130.3100,130.3100,130.3100,62.1600,54.7400,66.8775,N/A,N/A,53.9304,53.9304,41.6160,46.2400,152.2900,63.7820
1501717,INJECTION TENDON,ProFee,0983,20550,"Injection(s); single tendon sheath, or ligament, aponeurosis (eg, plantar ""fascia"")",,0,218.0000,174.4000,66.0612,1395.9925,66.5005,180.9400,180.9400,180.9400,180.9400,1297.5200,1288.1750,1395.9925,N/A,N/A,1269.1230,1269.1230,1189.1772,1321.3080,211.4600,66.0612
