Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE,BCBSMT_HEALTHLINK,BCBSMT_POS_CLOSED_NETWORK,BCBSMT_TRADITIONAL,FIRST_CHOICE_HEALTH,PACIFIC_SOURCE,UNITED_HEALTHCARE,hospital
00117004_7,F DESTRUCTION LEG ANG METH BENIGN 15 MOR,Outpatient,521,17004,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), premalignant lesions (eg, actinic keratoses), 15 or more lesions",,0,287,243.95,91.8,281.26,272.65,91.8,91.8,91.8,281.26,281.26,272.65,Pondera_Medical_Center
00117111_7,"F DESTRUCTION BENIGN LESIONS, 15 OR MORE",Outpatient,521,17111,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; 15 or more lesions",,0,252,214.2,214.2,252,239.4,239.4,244.44,252,246.96,246.96,239.4,Pondera_Medical_Center
00120550_7,"F INJECTION TENDON SHEATH,LIGAN",Outpatient,521,20550,"Injection(s); single tendon sheath, or ligament, aponeurosis (eg, plantar ""fascia"")",,0,173,147.05,24.12,169.54,164.35,24.12,24.12,24.12,169.54,169.54,164.35,Pondera_Medical_Center
00120551_7,F INJECTION TENDON ORIGIN/INSUTION,Outpatient,521,20551,Injection(s); single tendon origin/insertion,,0,164,139.4,32.4,160.72,155.8,32.4,32.4,32.4,160.72,160.72,155.8,Pondera_Medical_Center
00120552_7,F INJECTION SIN OR MULTI TRIGGER POINTS,Outpatient,521,20552,"Injection(s); single or multiple trigger point(s), 1 or 2 muscle(s)",,0,151,128.35,30.24,147.98,143.45,30.24,30.24,30.24,147.98,147.98,143.45,Pondera_Medical_Center
00120553_7,F INJECTION SING/MULT TRIGGER PT 3+ MUSC,Outpatient,521,20553,"Injection(s); single or multiple trigger point(s), 3 or more muscles",,0,161,136.85,35.28,157.78,152.95,35.28,35.28,35.28,157.78,157.78,152.95,Pondera_Medical_Center
00120600_7,F ARTHROCENTESIS ASPIR SML JOINT,Outpatient,521,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",,0,158,134.3,23.04,154.84,150.1,23.04,23.04,23.04,154.84,154.84,150.1,Pondera_Medical_Center
00120605_7,F ASPIRATION INTERMED JNT/BURSA,Outpatient,521,20605,"Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, temporomandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); without ultrasound guidance",,0,156,132.6,24.48,152.88,148.2,24.48,24.48,24.48,152.88,152.88,148.2,Pondera_Medical_Center
00120610_7,F INJECTION MAJOR JOINT OR BURSA,Outpatient,521,20610,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",,0,205,174.25,29.16,200.9,194.75,29.16,29.16,29.16,200.9,200.9,194.75,Pondera_Medical_Center
00126010_7,F I D OF FINGER ABSCESS,Outpatient,521,26010,Drainage of finger abscess; simple,,0,553,470.05,88.02,541.94,525.35,88.02,88.02,88.02,541.94,541.94,525.35,Pondera_Medical_Center
00129065_7,F APPLICATION SHOULDER TO HAND CAST,Outpatient,521,29065,"Application, cast; shoulder to hand (long arm)",,0,277,235.45,62.64,271.46,263.15,62.64,62.64,62.64,271.46,271.46,263.15,Pondera_Medical_Center
00129075_7,F CAST APP SHORT ARM,Outpatient,521,29075,"Application, cast; elbow to finger (short arm)",,0,211,179.35,57.24,206.78,200.45,57.24,57.24,57.24,206.78,206.78,200.45,Pondera_Medical_Center
00129085_7,F CAST APPLICATION CIRCULAR,Outpatient,521,29085,"Application, cast; hand and lower forearm (gauntlet)",,0,272,231.2,62.28,266.56,258.4,62.28,62.28,62.28,266.56,266.56,258.4,Pondera_Medical_Center
00129105_7,F APPLICATION LONG ARM SPLINT,Outpatient,521,29105,Application of long arm splint (shoulder to hand),,0,232,197.2,54.72,227.36,220.4,54.72,54.72,54.72,227.36,227.36,220.4,Pondera_Medical_Center
00129125_7,F APPLY SHORT ARM SPLINT,Outpatient,521,29125,Application of short arm splint (forearm to hand); static,,0,165,140.25,140.25,165,156.75,156.75,160.05,165,161.7,161.7,156.75,Pondera_Medical_Center
00129130_7,F THUMB SPLINT APPLICATION,Outpatient,521,29130,Application of finger splint; static,,0,114,96.9,96.9,114,108.3,108.3,110.58,114,111.72,111.72,108.3,Pondera_Medical_Center
00129405_7,F CAST APPLICAT SHORT BELOW KNEE,Outpatient,521,29405,Application of short leg cast (below knee to toes),,0,215,182.75,50.76,210.7,204.25,50.76,50.76,50.76,210.7,210.7,204.25,Pondera_Medical_Center
00129515_7,F APPLICATION POSTERIOR SPLINT,Outpatient,521,29515,Application of short leg splint (calf to foot),,0,188,159.8,44.64,184.24,178.6,44.64,44.64,44.64,184.24,184.24,178.6,Pondera_Medical_Center
00129580_7,F UNA BOOT,Outpatient,521,29580,Strapping; Unna boot,,0,112,95.2,40.68,109.76,106.4,40.68,40.68,40.68,109.76,109.76,106.4,Pondera_Medical_Center
00130901_7,F SIMPLE NASAL HEMORRHAGE CONTRO,Outpatient,521,30901,"Control nasal hemorrhage, anterior, simple (limited cautery and/or packing) any method",,0,250,212.5,212.5,250,237.5,237.5,242.5,250,245,245,237.5,Pondera_Medical_Center
00146083_7,F I D EXTERNAL HEMORROID,Outpatient,521,46083,"Incision of thrombosed hemorrhoid, external",,0,393,334.05,119.58,385.14,373.35,119.58,119.58,119.58,385.14,385.14,373.35,Pondera_Medical_Center
00151702_7,F INSERT TEMP INDWELLING BLADDER CATH,Outpatient,521,51702,"Insertion of temporary indwelling bladder catheter; simple (eg, Foley)",,0,218,185.3,185.3,218,207.1,207.1,211.46,218,213.64,213.64,207.1,Pondera_Medical_Center
00154150_7,F CIRCUMCISION NEWBORN,Outpatient,521,54150,"Circumcision, using clamp or other device with regional dorsal penile or ring block",,0,333,283.05,283.05,333,316.35,316.35,323.01,333,326.34,326.34,316.35,Pondera_Medical_Center
00157160_7,F FITTING & INSERTION OF PESSAY/OTH DEV,Outpatient,521,57160,Fitting and insertion of pessary or other intravaginal support device,,0,200,170,41.76,196,190,41.76,41.76,41.76,196,196,190,Pondera_Medical_Center
00157454_7,F COLPOSCOPY WITH BX OF CERVIX,Outpatient,521,57454,Colposcopy of the cervix including upper/adjacent vagina; with biopsy(s) of the cervix and endocervical curettage,,0,410,348.5,61.56,401.8,389.5,61.56,61.56,61.56,401.8,401.8,389.5,Pondera_Medical_Center
00157511_7,FCRYOCAUTERY OF CERVIX INITIAL OR REPEAT,Outpatient,521,57511,"Cautery of cervix; cryocautery, initial or repeat",,0,346,294.1,69.84,339.08,328.7,69.84,69.84,69.84,339.08,339.08,328.7,Pondera_Medical_Center
00158100_7,F ENDOMETRIAL BIOPSY,Outpatient,521,58100,"Endometrial sampling (biopsy) with or without endocervical sampling (biopsy), without cervical dilation, any method (separate procedure)",,0,274,232.9,48.96,268.52,260.3,48.96,48.96,48.96,268.52,268.52,260.3,Pondera_Medical_Center
00165222_7,F REMOVAL OF CORNEAL FOREIGN BOD,Outpatient,521,65222,"Removal of foreign body, external eye; corneal, with slit lamp",,0,174,147.9,147.9,174,165.3,165.3,168.78,174,170.52,170.52,165.3,Pondera_Medical_Center
00169200_7,F EAR REMOVAL FOREIGN BODY,Outpatient,521,69200,Removal foreign body from external auditory canal; without general anesthesia,,0,263,223.55,223.55,263,249.85,249.85,255.11,263,257.74,257.74,249.85,Pondera_Medical_Center
00169210_7,F CERUMEN REMOVAL,Outpatient,521,69210,"Removal impacted cerumen requiring instrumentation, unilateral",,0,109,92.65,92.65,109,103.55,103.55,105.73,109,106.82,106.82,103.55,Pondera_Medical_Center
00181000_7,"F URINALYSIS,DIP AND MICRO",Outpatient,521,81000,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; non-automated, with microscopy",,0,20,17,5.43,19.6,19,5.43,5.43,5.43,19.6,19.6,19,Pondera_Medical_Center
00181025_7,F PREG TEST,Outpatient,521,81025,"Urine pregnancy test, by visual color comparison methods",,0,26,22.1,11.62,25.48,24.7,11.62,11.62,11.62,25.48,25.48,24.7,Pondera_Medical_Center
00196372_7,"F THERAP, PROPH,OR DIAG INJ SUBCU OR IM",Outpatient,521,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",,0,65,55.25,55.25,65,61.75,61.75,63.05,65,63.7,63.7,61.75,Pondera_Medical_Center
00199354_7,F PROLONGED CARE W/PT CONTACT FIRST HOUR,Outpatient,521,99354,"Prolonged service(s) in the outpatient setting requiring direct patient contact beyond the time of the usual service; first hour (List separately in addition to code for outpatient Evaluation and Management or psychotherapy service, except with office or other outpatient services [99202, 99203, 99204, 99205, 99212, 99213, 99214, 99215])",,0,316,268.6,268.6,316,300.2,300.2,306.52,316,309.68,309.68,300.2,Pondera_Medical_Center
00199406_7,F TOBACCO CESSATION COUNSELING 3-10 MIN,Outpatient,521,99406,"Smoking and tobacco use cessation counseling visit; intermediate, greater than 3 minutes up to 10 minutes",,0,40,34,34,40,38,38,38.8,40,39.2,39.2,38,Pondera_Medical_Center
00199407_7,F TOBACCO CESSATION COUNSELING <10 MIN,Outpatient,521,99407,"Smoking and tobacco use cessation counseling visit; intensive, greater than 10 minutes",,0,67,56.95,56.95,67,63.65,63.65,64.99,67,65.66,65.66,63.65,Pondera_Medical_Center
01102550_7,F PHENERGAN INJ UP TO 50MG,Outpatient,636,J2550,Promethazine hcl injection,,0,6,5.1,1.99,5.88,5.7,1.99,1.99,1.99,5.88,5.88,5.7,Pondera_Medical_Center
01103030_7,F IMITREX SUMATRIPTAN INJ 6 MG,Outpatient,636,J3030,Sumatriptan succinate / 6 mg,,0,114,96.9,42.73,111.72,108.3,42.73,42.73,42.73,111.72,111.72,108.3,Pondera_Medical_Center
01121885_7,F KETOROLAC PER 15 MG 2ML 60MG VIAL,Outpatient,636,J1885,Ketorolac tromethamine inj,,0,6,5.1,0.6,5.88,5.7,0.6,0.6,0.6,5.88,5.88,5.7,Pondera_Medical_Center
01123301_7,RX KENALOG INJ PER 10MG 40MG/ML MDV,Outpatient,636,J3301,Triamcinolone acet inj nos,,0,3,2.55,2.3,2.94,2.85,2.3,2.3,2.3,2.94,2.94,2.85,Pondera_Medical_Center
01704006_7,"F CAST SUPPLIES, LONG ARM ADULT FIBER",Outpatient,521,Q4006,Cast sup long arm adult fbrg,,0,76,64.6,30.33,74.48,72.2,30.33,30.33,30.33,74.48,74.48,72.2,Pondera_Medical_Center
01704010_7,F CAST SUPPLIES SHORT ARM ADULT FIBER,Outpatient,521,Q4010,Cast sup sht arm adult fbrgl,,0,54,45.9,20.22,52.92,51.3,20.22,20.22,20.22,52.92,52.92,51.3,Pondera_Medical_Center
01704012_7,F SHORT ARM CAST CHILD,Outpatient,521,Q4012,Cast sup sht arm ped fbrglas,,0,29,24.65,10.13,28.42,27.55,10.13,10.13,10.13,28.42,28.42,27.55,Pondera_Medical_Center
01704014_7,F CAST SUP GAUNTLET FIBERGLASS,Outpatient,521,Q4014,Cast sup gauntlet fiberglass,,0,67,56.95,27.58,65.66,63.65,27.58,27.58,27.58,65.66,65.66,63.65,Pondera_Medical_Center
01704018_7,FCAST SUPPLIES LONG ARM SPLINT ADULT FIB,Outpatient,521,Q4018,Cast sup lng arm splint fbrg,,0,57,48.45,15.07,55.86,54.15,15.07,15.07,15.07,55.86,55.86,54.15,Pondera_Medical_Center
01704022_7,"F CAST SUPPLIES, SHORT ARM SPL ADULT FIB",Outpatient,521,Q4022,Cast sup sht arm splint fbrg,,0,40,34,12.62,39.2,38,12.62,12.62,12.62,39.2,39.2,38,Pondera_Medical_Center
01704024_7,FCAST SUPPLIES SHORT ARM SPLINT PEDI FIB,Outpatient,521,Q4024,Cast sup sht arm splnt ped f,,0,18,15.3,6.33,17.64,17.1,6.33,6.33,6.33,17.64,17.64,17.1,Pondera_Medical_Center
01704038_7,FCAST SUPPLIES HORT LEG CAST ADULT FIBER,Outpatient,521,Q4038,Cast sup shrt leg fiberglass,,0,104,88.4,42.77,101.92,98.8,42.77,42.77,42.77,101.92,101.92,98.8,Pondera_Medical_Center
01704046_7,F CAST SUPPLIES SHRT LG SPLINT ADULT FIB,Outpatient,521,Q4046,Cast sup sht leg splnt fbrgl,,0,76,64.6,19.38,74.48,72.2,19.38,19.38,19.38,74.48,74.48,72.2,Pondera_Medical_Center
01704049_7,F SUPPLIES FOR FINGER CAST/SPLINT,Outpatient,521,Q4049,"Finger splint, static",,0,14,11.9,2.19,13.72,13.3,2.19,2.19,2.19,13.72,13.72,13.3,Pondera_Medical_Center
10000001_7,COV2 VACCINE ADMIN PFIZER 1ST DOSE,Outpatient,771,0001A,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 30 mcg/0.3mL dosage, diluent reconstituted; first dose",,0,40,34,34,40,38,38,38.8,40,39.2,39.2,38,Pondera_Medical_Center
10000002_7,COV2 VACCINE ADMIN PFIZER 2ND DOSE,Outpatient,771,0002A,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 30 mcg/0.3mL dosage, diluent reconstituted; second dose",,0,40,34,34,40,38,38,38.8,40,39.2,39.2,38,Pondera_Medical_Center
10000003_7,COV2 VACCINE ADMIN PFIZER 3RD DOSE,Outpatient,771,0003A,Fee covid-19 vac 1 booster,,0,40,34,34,40,38,38,38.8,40,39.2,39.2,38,Pondera_Medical_Center
10000004_7,COV2 VACCINE ADMIN PFIZER BOOSTER DOSE,Outpatient,771,0004A,Fee covid-19 vac 1 res,,0,40,34,34,40,38,38,38.8,40,39.2,39.2,38,Pondera_Medical_Center
10000011_7,COV2 VACCINE ADMIN MODERNA 1ST DOSE,Outpatient,771,0011A,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 100 mcg/0.5mL dosage; first dose",,0,40,34,34,40,38,38,38.8,40,39.2,39.2,38,Pondera_Medical_Center
10000012_7,COV2 VACCINE ADMIN MODERNA 2ND DOSE,Outpatient,771,0012A,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 100 mcg/0.5mL dosage; second dose",,0,40,34,34,40,38,38,38.8,40,39.2,39.2,38,Pondera_Medical_Center
10000013_7,COV2 VACCINE ADMIN MODERNA 3RD DOSE,Outpatient,771,0013A,Fee covid-19 vac 2 booster,,0,40,34,34,40,38,38,38.8,40,39.2,39.2,38,Pondera_Medical_Center
10000064_7,COV2 VACCINE ADMIN MODERNA BOOSTER DOSE,Outpatient,771,0064A,Fee covid-19 vac 7 res,,0,40,34,34,40,38,38,38.8,40,39.2,39.2,38,Pondera_Medical_Center
100001_1,REMOVAL INTRAUTERINE DEVICE,Emergency,450,58301,Removal of intrauterine device (IUD),,0,276,234.6,46.08,276,262.2,46.08,46.08,46.08,270.48,270.48,262.2,Pondera_Medical_Center
100001_1,REMOVAL INTRAUTERINE DEVICE,Inpatient,450,58301,Removal of intrauterine device (IUD),,0,276,234.6,46.08,276,262.2,262.2,267.72,276,270.48,270.48,262.2,Pondera_Medical_Center
100002_1,REMOVE FB TENDON SIMP,Emergency,450,20520,Removal of foreign body in muscle or tendon sheath; simple,,0,1582,1344.7,132.84,1582,1502.9,132.84,132.84,132.84,1550.36,1550.36,1502.9,Pondera_Medical_Center
100002_1,REMOVE FB TENDON SIMP,Inpatient,450,20520,Removal of foreign body in muscle or tendon sheath; simple,,0,1582,1344.7,132.84,1582,1502.9,1502.9,1534.54,1582,1550.36,1550.36,1502.9,Pondera_Medical_Center
10000216_7,ANESTHIA VASCULAR PROCEDURES,Outpatient,521,216,,,0,525,446.25,446.25,514.5,498.75,0,0,0,514.5,514.5,498.75,Pondera_Medical_Center
100003_1,CLSD TRT TRIMALLE W MAN,Emergency,450,27818,Closed treatment of trimalleolar ankle fracture; with manipulation,,0,1350,1147.5,1147.5,1350,1282.5,1282.5,1309.5,1350,1323,1323,1282.5,Pondera_Medical_Center
100003_1,CLSD TRT TRIMALLE W MAN,Inpatient,450,27818,Closed treatment of trimalleolar ankle fracture; with manipulation,,0,1350,1147.5,1147.5,1350,1282.5,1282.5,1309.5,1350,1323,1323,1282.5,Pondera_Medical_Center
100004_1,CLSD TRT METCRPL FX SINGL WO MAN,Emergency,450,26600,"Closed treatment of metacarpal fracture, single; without manipulation, each bone",,0,519,441.15,111.96,519,493.05,111.96,111.96,111.96,508.62,508.62,493.05,Pondera_Medical_Center
100004_1,CLSD TRT METCRPL FX SINGL WO MAN,Inpatient,450,26600,"Closed treatment of metacarpal fracture, single; without manipulation, each bone",,0,519,441.15,111.96,519,493.05,493.05,503.43,519,508.62,508.62,493.05,Pondera_Medical_Center
100005_1,EXPLR PENTRTNG WND EXTREM SEP PROC,Emergency,450,20103,Exploration of penetrating wound (separate procedure); extremity,,0,1603,1362.55,1362.55,1603,1522.85,1522.85,1554.91,1603,1570.94,1570.94,1522.85,Pondera_Medical_Center
100005_1,EXPLR PENTRTNG WND EXTREM SEP PROC,Inpatient,450,20103,Exploration of penetrating wound (separate procedure); extremity,,0,1603,1362.55,1362.55,1603,1522.85,1522.85,1554.91,1603,1570.94,1570.94,1522.85,Pondera_Medical_Center
100006_1,LYR CLS FACE 7.6 12.5 CM,Emergency,450,12054,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm",,0,966,821.1,821.1,966,917.7,917.7,937.02,966,946.68,946.68,917.7,Pondera_Medical_Center
100006_1,LYR CLS FACE 7.6 12.5 CM,Inpatient,450,12054,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm",,0,966,821.1,821.1,966,917.7,917.7,937.02,966,946.68,946.68,917.7,Pondera_Medical_Center
100007_1,NEEDLE PLACE INTRAOSS INFUSE,Emergency,450,36680,Placement of needle for intraosseous infusion,,0,350,297.5,297.5,350,332.5,332.5,339.5,350,343,343,332.5,Pondera_Medical_Center
100007_1,NEEDLE PLACE INTRAOSS INFUSE,Inpatient,450,36680,Placement of needle for intraosseous infusion,,0,350,297.5,297.5,350,332.5,332.5,339.5,350,343,343,332.5,Pondera_Medical_Center
100008_1,REMOVE FOREIGN BODY DENTAL STRUCT,Emergency,450,41805,Removal of embedded foreign body from dentoalveolar structures; soft tissues,,0,1279,1087.15,235.08,1279,1215.05,235.08,235.08,235.08,1253.42,1253.42,1215.05,Pondera_Medical_Center
100008_1,REMOVE FOREIGN BODY DENTAL STRUCT,Inpatient,450,41805,Removal of embedded foreign body from dentoalveolar structures; soft tissues,,0,1279,1087.15,235.08,1279,1215.05,1215.05,1240.63,1279,1253.42,1253.42,1215.05,Pondera_Medical_Center
100010_1,THROMBOLYSIS CORONARY IV INFUSION,Emergency,450,92977,"Thrombolysis, coronary; by intravenous infusion",,0,802,681.7,681.7,802,761.9,761.9,777.94,802,785.96,785.96,761.9,Pondera_Medical_Center
100010_1,THROMBOLYSIS CORONARY IV INFUSION,Inpatient,450,92977,"Thrombolysis, coronary; by intravenous infusion",,0,802,681.7,681.7,802,761.9,761.9,777.94,802,785.96,785.96,761.9,Pondera_Medical_Center
100011_1,I & D PERIANAL ABSCESS,Emergency,450,46050,"Incision and drainage, perianal abscess, superficial",,0,1154,980.9,980.9,1154,1096.3,1096.3,1119.38,1154,1130.92,1130.92,1096.3,Pondera_Medical_Center
100011_1,I & D PERIANAL ABSCESS,Inpatient,450,46050,"Incision and drainage, perianal abscess, superficial",,0,1154,980.9,980.9,1154,1096.3,1096.3,1119.38,1154,1130.92,1130.92,1096.3,Pondera_Medical_Center
100012_1,REDUCTION OF RECTAL PROLAPSE,Emergency,450,45900,Reduction of procidentia (separate procedure) under anesthesia,,0,1141,969.85,969.85,1141,1083.95,1083.95,1106.77,1141,1118.18,1118.18,1083.95,Pondera_Medical_Center
100012_1,REDUCTION OF RECTAL PROLAPSE,Inpatient,450,45900,Reduction of procidentia (separate procedure) under anesthesia,,0,1141,969.85,969.85,1141,1083.95,1083.95,1106.77,1141,1118.18,1118.18,1083.95,Pondera_Medical_Center
10001800_7,ANESTHESIA HANDS WRIST FOREA,Outpatient,521,400,,,0,874,742.9,742.9,856.52,830.3,0,0,0,856.52,856.52,830.3,Pondera_Medical_Center
10001810_7,ANES OR NERVES MUSCLES ON HAND,Outpatient,521,1810,,,0,277,235.45,235.45,271.46,263.15,0,0,0,271.46,271.46,263.15,Pondera_Medical_Center
10001820_7,ANESTHESIA OPEN RADIUS ULNA W,Outpatient,521,1820,,,0,256,217.6,217.6,250.88,243.2,0,0,0,250.88,250.88,243.2,Pondera_Medical_Center
100078_1,DRAIN ABSCESS VEST MOUTH SIMP,Emergency,450,40800,"Drainage of abscess, cyst, hematoma, vestibule of mouth; simple",,0,579,492.15,168.84,579,550.05,168.84,168.84,168.84,567.42,567.42,550.05,Pondera_Medical_Center
100078_1,DRAIN ABSCESS VEST MOUTH SIMP,Inpatient,450,40800,"Drainage of abscess, cyst, hematoma, vestibule of mouth; simple",,0,579,492.15,168.84,579,550.05,550.05,561.63,579,567.42,567.42,550.05,Pondera_Medical_Center
100100_1,TRAUMA ACTIVATION LEVEL 1,Inpatient,681,G0390,Trauma respons w/hosp criti,,0,1976,1679.6,1679.6,1976,1877.2,1877.2,1916.72,1976,1936.48,1936.48,1877.2,Pondera_Medical_Center
100100_1,TRAUMA ACTIVATION LEVEL 1,Outpatient,681,G0390,Trauma respons w/hosp criti,,0,1976,1679.6,1679.6,1976,1877.2,1877.2,1916.72,1976,1936.48,1936.48,1877.2,Pondera_Medical_Center
10010040_7,ACNE SURGERY,Outpatient,521,10040,"Acne surgery (eg, marsupialization, opening or removal of multiple milia, comedones, cysts, pustules)",,0,234,198.9,198.9,234,222.3,222.3,226.98,234,229.32,229.32,222.3,Pondera_Medical_Center
