Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,Allegiance,Allegiance_Medicare_RBPHP,BCBS_HEALTHLINK_NETWORK,BCBS_TRADITIONAL_NETWORK,Indian_Health_Svcs,PACIFIC_SOURCE_,hospital
1176078_1,Interp Anti-IgG DAT,Outpatient,302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,85.75,64.31,49.74,159.5,81.46,159.5,79.75,85.75,49.74,81.46,Trinity_Hospital
1176080_1,"Interp Anti-C3b,C3d DAT",Inpatient,302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,85.75,64.31,49.74,159.5,81.46,81.46,79.75,85.75,,81.46,Trinity_Hospital
1176080_1,"Interp Anti-C3b,C3d DAT",Outpatient,302,86880,"Antihuman globulin test (Coombs test); direct, each antiserum",,0,85.75,64.31,49.74,159.5,81.46,159.5,79.75,85.75,49.74,81.46,Trinity_Hospital
1360073_1,UIBC,Inpatient,301,83550,Iron binding capacity,,0,88.5,66.38,51.33,164.61,84.08,84.08,82.31,88.5,,84.08,Trinity_Hospital
1360073_1,UIBC,Outpatient,301,83550,Iron binding capacity,,0,88.5,66.38,51.33,164.61,84.08,164.61,82.31,88.5,51.33,84.08,Trinity_Hospital
1364072_1,"Cholesterol, Fluid (Regional)",Inpatient,301,84311,"Spectrophotometry, analyte not elsewhere specified",,0,78,58.5,45.24,145.08,74.1,74.1,72.54,78,,74.1,Trinity_Hospital
1364072_1,"Cholesterol, Fluid (Regional)",Outpatient,301,84311,"Spectrophotometry, analyte not elsewhere specified",,0,78,58.5,45.24,145.08,74.1,145.08,72.54,78,45.24,74.1,Trinity_Hospital
1364073_1,"Inactive Lactic Acid, Fluid",Inpatient,,,,,0,202.75,152.06,117.6,377.12,192.61,192.61,188.56,202.75,,192.61,Trinity_Hospital
1364073_1,"Inactive Lactic Acid, Fluid",Outpatient,,,,,0,202.75,152.06,117.6,377.12,192.61,377.12,188.56,202.75,117.6,192.61,Trinity_Hospital
1402127_1,"Hemoglobin Hemocue, Nursing",Inpatient,300,85018,Blood count; hemoglobin (Hgb),,0,39,29.25,22.62,72.54,37.05,37.05,36.27,39,,37.05,Trinity_Hospital
1402127_1,"Hemoglobin Hemocue, Nursing",Outpatient,300,85018,Blood count; hemoglobin (Hgb),,0,39,29.25,22.62,72.54,37.05,72.54,36.27,39,22.62,37.05,Trinity_Hospital
1420072_1,"Blood Gas Panel, Cord Art",Inpatient,301,82805,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry",,0,229.25,171.94,132.97,426.41,217.79,217.79,213.2,229.25,,217.79,Trinity_Hospital
1420072_1,"Blood Gas Panel, Cord Art",Outpatient,301,82805,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry",,0,229.25,171.94,132.97,426.41,217.79,426.41,213.2,229.25,132.97,217.79,Trinity_Hospital
1424072_1,"Blood Gas Panel, Cord Ven",Inpatient,301,82805,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry",,0,172.75,129.56,100.2,321.32,164.11,164.11,160.66,172.75,,164.11,Trinity_Hospital
1424072_1,"Blood Gas Panel, Cord Ven",Outpatient,301,82805,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry",,0,172.75,129.56,100.2,321.32,164.11,321.32,160.66,172.75,100.2,164.11,Trinity_Hospital
1444135_1,"Metanephrines, Fract Random Ur",Inpatient,301,83835,Metanephrines,,0,304.5,228.38,176.61,566.37,289.28,289.28,283.19,304.5,,289.28,Trinity_Hospital
1444135_1,"Metanephrines, Fract Random Ur",Outpatient,301,83835,Metanephrines,,0,304.5,228.38,176.61,566.37,289.28,566.37,283.19,304.5,176.61,289.28,Trinity_Hospital
1446074_1,"Platelet, Reticulated Count (YPI)",Inpatient,305,85055,Reticulated platelet assay,,0,187.75,140.81,108.9,349.22,178.36,178.36,174.61,187.75,,178.36,Trinity_Hospital
1446074_1,"Platelet, Reticulated Count (YPI)",Outpatient,305,85055,Reticulated platelet assay,,0,187.75,140.81,108.9,349.22,178.36,349.22,174.61,187.75,108.9,178.36,Trinity_Hospital
1460081_1,InactiveCMV DNA Quant PCR (Focus 45050),Inpatient,,,,,0,665.5,499.13,385.99,1237.83,632.23,632.23,618.92,665.5,,632.23,Trinity_Hospital
1460081_1,InactiveCMV DNA Quant PCR (Focus 45050),Outpatient,,,,,0,665.5,499.13,385.99,1237.83,632.23,1237.83,618.92,665.5,385.99,632.23,Trinity_Hospital
1490075_1,XR Non Ionic Contrast 300/399 per ml,Inpatient,255,Q9967,"Locm 300-399mg/ml iodine,1ml",,0,108.5,81.38,62.93,201.81,103.08,103.08,100.91,108.5,,103.08,Trinity_Hospital
1490075_1,XR Non Ionic Contrast 300/399 per ml,Outpatient,255,Q9967,"Locm 300-399mg/ml iodine,1ml",,0,108.5,81.38,62.93,201.81,103.08,201.81,100.91,108.5,62.93,103.08,Trinity_Hospital
1528084_1,"Bill Surg, Morph Anal Semi Qnt 88360",Inpatient,310,88360,"Morphometric analysis, tumor immunohistochemistry (eg, Her-2/neu, estrogen receptor/progesterone receptor), quantitative or semiquantitative, per specimen, each single antibody stain procedure; manual",,0,411.75,308.81,238.82,765.86,391.16,391.16,382.93,411.75,,391.16,Trinity_Hospital
1528084_1,"Bill Surg, Morph Anal Semi Qnt 88360",Outpatient,310,88360,"Morphometric analysis, tumor immunohistochemistry (eg, Her-2/neu, estrogen receptor/progesterone receptor), quantitative or semiquantitative, per specimen, each single antibody stain procedure; manual",,0,411.75,308.81,238.82,765.86,391.16,765.86,382.93,411.75,238.82,391.16,Trinity_Hospital
1530078_1,UA Micro Reflex Culture,Inpatient,307,81015,Urinalysis; microscopic only,,0,33,24.75,19.14,61.38,31.35,31.35,30.69,33,,31.35,Trinity_Hospital
1530078_1,UA Micro Reflex Culture,Outpatient,307,81015,Urinalysis; microscopic only,,0,33,24.75,19.14,61.38,31.35,61.38,30.69,33,19.14,31.35,Trinity_Hospital
1530079_1,UA Complete Reflex Culture,Inpatient,307,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,54.5,40.88,31.61,101.37,51.78,51.78,50.69,54.5,,51.78,Trinity_Hospital
1530079_1,UA Complete Reflex Culture,Outpatient,307,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,54.5,40.88,31.61,101.37,51.78,101.37,50.69,54.5,31.61,51.78,Trinity_Hospital
1530085_1,UA Routine Reflex Culture,Inpatient,307,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,34.75,26.06,20.16,64.64,33.01,33.01,32.32,34.75,,33.01,Trinity_Hospital
1530085_1,UA Routine Reflex Culture,Outpatient,307,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,34.75,26.06,20.16,64.64,33.01,64.64,32.32,34.75,20.16,33.01,Trinity_Hospital
1540072_1,HCV Reflex HCV RT-PCR Quant,Inpatient,302,86803,Hepatitis C antibody,,0,163.75,122.81,94.98,304.58,155.56,155.56,152.29,163.75,,155.56,Trinity_Hospital
1540072_1,HCV Reflex HCV RT-PCR Quant,Outpatient,302,86803,Hepatitis C antibody,,0,163.75,122.81,94.98,304.58,155.56,304.58,152.29,163.75,94.98,155.56,Trinity_Hospital
1562076_1,Culture Sputum Legionella,Inpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,72.25,54.19,41.91,134.39,68.64,68.64,67.19,72.25,,68.64,Trinity_Hospital
1562076_1,Culture Sputum Legionella,Outpatient,306,87081,"Culture, presumptive, pathogenic organisms, screening only",,0,72.25,54.19,41.91,134.39,68.64,134.39,67.19,72.25,41.91,68.64,Trinity_Hospital
1566072_1,"Inactive Charge TSH, PKU Newborn",Inpatient,,,,,0,177.25,132.94,102.81,329.69,168.39,168.39,164.84,177.25,,168.39,Trinity_Hospital
1566072_1,"Inactive Charge TSH, PKU Newborn",Outpatient,,,,,0,177.25,132.94,102.81,329.69,168.39,329.69,164.84,177.25,102.81,168.39,Trinity_Hospital
1600072_1,"EBV DNA Detect/Quant, P (Mayo EBVQN)",Inpatient,306,87799,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; quantification, each organism",,0,135.25,101.44,78.45,251.57,128.49,128.49,125.78,135.25,,128.49,Trinity_Hospital
1600072_1,"EBV DNA Detect/Quant, P (Mayo EBVQN)",Outpatient,306,87799,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; quantification, each organism",,0,135.25,101.44,78.45,251.57,128.49,251.57,125.78,135.25,78.45,128.49,Trinity_Hospital
1622073_1,"Clostridium Difficile A and B, Regional",Inpatient,306,87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Clostridium difficile toxin(s)",,0,171.5,128.63,99.47,318.99,162.93,162.93,159.5,171.5,,162.93,Trinity_Hospital
1622073_1,"Clostridium Difficile A and B, Regional",Outpatient,306,87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Clostridium difficile toxin(s)",,0,171.5,128.63,99.47,318.99,162.93,318.99,159.5,171.5,99.47,162.93,Trinity_Hospital
1628073_1,RBC LR IR CPD E0179,Inpatient,390,P9040,Rbc leukoreduced irradiated,,0,1275.5,956.63,739.79,2372.43,1211.73,1211.73,1186.22,1275.5,,1211.73,Trinity_Hospital
1628073_1,RBC LR IR CPD E0179,Outpatient,390,P9040,Rbc leukoreduced irradiated,,0,1275.5,956.63,739.79,2372.43,1211.73,2372.43,1186.22,1275.5,739.79,1211.73,Trinity_Hospital
1628075_1,RBC LR AS3 E0382,Inpatient,390,P9016,Rbc leukocytes reduced,,0,668,501,387.44,1242.48,634.6,634.6,621.24,668,,634.6,Trinity_Hospital
1628075_1,RBC LR AS3 E0382,Outpatient,390,P9016,Rbc leukocytes reduced,,0,668,501,387.44,1242.48,634.6,1242.48,621.24,668,387.44,634.6,Trinity_Hospital
1670073_1,Culture Blood Line,Inpatient,306,87040,"Culture, bacterial; blood, aerobic, with isolation and presumptive identification of isolates (includes anaerobic culture, if appropriate)",,0,137.5,103.13,79.75,255.75,130.63,130.63,127.88,137.5,,130.63,Trinity_Hospital
1670073_1,Culture Blood Line,Outpatient,306,87040,"Culture, bacterial; blood, aerobic, with isolation and presumptive identification of isolates (includes anaerobic culture, if appropriate)",,0,137.5,103.13,79.75,255.75,130.63,255.75,127.88,137.5,79.75,130.63,Trinity_Hospital
1712073_1,RBC LR IR AS3 E0379,Inpatient,390,P9040,Rbc leukoreduced irradiated,,0,1275.5,956.63,739.79,2372.43,1211.73,1211.73,1186.22,1275.5,,1211.73,Trinity_Hospital
1712073_1,RBC LR IR AS3 E0379,Outpatient,390,P9040,Rbc leukoreduced irradiated,,0,1275.5,956.63,739.79,2372.43,1211.73,2372.43,1186.22,1275.5,739.79,1211.73,Trinity_Hospital
1896073_1,Auto Diff,Inpatient,305,85025,"Blood count; complete (CBC), automated (Hgb, Hct, RBC, WBC and platelet count) and automated differential WBC count",,0,97.5,73.13,56.55,181.35,92.63,92.63,90.68,97.5,,92.63,Trinity_Hospital
1896073_1,Auto Diff,Outpatient,305,85025,"Blood count; complete (CBC), automated (Hgb, Hct, RBC, WBC and platelet count) and automated differential WBC count",,0,97.5,73.13,56.55,181.35,92.63,181.35,90.68,97.5,56.55,92.63,Trinity_Hospital
1908081_1,Brucella,Inpatient,302,86622,Antibody; Brucella,,0,129.75,97.31,75.26,241.34,123.26,123.26,120.67,129.75,,123.26,Trinity_Hospital
1908081_1,Brucella,Outpatient,302,86622,Antibody; Brucella,,0,129.75,97.31,75.26,241.34,123.26,241.34,120.67,129.75,75.26,123.26,Trinity_Hospital
1926074_1,"Norovirus Testing, State",Inpatient,306,87798,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism",,0,277.75,208.31,161.1,516.62,263.86,263.86,258.31,277.75,,263.86,Trinity_Hospital
1926074_1,"Norovirus Testing, State",Outpatient,306,87798,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism",,0,277.75,208.31,161.1,516.62,263.86,516.62,258.31,277.75,161.1,263.86,Trinity_Hospital
2080072_1,Culture Rectal VRE,Inpatient,306,87046,"Culture, bacterial; stool, aerobic, additional pathogens, isolation and presumptive identification of isolates, each plate",,0,121.25,90.94,70.33,225.53,115.19,115.19,112.76,121.25,,115.19,Trinity_Hospital
2080072_1,Culture Rectal VRE,Outpatient,306,87046,"Culture, bacterial; stool, aerobic, additional pathogens, isolation and presumptive identification of isolates, each plate",,0,121.25,90.94,70.33,225.53,115.19,225.53,112.76,121.25,70.33,115.19,Trinity_Hospital
2106072_1,Protein S Activity (Mayo S_FX),Inpatient,300,85306,"Clotting inhibitors or anticoagulants; protein S, free",,0,274.75,206.06,159.36,511.04,261.01,261.01,255.52,274.75,,261.01,Trinity_Hospital
2106072_1,Protein S Activity (Mayo S_FX),Outpatient,300,85306,"Clotting inhibitors or anticoagulants; protein S, free",,0,274.75,206.06,159.36,511.04,261.01,511.04,255.52,274.75,159.36,261.01,Trinity_Hospital
2210072_1,"Metanephrines, Fract 24hr Urine (Mayo METAF)",Inpatient,301,83835,Metanephrines,,0,304.5,228.38,176.61,566.37,289.28,289.28,283.19,304.5,,289.28,Trinity_Hospital
2210072_1,"Metanephrines, Fract 24hr Urine (Mayo METAF)",Outpatient,301,83835,Metanephrines,,0,304.5,228.38,176.61,566.37,289.28,566.37,283.19,304.5,176.61,289.28,Trinity_Hospital
2266082_1,"Charge SPEP, Quant",Inpatient,301,84165,"Protein; electrophoretic fractionation and quantitation, serum",,0,145.5,109.13,84.39,270.63,138.23,138.23,135.32,145.5,,138.23,Trinity_Hospital
2266082_1,"Charge SPEP, Quant",Outpatient,301,84165,"Protein; electrophoretic fractionation and quantitation, serum",,0,145.5,109.13,84.39,270.63,138.23,270.63,135.32,145.5,84.39,138.23,Trinity_Hospital
2286073_1,XR Fluoro Exam,Inpatient,320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821,615.75,476.18,1527.06,779.95,779.95,763.53,821,,779.95,Trinity_Hospital
2286073_1,XR Fluoro Exam,Outpatient,320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821,615.75,476.18,1527.06,779.95,1527.06,763.53,821,476.18,779.95,Trinity_Hospital
2286074_1,XR Fluoro Exam,Inpatient,320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821,615.75,476.18,1527.06,779.95,779.95,763.53,821,,779.95,Trinity_Hospital
2286074_1,XR Fluoro Exam,Outpatient,320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821,615.75,476.18,1527.06,779.95,1527.06,763.53,821,476.18,779.95,Trinity_Hospital
2286075_1,XR Fluoro Exam,Inpatient,320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821,615.75,476.18,1527.06,779.95,779.95,763.53,821,,779.95,Trinity_Hospital
2286075_1,XR Fluoro Exam,Outpatient,320,74240,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,821,615.75,476.18,1527.06,779.95,1527.06,763.53,821,476.18,779.95,Trinity_Hospital
2286079_1,XR Fluoro Exam,Inpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.5,287.63,222.43,713.31,364.33,364.33,356.66,383.5,,364.33,Trinity_Hospital
2286079_1,XR Fluoro Exam,Outpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.5,287.63,222.43,713.31,364.33,713.31,356.66,383.5,222.43,364.33,Trinity_Hospital
2286080_1,XR Fluoro Exam,Inpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.5,287.63,222.43,713.31,364.33,364.33,356.66,383.5,,364.33,Trinity_Hospital
2286080_1,XR Fluoro Exam,Outpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.5,287.63,222.43,713.31,364.33,713.31,356.66,383.5,222.43,364.33,Trinity_Hospital
2286081_1,XR Fluoro Exam,Inpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.5,287.63,222.43,713.31,364.33,364.33,356.66,383.5,,364.33,Trinity_Hospital
2286081_1,XR Fluoro Exam,Outpatient,320,74250,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; single-contrast (eg, barium) study",,0,383.5,287.63,222.43,713.31,364.33,713.31,356.66,383.5,222.43,364.33,Trinity_Hospital
2286082_1,XR Fluoro Exam,Inpatient,320,74270,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,749.5,562.13,434.71,1394.07,712.03,712.03,697.04,749.5,,712.03,Trinity_Hospital
2286082_1,XR Fluoro Exam,Outpatient,320,74270,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,749.5,562.13,434.71,1394.07,712.03,1394.07,697.04,749.5,434.71,712.03,Trinity_Hospital
2286083_1,XR Fluoro Exam,Inpatient,320,74280,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; double-contrast (eg, high density barium and air) study, including glucagon, when administered",,0,978.75,734.06,567.68,1820.48,929.81,929.81,910.24,978.75,,929.81,Trinity_Hospital
2286083_1,XR Fluoro Exam,Outpatient,320,74280,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; double-contrast (eg, high density barium and air) study, including glucagon, when administered",,0,978.75,734.06,567.68,1820.48,929.81,1820.48,910.24,978.75,567.68,929.81,Trinity_Hospital
2286084_1,XR Fluoro Exam,Inpatient,320,74220,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,328.5,246.38,190.53,611.01,312.08,312.08,305.51,328.5,,312.08,Trinity_Hospital
2286084_1,XR Fluoro Exam,Outpatient,320,74220,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,328.5,246.38,190.53,611.01,312.08,611.01,305.51,328.5,190.53,312.08,Trinity_Hospital
2286087_1,XR Fluoro Exam,Inpatient,320,74220,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,328.5,246.38,190.53,611.01,312.08,312.08,305.51,328.5,,312.08,Trinity_Hospital
2286087_1,XR Fluoro Exam,Outpatient,320,74220,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,328.5,246.38,190.53,611.01,312.08,611.01,305.51,328.5,190.53,312.08,Trinity_Hospital
2286088_1,XR Fluoro Exam,Inpatient,320,74270,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,749.5,562.13,434.71,1394.07,712.03,712.03,697.04,749.5,,712.03,Trinity_Hospital
2286088_1,XR Fluoro Exam,Outpatient,320,74270,"Radiologic examination, colon, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study",,0,749.5,562.13,434.71,1394.07,712.03,1394.07,697.04,749.5,434.71,712.03,Trinity_Hospital
2286098_1,XR Fluoro Exam,Inpatient,320,76080,"Radiologic examination, abscess, fistula or sinus tract study, radiological supervision and interpretation",,0,1545.25,1158.94,896.25,2874.17,1467.99,1467.99,1437.08,1545.25,,1467.99,Trinity_Hospital
2286098_1,XR Fluoro Exam,Outpatient,320,76080,"Radiologic examination, abscess, fistula or sinus tract study, radiological supervision and interpretation",,0,1545.25,1158.94,896.25,2874.17,1467.99,2874.17,1437.08,1545.25,896.25,1467.99,Trinity_Hospital
2318072_1,H pylori Ab IgG,Inpatient,302,86677,Antibody; Helicobacter pylori,,0,166.75,125.06,96.72,310.16,158.41,158.41,155.08,166.75,,158.41,Trinity_Hospital
2318072_1,H pylori Ab IgG,Outpatient,302,86677,Antibody; Helicobacter pylori,,0,166.75,125.06,96.72,310.16,158.41,310.16,155.08,166.75,96.72,158.41,Trinity_Hospital
2332072_1,"PTH, Intact No Reflex",Inpatient,301,83970,Parathormone (parathyroid hormone),,0,369.25,276.94,214.17,686.81,350.79,350.79,343.4,369.25,,350.79,Trinity_Hospital
2332072_1,"PTH, Intact No Reflex",Outpatient,301,83970,Parathormone (parathyroid hormone),,0,369.25,276.94,214.17,686.81,350.79,686.81,343.4,369.25,214.17,350.79,Trinity_Hospital
2350081_1,EC Cardiac Doppler Complete,Inpatient,483,93320,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); complete",,0,454.5,340.88,263.61,845.37,431.78,431.78,422.69,454.5,,431.78,Trinity_Hospital
2350081_1,EC Cardiac Doppler Complete,Outpatient,483,93320,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); complete",,0,454.5,340.88,263.61,845.37,431.78,845.37,422.69,454.5,263.61,431.78,Trinity_Hospital
2350082_1,EC Cardiac Doppler Limited,Inpatient,,,,,0,272,204,157.76,505.92,258.4,258.4,252.96,272,,258.4,Trinity_Hospital
2350082_1,EC Cardiac Doppler Limited,Outpatient,,,,,0,272,204,157.76,505.92,258.4,505.92,252.96,272,157.76,258.4,Trinity_Hospital
2350083_1,EC Cardiac Doppler Limited,Inpatient,483,93321,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); follow-up or limited study (List separately in addition to codes for echocardiographic imaging)",,0,272,204,157.76,505.92,258.4,258.4,252.96,272,,258.4,Trinity_Hospital
2350083_1,EC Cardiac Doppler Limited,Outpatient,483,93321,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); follow-up or limited study (List separately in addition to codes for echocardiographic imaging)",,0,272,204,157.76,505.92,258.4,505.92,252.96,272,157.76,258.4,Trinity_Hospital
2350085_1,EC Color Flow,Inpatient,483,93325,Doppler echocardiography color flow velocity mapping (List separately in addition to codes for echocardiography),,0,589.5,442.13,341.91,1096.47,560.03,560.03,548.24,589.5,,560.03,Trinity_Hospital
2350085_1,EC Color Flow,Outpatient,483,93325,Doppler echocardiography color flow velocity mapping (List separately in addition to codes for echocardiography),,0,589.5,442.13,341.91,1096.47,560.03,1096.47,548.24,589.5,341.91,560.03,Trinity_Hospital
2412072_1,CMV IgG,Inpatient,302,86644,Antibody; cytomegalovirus (CMV),,0,152.75,114.56,88.6,284.12,145.11,145.11,142.06,152.75,,145.11,Trinity_Hospital
2412072_1,CMV IgG,Outpatient,302,86644,Antibody; cytomegalovirus (CMV),,0,152.75,114.56,88.6,284.12,145.11,284.12,142.06,152.75,88.6,145.11,Trinity_Hospital
2412073_1,CMV IgM,Inpatient,302,86645,"Antibody; cytomegalovirus (CMV), IgM",,0,160.75,120.56,93.24,299,152.71,152.71,149.5,160.75,,152.71,Trinity_Hospital
