Run Date: 1/11/2022 2:58:27 PM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,hospital
,,SERVICE TYPE: INPATIENT,,,,,Community_Hospital_of_Anaconda
,1.0,ROOM & BOARD - PRIVATE (ONE BED) - GENERAL CLASSIFICATION,110,,2,3668.89,Community_Hospital_of_Anaconda
,2.0,PHARMACY - GENERAL CLASSIFICATION,250,,187,842.62,Community_Hospital_of_Anaconda
,3.0,IV THERAPY - GENERAL CLASSIFICATION,260,,0,35.32,Community_Hospital_of_Anaconda
,4.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY,271,,2,470.88,Community_Hospital_of_Anaconda
,5.0,LABORATORY - GENERAL CLASSIFICATION,300,,6,552.64,Community_Hospital_of_Anaconda
,6.0,LABORATORY - CHEMISTRY,301,,3,259.34,Community_Hospital_of_Anaconda
,7.0,LABORATORY - HEMATOLOGY,305,,2,99.38,Community_Hospital_of_Anaconda
,8.0,LABORATORY - BACTERIOLOGY & MICROBIOLOGY,306,,0,26.63,Community_Hospital_of_Anaconda
,9.0,LABORATORY - UROLOGY,307,,0,7.78,Community_Hospital_of_Anaconda
,10.0,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,320,,3,510.7,Community_Hospital_of_Anaconda
,11.0,RADIOLOGY - DIAGNOSTIC - CHEST X-RAY,324,,0,43.53,Community_Hospital_of_Anaconda
,12.0,OTHER IMAGING SERVICES - ULTRASOUND,402,,0,26.27,Community_Hospital_of_Anaconda
,13.0,RESPIRATORY SERVICES - INHALATION SERVICES,412,,1,64.63,Community_Hospital_of_Anaconda
,14.0,PHYSICAL THERAPY - GENERAL CLASSIFICATION,420,,0,8.89,Community_Hospital_of_Anaconda
,15.0,PHYSICAL THERAPY - EVALUATION OR RE-EVALUATION,424,,0,76.89,Community_Hospital_of_Anaconda
,16.0,OCCUPATIONAL THERAPY - EVALUATION OR REEVALUATION,434,,0,19.22,Community_Hospital_of_Anaconda
,17.0,EKG/ECG (ELECTROCARDIOGRAM) - GENERAL CLASSIFICATION,730,,0,46.67,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,6760.28,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,5408.23,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,6760.28,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,5408.23,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,6084.26,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,5746.24,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,6760.28,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,6219.46,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,6422.27,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
4,,"0RRJ00Z - Replacement of Right Shoulder Joint with Reverse Ball and Socket Synthetic Substitute, Open Approach",,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: INPATIENT,,,,,Community_Hospital_of_Anaconda
,1.0,ROOM & BOARD - PRIVATE (ONE BED) - GENERAL CLASSIFICATION,110,,1,1480,Community_Hospital_of_Anaconda
,2.0,PHARMACY - GENERAL CLASSIFICATION,250,,217,1562.34,Community_Hospital_of_Anaconda
,3.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY,271,,5,1608.7,Community_Hospital_of_Anaconda
,4.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,272,,23,6194.47,Community_Hospital_of_Anaconda
,5.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT,278,,9,70131.85,Community_Hospital_of_Anaconda
,6.0,LABORATORY - GENERAL CLASSIFICATION,300,,1,28.32,Community_Hospital_of_Anaconda
,7.0,LABORATORY - HEMATOLOGY,305,,2,36.47,Community_Hospital_of_Anaconda
,8.0,LABORATORY - BACTERIOLOGY & MICROBIOLOGY,306,,0,25.66,Community_Hospital_of_Anaconda
,9.0,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,320,,1,120,Community_Hospital_of_Anaconda
,10.0,RADIOLOGY - DIAGNOSTIC - CHEST X-RAY,324,,0,20.55,Community_Hospital_of_Anaconda
,11.0,CT SCAN - BODY SCAN,352,,0,222,Community_Hospital_of_Anaconda
,12.0,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,360,,1,6048,Community_Hospital_of_Anaconda
,13.0,OTHER IMAGING SERVICES - ULTRASOUND,402,,1,477.9,Community_Hospital_of_Anaconda
,14.0,RESPIRATORY SERVICES - INHALATION SERVICES,412,,0,16.62,Community_Hospital_of_Anaconda
,15.0,PHYSICAL THERAPY - EVALUATION OR RE-EVALUATION,424,,0,17.3,Community_Hospital_of_Anaconda
,16.0,OCCUPATIONAL THERAPY - EVALUATION OR REEVALUATION,434,,0,17.3,Community_Hospital_of_Anaconda
,17.0,RECOVERY ROOM - GENERAL CLASSIFICATION,710,,39,244.28,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,88251.74,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,14495.92,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,88251.74,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,14495.92,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,79426.57,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,75013.98,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,88251.74,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,81191.6,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,83839.15,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
5,,"0RRK00Z - Replacement of Left Shoulder Joint with Reverse Ball and Socket Synthetic Substitute, Open Approach",,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: INPATIENT,,,,,Community_Hospital_of_Anaconda
,1.0,ROOM & BOARD - PRIVATE (ONE BED) - GENERAL CLASSIFICATION,110,,1,1480,Community_Hospital_of_Anaconda
,2.0,PHARMACY - GENERAL CLASSIFICATION,250,,170,1711.54,Community_Hospital_of_Anaconda
,3.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY,271,,5,1306.93,Community_Hospital_of_Anaconda
,4.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,272,,21,5801.71,Community_Hospital_of_Anaconda
,5.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT,278,,9,67917.63,Community_Hospital_of_Anaconda
,6.0,LABORATORY - GENERAL CLASSIFICATION,300,,1,28.48,Community_Hospital_of_Anaconda
,7.0,LABORATORY - HEMATOLOGY,305,,1,28.75,Community_Hospital_of_Anaconda
,8.0,LABORATORY - BACTERIOLOGY & MICROBIOLOGY,306,,0,25.66,Community_Hospital_of_Anaconda
,9.0,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,320,,1,127.64,Community_Hospital_of_Anaconda
,10.0,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,360,,1,6327,Community_Hospital_of_Anaconda
,11.0,OTHER IMAGING SERVICES - ULTRASOUND,402,,1,371.7,Community_Hospital_of_Anaconda
,12.0,PHYSICAL THERAPY - GENERAL CLASSIFICATION,420,,0,25.8,Community_Hospital_of_Anaconda
,13.0,PHYSICAL THERAPY - EVALUATION OR RE-EVALUATION,424,,0,34.6,Community_Hospital_of_Anaconda
,14.0,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,430,,0,8.2,Community_Hospital_of_Anaconda
,15.0,OCCUPATIONAL THERAPY - EVALUATION OR REEVALUATION,434,,0,17.3,Community_Hospital_of_Anaconda
,16.0,RECOVERY ROOM - GENERAL CLASSIFICATION,710,,36,220.1,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,85433.03,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,14012.32,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,85433.03,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,14012.32,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,76889.73,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,72618.08,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,85433.03,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,78598.39,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,81161.38,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
6,,"0W9G3ZZ - Drainage of Peritoneal Cavity, Percutaneous Approach",,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: INPATIENT,,,,,Community_Hospital_of_Anaconda
,1.0,ROOM & BOARD - PRIVATE (ONE BED) - GENERAL CLASSIFICATION,110,,5,8634.29,Community_Hospital_of_Anaconda
,2.0,INTENSIVE CARE UNIT - GENERAL CLASSIFICATION,200,,1,2136,Community_Hospital_of_Anaconda
,3.0,PHARMACY - GENERAL CLASSIFICATION,250,,346,3228.58,Community_Hospital_of_Anaconda
,4.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY,271,,2,348,Community_Hospital_of_Anaconda
,5.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,272,,2,333.73,Community_Hospital_of_Anaconda
,6.0,LABORATORY - GENERAL CLASSIFICATION,300,,13,1095.09,Community_Hospital_of_Anaconda
,7.0,LABORATORY - CHEMISTRY,301,,7,519.31,Community_Hospital_of_Anaconda
,8.0,LABORATORY - IMMUNOLOGY,302,,0,25.91,Community_Hospital_of_Anaconda
,9.0,LABORATORY - HEMATOLOGY,305,,5,324.06,Community_Hospital_of_Anaconda
,10.0,LABORATORY - BACTERIOLOGY & MICROBIOLOGY,306,,4,306.93,Community_Hospital_of_Anaconda
,11.0,LABORATORY - UROLOGY,307,,1,26.3,Community_Hospital_of_Anaconda
,12.0,LABORATORY PATHOLOGY - GENERAL CLASSIFICATION,310,,2,302.22,Community_Hospital_of_Anaconda
,13.0,LABORATORY PATHOLOGY - CYTOLOGY,311,,0,116.4,Community_Hospital_of_Anaconda
,14.0,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,320,,1,95.51,Community_Hospital_of_Anaconda
,15.0,RADIOLOGY - DIAGNOSTIC - CHEST X-RAY,324,,0,37.31,Community_Hospital_of_Anaconda
,16.0,CT SCAN - BODY SCAN,352,,0,264.4,Community_Hospital_of_Anaconda
,17.0,OTHER IMAGING SERVICES - ULTRASOUND,402,,0,192.69,Community_Hospital_of_Anaconda
,18.0,PHYSICAL THERAPY - GENERAL CLASSIFICATION,420,,2,136.57,Community_Hospital_of_Anaconda
,19.0,PHYSICAL THERAPY - EVALUATION OR RE-EVALUATION,424,,0,76.57,Community_Hospital_of_Anaconda
,20.0,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,430,,0,34.29,Community_Hospital_of_Anaconda
,21.0,OCCUPATIONAL THERAPY - EVALUATION OR REEVALUATION,434,,0,51.86,Community_Hospital_of_Anaconda
,22.0,SPEECH-LANGUAGE PATHOLOGY - EVALUATION OR REEVALUATION,444,,0,107.14,Community_Hospital_of_Anaconda
,23.0,CARDIOLOGY - GENERAL CLASSIFICATION,480,,0,66.69,Community_Hospital_of_Anaconda
,24.0,CARDIOLOGY - ECHOCARDIOLOGY,483,,0,171.27,Community_Hospital_of_Anaconda
,25.0,EKG/ECG (ELECTROCARDIOGRAM) - GENERAL CLASSIFICATION,730,,0,40,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,18671.11,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,14936.89,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,18671.11,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,14936.89,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,16804,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,15870.45,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,18671.11,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,17177.43,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,17737.56,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
7,,10060 - Simple or single drainage of skin abscess,,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: OUTPATIENT,,,,,Community_Hospital_of_Anaconda
,1.0,"BACTERIAL CULTURE, ANY OTHER SOURCE EXCEPT URINE, BLOOD OR STOOL, AEROBIC",306,87070,1,48.2,Community_Hospital_of_Anaconda
,2.0,SPECIAL GRAM OR GIEMSA STAIN FOR MICROORGANISM,306,87205,1,48.2,Community_Hospital_of_Anaconda
,3.0,SIMPLE OR SINGLE DRAINAGE OF SKIN ABSCESS,450,10060,1,239.6,Community_Hospital_of_Anaconda
,4.0,SIMPLE OR SINGLE DRAINAGE OF SKIN ABSCESS,981,10060,1,334.6,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,670.6,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,235.2,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,670.6,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,268.8,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,586.74,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,235.2,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,670.6,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,472.71,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,319.2,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
8,,"11104 - Punch biopsy, first skin growth",,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: OUTPATIENT,,,,,Community_Hospital_of_Anaconda
,1.0,"PATHOLOGY EXAMINATION OF TISSUE USING A MICROSCOPE, INTERMEDIATE COMPLEXITY",310,88305,1,256.48,Community_Hospital_of_Anaconda
,2.0,"PUNCH BIOPSY, FIRST SKIN GROWTH",361,11104,1,179.4,Community_Hospital_of_Anaconda
,3.0,"PUNCH BIOPSY, FIRST SKIN GROWTH",983,11104,1,179.4,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,615.28,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,305.12,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,615.28,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,348.7,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,531.96,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,305.12,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,615.28,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,480.81,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,414.09,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
9,,"12001 - Simple repair of surface wound of scalp, neck, underarms, trunk, arms, or legs, 2.5 cm or less",,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: OUTPATIENT,,,,,Community_Hospital_of_Anaconda
