BIG HORN HOSPITAL ASSOCIATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,hospital
7660228,RAD FEE/FACIAL BONES MIN 3 VIEWS,"70150,26",2019-07-01 00:00:00,,Radiology Pro Fee,,45.94,36.751999999999995,11.9444,44.5618,43.642999999999994,% OF CHARGE,22.16,FEE SCHEDULE,33.995599999999996,% OF CHARGES,22.16,FEE SCHEDULE,22.16,FEE SCHEDULE,22.16,FEE SCHEDULE,22.16,FEE SCHEDULE,36.752,% OF CHARGE,43.642999999999994,% OF CHARGE,43.642999999999994,% OF CHARGE,43.642999999999994,% OF CHARGE,43.642999999999994,% OF CHARGE,44.5618,% OF CHARGE,33.995599999999996,% OF CHARGE,33.995599999999996,% OF CHARGE,33.995599999999996,% OF CHARGE,43.642999999999994,% OF CHARGES,43.642999999999994,% OF CHARGES,33.995599999999996,% OF CHARGES,33.995599999999996,% OF CHARGES,43.642999999999994,% OF CHARGES,43.642999999999994,% OF CHARGE,33.995599999999996,% OF CHARGE,24.3482,% OF CHARGE,11.9444,% OF CHARGE,Big_Horn_County_Memorial_Hospital
7660467,RAD FEE/NASAL BONES MINIMUM 3 VIEWS,"70160,26",2019-07-01 00:00:00,,Radiology Pro Fee,,30.49,24.392,7.9274,29.5753,28.9655,% OF CHARGE,14.58,FEE SCHEDULE,22.5626,% OF CHARGES,14.58,FEE SCHEDULE,14.58,FEE SCHEDULE,14.58,FEE SCHEDULE,14.58,FEE SCHEDULE,24.392,% OF CHARGE,28.9655,% OF CHARGE,28.9655,% OF CHARGE,28.9655,% OF CHARGE,28.9655,% OF CHARGE,29.5753,% OF CHARGE,22.5626,% OF CHARGE,22.5626,% OF CHARGE,22.5626,% OF CHARGE,28.9655,% OF CHARGES,28.9655,% OF CHARGES,22.5626,% OF CHARGES,22.5626,% OF CHARGES,28.9655,% OF CHARGES,28.9655,% OF CHARGE,22.5626,% OF CHARGE,16.1597,% OF CHARGE,7.9274,% OF CHARGE,Big_Horn_County_Memorial_Hospital
7660765,RAD FEE OPTIC FORAMINA (EYE)  (PROF),"70190,26",2019-07-01 00:00:00,,Radiology Pro Fee,,37.62,30.095999999999997,9.7812,36.4914,35.739,% OF CHARGE,18.66,FEE SCHEDULE,27.8388,% OF CHARGES,18.66,FEE SCHEDULE,18.66,FEE SCHEDULE,18.66,FEE SCHEDULE,18.66,FEE SCHEDULE,30.096,% OF CHARGE,35.739,% OF CHARGE,35.739,% OF CHARGE,35.739,% OF CHARGE,35.739,% OF CHARGE,36.4914,% OF CHARGE,27.8388,% OF CHARGE,27.8388,% OF CHARGE,27.8388,% OF CHARGE,35.739,% OF CHARGES,35.739,% OF CHARGES,27.8388,% OF CHARGES,27.8388,% OF CHARGES,35.739,% OF CHARGES,35.739,% OF CHARGE,27.8388,% OF CHARGE,19.9386,% OF CHARGE,9.7812,% OF CHARGE,Big_Horn_County_Memorial_Hospital
7660483,RAD FEE/PARANASAL SINUS 1-2 VIEWS,"70210,26",2019-07-01 00:00:00,,Radiology Pro Fee,,30.49,24.392,7.9274,29.5753,28.9655,% OF CHARGE,14.58,FEE SCHEDULE,22.5626,% OF CHARGES,14.58,FEE SCHEDULE,14.58,FEE SCHEDULE,14.58,FEE SCHEDULE,14.58,FEE SCHEDULE,24.392,% OF CHARGE,28.9655,% OF CHARGE,28.9655,% OF CHARGE,28.9655,% OF CHARGE,28.9655,% OF CHARGE,29.5753,% OF CHARGE,22.5626,% OF CHARGE,22.5626,% OF CHARGE,22.5626,% OF CHARGE,28.9655,% OF CHARGES,28.9655,% OF CHARGES,22.5626,% OF CHARGES,22.5626,% OF CHARGES,28.9655,% OF CHARGES,28.9655,% OF CHARGE,22.5626,% OF CHARGE,16.1597,% OF CHARGE,7.9274,% OF CHARGE,Big_Horn_County_Memorial_Hospital
7660475,RAD FEE/PARANASAL MINIMUM 3 VIEWS,"70220,26",2019-07-01 00:00:00,,Radiology Pro Fee,,43.56,34.848,11.325600000000001,42.2532,41.382,% OF CHARGE,18.66,FEE SCHEDULE,32.2344,% OF CHARGES,18.66,FEE SCHEDULE,18.66,FEE SCHEDULE,18.66,FEE SCHEDULE,18.66,FEE SCHEDULE,34.848000000000006,% OF CHARGE,41.382,% OF CHARGE,41.382,% OF CHARGE,41.382,% OF CHARGE,41.382,% OF CHARGE,42.2532,% OF CHARGE,32.2344,% OF CHARGE,32.2344,% OF CHARGE,32.2344,% OF CHARGE,41.382,% OF CHARGES,41.382,% OF CHARGES,32.2344,% OF CHARGES,32.2344,% OF CHARGES,41.382,% OF CHARGES,41.382,% OF CHARGE,32.2344,% OF CHARGE,23.086800000000004,% OF CHARGE,11.325600000000001,% OF CHARGE,Big_Horn_County_Memorial_Hospital
7660624,RAD FEE/SKULL 1-3 VIEWS,"70250,26",2019-07-01 00:00:00,,Radiology Pro Fee,,43.56,34.848,11.325600000000001,42.2532,41.382,% OF CHARGE,16.91,FEE SCHEDULE,32.2344,% OF CHARGES,16.91,FEE SCHEDULE,16.91,FEE SCHEDULE,16.91,FEE SCHEDULE,16.91,FEE SCHEDULE,34.848000000000006,% OF CHARGE,41.382,% OF CHARGE,41.382,% OF CHARGE,41.382,% OF CHARGE,41.382,% OF CHARGE,42.2532,% OF CHARGE,32.2344,% OF CHARGE,32.2344,% OF CHARGE,32.2344,% OF CHARGE,41.382,% OF CHARGES,41.382,% OF CHARGES,32.2344,% OF CHARGES,32.2344,% OF CHARGES,41.382,% OF CHARGES,41.382,% OF CHARGE,32.2344,% OF CHARGE,23.086800000000004,% OF CHARGE,11.325600000000001,% OF CHARGE,Big_Horn_County_Memorial_Hospital
7660616,RAD FEE/SKULL COMPLETE,"70260,26",2019-07-01 00:00:00,,Radiology Pro Fee,,60.95,48.760000000000005,15.847000000000001,59.121500000000005,57.9025,% OF CHARGE,23.91,FEE SCHEDULE,45.103,% OF CHARGES,23.91,FEE SCHEDULE,23.91,FEE SCHEDULE,23.91,FEE SCHEDULE,23.91,FEE SCHEDULE,48.760000000000005,% OF CHARGE,57.9025,% OF CHARGE,57.9025,% OF CHARGE,57.9025,% OF CHARGE,57.9025,% OF CHARGE,59.121500000000005,% OF CHARGE,45.103,% OF CHARGE,45.103,% OF CHARGE,45.103,% OF CHARGE,57.9025,% OF CHARGES,57.9025,% OF CHARGES,45.103,% OF CHARGES,45.103,% OF CHARGES,57.9025,% OF CHARGES,57.9025,% OF CHARGE,45.103,% OF CHARGE,32.3035,% OF CHARGE,15.847000000000001,% OF CHARGE,Big_Horn_County_Memorial_Hospital
8350432,RAD FEE/TEMPORMANDIBULAR JOINT (BILATEAL,"70336,26",2019-07-01 00:00:00,,MRI Pro Fees,,254.56,203.648,66.18560000000001,246.9232,241.832,% OF CHARGE,122.47,FEE SCHEDULE,188.3744,% OF CHARGES,122.47,FEE SCHEDULE,122.47,FEE SCHEDULE,122.47,FEE SCHEDULE,122.47,FEE SCHEDULE,203.64800000000002,% OF CHARGE,241.832,% OF CHARGE,241.832,% OF CHARGE,241.832,% OF CHARGE,241.832,% OF CHARGE,246.9232,% OF CHARGE,188.3744,% OF CHARGE,188.3744,% OF CHARGE,188.3744,% OF CHARGE,241.832,% OF CHARGES,241.832,% OF CHARGES,188.3744,% OF CHARGES,188.3744,% OF CHARGES,241.832,% OF CHARGES,241.832,% OF CHARGE,188.3744,% OF CHARGE,134.9168,% OF CHARGE,66.18560000000001,% OF CHARGE,Big_Horn_County_Memorial_Hospital
7660640,RAD FEE/CERVICAL SOFT TISSUE,"70360,26",2019-07-01 00:00:00,,Radiology Pro Fee,,29.3,23.44,7.618,28.421,27.835,% OF CHARGE,15.16,FEE SCHEDULE,21.682,% OF CHARGES,15.16,FEE SCHEDULE,15.16,FEE SCHEDULE,15.16,FEE SCHEDULE,15.16,FEE SCHEDULE,23.44,% OF CHARGE,27.835,% OF CHARGE,27.835,% OF CHARGE,27.835,% OF CHARGE,27.835,% OF CHARGE,28.421,% OF CHARGE,21.682,% OF CHARGE,21.682,% OF CHARGE,21.682,% OF CHARGE,27.835,% OF CHARGES,27.835,% OF CHARGES,21.682,% OF CHARGES,21.682,% OF CHARGES,27.835,% OF CHARGES,27.835,% OF CHARGE,21.682,% OF CHARGE,15.529000000000002,% OF CHARGE,7.618,% OF CHARGE,Big_Horn_County_Memorial_Hospital
8050007,RAD FEE/CT HEAD WO/CONTRAST,"70450,26",2019-07-01 00:00:00,, CT Scan Pro Fee,,147.64,118.112,38.386399999999995,143.21079999999998,140.25799999999998,% OF CHARGE,70.57,FEE SCHEDULE,109.25359999999999,% OF CHARGES,70.57,FEE SCHEDULE,70.57,FEE SCHEDULE,70.57,FEE SCHEDULE,70.57,FEE SCHEDULE,118.112,% OF CHARGE,140.25799999999998,% OF CHARGE,140.25799999999998,% OF CHARGE,140.25799999999998,% OF CHARGE,140.25799999999998,% OF CHARGE,143.21079999999998,% OF CHARGE,109.25359999999999,% OF CHARGE,109.25359999999999,% OF CHARGE,109.25359999999999,% OF CHARGE,140.25799999999998,% OF CHARGES,140.25799999999998,% OF CHARGES,109.25359999999999,% OF CHARGES,109.25359999999999,% OF CHARGES,140.25799999999998,% OF CHARGES,140.25799999999998,% OF CHARGE,109.25359999999999,% OF CHARGE,78.2492,% OF CHARGE,38.386399999999995,% OF CHARGE,Big_Horn_County_Memorial_Hospital
8050247,RAD FEE/CT HEAD W/CONTRAST,"70460,26",2019-07-01 00:00:00,, CT Scan Pro Fee,,197.93,158.344,51.461800000000004,191.9921,188.0335,% OF CHARGE,93.31,FEE SCHEDULE,146.4682,% OF CHARGES,93.31,FEE SCHEDULE,93.31,FEE SCHEDULE,93.31,FEE SCHEDULE,93.31,FEE SCHEDULE,158.34400000000002,% OF CHARGE,188.0335,% OF CHARGE,188.0335,% OF CHARGE,188.0335,% OF CHARGE,188.0335,% OF CHARGE,191.9921,% OF CHARGE,146.4682,% OF CHARGE,146.4682,% OF CHARGE,146.4682,% OF CHARGE,188.0335,% OF CHARGES,188.0335,% OF CHARGES,146.4682,% OF CHARGES,146.4682,% OF CHARGES,188.0335,% OF CHARGES,188.0335,% OF CHARGE,146.4682,% OF CHARGE,104.9029,% OF CHARGE,51.461800000000004,% OF CHARGE,Big_Horn_County_Memorial_Hospital
8050015,RAD FEE/CT HEAD W/WO CONTRAST,"70470,26",2019-07-01 00:00:00,, CT Scan Pro Fee,,220.51,176.408,57.3326,213.89469999999997,209.48449999999997,% OF CHARGE,104.98,FEE SCHEDULE,163.17739999999998,% OF CHARGES,104.98,FEE SCHEDULE,104.98,FEE SCHEDULE,104.98,FEE SCHEDULE,104.98,FEE SCHEDULE,176.40800000000002,% OF CHARGE,209.48449999999997,% OF CHARGE,209.48449999999997,% OF CHARGE,209.48449999999997,% OF CHARGE,209.48449999999997,% OF CHARGE,213.89469999999997,% OF CHARGE,163.17739999999998,% OF CHARGE,163.17739999999998,% OF CHARGE,163.17739999999998,% OF CHARGE,209.48449999999997,% OF CHARGES,209.48449999999997,% OF CHARGES,163.17739999999998,% OF CHARGES,163.17739999999998,% OF CHARGES,209.48449999999997,% OF CHARGES,209.48449999999997,% OF CHARGE,163.17739999999998,% OF CHARGE,116.8703,% OF CHARGE,57.3326,% OF CHARGE,Big_Horn_County_Memorial_Hospital
8050239,RAD FEE/CT ORBITS WO/CONTRAST (EYE),"70480,26",2019-07-01 00:00:00,, CT Scan Pro Fee,,221.69,177.352,57.6394,215.0393,210.60549999999998,% OF CHARGE,105.56,FEE SCHEDULE,164.0506,% OF CHARGES,105.56,FEE SCHEDULE,105.56,FEE SCHEDULE,105.56,FEE SCHEDULE,105.56,FEE SCHEDULE,177.352,% OF CHARGE,210.60549999999998,% OF CHARGE,210.60549999999998,% OF CHARGE,210.60549999999998,% OF CHARGE,210.60549999999998,% OF CHARGE,215.0393,% OF CHARGE,164.0506,% OF CHARGE,164.0506,% OF CHARGE,164.0506,% OF CHARGE,210.60549999999998,% OF CHARGES,210.60549999999998,% OF CHARGES,164.0506,% OF CHARGES,164.0506,% OF CHARGES,210.60549999999998,% OF CHARGES,210.60549999999998,% OF CHARGE,164.0506,% OF CHARGE,117.4957,% OF CHARGE,57.6394,% OF CHARGE,Big_Horn_County_Memorial_Hospital
8050156,RAD FEE/CT ORBITS WO/CONTRAST (PROF),"70481,26",2019-07-01 00:00:00,, CT Scan Pro Fee,,240.31,192.248,62.4806,233.1007,228.2945,% OF CHARGE,93.31,FEE SCHEDULE,177.8294,% OF CHARGES,93.31,FEE SCHEDULE,93.31,FEE SCHEDULE,93.31,FEE SCHEDULE,93.31,FEE SCHEDULE,192.24800000000002,% OF CHARGE,228.2945,% OF CHARGE,228.2945,% OF CHARGE,228.2945,% OF CHARGE,228.2945,% OF CHARGE,233.1007,% OF CHARGE,177.8294,% OF CHARGE,177.8294,% OF CHARGE,177.8294,% OF CHARGE,228.2945,% OF CHARGES,228.2945,% OF CHARGES,177.8294,% OF CHARGES,177.8294,% OF CHARGES,228.2945,% OF CHARGES,228.2945,% OF CHARGE,177.8294,% OF CHARGE,127.36430000000001,% OF CHARGE,62.4806,% OF CHARGE,Big_Horn_County_Memorial_Hospital
8050296,RAD FEE/CT ORBITS W/WO,"70482,26",2019-07-01 00:00:00,, CT Scan Pro Fee,,251,200.8,65.26,243.47,238.45,% OF CHARGE,104.39,FEE SCHEDULE,185.74,% OF CHARGES,104.39,FEE SCHEDULE,104.39,FEE SCHEDULE,104.39,FEE SCHEDULE,104.39,FEE SCHEDULE,200.8,% OF CHARGE,238.45,% OF CHARGE,238.45,% OF CHARGE,238.45,% OF CHARGE,238.45,% OF CHARGE,243.47,% OF CHARGE,185.74,% OF CHARGE,185.74,% OF CHARGE,185.74,% OF CHARGE,238.45,% OF CHARGES,238.45,% OF CHARGES,185.74,% OF CHARGES,185.74,% OF CHARGES,238.45,% OF CHARGES,238.45,% OF CHARGE,185.74,% OF CHARGE,133.03,% OF CHARGE,65.26,% OF CHARGE,Big_Horn_County_Memorial_Hospital
8050023,RAD FEE/CT FACIAL BONES WO/CONTRAST,"70486,26",2019-07-01 00:00:00,, CT Scan Pro Fee,,148.83,119.06400000000001,38.695800000000006,144.3651,141.3885,% OF CHARGE,71.15,FEE SCHEDULE,110.1342,% OF CHARGES,71.15,FEE SCHEDULE,71.15,FEE SCHEDULE,71.15,FEE SCHEDULE,71.15,FEE SCHEDULE,119.06400000000002,% OF CHARGE,141.3885,% OF CHARGE,141.3885,% OF CHARGE,141.3885,% OF CHARGE,141.3885,% OF CHARGE,144.3651,% OF CHARGE,110.1342,% OF CHARGE,110.1342,% OF CHARGE,110.1342,% OF CHARGE,141.3885,% OF CHARGES,141.3885,% OF CHARGES,110.1342,% OF CHARGES,110.1342,% OF CHARGES,141.3885,% OF CHARGES,141.3885,% OF CHARGE,110.1342,% OF CHARGE,78.8799,% OF CHARGE,38.695800000000006,% OF CHARGE,Big_Horn_County_Memorial_Hospital
8050031,RAD FEE/CT FACIAL BONES W/CONTRAST,"70487,26",2019-07-01 00:00:00,, CT Scan Pro Fee,,194.8,155.84,50.648,188.95600000000002,185.06,% OF CHARGE,93.31,FEE SCHEDULE,144.15200000000002,% OF CHARGES,93.31,FEE SCHEDULE,93.31,FEE SCHEDULE,93.31,FEE SCHEDULE,93.31,FEE SCHEDULE,155.84000000000003,% OF CHARGE,185.06,% OF CHARGE,185.06,% OF CHARGE,185.06,% OF CHARGE,185.06,% OF CHARGE,188.95600000000002,% OF CHARGE,144.15200000000002,% OF CHARGE,144.15200000000002,% OF CHARGE,144.15200000000002,% OF CHARGE,185.06,% OF CHARGES,185.06,% OF CHARGES,144.15200000000002,% OF CHARGES,144.15200000000002,% OF CHARGES,185.06,% OF CHARGES,185.06,% OF CHARGE,144.15200000000002,% OF CHARGE,103.24400000000001,% OF CHARGE,50.648,% OF CHARGE,Big_Horn_County_Memorial_Hospital
8050402,RAD FEE/CT FACIAL BONES W/WO,"70488,26",2019-07-01 00:00:00,, CT Scan Pro Fee,,220.51,176.408,57.3326,213.89469999999997,209.48449999999997,% OF CHARGE,104.98,FEE SCHEDULE,163.17739999999998,% OF CHARGES,104.98,FEE SCHEDULE,104.98,FEE SCHEDULE,104.98,FEE SCHEDULE,104.98,FEE SCHEDULE,176.40800000000002,% OF CHARGE,209.48449999999997,% OF CHARGE,209.48449999999997,% OF CHARGE,209.48449999999997,% OF CHARGE,209.48449999999997,% OF CHARGE,213.89469999999997,% OF CHARGE,163.17739999999998,% OF CHARGE,163.17739999999998,% OF CHARGE,163.17739999999998,% OF CHARGE,209.48449999999997,% OF CHARGES,209.48449999999997,% OF CHARGES,163.17739999999998,% OF CHARGES,163.17739999999998,% OF CHARGES,209.48449999999997,% OF CHARGES,209.48449999999997,% OF CHARGE,163.17739999999998,% OF CHARGE,116.8703,% OF CHARGE,57.3326,% OF CHARGE,Big_Horn_County_Memorial_Hospital
