PROC NUMBER + PRICE MOD,PROCEDURE NAME,BASE PRICE,UNIT PRICE,hospital
1000182,CT ORBIT SELLA FOSSA EAR WO CONTRAST,,1144.0,Sidney_Health_Center
1000187,CT ORBIT SELLA FOSSA EAR WO THEN W CONTRAST,,1300.0,Sidney_Health_Center
1000190,CT MAXILLOFACIAL WO CONTRAST,,1010.0,Sidney_Health_Center
1000192,CT MAXILOFACIAL WCONT,,947.0,Sidney_Health_Center
1000193,CT MAXILLOCFACL WO THEN WCONT,,1116.0,Sidney_Health_Center
1000194,CT SOFT TISSUE NECK WO CON,,1077.0,Sidney_Health_Center
1000195,CTA HEAD W CONT WO IF PERF,,1978.0,Sidney_Health_Center
1000196,CT ANGIO NECK W CON+WO IF PERF,,1951.0,Sidney_Health_Center
1000197,MRI FACE NECK ORB WO CONTRAST,,1278.0,Sidney_Health_Center
1000198,MRI FACE NECK ORB WO THEN W CONT,,2699.0,Sidney_Health_Center
1000199,MRA HEAD WO CONTRAST,,1968.0,Sidney_Health_Center
1000200,MRA HEAD W CONTRAST,,1461.0,Sidney_Health_Center
1000201,MRA HEAD WO THEN W CONT,,2490.0,Sidney_Health_Center
1000202,MRA NECK WO CONTRAST,,1230.0,Sidney_Health_Center
1000203,MRA NECK W CONTRAST,,1342.0,Sidney_Health_Center
1000204,MRA NECK WO THEN W CONT,,2245.0,Sidney_Health_Center
1000206,MRI BRAIN WO CONTRAST,,1397.0,Sidney_Health_Center
1000208,MRI BRAIN W CONTRAST,,1391.0,Sidney_Health_Center
1000209,MRI BRAIN WO THEN W CONT,,2656.0,Sidney_Health_Center
1000210,CT THORAX WO CONTRAST,,1213.0,Sidney_Health_Center
1000212,CT THORAX W CONTRAST,,1435.0,Sidney_Health_Center
1000214,CT THORAX WO THEN W CONTRAST,,1685.0,Sidney_Health_Center
1000215,CTA CHEST WCONT +WO IF PERF,,2192.0,Sidney_Health_Center
1000216,MRI CHEST WO CONTRAST,,1434.0,Sidney_Health_Center
1000217,MRI CHEST WO THEN W CONT,,2269.0,Sidney_Health_Center
1000219,CT CERVICAL SPINE W CONTRAST,,1230.0,Sidney_Health_Center
1000220,CT THORACIC SPINE WO CONT,,1155.0,Sidney_Health_Center
1000221,CT LUMBAR SPINE WO CONT,,1175.0,Sidney_Health_Center
1000222,CT LUMBAR SPINE W CONT,,1196.0,Sidney_Health_Center
1000223,MRI C SPINE WO CONTRAST,,1225.0,Sidney_Health_Center
1000224,MRI C SPINE W CONTRAST,,1433.0,Sidney_Health_Center
1000225,MRI T SPINE WO CONTRAST,,1320.0,Sidney_Health_Center
1000226,MRI T SPINE W CONTRAST,,1404.0,Sidney_Health_Center
1000227,MRI L SPINE WO CONTRAST,,1209.0,Sidney_Health_Center
1000228,MRI L SPINE W CONTRAST,,1444.0,Sidney_Health_Center
1000229,MRI C SPINE WO THEN W CONT,,2710.0,Sidney_Health_Center
1000230,MRI T SPINE WO THEN W CONT,,2745.0,Sidney_Health_Center
1000231,MRI L SPINE WO THEN W CONT,,2393.0,Sidney_Health_Center
1000232,CT PELVIS WO CONTRAST,,994.0,Sidney_Health_Center
1000233,CT PELVIS W CONTRAST,,1087.0,Sidney_Health_Center
1000234,CT PELVIS WO THEN W CONT,,1677.0,Sidney_Health_Center
1000235,MRI PELVIS WO CONTRAST,,1629.0,Sidney_Health_Center
1000236,MRI PELVIS WO THEN W CONT,,2838.0,Sidney_Health_Center
1000239,CT EXT UPPER WO CONT,,1168.0,Sidney_Health_Center
1000240,CT EXT UPPER W CONT,,1324.0,Sidney_Health_Center
1000241,MRI UP EXT WO CONT,,1280.0,Sidney_Health_Center
1000242,MRI UPPER EXT WO THEN W CONT,,2024.0,Sidney_Health_Center
1000243,MRI UPPER EXT JT WO CONTRAST,,1371.0,Sidney_Health_Center
1000244,MRI UP EXT JT WCONT,,1939.0,Sidney_Health_Center
1000245,MRI UPPER EXT JT WO THEN W CONT,,2133.0,Sidney_Health_Center
1000248,CT EXT LOWER WO CONT,,1196.0,Sidney_Health_Center
1000249,CT BONE LENGTH STUDY,,656.0,Sidney_Health_Center
1000250,CT EXT LOWER W CONT,,1237.0,Sidney_Health_Center
1000251,CTA EXT LOWER W CONT +WO IF PERF,,1471.0,Sidney_Health_Center
1000252,MRI LOWER EXT WO CONTRAST,,1598.0,Sidney_Health_Center
1000253,MRI LOWER EXT WO THEN W CONT,,2794.0,Sidney_Health_Center
1000254,MRI LOWER EXT JT WO CONTRAST,,1247.0,Sidney_Health_Center
1000255,MRI LOWER EXT JT W CONTRAST,,1597.0,Sidney_Health_Center
1000256,MRI LOWER EXT JT WO THEN W CONT,,2145.0,Sidney_Health_Center
1000257,CT ABDOMEN WO CONTRAST,,1135.0,Sidney_Health_Center
1000259,CT ABDOMEN W CONTRAST,,1424.0,Sidney_Health_Center
1000260,CT ABDOMEN WO THEN W CONT,,1390.0,Sidney_Health_Center
1000261,CTA ABD WCONT +WO IF PERF,,1501.0,Sidney_Health_Center
1000262,MRI ABDOMEN WO CONTRAST,,1550.0,Sidney_Health_Center
1000263,MRI ABDOMEN WO THEN W CONT,,2856.0,Sidney_Health_Center
1000267,RAD S&amp;I INTRO LONG GI TUBE INCL MULT FLUORO AND IMGS,,339.0,Sidney_Health_Center
1000269,S&amp;I ESOPHAGEAL DILATION,,203.0,Sidney_Health_Center
1000272,RAD S&amp;I URETHROCYSTOGRAPHY RETROGRADE,,167.0,Sidney_Health_Center
1000276,RAD S&amp;I DILATION  URETERS OR URETHRA,,227.0,Sidney_Health_Center
1000279,S&amp;I ABD AND RUN OFFS,,298.0,Sidney_Health_Center
1000289,S&amp;I EXTREMITY UNI,,380.0,Sidney_Health_Center
1000290,S&amp;I EXTREMITY ANGIOGRAM BIL,,290.0,Sidney_Health_Center
1000296,S&amp;I PELVIC SEL. SUPRA SEL,,700.0,Sidney_Health_Center
1000297,S&amp;I PULMONARY UNI SEL,,311.0,Sidney_Health_Center
1000298,S&amp;I PULMONARY BIL,,405.0,Sidney_Health_Center
1000299,S&amp;I ANGIO SEL EA ADD VES,,244.0,Sidney_Health_Center
1000303,S&amp;I VENOGRAM EXTREM UNILATERAL,,322.0,Sidney_Health_Center
1000304,S&amp;I VENOGRAM EXTREMI BILATERAL,,411.0,Sidney_Health_Center
1000305,S&amp;I VENACAVOGRAM INFERIOR,,390.0,Sidney_Health_Center
1000306,S&amp;I VENOCAVOGRAM SUPERIOR,,392.0,Sidney_Health_Center
1000307,S&amp;I VENOGRPH RENAL UNI,,421.0,Sidney_Health_Center
1000308,S&amp;I VENOGRAPH RENAL BILAT,,473.0,Sidney_Health_Center
1000313,S&amp;I VEN ORGAN SAMP THRU CATH,,203.0,Sidney_Health_Center
1000322,S&amp;I PERICATH CVA STRIP,,493.0,Sidney_Health_Center
1000335,S&amp;I DRAINAGE TUBE REVISION,,244.0,Sidney_Health_Center
1000342,RAD S&amp;I FLUORO CENTRAL VENOUS ACCESS DEV PLMNT,,331.0,Sidney_Health_Center
1000359,RAD FLUORO GUID LOCLZ NDL OR CATH SPINE INJ ADD ON,,220.0,Sidney_Health_Center
1000367,CT S&amp;I LOCALIZATION WBIOPSY,,1240.0,Sidney_Health_Center
1000371,CT LIMITED OR LOCALIZED FOLLOW UP STUDY,,214.0,Sidney_Health_Center
1000378,US HEAD,,253.0,Sidney_Health_Center
1000379,US SOFT TISSUE HEAD NECK,,554.0,Sidney_Health_Center
1000380,US CHEST,,274.0,Sidney_Health_Center
1000382,US ABD COMPLETE,,533.0,Sidney_Health_Center
1000383,US ABD LIMITED,,456.0,Sidney_Health_Center
1000384,US RETROPERITONEUM,,326.0,Sidney_Health_Center
1000385,US RETROPERITONEUM LTD,,246.0,Sidney_Health_Center
1000387,US TRANSPLANT KIDNEY,,325.0,Sidney_Health_Center
1000388,US SPINE,,226.0,Sidney_Health_Center
1000389,US PREG UTER 1ST TRI SGL,,297.0,Sidney_Health_Center
1000390,US PRG UTR 1ST TRI EA AD,,137.0,Sidney_Health_Center
1000391,US PG UTR 2-3TRI SGL 1ST,,391.0,Sidney_Health_Center
1000392,US PG UTR MLT GST 2-3TRI,,112.0,Sidney_Health_Center
1000393,US OB REAL TIME LTD,,215.0,Sidney_Health_Center
1000394,US PREG UTERUS FOLLOWUP PER FETUS,,244.0,Sidney_Health_Center
1000395,US FETAL BPP WO NST,,483.0,Sidney_Health_Center
1000396,US TRANSVAGINAL,,421.0,Sidney_Health_Center
1000397,US PELVIC COMPLETE,,469.0,Sidney_Health_Center
1000399,US SCROTUM,,440.0,Sidney_Health_Center
1000400,US TRANSRECTAL,,397.0,Sidney_Health_Center
1000401,US LIMITED JNT REAL TIME W IMAGE DOC,,190.0,Sidney_Health_Center
1000403,US HIPS INFANT,,273.0,Sidney_Health_Center
1000404,US GUIDED VASCULAR ACCESS,,110.0,Sidney_Health_Center
1000407,US S&amp;I TUMOR ABLATN LIV,,211.0,Sidney_Health_Center
1000408,S&amp;I US GUIDE FETAL TRANSFUSION,,146.0,Sidney_Health_Center
1000409,US S&amp;I GUID NDLE PLMT,,410.0,Sidney_Health_Center
1000413,US S&amp;I OBGYN AMNIO,,177.0,Sidney_Health_Center
1000414,US GUIDE INTRAOPERATIVE GUID,,228.0,Sidney_Health_Center
1000417,UNLISTED ULTRASOUND,,329.0,Sidney_Health_Center
1000420,SURG INJ SI JOINT UNILAT,,59.0,Sidney_Health_Center
1000423,MRA PELVIS W CONTRAST,,1571.0,Sidney_Health_Center
1000426,MRA LOWER EXT W CONTRAST,,1406.0,Sidney_Health_Center
1000429,MRA ABDOMEN W CONTRAST,,1527.0,Sidney_Health_Center
1000430,MRA ABDOMEN WO CONTRAST,,1527.0,Sidney_Health_Center
1000431,MRA ABDOMEN WO THEN W CONT,,1527.0,Sidney_Health_Center
1000442,OBSERVATION ROOM HOURLY,,34.0,Sidney_Health_Center
1000454,3-D SIM THERAPY RAD,,6731.0,Sidney_Health_Center
1000499,RAD EXAM AC JOINTS BILAT W WO WTS,,74.0,Sidney_Health_Center
1000552,RAD EXAM ANKLE MIN 3 VWS,,216.0,Sidney_Health_Center
1000553,RAD EXAM ANKLE 2 VWS,,161.0,Sidney_Health_Center
1000588,RAD S&amp;I EXAM HIP ARTHROGRAPHY,,408.0,Sidney_Health_Center
1000589,RAD S&amp;I EXAM KNEE ARTHROGRAPHY,,439.0,Sidney_Health_Center
1000591,RAD S&amp;I EXAM WRIST ARTHORGRAPHY,,313.0,Sidney_Health_Center
1000619,RAD EXAM COLON  W SCOUT DBL CNTRST W GLUC,,726.0,Sidney_Health_Center
1000620,RADIOLOGIC EXAM COLON  W SCOUT SGL CNTRST,,506.0,Sidney_Health_Center
1000621,BASIC DOSIMETRY CALCULTN,,217.0,Sidney_Health_Center
1000700,RAD BONE AGE STUDIES,,102.0,Sidney_Health_Center
1000704,BONE SURVEY INFANT (2YR&amp;UNDER),,341.0,Sidney_Health_Center
1000847,RAD EXAM SPINE CERV 6 + VWS,,371.0,Sidney_Health_Center
1000850,RAD EXAM SPINE CERV 4 OR 5 VWS,,346.0,Sidney_Health_Center
1000851,RAD EXAM SPINE CERV 2 OR 3 VWS,,193.0,Sidney_Health_Center
1000872,RAD S&amp;I CHOLANGIO AND OR PANCREATO INTRAOP,,365.0,Sidney_Health_Center
1000882,RAD EXAM CLAVICLE COMPL,,168.0,Sidney_Health_Center
1000890,COMPLEX RADIATION TX DELIVERY &gt;1 MEV,,651.0,Sidney_Health_Center
1000913,COMPLEX SIM THERAPY RAD,,2325.0,Sidney_Health_Center
1000914,COMPLEX TREATMENT DEVICE,,536.0,Sidney_Health_Center
1000970,CT GUIDANCE PLACEMENT RADIATION THERAPY FIELDS,,558.0,Sidney_Health_Center
1001001,RAD S&amp;I CYSTOGRAPHY MIN 3 VWS,,257.0,Sidney_Health_Center
1001002,SURG CYSTOGRAPHY INJ,,270.0,Sidney_Health_Center
1001039,RAD EXAM SPINE THOR MIN 4 VWS,,177.0,Sidney_Health_Center
1001040,RAD EXAM SPINE THOR 3 VWS,,250.0,Sidney_Health_Center
1001041,DOSIMETRY SP,,99.0,Sidney_Health_Center
1001121,RAD EXAM ELBOW COMPL MIN 3 VWS,,226.0,Sidney_Health_Center
1001122,RAD EXAM ELBOW 2 VWS,,153.0,Sidney_Health_Center
1001151,RAD S&amp;I ENDO CATH COMB BIL AND PANCR DUCT SYST,,423.0,Sidney_Health_Center
1001153,RAD S&amp;I ENDO CATH BILIARY DUCT SYST,,282.0,Sidney_Health_Center
1001155,RAD S&amp;I ENDO CATH PANCREATIC DUCT SYST,,381.0,Sidney_Health_Center
1001163,RAD EXAM ESOPHAGUS,,412.0,Sidney_Health_Center
1001187,RAD EXAM FACIAL BONES COMPL MIN 3 VWS,,162.0,Sidney_Health_Center
1001217,RAD EXAM FINGER(S) MIN 2 VWS,,145.0,Sidney_Health_Center
1001218,RAD S&amp;I EXAM ABSCESS FISTULA OR SINUS TRACT STDY,,185.0,Sidney_Health_Center
1001223,RAD FLUOROSCOPY UP TO 1 HOUR,,226.0,Sidney_Health_Center
1001227,RAD EXAM FOOT MIN 3 VWS,,197.0,Sidney_Health_Center
1001228,RAD EXAM FOOT 2 VWS,,192.0,Sidney_Health_Center
1001229,RAD EXAM FOREARM 2 VWS,,290.0,Sidney_Health_Center
1001318,RAD EXAM HAND MIN 3 VWS,,200.0,Sidney_Health_Center
1001326,RAD EXAM HAND 2 VWS,,178.0,Sidney_Health_Center
1001337,RAD EXAM CALCANEUS MIN 2 VWS,,161.0,Sidney_Health_Center
1001353,HIP ARTHROGRAPH INJ,,581.0,Sidney_Health_Center
1001370,RAD EXAM HUMERUS MIN 2 VWS,,162.0,Sidney_Health_Center
1001373,HYSTERO INJ,,459.0,Sidney_Health_Center
1001398,IN TREATMENT DEVICE,,219.0,Sidney_Health_Center
1001400,INTERMED RADIATION TX DELIVERY &gt;1 MEV,,449.0,Sidney_Health_Center
1001416,SURG ARTHROCENTESIS ASP INJ MJR JNT BURSA WO US GUID,,29.0,Sidney_Health_Center
1001430,INTERMED SIM THERAPY RAD,,1258.0,Sidney_Health_Center
1001481,RAD EXAM KNEE 1 OR 2 VWS,,169.0,Sidney_Health_Center
1001482,RAD EXAM KNEE COMPL 4 + VWS,,208.0,Sidney_Health_Center
1001484,RAD EXAM KNEE BOTH STANDING ANTEROPOSTERIOR,,181.0,Sidney_Health_Center
1001533,PFT SCREEN  SPIROMETRY (WITH BD),,289.0,Sidney_Health_Center
1001534,NEB TX WDEMO,,45.0,Sidney_Health_Center
1001558,RAD EXAM OSSEOUS SURVEY LTD,,202.0,Sidney_Health_Center
1001574,RAD EXAM SPINE LUMB 2 OR 3 VWS,,216.0,Sidney_Health_Center
1001575,RAD EXAM SPINE LUMB MIN 4 VWS,,421.0,Sidney_Health_Center
1001578,RAD EXAM SPINE LUMB COMPL W BEND VW MIN 6 VWS,,266.0,Sidney_Health_Center
1001584,RAD EXAM MANDIBLE COMPL MIN 4 VWS,,131.0,Sidney_Health_Center
1001592,RAD EXAM MASTOIDS COMPL MIN 3 VWS PER SIDE,,110.0,Sidney_Health_Center
1001596,RAD BONE LENGTH STUDIES,,59.0,Sidney_Health_Center
1001598,MED PHYSICS CONSULTATION,,504.0,Sidney_Health_Center
1001632,RAD EXAM OSSEOUS SURVEY COMPL,,343.0,Sidney_Health_Center
1001656,SURG INJ MYELOGRAPHY AND OR CT LUMBAR,,1315.0,Sidney_Health_Center
1001660,RAD EXAM NASAL BONES COMPL MIN 3 VWS,,116.0,Sidney_Health_Center
1001663,RAD EXAM NECK SOFT TISSUE,,100.0,Sidney_Health_Center
1001670,RAD EXAM SNGL PLANE BODY SECT OTH THAN W UROGRAPHY,,119.0,Sidney_Health_Center
1001715,RAD EXAM OPTIC FORAMINA COMPL MIN 4 VWS,,150.0,Sidney_Health_Center
1001776,RAD EXAM SINUSES PARANASAL COMPL MIN 3 VWS,,130.0,Sidney_Health_Center
1001804,RAD EXAM PELVIS 1 OR 2 VWS,,179.0,Sidney_Health_Center
1001890,US PROSTATE VOLUME STUDY,,280.0,Sidney_Health_Center
1001905,RADIATION THER TRMT PLAN,,5564.0,Sidney_Health_Center
1001942,RAD UROGRAPHY RETROGRADE W WO KUB,,340.0,Sidney_Health_Center
1001947,RAD EXAM RIBS UNILAT W CHEST MIN 3 VWS,,201.0,Sidney_Health_Center
1001948,RAD EXAM RIBS BILAT W CHEST MIN 4 VWS,,286.0,Sidney_Health_Center
1001973,RAD EXAM SACROILIAC JNTS 3 + VWS,,132.0,Sidney_Health_Center
1001975,RAD EXAM SACRUM COCCYX MIN 2 VWS,,121.0,Sidney_Health_Center
1001978,RAD S&amp;I HYSTEROSALPINGOGRAPHY,,422.0,Sidney_Health_Center
1001981,HCG QUANT 84702,,177.0,Sidney_Health_Center
1001982,AFP TUMOR MRKR 82105,,84.0,Sidney_Health_Center
1001984,CULTUR TB ACID FST BACILL87116,,110.0,Sidney_Health_Center
1001985,CONCENTRATION (AFB) 87015,,47.0,Sidney_Health_Center
1001986,SMEAR FLUORES ACD FST STN87206,,69.0,Sidney_Health_Center
1001987,RAD EXAM SCAPULA COMPL,,68.0,Sidney_Health_Center
1002056,RAD EXAM SHOULDER  1 VW,,48.0,Sidney_Health_Center
1002057,RAD S&amp;I EXAM SHOULDER ARTHROGRAPHY,,424.0,Sidney_Health_Center
1002058,SHOULDER ARTHRO INJ,,390.0,Sidney_Health_Center
1002062,RAD EXAM SHOULDER COMPL MIN 2 VWS,,200.0,Sidney_Health_Center
1002066,SIMPLE RADIATION TX DELIVERY &gt;1 MEV,,514.0,Sidney_Health_Center
1002067,SI TREATMENT DEVICE,,182.0,Sidney_Health_Center
1002071,RAD S&amp;I SIALOGRAPHY,,378.0,Sidney_Health_Center
1002072,SURG INJ SIALOGRAPHY,,283.0,Sidney_Health_Center
1002081,RAD EXAM SINUSES PARANASAL &lt; 3 VWS,,101.0,Sidney_Health_Center
1002089,RAD EXAM SKULL COMPL MIN 4 VWS,,166.0,Sidney_Health_Center
1002090,RAD EXAM SKULL &lt; 4 VWS,,128.0,Sidney_Health_Center
1002091,PSG 4+ PARAMETERS,,2943.0,Sidney_Health_Center
1002093,OVERNIGHT OXIMETRY,,70.0,Sidney_Health_Center
1002094,SLEEP STUDY PARTIAL 95810,,2943.0,Sidney_Health_Center
1002099,RADIOLOGIC EXAM SMALL BOWEL WMULTIPLE SERIAL FILMS SGL CNTRST,,611.0,Sidney_Health_Center
10021,FINE NEEDLE ASPWO IMAGING 1ST LESION,,308.0,Sidney_Health_Center
10021,FINE NEEDLE ASPWO IMAGING 1ST LESION,,344.0,Sidney_Health_Center
1002112,SP MED PHYSICS CONSULT,,536.0,Sidney_Health_Center
1002114,SPECIAL TREATMENT PROC,,1986.0,Sidney_Health_Center
1002129,RAD EXAM SPINE SINGLE VW,,98.0,Sidney_Health_Center
1002183,RAD EXAM STERNUM JNT OR JNTS MIN 3 VWS,,144.0,Sidney_Health_Center
1002184,RAD EXAM STERNUM MIN 2 VWS,,207.0,Sidney_Health_Center
1002283,RAD EXAM TEETH SINGLE VW,,33.0,Sidney_Health_Center
1002315,RAD EXAM TIBIA FIBULA 2 VWS,,166.0,Sidney_Health_Center
1002322,RAD S&amp;I TMJ ARTHROGRAPHY,,235.0,Sidney_Health_Center
1002324,RAD EXAM TMJ OPEN CLOSED MOUTH BILAT,,126.0,Sidney_Health_Center
1002326,RAD EXAM TOES MIN 2 VWS,,140.0,Sidney_Health_Center
1002400,RAD EXAM GI UPPER W AIR CNTRST WO KUB,,253.0,Sidney_Health_Center
1002422,RAD EXAM UPPER EXTREM INFANT MIN 2 VWS,,161.0,Sidney_Health_Center
1002498,RAD SWALLOWING FUNC W CINERAD OR VIDEORAD,,537.0,Sidney_Health_Center
1002510,RAD S&amp;I URETHROCYSTOGRAPHY VOIDING,,414.0,Sidney_Health_Center
1002533,RAD EXAM WRIST 2 VWS,,181.0,Sidney_Health_Center
1002535,RAD EXAM WRIST COMPL MIN 3 VWS,,182.0,Sidney_Health_Center
1002557,ANES 01840 ARTERIES FOREARM,,21.0,Sidney_Health_Center
1002858,SPEECH THERAPY TX 92507,,263.0,Sidney_Health_Center
1002860,EVAL ORAL &amp; PHARYNGEAL SWALLOW 92610,,355.0,Sidney_Health_Center
1002861,DYSPHAGIA THERAPY 92526,,165.0,Sidney_Health_Center
1002868,PF 42700 I&amp;D ABS PERITONSILLAR,,610.0,Sidney_Health_Center
1002872,VIDEO SWALLOW W XRAY 92611,,473.0,Sidney_Health_Center
1002873,NM RADIOPHARM THERAPY BY IV ADMIN,,262.0,Sidney_Health_Center
1002874,IV HYDRAT INITIAL31-60MIN2VM59,,199.0,Sidney_Health_Center
1002885,TRACTION MECHANICAL 97012,,25.0,Sidney_Health_Center
1002886,ELEC STIM UNATTENDED 97014,,83.0,Sidney_Health_Center
1002894,ELEC STIM MAN PER 15 MIN 97032,,80.0,Sidney_Health_Center
1002897,IONTOPHORESIS 15 MIN 97033,,110.0,Sidney_Health_Center
1002899,ULTRASOUND 15 MIN 97035,,83.0,Sidney_Health_Center
1002900,PHONOPHORESIS 15 MIN 97035,,30.0,Sidney_Health_Center
1002901,THER EXERCISE EA 15 MIN 97110,,98.0,Sidney_Health_Center
1002902,NEUROMUSC RE ED EA 15MIN 97112,,98.0,Sidney_Health_Center
1002903,AQUATIC THERAPY 15 MIN 97113,,108.0,Sidney_Health_Center
1002904,GAIT TRAINING 15 MIN 97116,,91.0,Sidney_Health_Center
1002905,MASSAGE 15 MIN 97124,,76.0,Sidney_Health_Center
1002908,MANUAL THERAPY 15 MIN 97140,,98.0,Sidney_Health_Center
1002910,ORTHOTICS MGMT&amp;TRAIN INITIAL 15MIN 97760,,118.0,Sidney_Health_Center
1002912,THER ACTIVITES EA15 MIN 97530,,98.0,Sidney_Health_Center
1002915,SLFCR HOME MGMT TRN15MIN 97535,,83.0,Sidney_Health_Center
1002925,INFUS TX PX DX 1 HR 2V M59,,333.0,Sidney_Health_Center
1002928,TX RM WND NEG PRESS UTILIZ DME &lt;= 50SQCM 97605,,126.0,Sidney_Health_Center
1002929,TX RM WND NEG PRESS UTILIZ DME &gt;50 SQ CM 97606,,170.0,Sidney_Health_Center
1002947,ANES 31500 INTUBATION,,541.0,Sidney_Health_Center
1002948,ANES 00100 SALIVARY GLAND,,21.0,Sidney_Health_Center
1002951,ANES 00120 EAR NOS,,21.0,Sidney_Health_Center
1002952,ANES 00124 OTOSCOPY,,21.0,Sidney_Health_Center
1002953,ANES 00126 TYMPANOTOMY,,21.0,Sidney_Health_Center
1002954,ANES 00140 EYE NOS,,21.0,Sidney_Health_Center
1002955,ANES 00142 LENS SURGERY,,21.0,Sidney_Health_Center
1002957,ANES 00145 VITREORETINAL,,21.0,Sidney_Health_Center
1002959,ANES 00160 NOSE SINUS NOS,,21.0,Sidney_Health_Center
1002960,ANES 00162 NOSE RADICAL SURG,,21.0,Sidney_Health_Center
1002961,ANES 00170 INTRAORAL NOS,,21.0,Sidney_Health_Center
1002963,ANES 00174 RETROPHARYNG TUMOR,,21.0,Sidney_Health_Center
1002964,ANES 00190 FACIAL BONES NOS,,21.0,Sidney_Health_Center
1002966,ANES 00210 INTRACRANIAL NOS,,21.0,Sidney_Health_Center
1002969,ANES 00216 INTRACRANIAL VASC,,21.0,Sidney_Health_Center
1002973,ANES 00300 INTEGUM HEAD NECK,,21.0,Sidney_Health_Center
1002974,ANES 00320 ESOP THY LAR TRACH,,21.0,Sidney_Health_Center
1002975,ANES 00326 LARYNX TRACH &lt;1,,21.0,Sidney_Health_Center
1002977,ANES 00352 NECK SIMPLE LIG,,21.0,Sidney_Health_Center
1002979,ANES 00402 BREAST RECONSTRUCT,,21.0,Sidney_Health_Center
1002980,ANES 00404 BREAST MOD RADICAL,,21.0,Sidney_Health_Center
1002981,ANES 00406 BREAST WNODES,,21.0,Sidney_Health_Center
1002982,ANES 00410 ARRHYTHMIA CARDIOVERSION,,21.0,Sidney_Health_Center
1002983,ANES 00450 CLAVICLE SCAPULA,,21.0,Sidney_Health_Center
1002984,ANES 00470 RIB RESECTION NOS,,21.0,Sidney_Health_Center
1002986,ANES 00500 ESOPHAGUS THORACIC,,21.0,Sidney_Health_Center
1002987,ANES 00520 CL CHEST PROC NOS,,21.0,Sidney_Health_Center
1002991,ANES 00530 TRANSVEN PACEMAKER,,21.0,Sidney_Health_Center
1002992,ANES 00532 ACC CENT VEN CIRC,,21.0,Sidney_Health_Center
1002994,ANES 00540 THORACOTOMY NOS,,21.0,Sidney_Health_Center
1002998,ANES 00560 HEART WO PUMP,,21.0,Sidney_Health_Center
1002999,ANES 00562 HEART W PUMP &gt; 1 YR,,21.0,Sidney_Health_Center
1003005,ANES 00630 LUMBAR REGION NOS,,21.0,Sidney_Health_Center
1003007,ANES 00635 LUMBAR PUNCTURE,,21.0,Sidney_Health_Center
1003009,ANES 00700 UPPER ANT ABD WALL,,21.0,Sidney_Health_Center
1003012,ANES 00750 UPP ABD HERNIA REP,,21.0,Sidney_Health_Center
1003013,ANES 00752 UPP VENTRAL HERNIA,,21.0,Sidney_Health_Center
1003016,ANES 00770 MAJ ABD BLOOD VES,,21.0,Sidney_Health_Center
1003017,ANES 00790 INTRAPERIT UPP ABD,,21.0,Sidney_Health_Center
1003021,ANES 00800 LOW ANT ABD WALL,,21.0,Sidney_Health_Center
1003024,ANES 00820 LOW PST ABD WALL,,21.0,Sidney_Health_Center
