Location,Dept Number,Charge Code,Description,Revenue Code,CPT Code,Price,Discounted Cash Price,Minimum Contracted price,Maximum Contracted Price,BCBS Traditional Network,BCBS Point of Service Network,BCBS Closed Plan Network,BCBS HealthLink ,BCBS Medicare Advantage,Allegiance,InterWest,Pacific Source,Mountain Health Co-Op PPO,Mountain Health Co-Op HPN,United Medicare,hospital
BTMC,3330,13819032,"BASIN ,ST. blue",270,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,3330,141,ADAPTIC 3X8,270,,15.0,9.0,11.93,15.0,15.0,14.25,14.25,13.5,11.93,14.25,14.25,14.4,14.55,13.05,11.25,Benefis_Teton_Medical_Center
BTMC,3330,14804,OSTOMY HOLLISTER NEW IMAGE WAFER (5),270,A4407,40.0,24.0,17.82,40.0,40.0,17.82,17.82,36.0,31.8,38.0,38.0,38.4,38.8,34.8,30.0,Benefis_Teton_Medical_Center
BTMC,3330,148041,OSTOMY HOLLISTER NEW IMAGE WAFER each,270,A4407,8.0,4.8,6.36,8.0,8.0,7.6,7.6,7.2,6.36,7.6,7.6,7.68,7.76,6.96,6.0,Benefis_Teton_Medical_Center
BTMC,3330,14918,"KNEE WRAP SUPPORT W/HINGE, ALL SIZES",270,L1810,204.5,122.7,162.58,204.5,204.5,165.52,165.52,184.05,162.58,194.28,194.28,196.32,198.37,177.92,153.38,Benefis_Teton_Medical_Center
BTMC,3330,15103,CENTRAL LINE DRESSING CHANGE TRAY,270,,50.0,30.0,39.75,50.0,50.0,47.5,47.5,45.0,39.75,47.5,47.5,48.0,48.5,43.5,37.5,Benefis_Teton_Medical_Center
BTMC,3330,1545,ENEMA phosphate,270,,6.0,3.6,4.77,6.0,6.0,5.7,5.7,5.4,4.77,5.7,5.7,5.76,5.82,5.22,4.5,Benefis_Teton_Medical_Center
BTMC,3330,1552,ENEMA oil ret.,270,,15.0,9.0,11.93,15.0,15.0,14.25,14.25,13.5,11.93,14.25,14.25,14.4,14.55,13.05,11.25,Benefis_Teton_Medical_Center
BTMC,3330,1560,ENEMA BAG,270,,11.0,6.6,8.75,11.0,11.0,10.45,10.45,9.9,8.75,10.45,10.45,10.56,10.67,9.57,8.25,Benefis_Teton_Medical_Center
BTMC,3330,16078,MEDSEPTIC 4oz.,270,,23.0,13.8,18.29,23.0,23.0,21.85,21.85,20.7,18.29,21.85,21.85,22.08,22.31,20.01,17.25,Benefis_Teton_Medical_Center
BTMC,3330,1658,TEGEDERM CHG PICC DRESSING,270,,27.0,16.2,21.47,27.0,27.0,25.65,25.65,24.3,21.47,25.65,25.65,25.92,26.19,23.49,20.25,Benefis_Teton_Medical_Center
BTMC,3330,1665,TEGEDERM CHG IV PORT DRESSING,270,,13.0,7.8,10.34,13.0,13.0,12.35,12.35,11.7,10.34,12.35,12.35,12.48,12.61,11.31,9.75,Benefis_Teton_Medical_Center
BTMC,3330,16688,AQUACEL AG 6X6,270,,136.0,81.6,108.12,136.0,136.0,129.2,129.2,122.4,108.12,129.2,129.2,130.56,131.92,118.32,102.0,Benefis_Teton_Medical_Center
BTMC,3330,16692,LOTION,270,,2.0,1.2,1.59,2.0,2.0,1.9,1.9,1.8,1.59,1.9,1.9,1.92,1.94,1.74,1.5,Benefis_Teton_Medical_Center
BTMC,3330,16821,KALTOSTAT DRESSING,270,,31.0,18.6,24.65,31.0,31.0,29.45,29.45,27.9,24.65,29.45,29.45,29.76,30.07,26.97,23.25,Benefis_Teton_Medical_Center
BTMC,3330,1735,CATHETER INSERT TRAY,270,A4310,32.0,19.2,14.21,32.0,32.0,14.21,14.21,28.8,25.44,30.4,30.4,30.72,31.04,27.84,24.0,Benefis_Teton_Medical_Center
BTMC,3330,18004,OSTOMY HOLLISTER DRAINABLE POUCH (10),270,A5063,27.0,16.2,5.5,27.0,27.0,5.5,5.5,24.3,21.47,25.65,25.65,25.92,26.19,23.49,20.25,Benefis_Teton_Medical_Center
BTMC,3330,18317,FAST 1 INFUSION SYSTEM,260,,363.5,218.1,288.98,363.5,363.5,345.33,345.33,327.15,288.98,345.33,345.33,348.96,352.6,316.25,272.63,Benefis_Teton_Medical_Center
BTMC,3330,18374,OSTOMY HOLLISTER POUCH CLOSED (60),270,A4419,133.0,79.8,3.52,133.0,133.0,3.52,3.52,119.7,105.74,126.35,126.35,127.68,129.01,115.71,99.75,Benefis_Teton_Medical_Center
BTMC,3330,183741,OSTOMY HOLLISTER POUCH CLOSED,270,A4419,2.0,1.2,1.59,2.0,2.0,1.9,1.9,1.8,1.59,1.9,1.9,1.92,1.94,1.74,1.5,Benefis_Teton_Medical_Center
BTMC,3330,1860,GLOVES SURG.,270,,18.0,10.8,14.31,18.0,18.0,17.1,17.1,16.2,14.31,17.1,17.1,17.28,17.46,15.66,13.5,Benefis_Teton_Medical_Center
BTMC,3330,190553,FIXODENT,270,,8.0,4.8,6.36,8.0,8.0,7.6,7.6,7.2,6.36,7.6,7.6,7.68,7.76,6.96,6.0,Benefis_Teton_Medical_Center
BTMC,3330,192864,EFFERDENT (12),270,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,3330,19530,SURGICEL 2X3,270,,158.0,94.8,125.61,158.0,158.0,150.1,150.1,142.2,125.61,150.1,150.1,151.68,153.26,137.46,118.5,Benefis_Teton_Medical_Center
BTMC,3330,19678,"CHEW STICK ""Y""",270,,13.0,7.8,10.34,13.0,13.0,12.35,12.35,11.7,10.34,12.35,12.35,12.48,12.61,11.31,9.75,Benefis_Teton_Medical_Center
BTMC,3330,2001,SKIN ADHESIVE (SURGISEAL),270,,114.5,68.7,91.03,114.5,114.5,108.78,108.78,103.05,91.03,108.78,108.78,109.92,111.07,99.62,85.88,Benefis_Teton_Medical_Center
BTMC,3330,20024,NEBULIZER,270,,11.0,6.6,8.75,11.0,11.0,10.45,10.45,9.9,8.75,10.45,10.45,10.56,10.67,9.57,8.25,Benefis_Teton_Medical_Center
BTMC,3330,20032,INCENTIVE SPIROMETER,270,,16.0,9.6,12.72,16.0,16.0,15.2,15.2,14.4,12.72,15.2,15.2,15.36,15.52,13.92,12.0,Benefis_Teton_Medical_Center
BTMC,3330,20055,OXYGEN per DAY,270,,341.5,204.9,271.49,341.5,341.5,324.43,324.43,307.35,271.49,324.43,324.43,327.84,331.26,297.11,256.13,Benefis_Teton_Medical_Center
BTMC,3330,20603,OXYGEN - ER,270,,29.0,17.4,23.06,29.0,29.0,27.55,27.55,26.1,23.06,27.55,27.55,27.84,28.13,25.23,21.75,Benefis_Teton_Medical_Center
BTMC,3330,20604,OXYGEN - OP OBS,270,,171.0,102.6,135.95,171.0,171.0,162.45,162.45,153.9,135.95,162.45,162.45,164.16,165.87,148.77,128.25,Benefis_Teton_Medical_Center
BTMC,3330,21320,NASAL CANNULA 4ft.,270,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,3330,21498,DUO THERM BLANKET 24x60,270,,117.0,70.2,93.02,117.0,117.0,111.15,111.15,105.3,93.02,111.15,111.15,112.32,113.49,101.79,87.75,Benefis_Teton_Medical_Center
BTMC,3330,215,KING AIRWAYall sizes (I-GEL),270,,111.5,66.9,88.64,111.5,111.5,105.93,105.93,100.35,88.64,105.93,105.93,107.04,108.16,97.01,83.63,Benefis_Teton_Medical_Center
BTMC,3330,2191922,CALAZIME 4oz. TUBE,270,,114.5,68.7,91.03,114.5,114.5,108.78,108.78,103.05,91.03,108.78,108.78,109.92,111.07,99.62,85.88,Benefis_Teton_Medical_Center
BTMC,3330,2216,"HUBER INFUSION SET,all",270,,21.0,12.6,16.7,21.0,21.0,19.95,19.95,18.9,16.7,19.95,19.95,20.16,20.37,18.27,15.75,Benefis_Teton_Medical_Center
BTMC,3330,22301,NASAL CANNULA ADULT,270,,15.0,9.0,11.93,15.0,15.0,14.25,14.25,13.5,11.93,14.25,14.25,14.4,14.55,13.05,11.25,Benefis_Teton_Medical_Center
BTMC,3330,22520,OXYGEN HOODINFANT,270,,94.0,56.4,74.73,94.0,94.0,89.3,89.3,84.6,74.73,89.3,89.3,90.24,91.18,81.78,70.5,Benefis_Teton_Medical_Center
BTMC,3330,2287,"KLING 3""",270,,3.0,1.8,2.39,3.0,3.0,2.85,2.85,2.7,2.39,2.85,2.85,2.88,2.91,2.61,2.25,Benefis_Teton_Medical_Center
BTMC,3330,2295,"KLING 4""",270,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,3330,2303,"KLING 6""",270,,8.0,4.8,6.36,8.0,8.0,7.6,7.6,7.2,6.36,7.6,7.6,7.68,7.76,6.96,6.0,Benefis_Teton_Medical_Center
BTMC,3330,2337,ORAL SWAB pkt,270,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,3330,2345,"KLING 2""",270,,3.0,1.8,2.39,3.0,3.0,2.85,2.85,2.7,2.39,2.85,2.85,2.88,2.91,2.61,2.25,Benefis_Teton_Medical_Center
BTMC,3330,2352,LINEN SAVER,270,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,3330,2377,SACRAL 7X7 OPTIFOAM,270,,30.0,18.0,23.85,30.0,30.0,28.5,28.5,27.0,23.85,28.5,28.5,28.8,29.1,26.1,22.5,Benefis_Teton_Medical_Center
BTMC,3330,2386,LUMBAR PUNCTURE TRAY,270,,97.0,58.2,77.12,97.0,97.0,92.15,92.15,87.3,77.12,92.15,92.15,93.12,94.09,84.39,72.75,Benefis_Teton_Medical_Center
BTMC,3330,24786,PLUEROVAC,270,,186.0,111.6,147.87,186.0,186.0,176.7,176.7,167.4,147.87,176.7,176.7,178.56,180.42,161.82,139.5,Benefis_Teton_Medical_Center
BTMC,3330,250317,ADAPTIC 3x16 INCH,270,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,3330,25649,NEBULIZER MASK all,270,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,3330,2584,MOUTHWASH,270,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,3330,259085,"TAPE SILICONE 1"" ROLL",270,,27.0,16.2,21.47,27.0,27.0,25.65,25.65,24.3,21.47,25.65,25.65,25.92,26.19,23.49,20.25,Benefis_Teton_Medical_Center
BTMC,3330,25978,DEODORANT,270,,2.0,1.2,1.59,2.0,2.0,1.9,1.9,1.8,1.59,1.9,1.9,1.92,1.94,1.74,1.5,Benefis_Teton_Medical_Center
BTMC,3330,25987,SAM'S SPLINT,274,,111.5,66.9,88.64,111.5,111.5,105.93,105.93,100.35,88.64,105.93,105.93,107.04,108.16,97.01,83.63,Benefis_Teton_Medical_Center
BTMC,3330,2635,WOUND WASH,270,,39.0,23.4,31.01,39.0,39.0,37.05,37.05,35.1,31.01,37.05,37.05,37.44,37.83,33.93,29.25,Benefis_Teton_Medical_Center
BTMC,3330,264072,DRESSING MEPILEX AG BORDER 4X4,270,,35.0,21.0,27.83,35.0,35.0,33.25,33.25,31.5,27.83,33.25,33.25,33.6,33.95,30.45,26.25,Benefis_Teton_Medical_Center
BTMC,3330,26751,FOLEY #22,270,A4331,37.0,22.2,6.46,37.0,37.0,6.46,6.46,33.3,29.42,35.15,35.15,35.52,35.89,32.19,27.75,Benefis_Teton_Medical_Center
BTMC,3330,26878,"ACE WRAP DOUBLE,all",270,,52.0,31.2,41.34,52.0,52.0,49.4,49.4,46.8,41.34,49.4,49.4,49.92,50.44,45.24,39.0,Benefis_Teton_Medical_Center
BTMC,3330,26880,"ACE WRAP 6""  DOUBLE LENGTH",270,,59.5,35.7,47.3,59.5,59.5,56.53,56.53,53.55,47.3,56.53,56.53,57.12,57.72,51.77,44.63,Benefis_Teton_Medical_Center
BTMC,3330,26951,FOLEY #18,270,A4331,37.0,22.2,6.46,37.0,37.0,6.46,6.46,33.3,29.42,35.15,35.15,35.52,35.89,32.19,27.75,Benefis_Teton_Medical_Center
BTMC,3330,270062,"GLIDESCOPE GVL,all",270,,122.0,73.2,96.99,122.0,122.0,115.9,115.9,109.8,96.99,115.9,115.9,117.12,118.34,106.14,91.5,Benefis_Teton_Medical_Center
BTMC,3330,28100,"COLLAR, EXTRICATION ALL",270,,95.0,57.0,75.53,95.0,95.0,90.25,90.25,85.5,75.53,90.25,90.25,91.2,92.15,82.65,71.25,Benefis_Teton_Medical_Center
BTMC,3330,295300,DRESSING MEPILEX BORDER PLAIN,270,,16.0,9.6,12.72,16.0,16.0,15.2,15.2,14.4,12.72,15.2,15.2,15.36,15.52,13.92,12.0,Benefis_Teton_Medical_Center
BTMC,3330,29643,"Tape MEFIX SURGICAL  ROLL 4""",270,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,3330,29756,ANTIFUNGAL CREAM tube,270,,99.5,59.7,79.1,99.5,99.5,94.53,94.53,89.55,79.1,94.53,94.53,95.52,96.52,86.57,74.63,Benefis_Teton_Medical_Center
BTMC,3330,2980,TEGEDERM 4X4,270,,11.0,6.6,8.75,11.0,11.0,10.45,10.45,9.9,8.75,10.45,10.45,10.56,10.67,9.57,8.25,Benefis_Teton_Medical_Center
BTMC,3330,300,NASAL ATOMIZER each,270,,13.0,7.8,10.34,13.0,13.0,12.35,12.35,11.7,10.34,12.35,12.35,12.48,12.61,11.31,9.75,Benefis_Teton_Medical_Center
BTMC,3330,3067,"IODOFORM PACKING 1/4""",270,,24.0,14.4,19.08,24.0,24.0,22.8,22.8,21.6,19.08,22.8,22.8,23.04,23.28,20.88,18.0,Benefis_Teton_Medical_Center
BTMC,3330,3089,"IODOFORM PACKING 1/2""",270,,25.0,15.0,19.88,25.0,25.0,23.75,23.75,22.5,19.88,23.75,23.75,24.0,24.25,21.75,18.75,Benefis_Teton_Medical_Center
BTMC,3330,32501,SAM PELVIC SLING,270,,420.5,252.3,334.3,420.5,420.5,399.48,399.48,378.45,334.3,399.48,399.48,403.68,407.89,365.84,315.38,Benefis_Teton_Medical_Center
BTMC,3330,32976,CO2 DETECTOR,270,,83.0,49.8,65.99,83.0,83.0,78.85,78.85,74.7,65.99,78.85,78.85,79.68,80.51,72.21,62.25,Benefis_Teton_Medical_Center
BTMC,3330,33528,RAPID INFUSION EXCHANGE SET 8.5FR,270,,133.0,79.8,105.74,133.0,133.0,126.35,126.35,119.7,105.74,126.35,126.35,127.68,129.01,115.71,99.75,Benefis_Teton_Medical_Center
BTMC,3330,349,"BANDAIDx-lrg. 2""",270,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,3330,365973,GAIT BELT,270,,32.0,19.2,25.44,32.0,32.0,30.4,30.4,28.8,25.44,30.4,30.4,30.72,31.04,27.84,24.0,Benefis_Teton_Medical_Center
BTMC,3330,383539,"IV CATH, all",270,,45.0,27.0,35.78,45.0,45.0,42.75,42.75,40.5,35.78,42.75,42.75,43.2,43.65,39.15,33.75,Benefis_Teton_Medical_Center
BTMC,3330,39759,"WASHCLOTH PKG.,disp.",270,,17.0,10.2,13.52,17.0,17.0,16.15,16.15,15.3,13.52,16.15,16.15,16.32,16.49,14.79,12.75,Benefis_Teton_Medical_Center
BTMC,3330,397609,ENTERAL FEEDING TOTAL,270,,839.5,503.7,667.4,839.5,839.5,797.53,797.53,755.55,667.4,797.53,797.53,805.92,814.32,730.37,629.63,Benefis_Teton_Medical_Center
BTMC,3330,40122,URINARY LEG BAG 1000ml,270,A4358,44.0,26.4,12.92,44.0,44.0,12.92,12.92,39.6,34.98,41.8,41.8,42.24,42.68,38.28,33.0,Benefis_Teton_Medical_Center
BTMC,3330,413150,OSTOMY CONVATEC ACTIVELIFE POUCH (60),270,A4416,415.5,249.3,5.6,415.5,415.5,5.6,5.6,373.95,330.32,394.73,394.73,398.88,403.04,361.49,311.63,Benefis_Teton_Medical_Center
BTMC,3330,413151,"OSTOMY ONE PIECE POUCH, EACH",270,,6.0,3.6,4.77,6.0,6.0,5.7,5.7,5.4,4.77,5.7,5.7,5.76,5.82,5.22,4.5,Benefis_Teton_Medical_Center
BTMC,3330,4150,BIO PATCH(IV PIC),270,,21.0,12.6,16.7,21.0,21.0,19.95,19.95,18.9,16.7,19.95,19.95,20.16,20.37,18.27,15.75,Benefis_Teton_Medical_Center
BTMC,3330,420674,"AQUACEL 4"" x 5"" PLAIN",270,,46.5,27.9,36.97,46.5,46.5,44.18,44.18,41.85,36.97,44.18,44.18,44.64,45.11,40.46,34.88,Benefis_Teton_Medical_Center
BTMC,3330,420680,AQUACEL FOAM,270,,17.0,10.2,13.52,17.0,17.0,16.15,16.15,15.3,13.52,16.15,16.15,16.32,16.49,14.79,12.75,Benefis_Teton_Medical_Center
BTMC,3330,42596,IV PIC V-LOCK,270,,51.0,30.6,40.55,51.0,51.0,48.45,48.45,45.9,40.55,48.45,48.45,48.96,49.47,44.37,38.25,Benefis_Teton_Medical_Center
BTMC,3330,440,"OXYGEN EAR CUSHION,PAIR",270,,8.0,4.8,6.36,8.0,8.0,7.6,7.6,7.2,6.36,7.6,7.6,7.68,7.76,6.96,6.0,Benefis_Teton_Medical_Center
BTMC,3330,44200,DRESSING FOAM ISLAND 4X4,270,,12.0,7.2,9.54,12.0,12.0,11.4,11.4,10.8,9.54,11.4,11.4,11.52,11.64,10.44,9.0,Benefis_Teton_Medical_Center
BTMC,3330,4432,SCALPELdisp. all,270,,18.0,10.8,14.31,18.0,18.0,17.1,17.1,16.2,14.31,17.1,17.1,17.28,17.46,15.66,13.5,Benefis_Teton_Medical_Center
BTMC,3330,4440,GAUZE 4X4(10),270,,6.0,3.6,4.77,6.0,6.0,5.7,5.7,5.4,4.77,5.7,5.7,5.76,5.82,5.22,4.5,Benefis_Teton_Medical_Center
BTMC,3330,4465,GAUZE 4X4(2),270,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,3330,44789,PEDIALYTE 1qt.(ELECTROLYTE),270,,11.0,6.6,8.75,11.0,11.0,10.45,10.45,9.9,8.75,10.45,10.45,10.56,10.67,9.57,8.25,Benefis_Teton_Medical_Center
BTMC,3330,4499,GAUZE 2X2(2),270,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,3330,4580,"STERI STRIP 1/8""",270,,9.0,5.4,7.16,9.0,9.0,8.55,8.55,8.1,7.16,8.55,8.55,8.64,8.73,7.83,6.75,Benefis_Teton_Medical_Center
BTMC,3330,45863,CRUTCHES(per pair),270,,100.5,60.3,79.9,100.5,100.5,95.48,95.48,90.45,79.9,95.48,95.48,96.48,97.49,87.44,75.38,Benefis_Teton_Medical_Center
BTMC,3330,47040,MEROCEL NASAL PACKING,270,,110.0,66.0,87.45,110.0,110.0,104.5,104.5,99.0,87.45,104.5,104.5,105.6,106.7,95.7,82.5,Benefis_Teton_Medical_Center
BTMC,3330,4846,SYRINGE 60cc,270,,3.0,1.8,2.39,3.0,3.0,2.85,2.85,2.7,2.39,2.85,2.85,2.88,2.91,2.61,2.25,Benefis_Teton_Medical_Center
BTMC,3330,4862,SUCTION BOTTLEdiSP.,270,,60.5,36.3,48.1,60.5,60.5,57.48,57.48,54.45,48.1,57.48,57.48,58.08,58.69,52.64,45.38,Benefis_Teton_Medical_Center
BTMC,3330,48697,NACL 0.9% 500 mL BTL,270,,10.0,6.0,7.95,10.0,10.0,9.5,9.5,9.0,7.95,9.5,9.5,9.6,9.7,8.7,7.5,Benefis_Teton_Medical_Center
BTMC,3330,49768,CENTRAL VENOUS CATHETER KIT 16gX8,270,,159.0,95.4,126.41,159.0,159.0,151.05,151.05,143.1,126.41,151.05,151.05,152.64,154.23,138.33,119.25,Benefis_Teton_Medical_Center
