Number,Description,Revenue Code,CPT Code,Price,Discounted Cash Price,Min Contract Price,Max Contract Price,BCBS Traditional Network,BCBS Point of Service Network,BCBS Closed Plan Network,BCBS HealthLink ,BCBS Medicare Advantage,Allegiance,First Choice Health,United Health,Pacific Source,Mountain Health Coop,hospital
1100342,HOME VISIT - NEW - LEVEL 2,527.0,99342,231.92,231.92,192.4936,231.92,231.92,220.32399999999998,220.32399999999998,208.72799999999998,192.4936,197.13199999999998,227.2816,197.13199999999998,224.96239999999997,224.96239999999997,Missouri_River_Medical_Center
1100343,HOME VISIT - NEW - LEVEL 3,527.0,99343,301.6,301.6,250.328,301.6,301.6,286.52,286.52,271.44000000000005,250.328,256.36,295.56800000000004,256.36,292.552,292.552,Missouri_River_Medical_Center
1100344,HOME VISIT - NEW - LEVEL 4,527.0,99344,428.48,428.48,355.6384,428.48,428.48,407.056,407.056,385.632,355.6384,364.208,419.91040000000004,364.208,415.6256,415.6256,Missouri_River_Medical_Center
1100345,HOME VISIT - NEW - LEVEL 5,527.0,99345,579.28,579.28,480.8024,579.28,579.28,550.3159999999999,550.3159999999999,521.352,480.8024,492.388,567.6944,492.388,561.9015999999999,561.9015999999999,Missouri_River_Medical_Center
1100347,HOME VISIT - ESTABLISHED - LEVEL 1,527.0,99347,115.44,115.44,95.81519999999999,115.44,115.44,109.66799999999999,109.66799999999999,103.896,95.81519999999999,98.124,113.13119999999999,98.124,111.9768,111.9768,Missouri_River_Medical_Center
1100348,HOME VISIT - ESTABLISHED - LEVEL 2,527.0,99348,173.68,173.68,144.1544,173.68,173.68,164.996,164.996,156.312,144.1544,147.62800000000001,170.2064,147.62800000000001,168.4696,168.4696,Missouri_River_Medical_Center
1100349,HOME VISIT - ESTABLISHED - LEVEL 3,527.0,99349,272.48,272.48,226.1584,272.48,272.48,258.856,258.856,245.23200000000003,226.1584,231.608,267.0304,231.608,264.3056,264.3056,Missouri_River_Medical_Center
1100350,HOME VISIT - ESTABLISHED - LEVEL 4,527.0,99350,433.68,433.68,359.95439999999996,433.68,433.68,411.996,411.996,390.312,359.95439999999996,368.628,425.0064,368.628,420.6696,420.6696,Missouri_River_Medical_Center
1100402,WELCOME TO MEDICARE EXAM,521.0,G0402,399.36,399.36,331.4688,399.36,399.36,379.392,379.392,359.42400000000004,331.4688,339.456,391.3728,339.456,387.3792,387.3792,Missouri_River_Medical_Center
1100403,WELCOME TO MEDICARE EKG,521.0,G0403,39.52,39.52,32.8016,39.52,39.52,37.544000000000004,37.544000000000004,35.568000000000005,32.8016,33.592,38.729600000000005,33.592,38.3344,38.3344,Missouri_River_Medical_Center
1100438,INITIAL MEDICARE WELLNESS EXAM,521.0,G0438,408.72,408.72,339.2376,408.72,408.72,388.284,388.284,367.848,339.2376,347.41200000000003,400.54560000000004,347.41200000000003,396.45840000000004,396.45840000000004,Missouri_River_Medical_Center
1100439,SUBSEQUENT MEDICARE WELLNESS EXAM,521.0,G0439,277.68,277.68,230.4744,277.68,277.68,263.796,263.796,249.912,230.4744,236.028,272.1264,236.028,269.3496,269.3496,Missouri_River_Medical_Center
1100520,REMOVAL FB MUSCLE OR TEN SHEATH SI,521.0,20520,492.96,492.96,409.1568,492.96,492.96,468.31199999999995,468.31199999999995,443.664,409.1568,419.01599999999996,483.1008,419.01599999999996,478.17119999999994,478.17119999999994,Missouri_River_Medical_Center
1100525,REM FB MUSCLE OR TENDON SHEATH SI,521.0,20525,1153.36,1153.36,957.2887999999999,1153.36,1153.36,1095.6919999999998,1095.6919999999998,1038.024,957.2887999999999,980.3559999999999,1130.2928,980.3559999999999,1118.7592,1118.7592,Missouri_River_Medical_Center
1100526,SINGLE TENDON ORIGIN/INSERTION,521.0,20551,486.72,486.72,403.9776,486.72,486.72,462.384,462.384,438.04800000000006,403.9776,413.712,476.98560000000003,413.712,472.1184,472.1184,Missouri_River_Medical_Center
1100550,INJ TRIGGER POINTS,521.0,20550,144.56,144.56,119.98479999999999,144.56,144.56,137.332,137.332,130.104,119.98479999999999,122.876,141.6688,122.876,140.2232,140.2232,Missouri_River_Medical_Center
1100600,ARTHROCENTESIS SMALL JOINT,521.0,20600,144.56,144.56,119.98479999999999,144.56,144.56,137.332,137.332,130.104,119.98479999999999,122.876,141.6688,122.876,140.2232,140.2232,Missouri_River_Medical_Center
1100605,ARTHROCENTESIS INJ INTERM JOINT,521.0,20605,157.04,157.04,130.3432,157.04,157.04,149.188,149.188,141.33599999999998,130.3432,133.48399999999998,153.89919999999998,133.48399999999998,152.3288,152.3288,Missouri_River_Medical_Center
1100610,ARTHROCENTESIS MAJOR JOINT,521.0,20610,173.68,173.68,144.1544,173.68,173.68,164.996,164.996,156.312,144.1544,147.62800000000001,170.2064,147.62800000000001,168.4696,168.4696,Missouri_River_Medical_Center
1100611,ARTHROCENTESIS MAJOR JOINT,521.0,20611,219.44,219.44,182.1352,219.44,219.44,208.468,208.468,197.496,182.1352,186.524,215.0512,186.524,212.8568,212.8568,Missouri_River_Medical_Center
1100612,ASPIRATION/INJECTION GANGLION CYST,521.0,20612,173.68,173.68,144.1544,173.68,173.68,164.996,164.996,156.312,144.1544,147.62800000000001,170.2064,147.62800000000001,168.4696,168.4696,Missouri_River_Medical_Center
1100701,INJECTION - DTP,521.0,90701,133.12,133.12,110.4896,133.12,133.12,126.464,126.464,119.808,110.4896,113.152,130.4576,113.152,129.1264,129.1264,Missouri_River_Medical_Center
1100708,INJECTION - ADMIN UP TO 18 1ST COMPONENT,521.0,90460,133.12,133.12,110.4896,133.12,133.12,126.464,126.464,119.808,110.4896,113.152,130.4576,113.152,129.1264,129.1264,Missouri_River_Medical_Center
1100709,INJECTION - ADMIN UP TO 18 ADTL COMPONEN,521.0,90461,133.12,133.12,110.4896,133.12,133.12,126.464,126.464,119.808,110.4896,113.152,130.4576,113.152,129.1264,129.1264,Missouri_River_Medical_Center
1100710,"INJECTION - ADMIN PERCUT,INTRADERMAL 1 V",521.0,90471,39.52,39.52,32.8016,39.52,39.52,37.544000000000004,37.544000000000004,35.568000000000005,32.8016,33.592,38.729600000000005,33.592,38.3344,38.3344,Missouri_River_Medical_Center
1100711,"INJECTION - ADMIN PERCUT,INTRAD, ADTL VA",521.0,90472,133.12,133.12,110.4896,133.12,133.12,126.464,126.464,119.808,110.4896,113.152,130.4576,113.152,129.1264,129.1264,Missouri_River_Medical_Center
1100724,FLU INJ,521.0,Q2038,46.8,46.8,23.17,45.864,23.17,23.17,23.17,23.17,38.843999999999994,39.779999999999994,45.864,39.779999999999994,45.395999999999994,45.395999999999994,Missouri_River_Medical_Center
1100736,CL-SHINGRIX INTRAMUSCULAR INJECTION,521.0,90736,2373.28,2373.28,381.5525,2325.8144,381.5525,381.5525,381.5525,381.5525,1969.8224,2017.288,2325.8144,2017.288,2302.0816,2302.0816,Missouri_River_Medical_Center
1100782,THERAPEUTIC INJECTION SUB OR INTR,450.0,96372,63.44,63.44,52.655199999999994,63.44,63.44,60.267999999999994,60.267999999999994,57.096,52.655199999999994,53.924,62.1712,53.924,61.5368,61.5368,Missouri_River_Medical_Center
1100818,LACTATED RINGERS 1000CC,521.0,J7120,5.2,5.2,2.905,5.096,2.905,2.905,2.905,2.905,4.316,4.42,5.096,4.42,5.044,5.044,Missouri_River_Medical_Center
1100901,CONTROL NASAL HEMORR ANT SIM,450.0,30901,231.92,231.92,192.4936,231.92,231.92,220.32399999999998,220.32399999999998,208.72799999999998,192.4936,197.13199999999998,227.2816,197.13199999999998,224.96239999999997,224.96239999999997,Missouri_River_Medical_Center
1100903,NASAL HEMM ANT COMPLEX,450.0,30903,522.08,522.08,433.32640000000004,522.08,522.08,495.976,495.976,469.87200000000007,433.32640000000004,443.76800000000003,511.63840000000005,443.76800000000003,506.41760000000005,506.41760000000005,Missouri_River_Medical_Center
1100905,CONTROL NASAL HEMORR POST COMP,521.0,30905,654.16,654.16,542.9527999999999,654.16,654.16,621.4519999999999,621.4519999999999,588.744,542.9527999999999,556.036,641.0767999999999,556.036,634.5351999999999,634.5351999999999,Missouri_River_Medical_Center
1100999,PAP SMEAR SCREEN,521.0,Q0091,86.32,86.32,71.64559999999999,86.32,86.32,82.00399999999999,82.00399999999999,77.688,71.64559999999999,73.37199999999999,84.5936,73.37199999999999,83.73039999999999,83.73039999999999,Missouri_River_Medical_Center
1101002,URINALYSIS DIPSTICK NONMICRO,300.0,81002,23.92,23.92,5.22,23.4416,8.225,8.225,8.225,8.225,19.8536,20.332,23.4416,20.332,5.22,23.2024,Missouri_River_Medical_Center
1101025,URINE PREGNANCY TEST,300.0,81025,39.52,39.52,12.915,38.729600000000005,20.334999999999997,20.334999999999997,20.334999999999997,20.334999999999997,32.8016,33.592,38.729600000000005,33.592,12.915,38.3344,Missouri_River_Medical_Center
1101042,DEBRIDEMENT SKIN AND SUBCUT TISSU,521.0,11042,277.68,277.68,230.4744,277.68,277.68,263.796,263.796,249.912,230.4744,236.028,272.1264,236.028,269.3496,269.3496,Missouri_River_Medical_Center
1101050,PARING OR CURETTEMENT,521.0,11050,63.44,63.44,52.655199999999994,63.44,63.44,60.267999999999994,60.267999999999994,57.096,52.655199999999994,53.924,62.1712,53.924,61.5368,61.5368,Missouri_River_Medical_Center
1101051,PARING OR CURETTEMENT BEN LES 2-,521.0,11051,84.24,84.24,69.91919999999999,84.24,84.24,80.02799999999999,80.02799999999999,75.816,69.91919999999999,71.604,82.5552,71.604,81.71279999999999,81.71279999999999,Missouri_River_Medical_Center
1101100,BIOPSY SKIN SUBCUT SINGLE LESION,521.0,11100,248.56,248.56,206.3048,248.56,248.56,236.132,236.132,223.704,206.3048,211.276,243.5888,211.276,241.1032,241.1032,Missouri_River_Medical_Center
1101101,BIOPSY EACH ADD LESION,521.0,11101,91.52,91.52,75.96159999999999,91.52,91.52,86.94399999999999,86.94399999999999,82.368,75.96159999999999,77.792,89.6896,77.792,88.7744,88.7744,Missouri_River_Medical_Center
1101105,GASTRIC INTUB & ASPIR OR LAVAGE,521.0,91105,277.68,277.68,230.4744,277.68,277.68,263.796,263.796,249.912,230.4744,236.028,272.1264,236.028,269.3496,269.3496,Missouri_River_Medical_Center
1101140,DEBRIDEMENT SKIN PARTIAL THICKNE,450.0,11040,91.52,91.52,75.96159999999999,91.52,91.52,86.94399999999999,86.94399999999999,82.368,75.96159999999999,77.792,89.6896,77.792,88.7744,88.7744,Missouri_River_Medical_Center
1101200,REMOVAL SKIN TAG,521.0,11200,215.28,215.28,178.6824,215.28,215.28,204.516,204.516,193.752,178.6824,182.988,210.9744,182.988,208.8216,208.8216,Missouri_River_Medical_Center
1101230,BRACE ANKLE (AIRCAST GEL),521.0,L4350,166.4,166.4,138.112,163.072,146.545,146.545,146.545,146.545,138.112,141.44,163.072,141.44,161.408,161.408,Missouri_River_Medical_Center
1101300,SHAVING EPID SINGLE TRUNK .5 CM<,521.0,11300,237.12,237.12,196.8096,237.12,237.12,225.26399999999998,225.26399999999998,213.40800000000002,196.8096,201.552,232.3776,201.552,230.00639999999999,230.00639999999999,Missouri_River_Medical_Center
1101301,SHAVING LESION .6-1.0 CM,521.0,11301,290.16,290.16,240.83280000000002,290.16,290.16,275.652,275.652,261.144,240.83280000000002,246.63600000000002,284.3568,246.63600000000002,281.4552,281.4552,Missouri_River_Medical_Center
1101302,SHAV LES 1.1-2.0 CM TRUNKARMLE,521.0,11302,342.16,342.16,283.9928,342.16,342.16,325.052,325.052,307.944,283.9928,290.836,335.3168,290.836,331.8952,331.8952,Missouri_River_Medical_Center
1101303,SHAV LES >2CM TRUNK ARMS LEGS,521.0,11303,376.48,376.48,312.4784,376.48,376.48,357.656,357.656,338.83200000000005,312.4784,320.008,368.9504,320.008,365.1856,365.1856,Missouri_River_Medical_Center
1101305,SHAVING OF LESIONSINGLE.5 CM LES,521.0,11305,237.12,237.12,196.8096,237.12,237.12,225.26399999999998,225.26399999999998,213.40800000000002,196.8096,201.552,232.3776,201.552,230.00639999999999,230.00639999999999,Missouri_River_Medical_Center
1101306,SHAVING LESION .6-1.0 CM NECK HAN,521.0,11306,290.16,290.16,240.83280000000002,290.16,290.16,275.652,275.652,261.144,240.83280000000002,246.63600000000002,284.3568,246.63600000000002,281.4552,281.4552,Missouri_River_Medical_Center
1101307,SHAVING EPID SCALP ETC.1.1 TO 2C,521.0,11307,347.36,347.36,288.3088,347.36,347.36,329.992,329.992,312.624,288.3088,295.25600000000003,340.4128,295.25600000000003,336.9392,336.9392,Missouri_River_Medical_Center
1101310,SHAVING LESION 0.5 CM LESS FACE,521.0,11310,272.48,272.48,226.1584,272.48,272.48,258.856,258.856,245.23200000000003,226.1584,231.608,267.0304,231.608,264.3056,264.3056,Missouri_River_Medical_Center
1101312,SHAV LES 1.1-2CM FACEEARSETC.,521.0,11312,387.92,387.92,321.9736,387.92,387.92,368.524,368.524,349.12800000000004,321.9736,329.732,380.1616,329.732,376.2824,376.2824,Missouri_River_Medical_Center
1101400,EXCISION BEN LES .5 CM OR LESS,521.0,11400,296.4,296.4,246.01199999999997,296.4,296.4,281.58,281.58,266.76,246.01199999999997,251.93999999999997,290.472,251.93999999999997,287.508,287.508,Missouri_River_Medical_Center
1101401,EXC BENIGN LES .6-1.0CM TRUNK AR,521.0,11401,358.8,358.8,297.804,358.8,358.8,340.86,340.86,322.92,297.804,304.98,351.624,304.98,348.036,348.036,Missouri_River_Medical_Center
1101402,EXCISION BEN LES 1.1-2.0 CM,521.0,11402,399.36,399.36,331.4688,399.36,399.36,379.392,379.392,359.42400000000004,331.4688,339.456,391.3728,339.456,387.3792,387.3792,Missouri_River_Medical_Center
1101403,EXCISION BENIGN LES. 2.1-3.0 CM,521.0,11403,462.8,462.8,384.12399999999997,462.8,462.8,439.65999999999997,439.65999999999997,416.52000000000004,384.12399999999997,393.38,453.544,393.38,448.916,448.916,Missouri_River_Medical_Center
1101420,EXC BEN LES SCALP HANDS .5CM OR <,521.0,11420,296.4,296.4,246.01199999999997,296.4,296.4,281.58,281.58,266.76,246.01199999999997,251.93999999999997,290.472,251.93999999999997,287.508,287.508,Missouri_River_Medical_Center
1101421,EXCISION BEN LES .6-1.0CM SCALP,521.0,11421,376.48,376.48,312.4784,376.48,376.48,357.656,357.656,338.83200000000005,312.4784,320.008,368.9504,320.008,365.1856,365.1856,Missouri_River_Medical_Center
1101422,EXCISION BEN LES 1.1-2CM SCALP,521.0,11422,423.28,423.28,351.32239999999996,423.28,423.28,402.11599999999993,402.11599999999993,380.952,351.32239999999996,359.78799999999995,414.8144,359.78799999999995,410.5816,410.5816,Missouri_River_Medical_Center
1101423,EXCISION BENIGN LES 2.1-3.0 CM.,521.0,11423,492.96,492.96,409.1568,492.96,492.96,468.31199999999995,468.31199999999995,443.664,409.1568,419.01599999999996,483.1008,419.01599999999996,478.17119999999994,478.17119999999994,Missouri_River_Medical_Center
1101440,EXCISION BEN LES FACE .5 CM<,521.0,11440,324.48,324.48,269.3184,324.48,324.48,308.25600000000003,308.25600000000003,292.03200000000004,269.3184,275.808,317.9904,275.808,314.7456,314.7456,Missouri_River_Medical_Center
1101441,EXC BENIGN LES .6-1.0CM FACE,521.0,11441,405.6,405.6,336.648,405.6,405.6,385.32,385.32,365.04,336.648,344.76,397.488,344.76,393.432,393.432,Missouri_River_Medical_Center
1101442,EXCISION BENIGN LES. 1.1-2.0CM,521.0,11442,457.6,457.6,379.808,457.6,457.6,434.72,434.72,411.84000000000003,379.808,388.96000000000004,448.44800000000004,388.96000000000004,443.872,443.872,Missouri_River_Medical_Center
1101443,REMOVAL BENIGN LESION 2.1-3.0 CM,521.0,11443,550.16,550.16,456.6328,550.16,550.16,522.6519999999999,522.6519999999999,495.144,456.6328,467.63599999999997,539.1568,467.63599999999997,533.6551999999999,533.6551999999999,Missouri_River_Medical_Center
1101444,REMOVAL BENIGN LESION 3.1-4.0 CM,521.0,11404,648.96,648.96,538.6368,648.96,648.96,616.5120000000001,616.5120000000001,584.0640000000001,538.6368,551.616,635.9808,551.616,629.4912,629.4912,Missouri_River_Medical_Center
1101600,EXCISION MALIG LES TRUNK ARMS .5<,521.0,11600,462.8,462.8,384.12399999999997,462.8,462.8,439.65999999999997,439.65999999999997,416.52000000000004,384.12399999999997,393.38,453.544,393.38,448.916,448.916,Missouri_River_Medical_Center
1101602,EXCISION MALIG LESION 1.1-2.0 TRU,521.0,11602,595.92,595.92,494.61359999999996,595.92,595.92,566.1239999999999,566.1239999999999,536.328,494.61359999999996,506.5319999999999,584.0015999999999,506.5319999999999,578.0423999999999,578.0423999999999,Missouri_River_Medical_Center
1101604,EXC MALIG LES TRUNK ARMS 3.1-4.0,521.0,11604,764.4,764.4,634.452,764.4,764.4,726.18,726.18,687.96,634.452,649.74,749.112,649.74,741.468,741.468,Missouri_River_Medical_Center
1101606,EXCISION MALIG LESION OVER 4.0 CM,521.0,11606,1101.36,1101.36,914.1287999999998,1101.36,1101.36,1046.292,1046.292,991.2239999999999,914.1287999999998,936.1559999999998,1079.3328,936.1559999999998,1068.3192,1068.3192,Missouri_River_Medical_Center
1101620,EXC MALIG LES SCALP NECK .05 CM <,521.0,11620,462.8,462.8,384.12399999999997,462.8,462.8,439.65999999999997,439.65999999999997,416.52000000000004,384.12399999999997,393.38,453.544,393.38,448.916,448.916,Missouri_River_Medical_Center
1101622,EXC MALIG LES NECK ETC 1.1-2.0C,521.0,11622,619.84,619.84,514.4672,619.84,619.84,588.848,588.848,557.856,514.4672,526.864,607.4432,526.864,601.2448,601.2448,Missouri_River_Medical_Center
1101640,EXCISION MAL LES .5CM OR LESS,521.0,11640,480.48,480.48,398.7984,480.48,480.48,456.456,456.456,432.432,398.7984,408.408,470.8704,408.408,466.0656,466.0656,Missouri_River_Medical_Center
1101641,EXC MALIG LESION .6-1.0CM FACE,521.0,11641,573.04,573.04,475.62319999999994,573.04,573.04,544.3879999999999,544.3879999999999,515.736,475.62319999999994,487.08399999999995,561.5791999999999,487.08399999999995,555.8488,555.8488,Missouri_River_Medical_Center
1101642,EXC MALIG LES 1.1-2.0CM FACE,521.0,11642,654.16,654.16,542.9527999999999,654.16,654.16,621.4519999999999,621.4519999999999,588.744,542.9527999999999,556.036,641.0767999999999,556.036,634.5351999999999,634.5351999999999,Missouri_River_Medical_Center
1101703,DESTRUCTION 2-14,521.0,17003,41.6,41.6,34.528,41.6,41.6,39.519999999999996,39.519999999999996,37.440000000000005,34.528,35.36,40.768,35.36,40.352,40.352,Missouri_River_Medical_Center
1101730,AVULSION OF NAIL PLATE,521.0,11730,248.56,248.56,206.3048,248.56,248.56,236.132,236.132,223.704,206.3048,211.276,243.5888,211.276,241.1032,241.1032,Missouri_River_Medical_Center
1101740,EVACUATION SUBUNGUAL HEMATOMA,521.0,11740,120.64,120.64,100.13119999999999,120.64,120.64,114.60799999999999,114.60799999999999,108.57600000000001,100.13119999999999,102.544,118.2272,102.544,117.0208,117.0208,Missouri_River_Medical_Center
1101750,NAIL REMOVAL,521.0,11750,376.48,376.48,312.4784,376.48,376.48,357.656,357.656,338.83200000000005,312.4784,320.008,368.9504,320.008,365.1856,365.1856,Missouri_River_Medical_Center
1101760,REPAIR OF NAIL BED,521.0,11760,452.4,452.4,375.49199999999996,452.4,452.4,429.78,429.78,407.15999999999997,375.49199999999996,384.53999999999996,443.352,384.53999999999996,438.828,438.828,Missouri_River_Medical_Center
1101765,WEDGE EXC NAIL,521.0,11765,399.36,399.36,331.4688,399.36,399.36,379.392,379.392,359.42400000000004,331.4688,339.456,391.3728,339.456,387.3792,387.3792,Missouri_River_Medical_Center
1101800,FRACTURE RIB CLOSED UNCOMP EACH,521.0,21800,274.56,274.56,227.88479999999998,274.56,274.56,260.832,260.832,247.104,227.88479999999998,233.376,269.0688,233.376,266.3232,266.3232,Missouri_River_Medical_Center
1101900,ASPIRATION OF SEROMA/CYST BREAST,521.0,19000,272.48,272.48,226.1584,272.48,272.48,258.856,258.856,245.23200000000003,226.1584,231.608,267.0304,231.608,264.3056,264.3056,Missouri_River_Medical_Center
1101976,REMOVAL IMPLANT CONTRACEP CAPSULE,521.0,11976,347.36,347.36,288.3088,347.36,347.36,329.992,329.992,312.624,288.3088,295.25600000000003,340.4128,295.25600000000003,336.9392,336.9392,Missouri_River_Medical_Center
1102000,THORACENTISIS,521.0,32000,462.8,462.8,384.12399999999997,462.8,462.8,439.65999999999997,439.65999999999997,416.52000000000004,384.12399999999997,393.38,453.544,393.38,448.916,448.916,Missouri_River_Medical_Center
1102001,LAC. REP. 2.5< SCALP NECK EXTR.,521.0,12001,215.28,215.28,178.6824,215.28,215.28,204.516,204.516,193.752,178.6824,182.988,210.9744,182.988,208.8216,208.8216,Missouri_River_Medical_Center
1102002,REPAIR 2.6-7.5 CM,521.0,12002,330.72,330.72,274.49760000000003,330.72,330.72,314.184,314.184,297.648,274.49760000000003,281.112,324.10560000000004,281.112,320.7984,320.7984,Missouri_River_Medical_Center
1102004,REPAIR 7.6-12.5CM SCALPTRUNK EXT,521.0,12004,387.92,387.92,321.9736,387.92,387.92,368.524,368.524,349.12800000000004,321.9736,329.732,380.1616,329.732,376.2824,376.2824,Missouri_River_Medical_Center
1102005,LAC REP 12.6-20.0 CM SCALP EXTREM,521.0,12005,492.96,492.96,409.1568,492.96,492.96,468.31199999999995,468.31199999999995,443.664,409.1568,419.01599999999996,483.1008,419.01599999999996,478.17119999999994,478.17119999999994,Missouri_River_Medical_Center
1102011,LAC REPAIR 2.5 < FACE EARS ETC.,521.0,12011,330.72,330.72,274.49760000000003,330.72,330.72,314.184,314.184,297.648,274.49760000000003,281.112,324.10560000000004,281.112,320.7984,320.7984,Missouri_River_Medical_Center
1102013,LAC REPAIR 2.6-5.0 CM FACE,521.0,12013,347.36,347.36,288.3088,347.36,347.36,329.992,329.992,312.624,288.3088,295.25600000000003,340.4128,295.25600000000003,336.9392,336.9392,Missouri_River_Medical_Center
1102014,SIMPLE REPAIR FACE 5.1-7.5 CM,521.0,12014,405.6,405.6,336.648,405.6,405.6,385.32,385.32,365.04,336.648,344.76,397.488,344.76,393.432,393.432,Missouri_River_Medical_Center
1102015,LAC REP 7.6-12.5CM SCALP NECK EX,521.0,12015,492.96,492.96,409.1568,492.96,492.96,468.31199999999995,468.31199999999995,443.664,409.1568,419.01599999999996,483.1008,419.01599999999996,478.17119999999994,478.17119999999994,Missouri_River_Medical_Center
