Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE,BCBS_OF_MONTANA,EBMS,FIRST_CHOICE_HEALTH,MOUNTAIN_HEALTH_CO_OP,PACIFICSOURCE,UNITED_HEALTHCARE,hospital
00143003_1,IT SUPPORT CELL PHONE CHARGE,Outpatient,520,,,,0,7.5,7.13,6.98,7.5,7.13,6.98,7.13,7.13,7.28,7.5,7.13,Northern_Rockies_Medical_Center
00143004_1,IT SUPPORT MILEAGE,Inpatient,520,,,,0,0.58,0.55,0.54,0.58,0.55,0.54,0.55,0.55,0.56,0.58,0.55,Northern_Rockies_Medical_Center
00143004_1,IT SUPPORT MILEAGE,Outpatient,520,,,,0,0.58,0.55,0.54,0.58,0.55,0.54,0.55,0.55,0.56,0.58,0.55,Northern_Rockies_Medical_Center
00143005_1,IT SUPPORT FLIGHT,Inpatient,520,,,,0,238.8,226.86,222.08,238.8,226.86,222.08,226.86,226.86,231.64,238.8,226.86,Northern_Rockies_Medical_Center
00143005_1,IT SUPPORT FLIGHT,Outpatient,520,,,,0,238.8,226.86,222.08,238.8,226.86,222.08,226.86,226.86,231.64,238.8,226.86,Northern_Rockies_Medical_Center
00143006_1,IT SUPPORT LODGING,Inpatient,520,,,,0,443.54,421.36,412.49,443.54,421.36,412.49,421.36,421.36,430.23,443.54,421.36,Northern_Rockies_Medical_Center
00143006_1,IT SUPPORT LODGING,Outpatient,520,,,,0,443.54,421.36,412.49,443.54,421.36,412.49,421.36,421.36,430.23,443.54,421.36,Northern_Rockies_Medical_Center
00143007_1,IT SUPPORT TRAVEL EXPENSES,Inpatient,520,,,,0,172.27,163.66,160.21,172.27,163.66,160.21,163.66,163.66,167.1,172.27,163.66,Northern_Rockies_Medical_Center
00143007_1,IT SUPPORT TRAVEL EXPENSES,Outpatient,520,,,,0,172.27,163.66,160.21,172.27,163.66,160.21,163.66,163.66,167.1,172.27,163.66,Northern_Rockies_Medical_Center
00143008_1,IT SUPPORT CELL PHONE CHARGE,Inpatient,520,,,,0,5,4.75,4.65,5,4.75,4.65,4.75,4.75,4.85,5,4.75,Northern_Rockies_Medical_Center
00143008_1,IT SUPPORT CELL PHONE CHARGE,Outpatient,520,,,,0,5,4.75,4.65,5,4.75,4.65,4.75,4.75,4.85,5,4.75,Northern_Rockies_Medical_Center
00143010_1,IT SUPPORT LODGING,Inpatient,520,,,,0,110,104.5,102.3,110,104.5,102.3,104.5,104.5,106.7,110,104.5,Northern_Rockies_Medical_Center
00143010_1,IT SUPPORT LODGING,Outpatient,520,,,,0,110,104.5,102.3,110,104.5,102.3,104.5,104.5,106.7,110,104.5,Northern_Rockies_Medical_Center
00200002_1,CODE 99,Inpatient,480,92950,"Cardiopulmonary resuscitation (eg, in cardiac arrest)",,0,2290,2175.5,2129.7,2290,2175.5,2129.7,2175.5,2175.5,2221.3,2290,2175.5,Northern_Rockies_Medical_Center
00200002_1,CODE 99,Outpatient,480,92950,"Cardiopulmonary resuscitation (eg, in cardiac arrest)",,0,2290,2175.5,2129.7,2290,2175.5,2129.7,2175.5,2175.5,2221.3,2290,2175.5,Northern_Rockies_Medical_Center
00300015_1,DRUG SCREEN COLLECTION,Inpatient,300,,,,0,37,35.15,34.41,37,35.15,34.41,35.15,35.15,35.89,37,35.15,Northern_Rockies_Medical_Center
00300015_1,DRUG SCREEN COLLECTION,Outpatient,300,,,,0,37,35.15,34.41,37,35.15,34.41,35.15,35.15,35.89,37,35.15,Northern_Rockies_Medical_Center
00300147_1,DHEA,Inpatient,301,82626,Dehydroepiandrosterone (DHEA),,0,265.88,252.59,247.27,265.88,252.59,247.27,252.59,252.59,257.9,265.88,252.59,Northern_Rockies_Medical_Center
00300147_1,DHEA,Outpatient,301,82626,Dehydroepiandrosterone (DHEA),,0,265.88,252.59,247.27,265.88,252.59,247.27,252.59,252.59,257.9,265.88,252.59,Northern_Rockies_Medical_Center
00300444_1,HEMOGLOBIN S,Inpatient,301,85660,"Sickling of RBC, reduction",,0,264,250.8,245.52,264,250.8,245.52,250.8,250.8,256.08,264,250.8,Northern_Rockies_Medical_Center
00300444_1,HEMOGLOBIN S,Outpatient,301,85660,"Sickling of RBC, reduction",,0,264,250.8,245.52,264,250.8,245.52,250.8,250.8,256.08,264,250.8,Northern_Rockies_Medical_Center
00301101_1,ANTI CCP ANTIBODIES,Inpatient,302,86200,"Cyclic citrullinated peptide (CCP), antibody",,0,108,102.6,100.44,108,102.6,100.44,102.6,102.6,104.76,108,102.6,Northern_Rockies_Medical_Center
00301101_1,ANTI CCP ANTIBODIES,Outpatient,302,86200,"Cyclic citrullinated peptide (CCP), antibody",,0,108,102.6,100.44,108,102.6,100.44,102.6,102.6,104.76,108,102.6,Northern_Rockies_Medical_Center
00301147_1,CYSTATIN C,Inpatient,301,82610,Cystatin C,,0,265.88,252.59,247.27,265.88,252.59,247.27,252.59,252.59,257.9,265.88,252.59,Northern_Rockies_Medical_Center
00301147_1,CYSTATIN C,Outpatient,301,82610,Cystatin C,,0,265.88,252.59,247.27,265.88,252.59,247.27,252.59,252.59,257.9,265.88,252.59,Northern_Rockies_Medical_Center
00301199_1,IFE PE SERUM & QUANT FREE K & L LIGHT CH,Inpatient,301,86334,Immunofixation electrophoresis; serum,,0,135.57,128.79,126.08,135.57,128.79,126.08,128.79,128.79,131.5,135.57,128.79,Northern_Rockies_Medical_Center
00301199_1,IFE PE SERUM & QUANT FREE K & L LIGHT CH,Outpatient,301,86334,Immunofixation electrophoresis; serum,,0,135.57,128.79,126.08,135.57,128.79,126.08,128.79,128.79,131.5,135.57,128.79,Northern_Rockies_Medical_Center
00301299_1,"IMMUNOGLOBULINS QUANT, IGA,IGG, IGM",Inpatient,301,82784,"Gammaglobulin (immunoglobulin); IgA, IgD, IgG, IgM, each",,0,87.6,83.22,81.47,87.6,83.22,81.47,83.22,83.22,84.97,87.6,83.22,Northern_Rockies_Medical_Center
00301299_1,"IMMUNOGLOBULINS QUANT, IGA,IGG, IGM",Outpatient,301,82784,"Gammaglobulin (immunoglobulin); IgA, IgD, IgG, IgM, each",,0,87.6,83.22,81.47,87.6,83.22,81.47,83.22,83.22,84.97,87.6,83.22,Northern_Rockies_Medical_Center
00330221_1,PT NEUROMUSCULAR RE-ED EA 15 MIN KX,Inpatient,420,97112,"Therapeutic procedure, 1 or more areas, each 15 minutes; neuromuscular reeducation of movement, balance, coordination, kinesthetic sense, posture, and/or proprioception for sitting and/or standing activities",,0,93.71,89.02,87.15,93.71,89.02,87.15,89.02,89.02,90.9,93.71,89.02,Northern_Rockies_Medical_Center
00330221_1,PT NEUROMUSCULAR RE-ED EA 15 MIN KX,Outpatient,420,97112,"Therapeutic procedure, 1 or more areas, each 15 minutes; neuromuscular reeducation of movement, balance, coordination, kinesthetic sense, posture, and/or proprioception for sitting and/or standing activities",,0,93.71,89.02,87.15,93.71,89.02,87.15,89.02,89.02,90.9,93.71,89.02,Northern_Rockies_Medical_Center
00400001_1,BLOOD TRANSFUSION > 2YEARS,Inpatient,391,36430,"Transfusion, blood or blood components",,0,502,476.9,466.86,502,476.9,466.86,476.9,476.9,486.94,502,476.9,Northern_Rockies_Medical_Center
00400001_1,BLOOD TRANSFUSION > 2YEARS,Outpatient,391,36430,"Transfusion, blood or blood components",,0,502,476.9,466.86,502,476.9,466.86,476.9,476.9,486.94,502,476.9,Northern_Rockies_Medical_Center
00400002_1,CARDIOVERSION,Inpatient,480,92960,"Cardioversion, elective, electrical conversion of arrhythmia; external",,0,992.4,942.78,922.93,992.4,942.78,922.93,942.78,942.78,962.63,992.4,942.78,Northern_Rockies_Medical_Center
00400002_1,CARDIOVERSION,Outpatient,480,92960,"Cardioversion, elective, electrical conversion of arrhythmia; external",,0,992.4,942.78,922.93,992.4,942.78,922.93,942.78,942.78,962.63,992.4,942.78,Northern_Rockies_Medical_Center
00400003_1,COMPLEX FOLEY INSERTION,Emergency,450,51703,"Insertion of temporary indwelling bladder catheter; complicated (eg, altered anatomy, fractured catheter/balloon)",,0,286.8,272.46,266.72,286.8,272.46,266.72,272.46,272.46,278.2,286.8,272.46,Northern_Rockies_Medical_Center
00400003_1,COMPLEX FOLEY INSERTION,Inpatient,450,51703,"Insertion of temporary indwelling bladder catheter; complicated (eg, altered anatomy, fractured catheter/balloon)",,0,286.8,272.46,266.72,286.8,272.46,266.72,272.46,272.46,278.2,286.8,272.46,Northern_Rockies_Medical_Center
00400004_1,CPR,Inpatient,480,92950,"Cardiopulmonary resuscitation (eg, in cardiac arrest)",,0,2290,2175.5,2129.7,2290,2175.5,2129.7,2175.5,2175.5,2221.3,2290,2175.5,Northern_Rockies_Medical_Center
00400004_1,CPR,Outpatient,480,92950,"Cardiopulmonary resuscitation (eg, in cardiac arrest)",,0,2290,2175.5,2129.7,2290,2175.5,2129.7,2175.5,2175.5,2221.3,2290,2175.5,Northern_Rockies_Medical_Center
00400005_1,CRITICAL CARE 1ST 30-74 MIN,Emergency,450,99291,"Critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes",,0,2146,2038.7,1995.78,2146,2038.7,1995.78,2038.7,2038.7,2081.62,2146,2038.7,Northern_Rockies_Medical_Center
00400005_1,CRITICAL CARE 1ST 30-74 MIN,Inpatient,450,99291,"Critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes",,0,2146,2038.7,1995.78,2146,2038.7,1995.78,2038.7,2038.7,2081.62,2146,2038.7,Northern_Rockies_Medical_Center
00400006_1,CRITICAL CARE EACH ADD 30 MIN,Emergency,450,99292,"Critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service)",,0,547.2,519.84,508.9,547.2,519.84,508.9,519.84,519.84,530.78,547.2,519.84,Northern_Rockies_Medical_Center
00400006_1,CRITICAL CARE EACH ADD 30 MIN,Inpatient,450,99292,"Critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service)",,0,547.2,519.84,508.9,547.2,519.84,508.9,519.84,519.84,530.78,547.2,519.84,Northern_Rockies_Medical_Center
00400008_1,EMERGENCY CARE LEVEL 1 25,Emergency,450,99281,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor.",,0,168,159.6,156.24,168,159.6,156.24,159.6,159.6,162.96,168,159.6,Northern_Rockies_Medical_Center
00400008_1,EMERGENCY CARE LEVEL 1 25,Inpatient,450,99281,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor.",,0,168,159.6,156.24,168,159.6,156.24,159.6,159.6,162.96,168,159.6,Northern_Rockies_Medical_Center
00400009_1,EMERGENCY CARE LEVEL 2 25,Emergency,450,99282,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity.",,0,286.14,271.83,266.11,286.14,271.83,266.11,271.83,271.83,277.56,286.14,271.83,Northern_Rockies_Medical_Center
00400009_1,EMERGENCY CARE LEVEL 2 25,Inpatient,450,99282,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity.",,0,286.14,271.83,266.11,286.14,271.83,266.11,271.83,271.83,277.56,286.14,271.83,Northern_Rockies_Medical_Center
00400010_1,EMERGENCY CARE LEVEL 3 25,Emergency,450,99283,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",,0,501.19,476.13,466.11,501.19,476.13,466.11,476.13,476.13,486.15,501.19,476.13,Northern_Rockies_Medical_Center
00400010_1,EMERGENCY CARE LEVEL 3 25,Inpatient,450,99283,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",,0,501.19,476.13,466.11,501.19,476.13,466.11,476.13,476.13,486.15,501.19,476.13,Northern_Rockies_Medical_Center
00400011_1,EMERGENCY CARE LEVEL 4 25,Emergency,450,99284,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician, or other qualified health care professionals but do not pose an immediate significant threat to life or physiologic function.",,0,856.89,814.05,796.91,856.89,814.05,796.91,814.05,814.05,831.18,856.89,814.05,Northern_Rockies_Medical_Center
00400011_1,EMERGENCY CARE LEVEL 4 25,Inpatient,450,99284,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician, or other qualified health care professionals but do not pose an immediate significant threat to life or physiologic function.",,0,856.89,814.05,796.91,856.89,814.05,796.91,814.05,814.05,831.18,856.89,814.05,Northern_Rockies_Medical_Center
00400012_1,EMERGENCY CARE LEVEL 5 25,Emergency,450,99285,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components within the constraints imposed by the urgency of the patient's clinical condition and/or mental status: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity and pose an immediate significant threat to life or physiologic function.",,0,1596,1516.2,1484.28,1596,1516.2,1484.28,1516.2,1516.2,1548.12,1596,1516.2,Northern_Rockies_Medical_Center
00400012_1,EMERGENCY CARE LEVEL 5 25,Inpatient,450,99285,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components within the constraints imposed by the urgency of the patient's clinical condition and/or mental status: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity and pose an immediate significant threat to life or physiologic function.",,0,1596,1516.2,1484.28,1596,1516.2,1484.28,1516.2,1516.2,1548.12,1596,1516.2,Northern_Rockies_Medical_Center
00400013_1,ER PROCEDURE LEVEL 1,Emergency,450,,,,0,293,278.35,272.49,293,278.35,272.49,278.35,278.35,284.21,293,278.35,Northern_Rockies_Medical_Center
00400013_1,ER PROCEDURE LEVEL 1,Inpatient,450,,,,0,293,278.35,272.49,293,278.35,272.49,278.35,278.35,284.21,293,278.35,Northern_Rockies_Medical_Center
00400014_1,ER PROCEDURE LEVEL 2,Emergency,450,,,,0,497,472.15,462.21,497,472.15,462.21,472.15,472.15,482.09,497,472.15,Northern_Rockies_Medical_Center
00400014_1,ER PROCEDURE LEVEL 2,Inpatient,450,,,,0,497,472.15,462.21,497,472.15,462.21,472.15,472.15,482.09,497,472.15,Northern_Rockies_Medical_Center
00400015_1,ER PROCEDURE LEVEL 3,Emergency,450,,,,0,731,694.45,679.83,731,694.45,679.83,694.45,694.45,709.07,731,694.45,Northern_Rockies_Medical_Center
00400015_1,ER PROCEDURE LEVEL 3,Inpatient,450,,,,0,731,694.45,679.83,731,694.45,679.83,694.45,694.45,709.07,731,694.45,Northern_Rockies_Medical_Center
00400016_1,ER PROCEDURE LEVEL 4,Emergency,450,,,,0,2924.74,2778.5,2720.01,2924.74,2778.5,2720.01,2778.5,2778.5,2837,2924.74,2778.5,Northern_Rockies_Medical_Center
00400016_1,ER PROCEDURE LEVEL 4,Inpatient,450,,,,0,2924.74,2778.5,2720.01,2924.74,2778.5,2720.01,2778.5,2778.5,2837,2924.74,2778.5,Northern_Rockies_Medical_Center
00400017_1,FETAL NST,Ambulatory Surgical,729,59025,Fetal non-stress test,,0,294,279.3,273.42,294,279.3,273.42,279.3,279.3,285.18,294,279.3,Northern_Rockies_Medical_Center
00400017_1,FETAL NST,Inpatient,729,59025,Fetal non-stress test,,0,294,279.3,273.42,294,279.3,273.42,279.3,279.3,285.18,294,279.3,Northern_Rockies_Medical_Center
00400018_1,FOLEY CATH INSERTION,Emergency,450,51702,"Insertion of temporary indwelling bladder catheter; simple (eg, Foley)",,0,169.28,160.82,157.43,169.28,160.82,157.43,160.82,160.82,164.2,169.28,160.82,Northern_Rockies_Medical_Center
00400018_1,FOLEY CATH INSERTION,Inpatient,450,51702,"Insertion of temporary indwelling bladder catheter; simple (eg, Foley)",,0,169.28,160.82,157.43,169.28,160.82,157.43,160.82,160.82,164.2,169.28,160.82,Northern_Rockies_Medical_Center
00400019_1,H PYLORI,Inpatient,302,86677,Antibody; Helicobacter pylori,,0,143.07,135.92,133.06,143.07,135.92,133.06,135.92,135.92,138.78,143.07,135.92,Northern_Rockies_Medical_Center
00400019_1,H PYLORI,Outpatient,302,86677,Antibody; Helicobacter pylori,,0,143.07,135.92,133.06,143.07,135.92,133.06,135.92,135.92,138.78,143.07,135.92,Northern_Rockies_Medical_Center
00400020_1,IM/SQ-THER/PROPH/OR DIAG INJ,Inpatient,260,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",,0,64.8,61.56,60.26,64.8,61.56,60.26,61.56,61.56,62.86,64.8,61.56,Northern_Rockies_Medical_Center
00400020_1,IM/SQ-THER/PROPH/OR DIAG INJ,Outpatient,260,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",,0,64.8,61.56,60.26,64.8,61.56,60.26,61.56,61.56,62.86,64.8,61.56,Northern_Rockies_Medical_Center
00400021_1,IM-ANTIBIOTIC,Inpatient,258,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",,0,64.8,61.56,60.26,64.8,61.56,60.26,61.56,61.56,62.86,64.8,61.56,Northern_Rockies_Medical_Center
00400021_1,IM-ANTIBIOTIC,Outpatient,258,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",,0,64.8,61.56,60.26,64.8,61.56,60.26,61.56,61.56,62.86,64.8,61.56,Northern_Rockies_Medical_Center
00400022_1,INJ IVP SAME SUBSTANCE > 30MIN,Inpatient,260,96376,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of the same substance/drug provided in a facility (List separately in addition to code for primary procedure)",,0,76.13,72.32,70.8,76.13,72.32,70.8,72.32,72.32,73.85,76.13,72.32,Northern_Rockies_Medical_Center
00400022_1,INJ IVP SAME SUBSTANCE > 30MIN,Outpatient,260,96376,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of the same substance/drug provided in a facility (List separately in addition to code for primary procedure)",,0,76.13,72.32,70.8,76.13,72.32,70.8,72.32,72.32,73.85,76.13,72.32,Northern_Rockies_Medical_Center
00400023_1,INJECTION  IV PUSH,Inpatient,260,96374,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intravenous push, single or initial substance/drug",,0,182.03,172.93,169.29,182.03,172.93,169.29,172.93,172.93,176.57,182.03,172.93,Northern_Rockies_Medical_Center
00400023_1,INJECTION  IV PUSH,Outpatient,260,96374,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intravenous push, single or initial substance/drug",,0,182.03,172.93,169.29,182.03,172.93,169.29,172.93,172.93,176.57,182.03,172.93,Northern_Rockies_Medical_Center
00400024_1,INTUBATION,Emergency,450,31500,"Intubation, endotracheal, emergency procedure",,0,762.73,724.59,709.34,762.73,724.59,709.34,724.59,724.59,739.85,762.73,724.59,Northern_Rockies_Medical_Center
00400024_1,INTUBATION,Inpatient,450,31500,"Intubation, endotracheal, emergency procedure",,0,762.73,724.59,709.34,762.73,724.59,709.34,724.59,724.59,739.85,762.73,724.59,Northern_Rockies_Medical_Center
00400025_1,IV INFUSION CONCURRENT,Inpatient,263,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)",,0,67.63,64.25,62.9,67.63,64.25,62.9,64.25,64.25,65.6,67.63,64.25,Northern_Rockies_Medical_Center
00400025_1,IV INFUSION CONCURRENT,Outpatient,263,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)",,0,67.63,64.25,62.9,67.63,64.25,62.9,64.25,64.25,65.6,67.63,64.25,Northern_Rockies_Medical_Center
00400026_1,IV INFUSION MEDS 1ST HOUR,Inpatient,263,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",,0,250.29,237.78,232.77,250.29,237.78,232.77,237.78,237.78,242.78,250.29,237.78,Northern_Rockies_Medical_Center
00400026_1,IV INFUSION MEDS 1ST HOUR,Outpatient,263,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",,0,250.29,237.78,232.77,250.29,237.78,232.77,237.78,237.78,242.78,250.29,237.78,Northern_Rockies_Medical_Center
00400027_1,IV INFUSION MEDS EACH ADDL HOUR,Inpatient,260,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)",,0,96.6,91.77,89.84,96.6,91.77,89.84,91.77,91.77,93.7,96.6,91.77,Northern_Rockies_Medical_Center
00400027_1,IV INFUSION MEDS EACH ADDL HOUR,Outpatient,260,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)",,0,96.6,91.77,89.84,96.6,91.77,89.84,91.77,91.77,93.7,96.6,91.77,Northern_Rockies_Medical_Center
00400028_1,IV INFUSION THERAPY SEQ UP TO 1 HR,Inpatient,263,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",,0,116.73,110.89,108.56,116.73,110.89,108.56,110.89,110.89,113.23,116.73,110.89,Northern_Rockies_Medical_Center
00400028_1,IV INFUSION THERAPY SEQ UP TO 1 HR,Outpatient,263,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",,0,116.73,110.89,108.56,116.73,110.89,108.56,110.89,110.89,113.23,116.73,110.89,Northern_Rockies_Medical_Center
