Updated January 2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,hospital
H2500261,Aplisol 0.1cc Intradermal,86580,$30.00 ,$30.00 ,$28.50 ,$28.50 ,$27.00 ,$24.00 ,$27.00 ,$29.10 ,$28.50 ,$28.50 ,$28.50 ,$28.50 ,$27.00 ,$29.10 ,$28.50 ,$30.00 ,$24.00 ,$30.00 ,Liberty_Medical_Center
H2500222,Adacel (dip/per/tetanus) per dose,90715,$91.00 ,$91.00 ,$86.45 ,$86.45 ,$81.90 ,$72.80 ,$81.90 ,$88.27 ,$86.45 ,$86.45 ,$86.45 ,$86.45 ,$81.90 ,$88.27 ,$86.45 ,$91.00 ,$72.80 ,$91.00 ,Liberty_Medical_Center
MRI contr,MRI Contrast,A9579,$107.00 ,$107.00 ,$101.65 ,$101.65 ,$96.30 ,$85.60 ,$96.30 ,$103.79 ,$101.65 ,$101.65 ,$101.65 ,$101.65 ,$96.30 ,$103.79 ,$101.65 ,$107.00 ,$85.60 ,$107.00 ,Liberty_Medical_Center
H250110,Hydralazine 20mg/ml IV,J0360,$58.00 ,$58.00 ,$55.10 ,$55.10 ,$52.20 ,$46.40 ,$52.20 ,$56.26 ,$55.10 ,$55.10 ,$55.10 ,$55.10 ,$52.20 ,$56.26 ,$55.10 ,$58.00 ,$46.40 ,$58.00 ,Liberty_Medical_Center
H2820,Versed (Midazolam) per mg-inj.,J2250,$30.00 ,$30.00 ,$28.50 ,$28.50 ,$27.00 ,$24.00 ,$27.00 ,$29.10 ,$28.50 ,$28.50 ,$28.50 ,$28.50 ,$27.00 ,$29.10 ,$28.50 ,$30.00 ,$24.00 ,$30.00 ,Liberty_Medical_Center
H2633e,Fentanyl -up to 100 mcg,J3010,$30.00 ,$30.00 ,$28.50 ,$28.50 ,$27.00 ,$24.00 ,$27.00 ,$29.10 ,$28.50 ,$28.50 ,$28.50 ,$28.50 ,$27.00 ,$29.10 ,$28.50 ,$30.00 ,$24.00 ,$30.00 ,Liberty_Medical_Center
H2991,Magnesium  Sulfate 50% IV 4gm,J3475,$30.00 ,$30.00 ,$28.50 ,$28.50 ,$27.00 ,$24.00 ,$27.00 ,$29.10 ,$28.50 ,$28.50 ,$28.50 ,$28.50 ,$27.00 ,$29.10 ,$28.50 ,$30.00 ,$24.00 ,$30.00 ,Liberty_Medical_Center
h2646b,Potassium Chloride 20mEq IV,J3480,$55.00 ,$55.00 ,$52.25 ,$52.25 ,$49.50 ,$44.00 ,$49.50 ,$53.35 ,$52.25 ,$52.25 ,$52.25 ,$52.25 ,$49.50 ,$53.35 ,$52.25 ,$55.00 ,$44.00 ,$55.00 ,Liberty_Medical_Center
25000019c,Zosyn 3.375g-IV,,$30.00 ,$30.00 ,$28.50 ,$28.50 ,$27.00 ,$24.00 ,$27.00 ,$29.10 ,$28.50 ,$28.50 ,$28.50 ,$28.50 ,$27.00 ,$29.10 ,$28.50 ,$30.00 ,$24.00 ,$30.00 ,Liberty_Medical_Center
25000103c,Lidocaine 2% CPJ 100mg/5ml,,$35.00 ,$35.00 ,$33.25 ,$33.25 ,$31.50 ,$28.00 ,$31.50 ,$33.95 ,$33.25 ,$33.25 ,$33.25 ,$33.25 ,$31.50 ,$33.95 ,$33.25 ,$35.00 ,$28.00 ,$35.00 ,Liberty_Medical_Center
25000113a,Gaviscon Chewable-po,,$4.00 ,$4.00 ,$3.80 ,$3.80 ,$3.60 ,$3.20 ,$3.60 ,$3.88 ,$3.80 ,$3.80 ,$3.80 ,$3.80 ,$3.60 ,$3.88 ,$3.80 ,$4.00 ,$3.20 ,$4.00 ,Liberty_Medical_Center
H2000107c,Naprosyn (Naproxen)  500 mg po,,$4.00 ,$4.00 ,$3.80 ,$3.80 ,$3.60 ,$3.20 ,$3.60 ,$3.88 ,$3.80 ,$3.80 ,$3.80 ,$3.80 ,$3.60 ,$3.88 ,$3.80 ,$4.00 ,$3.20 ,$4.00 ,Liberty_Medical_Center
H24011c,Zithromax Oral Susp 200mg/5ml  btl,,$35.00 ,$35.00 ,$33.25 ,$33.25 ,$31.50 ,$28.00 ,$31.50 ,$33.95 ,$33.25 ,$33.25 ,$33.25 ,$33.25 ,$31.50 ,$33.95 ,$33.25 ,$35.00 ,$28.00 ,$35.00 ,Liberty_Medical_Center
H249a,Benadryl (Diphenhydramine) 50mg/ml IV,,$30.00 ,$30.00 ,$28.50 ,$28.50 ,$27.00 ,$24.00 ,$27.00 ,$29.10 ,$28.50 ,$28.50 ,$28.50 ,$28.50 ,$27.00 ,$29.10 ,$28.50 ,$30.00 ,$24.00 ,$30.00 ,Liberty_Medical_Center
H249b,Benadryl (Diphenhydramine)  25 mg-po,,$4.00 ,$4.00 ,$3.80 ,$3.80 ,$3.60 ,$3.20 ,$3.60 ,$3.88 ,$3.80 ,$3.80 ,$3.80 ,$3.80 ,$3.60 ,$3.88 ,$3.80 ,$4.00 ,$3.20 ,$4.00 ,Liberty_Medical_Center
H250000,Pharmacy-Misc.,,$3.00 ,$3.00 ,$2.85 ,$2.85 ,$2.70 ,$2.40 ,$2.70 ,$2.91 ,$2.85 ,$2.85 ,$2.85 ,$2.85 ,$2.70 ,$2.91 ,$2.85 ,$3.00 ,$2.40 ,$3.00 ,Liberty_Medical_Center
H25000015,Zemuron (Rocuronium)  50mg/5ml  IV,,$30.00 ,$30.00 ,$28.50 ,$28.50 ,$27.00 ,$24.00 ,$27.00 ,$29.10 ,$28.50 ,$28.50 ,$28.50 ,$28.50 ,$27.00 ,$29.10 ,$28.50 ,$30.00 ,$24.00 ,$30.00 ,Liberty_Medical_Center
H2500002,Kenalog (Triamcinolone)  cream 1%,,$16.00 ,$16.00 ,$15.20 ,$15.20 ,$14.40 ,$12.80 ,$14.40 ,$15.52 ,$15.20 ,$15.20 ,$15.20 ,$15.20 ,$14.40 ,$15.52 ,$15.20 ,$16.00 ,$12.80 ,$16.00 ,Liberty_Medical_Center
H25000025,Duoneb  (Albuterol/Atrovent),,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
H25000026,Mucomyst 20% (acetylcysteine)per dose,,$8.00 ,$8.00 ,$7.60 ,$7.60 ,$7.20 ,$6.40 ,$7.20 ,$7.76 ,$7.60 ,$7.60 ,$7.60 ,$7.60 ,$7.20 ,$7.76 ,$7.60 ,$8.00 ,$6.40 ,$8.00 ,Liberty_Medical_Center
H250001,Dulcolax supp,,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
H25000107,Advair 250/50-puff (diskus),,$335.00 ,$335.00 ,$318.25 ,$318.25 ,$301.50 ,$268.00 ,$301.50 ,$324.95 ,$318.25 ,$318.25 ,$318.25 ,$318.25 ,$301.50 ,$324.95 ,$318.25 ,$335.00 ,$268.00 ,$335.00 ,Liberty_Medical_Center
H25000113,Gaviscon oral susp,,$4.00 ,$4.00 ,$3.80 ,$3.80 ,$3.60 ,$3.20 ,$3.60 ,$3.88 ,$3.80 ,$3.80 ,$3.80 ,$3.80 ,$3.60 ,$3.88 ,$3.80 ,$4.00 ,$3.20 ,$4.00 ,Liberty_Medical_Center
H25000114,Ephedrine 50mg/ml SD vial,,$63.00 ,$63.00 ,$59.85 ,$59.85 ,$56.70 ,$50.40 ,$56.70 ,$61.11 ,$59.85 ,$59.85 ,$59.85 ,$59.85 ,$56.70 ,$61.11 ,$59.85 ,$63.00 ,$50.40 ,$63.00 ,Liberty_Medical_Center
H25000118,Aldactone (Spironolactone)  25mg-po,,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
H25000119,Plaquenil 200 mg,,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
H2500012,Marcaine 0.5% w/Epi (per 20 ml) inj,,$14.00 ,$14.00 ,$13.30 ,$13.30 ,$12.60 ,$11.20 ,$12.60 ,$13.58 ,$13.30 ,$13.30 ,$13.30 ,$13.30 ,$12.60 ,$13.58 ,$13.30 ,$14.00 ,$11.20 ,$14.00 ,Liberty_Medical_Center
H25000126,Zovirax (Acyclovir) 1000mg IV,,$307.00 ,$307.00 ,$291.65 ,$291.65 ,$276.30 ,$245.60 ,$276.30 ,$297.79 ,$291.65 ,$291.65 ,$291.65 ,$291.65 ,$276.30 ,$297.79 ,$291.65 ,$307.00 ,$245.60 ,$307.00 ,Liberty_Medical_Center
H25000198,Medrol  Dose Pack 4 mg (21 tab)   po,,$59.00 ,$59.00 ,$56.05 ,$56.05 ,$53.10 ,$47.20 ,$53.10 ,$57.23 ,$56.05 ,$56.05 ,$56.05 ,$56.05 ,$53.10 ,$57.23 ,$56.05 ,$59.00 ,$47.20 ,$59.00 ,Liberty_Medical_Center
H250001a,Dulcolax 5mg-po,,$4.00 ,$4.00 ,$3.80 ,$3.80 ,$3.60 ,$3.20 ,$3.60 ,$3.88 ,$3.80 ,$3.80 ,$3.80 ,$3.80 ,$3.60 ,$3.88 ,$3.80 ,$4.00 ,$3.20 ,$4.00 ,Liberty_Medical_Center
H250002,Colace 100mg-po,,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
H2500024,Cardizem (Diltiazem) 50mg/10ml IV,,$37.00 ,$37.00 ,$35.15 ,$35.15 ,$33.30 ,$29.60 ,$33.30 ,$35.89 ,$35.15 ,$35.15 ,$35.15 ,$35.15 ,$33.30 ,$35.89 ,$35.15 ,$37.00 ,$29.60 ,$37.00 ,Liberty_Medical_Center
H2500024a,Cardizem CD (diltiazem) 120mg po,,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
H250003,Metamucil oral 1 Tbsp,,$4.00 ,$4.00 ,$3.80 ,$3.80 ,$3.60 ,$3.20 ,$3.60 ,$3.88 ,$3.80 ,$3.80 ,$3.80 ,$3.80 ,$3.60 ,$3.88 ,$3.80 ,$4.00 ,$3.20 ,$4.00 ,Liberty_Medical_Center
h2500035a,Aquaphor oint dual pak  per 1 of 2,,$11.00 ,$11.00 ,$10.45 ,$10.45 ,$9.90 ,$8.80 ,$9.90 ,$10.67 ,$10.45 ,$10.45 ,$10.45 ,$10.45 ,$9.90 ,$10.67 ,$10.45 ,$11.00 ,$8.80 ,$11.00 ,Liberty_Medical_Center
H25000535,Cortef 5mg po,,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
H2500066,Macrobid 100mg-po,,$8.00 ,$8.00 ,$7.60 ,$7.60 ,$7.20 ,$6.40 ,$7.20 ,$7.76 ,$7.60 ,$7.60 ,$7.60 ,$7.60 ,$7.20 ,$7.76 ,$7.60 ,$8.00 ,$6.40 ,$8.00 ,Liberty_Medical_Center
H2500074b,Novolog flex pen  per inj,,$43.00 ,$43.00 ,$40.85 ,$40.85 ,$38.70 ,$34.40 ,$38.70 ,$41.71 ,$40.85 ,$40.85 ,$40.85 ,$40.85 ,$38.70 ,$41.71 ,$40.85 ,$43.00 ,$34.40 ,$43.00 ,Liberty_Medical_Center
H2500075,Advair 500/50 puff(diskus),,$395.00 ,$395.00 ,$375.25 ,$375.25 ,$355.50 ,$316.00 ,$355.50 ,$383.15 ,$375.25 ,$375.25 ,$375.25 ,$375.25 ,$355.50 ,$383.15 ,$375.25 ,$395.00 ,$316.00 ,$395.00 ,Liberty_Medical_Center
H25000755,Atarax (Hydroxyzine) 10mg po,,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
H250007a,Lovenox 30mg SQ,,$30.00 ,$30.00 ,$28.50 ,$28.50 ,$27.00 ,$24.00 ,$27.00 ,$29.10 ,$28.50 ,$28.50 ,$28.50 ,$28.50 ,$27.00 ,$29.10 ,$28.50 ,$30.00 ,$24.00 ,$30.00 ,Liberty_Medical_Center
H250007c,Lovenox 40mg sub q,,$33.00 ,$33.00 ,$31.35 ,$31.35 ,$29.70 ,$26.40 ,$29.70 ,$32.01 ,$31.35 ,$31.35 ,$31.35 ,$31.35 ,$29.70 ,$32.01 ,$31.35 ,$33.00 ,$26.40 ,$33.00 ,Liberty_Medical_Center
H250007e,Lovenox 120mg SQ,,$71.00 ,$71.00 ,$67.45 ,$67.45 ,$63.90 ,$56.80 ,$63.90 ,$68.87 ,$67.45 ,$67.45 ,$67.45 ,$67.45 ,$63.90 ,$68.87 ,$67.45 ,$71.00 ,$56.80 ,$71.00 ,Liberty_Medical_Center
H250007f,Arixtra (Fondaparinux) 2.5mg SQ,,$50.00 ,$50.00 ,$47.50 ,$47.50 ,$45.00 ,$40.00 ,$45.00 ,$48.50 ,$47.50 ,$47.50 ,$47.50 ,$47.50 ,$45.00 ,$48.50 ,$47.50 ,$50.00 ,$40.00 ,$50.00 ,Liberty_Medical_Center
H250007g,Lovenox 100mg-inj,,$45.00 ,$45.00 ,$42.75 ,$42.75 ,$40.50 ,$36.00 ,$40.50 ,$43.65 ,$42.75 ,$42.75 ,$42.75 ,$42.75 ,$40.50 ,$43.65 ,$42.75 ,$45.00 ,$36.00 ,$45.00 ,Liberty_Medical_Center
H2500095b,Clindamycin 600mg/4ml IV,,$30.00 ,$30.00 ,$28.50 ,$28.50 ,$27.00 ,$24.00 ,$27.00 ,$29.10 ,$28.50 ,$28.50 ,$28.50 ,$28.50 ,$27.00 ,$29.10 ,$28.50 ,$30.00 ,$24.00 ,$30.00 ,Liberty_Medical_Center
H25000989,Colchicine 0.6mg po,,$35.00 ,$35.00 ,$33.25 ,$33.25 ,$31.50 ,$28.00 ,$31.50 ,$33.95 ,$33.25 ,$33.25 ,$33.25 ,$33.25 ,$31.50 ,$33.95 ,$33.25 ,$35.00 ,$28.00 ,$35.00 ,Liberty_Medical_Center
H2500098a,Thiamine (Vitamin B 1) 100mg-IV or IM,,$52.00 ,$52.00 ,$49.40 ,$49.40 ,$46.80 ,$41.60 ,$46.80 ,$50.44 ,$49.40 ,$49.40 ,$49.40 ,$49.40 ,$46.80 ,$50.44 ,$49.40 ,$52.00 ,$41.60 ,$52.00 ,Liberty_Medical_Center
H250010,Norco 5/325mg po per tab,,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
H25001002,Amaryl  (GLymepiride)   1 mg po,,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
H2500102,Amaryl  (Glymepiride) 4 mg-po,,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
h2500103i,Lidocaine premixed bag 2gm/ 500ml,,$30.00 ,$30.00 ,$28.50 ,$28.50 ,$27.00 ,$24.00 ,$27.00 ,$29.10 ,$28.50 ,$28.50 ,$28.50 ,$28.50 ,$27.00 ,$29.10 ,$28.50 ,$30.00 ,$24.00 ,$30.00 ,Liberty_Medical_Center
H2500104,Synthroid (levothyroxine)  50 mcg-po,,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
H2500106,Protonix 40mg-po,,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
H2500107,Sodium Bicarb 4.2% PED,,$41.00 ,$41.00 ,$38.95 ,$38.95 ,$36.90 ,$32.80 ,$36.90 ,$39.77 ,$38.95 ,$38.95 ,$38.95 ,$38.95 ,$36.90 ,$39.77 ,$38.95 ,$41.00 ,$32.80 ,$41.00 ,Liberty_Medical_Center
H2500107a,Sodium Bicarb 8.4% 1mEq 50ml,,$49.00 ,$49.00 ,$46.55 ,$46.55 ,$44.10 ,$39.20 ,$44.10 ,$47.53 ,$46.55 ,$46.55 ,$46.55 ,$46.55 ,$44.10 ,$47.53 ,$46.55 ,$49.00 ,$39.20 ,$49.00 ,Liberty_Medical_Center
H2500110,Saline nasal spray,,$6.00 ,$6.00 ,$5.70 ,$5.70 ,$5.40 ,$4.80 ,$5.40 ,$5.82 ,$5.70 ,$5.70 ,$5.70 ,$5.70 ,$5.40 ,$5.82 ,$5.70 ,$6.00 ,$4.80 ,$6.00 ,Liberty_Medical_Center
h2500110a,Integrillin 2mg/ml VIAL 10 ml,,$405.00 ,$405.00 ,$384.75 ,$384.75 ,$364.50 ,$324.00 ,$364.50 ,$392.85 ,$384.75 ,$384.75 ,$384.75 ,$384.75 ,$364.50 ,$392.85 ,$384.75 ,$405.00 ,$324.00 ,$405.00 ,Liberty_Medical_Center
H2500113,Dextrose 50% IV,,$37.00 ,$37.00 ,$35.15 ,$35.15 ,$33.30 ,$29.60 ,$33.30 ,$35.89 ,$35.15 ,$35.15 ,$35.15 ,$35.15 ,$33.30 ,$35.89 ,$35.15 ,$37.00 ,$29.60 ,$37.00 ,Liberty_Medical_Center
H2500114,Omnicef (Cefdinir) 300mg-po,,$7.00 ,$7.00 ,$6.65 ,$6.65 ,$6.30 ,$5.60 ,$6.30 ,$6.79 ,$6.65 ,$6.65 ,$6.65 ,$6.65 ,$6.30 ,$6.79 ,$6.65 ,$7.00 ,$5.60 ,$7.00 ,Liberty_Medical_Center
H2500114a,Omnicef  Susp (Cefdinir) 60ml bottle,,$132.00 ,$132.00 ,$125.40 ,$125.40 ,$118.80 ,$105.60 ,$118.80 ,$128.04 ,$125.40 ,$125.40 ,$125.40 ,$125.40 ,$118.80 ,$128.04 ,$125.40 ,$132.00 ,$105.60 ,$132.00 ,Liberty_Medical_Center
H250011B,Tylenol  Extra Strength  500mg po,,$4.00 ,$4.00 ,$3.80 ,$3.80 ,$3.60 ,$3.20 ,$3.60 ,$3.88 ,$3.80 ,$3.80 ,$3.80 ,$3.80 ,$3.60 ,$3.88 ,$3.80 ,$4.00 ,$3.20 ,$4.00 ,Liberty_Medical_Center
