Northern Montana Hospital,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,hospital
732,Anesth Upper GI ndsc px ercp,964,2018-01-01 00:00:00,65,Northern_Montana_Health_Care
750,Anesth Hernia repair upper abd,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
752,ANESTH LUMB/VEN HERNI /WOUND,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
790,ANESTH INTRA UP ABD INC LAPAR,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
800,ANESTH LOWER ANTER ABD WALL,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
811,Anesth lower intest ndsc nos,964,2018-01-01 00:00:00,65,Northern_Montana_Health_Care
812,Anesth lower intest scr colsc,964,2018-01-01 00:00:00,65,Northern_Montana_Health_Care
813,Anesth upper lower GI ndsc px,964,2018-01-01 00:00:00,65,Northern_Montana_Health_Care
820,ANESTH LOWER POSTER ABD WALL,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
830,ANESTH HERNIA REP LOWER ABD,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
832,ANESTH VENTRAL/INCIST HERNIA,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
840,"ANESTH LOWER ABD, LAPAROSC",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
844,ANESTH ABDOMINOPERINE RESECT,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
846,ANESTH RADICAL HYSTERECTOMY,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
851,ANESTHESIA TUBAL LIGATION,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
860,"Anesthesia lower Abd, NOS",964,2017-05-01 00:00:00,65,Northern_Montana_Health_Care
902,ANESTHESIA ANORECTAL,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
910,ANESTH FOR TRANSURETHRAL PROC,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
920,ANESTHESIA MALE GENITALIA,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
940,ANESTHESIA VAGINAL PROC,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
942,"ANESTH COLPOTOMY,COLPECTOMY",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
944,ANESTH VAGINAL HYSTERECTOMY,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
948,ANESTHESIA CERVIAL CERLAGE,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
950,ANESTHESIA CULDOSCOPY,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
952,ANESTHESIA HYSTEROSCOPY,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
955,CONTIN EPID/ANALG LABOR/DELIV,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1112,ANESTH  FOR BONE MARROW ASPIR,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1200,ANESTH CLOSED PROC HIP JOINT,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1202,ANESTH ARTHROS PROC HIP JOINT,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1210,ANESTH OPEN PROC HIP JOINT,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1214,ANESTH TTL HIP REPLACE/REVIS,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1220,Anesth upper 2/3 femur,964,2018-07-01 00:00:00,65,Northern_Montana_Health_Care
1230,ANESTH OPEN PROC UPPER 2/3 FEM,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1250,ANESTHESIA FOR UPPER LEG,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1320,"ANESTH FOR NERV,MUSC,FASC KNEE",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1360,ANESTH OPEN PROC LOW 1/3 FEMUR,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1380,ANESTH LOWER ONE THIRD FEMUR,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1382,ANESTH ARTHROSCOPIC KNEE JOINT,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1390,Anesth knee area procedure,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1392,"ANES OPEN PROC UP TIB,FIB,PATE",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1400,ANESTH OPEN PROC KNEE JOINT,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1402,ANESTH TOTAL KNEE REPLACMENT,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1462,"ANES CLOS PROC  LEG,ANKLE,FT",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1464,ANESTH ARTHROSCOPIC ANKLE Jt,964,2017-05-01 00:00:00,65,Northern_Montana_Health_Care
1470,"ANES NERV,MUSC,TEN, LEG,ANK,FT",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1472,ANESTH REPR RUPTURE ACHIL TEND,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1474,ANESTH GASTROCNEMIUS RECESS,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1480,"ANES OPE PROC BONE LEG,ANKL,FT",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1482,ANESTH OPEN PROC LOWER EXTR,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1610,"ANESTH NERVE,MUSC,TEND,FASCIA",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1620,ANE CLOSE PROC HUMER HEAD NECK,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1630,"ANES OPEN PROC HUM NECK,SHOUL",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1638,ANESTH SURG/ARTHROSC SHOULD,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1710,"ANES NERVE,MUSC,TENDON,FASCIA",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1730,ANES CLOSED PROC HUMER/ELBOW,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1732,ANESTH ARTHROSCOPIC ELBOW JT,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1740,"ANES OPEN PROC HUMERUS, ELBOS",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1744,Anesthesia for humerus repair,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1780,Anesth Upper Arm Vein,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1810,"ANES NERV,MUSC,TEND,WRIST,HAN",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1820,"ANES CLOS PROC RADI,ULNA,WRIST",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1830,"ANES RADIUS,ULNA,WRIST,HAND",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1840,"ANES ARTER FOREARM,WRIST,HAND",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1844,ANESTHESIA VASCULAR SHUNT,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1850,ANES EXCISION OF CYST ON FING,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1936,ANESTH FOR IMAGE GUIDED SPINE,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1960,"ANESTHESIA, VAGINAL DELIVERY",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1961,"ANESTHESIA, CECAREAN DELIVERY",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1962,ANESTH EMERG HYSTERECTOMY,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1963,ANESTH CAESAREAN HYSTERECTO,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1965,ANESTH INCOMP/ MISSED ABORTION,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1966,Anesth for Abortion,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1967,ANESTHESIA VAGINAL DELIVERY,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1968,"ANES/ANALG,CAESAR DEL, ADD ON",964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
1991,ANES DIAG /THERAP NERVE BLOCK,964,2017-07-01 00:00:00,65,Northern_Montana_Health_Care
10005.2,FNA bx w/us gdn 1st lesion,987,2019-01-01 00:00:00,124,Northern_Montana_Health_Care
10006.2,"FNA bx w/us gdn,ea addl lesion",987,2019-01-01 00:00:00,84,Northern_Montana_Health_Care
10035.2,CT Needle loc/clip 1st lesion,987,2019-07-01 00:00:00,146,Northern_Montana_Health_Care
10036.2,CT Needle loc/clip add'l lesio,987,2019-07-01 00:00:00,74,Northern_Montana_Health_Care
10060.2,Drainage of skin abscess,987,2018-07-01 00:00:00,164,Northern_Montana_Health_Care
10061.2,Drainage of Skin abcess,987,2018-07-01 00:00:00,302,Northern_Montana_Health_Care
10080.2,Drainage of pilonidal cyst,987,2018-07-01 00:00:00,173,Northern_Montana_Health_Care
10121.2,Remove foreign body,987,2018-07-01 00:00:00,312,Northern_Montana_Health_Care
10140.2,Reainage of hematoma/fluid,987,2018-07-01 00:00:00,200,Northern_Montana_Health_Care
10160.2,Puncture drainage of lesion,987,2018-07-01 00:00:00,161,Northern_Montana_Health_Care
10180.2,Complex drainage wound,987,2018-07-01 00:00:00,301,Northern_Montana_Health_Care
11004.2,Debride genitalia & perineum,987,2019-07-01 00:00:00,979,Northern_Montana_Health_Care
11008.2,Remove mesh from abd wall,987,2018-07-01 00:00:00,467,Northern_Montana_Health_Care
11010.2,Debride skin at fx site,987,2019-07-01 00:00:00,470,Northern_Montana_Health_Care
11042.2,Deb subq tissue 20 sq cm/<,987,2018-07-01 00:00:00,105,Northern_Montana_Health_Care
11043.2,Deb musc/fascia 20 sq cm/<,987,2018-07-01 00:00:00,263,Northern_Montana_Health_Care
11044.2,Deb bone 20 sq cm/<,987,2018-07-01 00:00:00,389,Northern_Montana_Health_Care
11046.2,"Deb muscle/fascia, add on",987,2018-07-01 00:00:00,95,Northern_Montana_Health_Care
11200.2,Removal skin tags any area 15<,987,2018-07-01 00:00:00,124,Northern_Montana_Health_Care
11400.2,Exc tr-ext b9+marg 0.05cm<,987,2018-07-01 00:00:00,136,Northern_Montana_Health_Care
11401.2,Esc tr-ext b9+marg 06.-1 cm,987,2018-07-01 00:00:00,175,Northern_Montana_Health_Care
11402.2,Exc tr-ext b9+marg 1.1-2 cm,987,2018-07-01 00:00:00,193,Northern_Montana_Health_Care
11403.2,Removal skin lesion,987,2018-07-01 00:00:00,249,Northern_Montana_Health_Care
11404.2,Exc lesion 3.1-4cm,987,2018-07-01 00:00:00,274,Northern_Montana_Health_Care
11406.2,Exc tr-ext b9+marg >4.0 cm,987,2018-07-01 00:00:00,417,Northern_Montana_Health_Care
11421.2,Exc h-f-nk-sp b9+mar 0.6-1 cm,987,2018-07-01 00:00:00,185,Northern_Montana_Health_Care
11422.2,Exc h-f-nk-sp b9+mar 1.1-2 cm,987,2018-07-01 00:00:00,230,Northern_Montana_Health_Care
11423.2,Removal skin lesion 2.1-3cm,987,2018-07-01 00:00:00,264,Northern_Montana_Health_Care
11424.2,"Exc lesion b9+marg, 3.1-4",987,2018-07-01 00:00:00,303,Northern_Montana_Health_Care
11426.2,Excise lesion >4 cm,987,2018-07-01 00:00:00,465,Northern_Montana_Health_Care
11440.2,Exc face-mm b9 + marg 0.5cm/<,987,2019-01-01 00:00:00,174,Northern_Montana_Health_Care
11441.2,Exc face-mm b9+mar 0.6-1 cm,987,2018-07-01 00:00:00,221,Northern_Montana_Health_Care
11446.2,Exc face-mm b9+marg > 4cm,987,2019-07-01 00:00:00,547,Northern_Montana_Health_Care
11470.2,Removal of sweat gland lesion,987,2018-07-01 00:00:00,475,Northern_Montana_Health_Care
11602.2,Ex malig lesion +marg 1.1-2,987,2018-07-01 00:00:00,277,Northern_Montana_Health_Care
11604.2,Exc tr-ex malig 3.1-4 cm,987,2018-07-01 00:00:00,365,Northern_Montana_Health_Care
11606.2,Exc malig neoplasm > 4cm,987,2018-07-01 00:00:00,542,Northern_Montana_Health_Care
11623.2,Exc mal neoplas + marg 2.1-3cm,987,2018-07-01 00:00:00,359,Northern_Montana_Health_Care
11626.2,Exc s/n/h/f/g mal+marg > 4cm,987,2019-07-01 00:00:00,498,Northern_Montana_Health_Care
11642.2,Exc f/e/n/e mal + mrg 1.1-2,987,2018-07-01 00:00:00,311,Northern_Montana_Health_Care
11644.2,Exc f/e/e/n/l mal+marg 3.1-4,987,2019-07-01 00:00:00,482,Northern_Montana_Health_Care
11646.2,Excision malig neop face >4.0,987,2018-07-01 00:00:00,668,Northern_Montana_Health_Care
11721.2,"Debride nail, 6 or more",987,2018-07-01 00:00:00,42,Northern_Montana_Health_Care
11730.2,Removal nail plate,987,2019-01-01 00:00:00,93,Northern_Montana_Health_Care
11732.2,Removal nail plate add-on,987,2019-01-01 00:00:00,30,Northern_Montana_Health_Care
11750.2,Removal nail bed permanent,987,2018-07-01 00:00:00,171,Northern_Montana_Health_Care
11760.2,Repair of nail bed,987,2019-07-01 00:00:00,192,Northern_Montana_Health_Care
11770.2,Removal pilonidal cyst simple,987,2018-07-01 00:00:00,312,Northern_Montana_Health_Care
11771.2,Remove pilonial cyst,987,2018-07-01 00:00:00,736,Northern_Montana_Health_Care
11981.2,Insert drug implant device,987,2018-07-01 00:00:00,141,Northern_Montana_Health_Care
11982.2,Remove drug implant device,987,2018-07-01 00:00:00,169,Northern_Montana_Health_Care
12001.2,Rpr s/n/ax/gen/trnk 2.5 cm/<,987,2018-07-01 00:00:00,75,Northern_Montana_Health_Care
12002.2,Rpr s/n/as/gen/trnk 2.6-7.5 cm,987,2018-07-01 00:00:00,99,Northern_Montana_Health_Care
12006.2,Rpr s/n/a/gen/trk 20.1-30.0 cm,987,2018-07-01 00:00:00,196,Northern_Montana_Health_Care
12011.2,Rpr f/e/e/n/l/m 2.5cm/<,987,2018-07-01 00:00:00,93,Northern_Montana_Health_Care
12013.2,Rpr 2.6-5cm (FEENLM),987,2018-07-01 00:00:00,98,Northern_Montana_Health_Care
12014.2,Rpr f/e/e/n/l/m 5.1-7.5cm,987,2018-07-01 00:00:00,126,Northern_Montana_Health_Care
12017.2,Rpr f/e/e/n/l/m 20.1-30 cm,987,2019-07-01 00:00:00,255,Northern_Montana_Health_Care
12018.2,Rpr f/e/e/n/l/m >30cm,987,2019-07-01 00:00:00,289,Northern_Montana_Health_Care
12020.2,Closure split wound,987,2018-07-01 00:00:00,318,Northern_Montana_Health_Care
12031.2,Intmd rpr s/a/t/ext 2.5 cm/<,987,2018-07-01 00:00:00,259,Northern_Montana_Health_Care
12032.2,Intmd rpr s/a/t/ext 2.6-7.5 cm,987,2018-07-01 00:00:00,329,Northern_Montana_Health_Care
12034.2,Intmd rpr s/a/t/ext 7.6-12.5,987,2018-07-01 00:00:00,352,Northern_Montana_Health_Care
12035.2,Intmd rpr s/a/t/ext 12.6-20 cm,987,2018-07-01 00:00:00,406,Northern_Montana_Health_Care
12036.2,Intmd rpr s/a/t/ext 20.1-30 cm,987,2018-07-01 00:00:00,474,Northern_Montana_Health_Care
12037.2,Intmd rpr s/tr/ext > 30cm,987,2019-07-01 00:00:00,552,Northern_Montana_Health_Care
12041.2,Intmd rpr n-hf/gent 2.5 cm/<,987,2018-07-01 00:00:00,254,Northern_Montana_Health_Care
12042.2,Intmd rpr n-hf/gent 2.6-7.5 cm,987,2018-07-01 00:00:00,339,Northern_Montana_Health_Care
12044.2,Intmd rpr n-hf/gent 7.6-12.5,987,2018-07-01 00:00:00,364,Northern_Montana_Health_Care
12045.2,Intmd rpr n-hf/genit 12.6-20cm,987,2019-07-01 00:00:00,452,Northern_Montana_Health_Care
12046.2,Intmd rpr n-hf/genit 20.1-30cm,987,2019-07-01 00:00:00,526,Northern_Montana_Health_Care
12047.2,Intmd rpr n-hf/genit > 30cm,987,2019-07-01 00:00:00,586,Northern_Montana_Health_Care
12051.2,Intermed repair FEE 2.5cm/<,987,2018-07-01 00:00:00,290,Northern_Montana_Health_Care
12052.2,Intmd rpr face/mm 2.6-5.0 cm,987,2018-07-01 00:00:00,345,Northern_Montana_Health_Care
12053.2,Intmd rpr face/mm 5.1-7.5 cm,987,2019-07-01 00:00:00,367,Northern_Montana_Health_Care
12054.2,Inter repair f/e/e 7.6-12.5cm,987,2018-07-01 00:00:00,376,Northern_Montana_Health_Care
12055.2,Intmd rpr face/mm 12.6 - 20cm,987,2019-07-01 00:00:00,509,Northern_Montana_Health_Care
12056.2,Intmd rpr face/mm 20.1 - 30cm,987,2019-07-01 00:00:00,645,Northern_Montana_Health_Care
12057.2,Intmd rpr face/mm > 30cm,987,2019-07-01 00:00:00,716,Northern_Montana_Health_Care
13101.2,Cmplx rpr trunk 2.6-7.5 cm,987,2018-07-01 00:00:00,428,Northern_Montana_Health_Care
13121.2,Cmplx rpr s/a/l 2.6-7.5 cm,987,2018-07-01 00:00:00,452,Northern_Montana_Health_Care
13131.2,Cmplx rpr f/c/c/m/n/ax/g/n/f,987,2018-07-01 00:00:00,424,Northern_Montana_Health_Care
13132.2,Cmplx rpr f/c/c/m/n/ax/g/h/f,987,2018-07-01 00:00:00,533,Northern_Montana_Health_Care
13160.2,Late closure of wound,987,2018-07-01 00:00:00,1348,Northern_Montana_Health_Care
15002.2,Wound prep trk/arm/leg,987,2018-07-01 00:00:00,383,Northern_Montana_Health_Care
15040.2,Harvest cultured skin graft,987,2019-01-01 00:00:00,213,Northern_Montana_Health_Care
15050.2,Skin pinch graft,987,2018-07-01 00:00:00,747,Northern_Montana_Health_Care
15100.2,Skin split grft trunk/arm/leg,987,2018-07-01 00:00:00,1204,Northern_Montana_Health_Care
15120.2,Skin split grft fac/nck/hf/g,987,2018-07-01 00:00:00,1173,Northern_Montana_Health_Care
15220.2,Skin full graft scalp/arm/leg,987,2018-07-01 00:00:00,1037,Northern_Montana_Health_Care
15221.2,Skin full graft add on,987,2018-07-01 00:00:00,121,Northern_Montana_Health_Care
15271.2,Skin sub graft trunk/arm/leg,987,2018-07-01 00:00:00,143,Northern_Montana_Health_Care
15272.2,"Skin sub graft, add on",987,2018-07-01 00:00:00,30,Northern_Montana_Health_Care
15275.2,"Skin sub graft, face/nk/hf/g",987,2019-01-01 00:00:00,161,Northern_Montana_Health_Care
15276.2,"Skin sub graft, f/n/hf/g addl",987,2019-01-01 00:00:00,43,Northern_Montana_Health_Care
15734.2,Muscle-skin graft trunk,987,2018-07-01 00:00:00,2554,Northern_Montana_Health_Care
15822.2,Revision of upper eyelid,987,2018-07-01 00:00:00,654,Northern_Montana_Health_Care
15823.2,Revision upper eye lid,987,2018-07-01 00:00:00,911,Northern_Montana_Health_Care
15823.25,Revision of upper eyelid-bilat,987,2018-07-01 00:00:00,1353,Northern_Montana_Health_Care
15850.2,"Remove sutur,anesth same surge",987,2018-07-01 00:00:00,70,Northern_Montana_Health_Care
15851.2,Remove sutures diff surgeon,987,2018-07-01 00:00:00,78,Northern_Montana_Health_Care
16020.2,Dress/debride p-thick burn,987,2018-07-01 00:00:00,93,Northern_Montana_Health_Care
16030.2,Dressing debridment part thick,987,2018-07-01 00:00:00,228,Northern_Montana_Health_Care
17110.2,Destruc benign lesion up to 14,987,2018-07-01 00:00:00,118,Northern_Montana_Health_Care
19000.2,Drainage of breast lesion,987,2018-07-01 00:00:00,74,Northern_Montana_Health_Care
19081.2,BX Breast  1st Lesion,987,2018-07-01 00:00:00,285,Northern_Montana_Health_Care
19082.2,Breast biopsy add'l lesion,987,2018-07-01 00:00:00,144,Northern_Montana_Health_Care
19083.2,BX Breast 1st Lesion US Imag,987,2018-07-01 00:00:00,268,Northern_Montana_Health_Care
19084.2,BX breast add'l lesion US imag,987,2019-01-01 00:00:00,134,Northern_Montana_Health_Care
19101.2,Biopsy of breast open,987,2018-07-01 00:00:00,374,Northern_Montana_Health_Care
19120.2,Removal of breast lesion,987,2018-07-01 00:00:00,698,Northern_Montana_Health_Care
19125.2,Excision of breast lesion,987,2018-07-01 00:00:00,774,Northern_Montana_Health_Care
19281.2,Perq device breast 1st image,987,2018-07-01 00:00:00,171,Northern_Montana_Health_Care
19301.2,Partial mastectomy,987,2018-07-01 00:00:00,1101,Northern_Montana_Health_Care
19303.2,"Mastectomy, simple complete",987,2018-07-01 00:00:00,1620,Northern_Montana_Health_Care
19307.2,Mast mod rad,987,2018-07-01 00:00:00,2021,Northern_Montana_Health_Care
20100.2,Explore neck wound,987,2018-07-01 00:00:00,1024,Northern_Montana_Health_Care
20102.2,Explore wound abdomen,987,2018-07-01 00:00:00,433,Northern_Montana_Health_Care
20103.2,Explore wound extremity,987,2018-07-01 00:00:00,589,Northern_Montana_Health_Care
20205.2,Deep muscle biopsy,987,2018-07-01 00:00:00,265,Northern_Montana_Health_Care
20220.2,Bx bone trocar/needle superfic,987,2018-07-01 00:00:00,122,Northern_Montana_Health_Care
20225.2,Bx bone deep,987,2018-07-01 00:00:00,182,Northern_Montana_Health_Care
20240.2,Bone biopsy exisional,987,2018-07-01 00:00:00,257,Northern_Montana_Health_Care
20245.2,Bone Biopsy open deep,987,2018-07-01 00:00:00,597,Northern_Montana_Health_Care
20525.2,Removal foreign body,987,2018-07-01 00:00:00,418,Northern_Montana_Health_Care
20526.2,Ther injection carp tunnel,987,2018-07-01 00:00:00,98,Northern_Montana_Health_Care
20550.2,Inj tendon sheath / ligament,987,2019-07-01 00:00:00,67,Northern_Montana_Health_Care
20552.2,Trigger point inj 1 or 2 muscl,987,2018-07-01 00:00:00,64,Northern_Montana_Health_Care
20553.2,Trigger point inj 3 > muscles,987,2018-07-01 00:00:00,73,Northern_Montana_Health_Care
20600.2,Drain/inject joint/bursa,987,2018-07-01 00:00:00,60,Northern_Montana_Health_Care
20605.2,Drain/inject joint/bursa,987,2018-07-01 00:00:00,64,Northern_Montana_Health_Care
20610.2,Drain/inject joint/bursa,987,2018-07-01 00:00:00,78,Northern_Montana_Health_Care
20680.2,Removal of support implant,987,2018-07-01 00:00:00,714,Northern_Montana_Health_Care
20690.2,Apply bone fixation device,987,2018-07-01 00:00:00,1006,Northern_Montana_Health_Care
20924.2,Removal of tendon for graft,987,2018-07-01 00:00:00,855,Northern_Montana_Health_Care
21552.2,Exc neck lesion sc 3cm/>,987,2018-07-01 00:00:00,755,Northern_Montana_Health_Care
21554.2,Exc neck tum deep 5cm/>,987,2018-07-01 00:00:00,1234,Northern_Montana_Health_Care
21555.2,Exc neck lesion < 3cm,987,2018-07-01 00:00:00,515,Northern_Montana_Health_Care
21556.2,Exc neck tum deep <5 cm,987,2018-07-01 00:00:00,887,Northern_Montana_Health_Care
21930.2,Excise back lesion <3cm,987,2018-07-01 00:00:00,617,Northern_Montana_Health_Care
21931.2,Excision back lesion 3 cm/>,987,2018-07-01 00:00:00,795,Northern_Montana_Health_Care
22200,Paracentesis w/imag guid,761,2018-07-01 00:00:00,1021.4,Northern_Montana_Health_Care
22210,Thoracentesis w/imag guid-MS,761,2018-07-01 00:00:00,841.6,Northern_Montana_Health_Care
22220,Gastric Lavage - ICU,761,2018-07-01 00:00:00,326.4,Northern_Montana_Health_Care
22230,Nasogastric Tube - ICU,761,2018-07-01 00:00:00,326.4,Northern_Montana_Health_Care
22902.2,Exc abd lesion <3cm,987,2018-07-01 00:00:00,559,Northern_Montana_Health_Care
22903.2,Exc lipoma abd wall,987,2019-07-01 00:00:00,744,Northern_Montana_Health_Care
23071.2,Exc shoulder les sc 3cm/>,987,2018-07-01 00:00:00,710,Northern_Montana_Health_Care
23350.2,Injection for shoulder x-ray,987,2018-07-01 00:00:00,87,Northern_Montana_Health_Care
23405.2,Incision of tendon and muscle,987,2018-07-01 00:00:00,1045,Northern_Montana_Health_Care
23470.2,Reconstruct shoulder joint,987,2018-07-01 00:00:00,2028,Northern_Montana_Health_Care
23472.2,Reconstruct shoulder joint,987,2018-07-01 00:00:00,2463,Northern_Montana_Health_Care
23485.2,Osteo clavicle w/wo IF w/graft,987,2019-07-01 00:00:00,1613,Northern_Montana_Health_Care
23515.2,Treat clavicle fracture,987,2018-07-01 00:00:00,1214,Northern_Montana_Health_Care
23550.2,Treat clavicle dislocation,987,2018-07-01 00:00:00,948,Northern_Montana_Health_Care
23552.2,Treat Clavicle dislocation,987,2018-07-01 00:00:00,1103,Northern_Montana_Health_Care
23615.2,Treat humerus fracture,987,2018-07-01 00:00:00,1494,Northern_Montana_Health_Care
23630.2,Open treat grtr tuber fx humer,987,2019-01-01 00:00:00,1318,Northern_Montana_Health_Care
23655.2,Treat shoulder dislocation,987,2018-07-01 00:00:00,676,Northern_Montana_Health_Care
