Charge Code,Charge Code Description,Proc Code,Rate,hospital
10700439,"ANNUAL WELLNESS VISIT, SUBSEQUENT VISITS",G0439,285.00,The_Ruby_Valley_Hospital
11000,DEBRIDEMENT SKIN INFECTED UP TO 10%,11000,453.00,The_Ruby_Valley_Hospital
11000100,CL  acetaminophen 160mg/5ml 118ml bottle,G6039,5.00,The_Ruby_Valley_Hospital
11000101,CL  amlodopine (Norvasc) 5mg tab,J3490,5.00,The_Ruby_Valley_Hospital
11000102,CL  aspirin 81mg chewable,4086F,5.00,The_Ruby_Valley_Hospital
11000103,CL  aspirin 325mg tab,4086F,5.00,The_Ruby_Valley_Hospital
11000104,CL  ceftriaxone 1G IM,J0696,56.00,The_Ruby_Valley_Hospital
11000105,CL  clonidine 0.1mg tab,J3490,5.00,The_Ruby_Valley_Hospital
11000106,CL  dexamethasone 20mg/5ml MDV,J1100,5.00,The_Ruby_Valley_Hospital
11000107,CL dexamethasone 4mg/ml,J3490,5.00,The_Ruby_Valley_Hospital
11000108,CL  docusate liquid 100mg cup,J3490,5.00,The_Ruby_Valley_Hospital
11000109,CL  ibuprofen 200mg tab,J3490,5.00,The_Ruby_Valley_Hospital
11000110,CL kenalog 40mg/ml vial,J3301,36.00,The_Ruby_Valley_Hospital
11000111,CL  ketorolac 10mg tab,J3490,7.00,The_Ruby_Valley_Hospital
11000112,CL  ketorolac 30mg Inj,J3490,5.00,The_Ruby_Valley_Hospital
11000113,CL  lidocaine Non-Charge,J3490,0.00,The_Ruby_Valley_Hospital
11000114,CL lidocaine 2% viscous solution,J3490,5.00,The_Ruby_Valley_Hospital
11000115,CL  nitro-bid ointment,J3490,9.00,The_Ruby_Valley_Hospital
11000116,CL nitroglycerin sublingual tab 4mg,J3490,5.00,The_Ruby_Valley_Hospital
11000117,CL  ondansetron ODT 4mg,Q0162,74.00,The_Ruby_Valley_Hospital
11000118,CL tetracaine opth drops,J3490,41.00,The_Ruby_Valley_Hospital
11000171,"INJ EPINEPHRINE,ADRENALIN, 0.1MG",J0171,3.00,The_Ruby_Valley_Hospital
11000595,"INJ STADOL,BUTORPHANOL 1 MG/ML IM",J0595,20.00,The_Ruby_Valley_Hospital
11000690,"INJ ANCEF,CEFAZOLIN 1 GM IM (1000 MG)",J0690,35.00,The_Ruby_Valley_Hospital
11000696,INJ ROCEPHIN 250 MG 1 UNIT,J0696,27.00,The_Ruby_Valley_Hospital
11000702,CL  betamethasone 6mg/ml inj,J0702,40.00,The_Ruby_Valley_Hospital
11000780,INJ COMPAZINE 10MG,J0780,30.00,The_Ruby_Valley_Hospital
11001040,INJ DEPOMEDROL 40MG 1CC,J1040,38.00,The_Ruby_Valley_Hospital
11001050,INJ DEPOPROVERA 150MG,J1050,145.60,The_Ruby_Valley_Hospital
11001100,DECADRON UP TO 4MG,J1100,4.00,The_Ruby_Valley_Hospital
11001200,CL  diphenhydramine 50mg/ml inj,J1200,11.00,The_Ruby_Valley_Hospital
11001630,HALDOL UP TO 5MG,J1630,20.00,The_Ruby_Valley_Hospital
11001650,INJ LOVENOX 10MG IM,J1650,20.00,The_Ruby_Valley_Hospital
11001790,INJ INAPSINE UP TO 5MG,J1790,15.00,The_Ruby_Valley_Hospital
11001885,INJ TORADOL INJECTION 15MG,J1885,6.00,The_Ruby_Valley_Hospital
11002175,INJ DEMEROL UP TO 150MG,J2175,20.00,The_Ruby_Valley_Hospital
11002180,INJ MEPERGAN UP TO 50MG,J2180,12.00,The_Ruby_Valley_Hospital
11002300,INJ NUBAIN 10MG,J2300,19.00,The_Ruby_Valley_Hospital
11002405,INJ ONDANSETRON HCL - ZOFRAN,J2405,5.00,The_Ruby_Valley_Hospital
11002540,INJ PENICILLIN G (BICILLIN),J2540,437.00,The_Ruby_Valley_Hospital
11002550,INJ PHENERGAN UP TO 50MG,J2550,25.00,The_Ruby_Valley_Hospital
11002930,INJ SOLUMEDROL 125MG,J2930,93.60,The_Ruby_Valley_Hospital
11003030,INJ IMITREX 6MG,J3030,250.00,The_Ruby_Valley_Hospital
11003301,INJ KENALOG,J3301,10.00,The_Ruby_Valley_Hospital
11003360,INJ VALIUM 5MG,J3360,25.00,The_Ruby_Valley_Hospital
11003410,INJ VISTARIL UP TO 25MG,J3410,10.00,The_Ruby_Valley_Hospital
11003420,CL  cyanocobalamin B-12 inj,J3420,28.00,The_Ruby_Valley_Hospital
11003430,INJ VITAMIN K 1MG,J3430,20.00,The_Ruby_Valley_Hospital
11003490,"INJ LIDO,XYLO,MARCAINE 1-20CC EA",J3490,55.00,The_Ruby_Valley_Hospital
11007680,INJ TERBUTALINE/BRETHINE 1MG AMP.,J7680,115.44,The_Ruby_Valley_Hospital
11008540,ORAL DEXAMETHASONE 0.25MG,J8540,1.04,The_Ruby_Valley_Hospital
11008999,PRESCRIPTION/ORAL GI COCKTAIL,J8999,19.76,The_Ruby_Valley_Hospital
11009217,INJ LUPROLIDE 7.5MG,J9217,"3,284.32",The_Ruby_Valley_Hospital
11040,DEBRIDEMENT SKIN PARTIAL THICKNESS,11040,127.92,The_Ruby_Valley_Hospital
11042,"DEBRIDEMENT, SUBCU, FIRST 20CM",11042,265.20,The_Ruby_Valley_Hospital
11043,"DEBRIDEMENT, MUSCLE/FASCIA, FIRST 20CM",11043,462.80,The_Ruby_Valley_Hospital
11055,PARING/CUTTING SINGLE LESION CORN/CALLUS,11055,151.84,The_Ruby_Valley_Hospital
11056,PARING/CUTTING 2-4 LESION CORN/CALL,11056,164.32,The_Ruby_Valley_Hospital
11057,PARING/CUTTING >4 LESIONS CORN/CALLUS,11057,190.32,The_Ruby_Valley_Hospital
11100,BIOPSY SKIN LESION SINGLE,11100,161.20,The_Ruby_Valley_Hospital
11104,"Punch Biopsy Single Lesion Incl, Clos",11104,180.00,The_Ruby_Valley_Hospital
11140,Punch BX Skin Single lesion,,180.00,The_Ruby_Valley_Hospital
11200,REMOVAL SKIN TAG <15,11200,194.48,The_Ruby_Valley_Hospital
11200120,SUPPLIES-CERVICAL FOAM COLLAR,L0120,48.00,The_Ruby_Valley_Hospital
11200150,CERVICAL COLLAR - ADJUSTABLE,L0150,200.00,The_Ruby_Valley_Hospital
11200210,RIB BELT,L0220,225.00,The_Ruby_Valley_Hospital
11200220,RIB BELT,L0220,225.00,The_Ruby_Valley_Hospital
11200625,SACRO-LUMBAR SUPPORT,L0625,110.00,The_Ruby_Valley_Hospital
11201800,KNEE SPORT SLEEVE,L1820,250.00,The_Ruby_Valley_Hospital
11201810,SUPPLIES - KNEE ORTHOTIC,L1810,185.00,The_Ruby_Valley_Hospital
11201820,KNEE SUPPORT W/PATELLA,L1820,250.00,The_Ruby_Valley_Hospital
11201830,KNEE IMMOBILIZER,L1830,168.00,The_Ruby_Valley_Hospital
11201833,KNEE BRACE HINGED,L1833,59.00,The_Ruby_Valley_Hospital
11201902,ANKLE SUPPORT,L1902,145.00,The_Ruby_Valley_Hospital
11201906,ANKLE BRACE,L1906,290.00,The_Ruby_Valley_Hospital
11202114,FRACTURE BOOT SMALL/MED/LARGE,L2114,300.00,The_Ruby_Valley_Hospital
11202999,SUPPLIES-PATELLA STRAP,L2999,0.00,The_Ruby_Valley_Hospital
11203265,SUPPLIES POSTOP SHOE SM MED-L34.75,L3265,60.00,The_Ruby_Valley_Hospital
11203650,ELASTIC SHLDR IMMOB,L3650,105.00,The_Ruby_Valley_Hospital
11203702,ELBOW ORTHOTIC W/O JOINTS,L3702,260.00,The_Ruby_Valley_Hospital
11203908,SPLINT WRIST/HAND,L3908,105.00,The_Ruby_Valley_Hospital
11203923,SPICA THUMB SPLINT,L3923,155.00,The_Ruby_Valley_Hospital
11204350,SUPPLIES AIRCAST ANKLE,L4350,162.00,The_Ruby_Valley_Hospital
11204360,SUPPLIES SHORT LEG WALKER ALL SIZES,L4360,300.00,The_Ruby_Valley_Hospital
11204386,SUPPLIES FRACTURE BOOT SM-MED-LG,L4386,300.00,The_Ruby_Valley_Hospital
11300,SHAVE SKIN LESION >.5CM,11300,158.08,The_Ruby_Valley_Hospital
11301,SHAVE SKIN LESION 0.6-1CM,11301,187.20,The_Ruby_Valley_Hospital
11302,SHAVE SKIN LESION 1.1-2.0CM,11302,213.20,The_Ruby_Valley_Hospital
11303,SHAVE SKIN LESION >2.0CM,11303,240.24,The_Ruby_Valley_Hospital
11305,SHAVE SKIN LESION 0.5 CM OR LESS,11305,189.28,The_Ruby_Valley_Hospital
11400,EXCISION BENIGN LESION 0.5CM/LESS,11400,353.60,The_Ruby_Valley_Hospital
11401,EXCISION BENIGN LESION 0.6-1.0CM,11401,373.36,The_Ruby_Valley_Hospital
11402,EXCISION BENIGN LESION 1.1-2.0CM,11402,404.56,The_Ruby_Valley_Hospital
11403,EXCISION BENIGN LESION 2.1-3.0CM,11403,429.52,The_Ruby_Valley_Hospital
11404,EXCISION BENIGN LESION 3.1-4.0 CM,11404,474.24,The_Ruby_Valley_Hospital
11420,EXCISION BENIGN LESION + MARGINS >0.5CM,11420,506.48,The_Ruby_Valley_Hospital
11421,EXCISION BENIGN LESION + MARGINS 0.6-1CM,11421,506.48,The_Ruby_Valley_Hospital
11422,EXCISION BENIGN LESION-SCALP-1.1-2.0CM,11422,404.56,The_Ruby_Valley_Hospital
11440,EXCISION BENIGN LESION 0.5CM LESS,11440,346.32,The_Ruby_Valley_Hospital
11601,EXCISION MALIG LESION 0.6-1.0CM,11601,373.36,The_Ruby_Valley_Hospital
11602,EXCISION MALIG LESION 1.1-2.0CM,11602,405.60,The_Ruby_Valley_Hospital
11700091,HANDLING FEE PAP SMEAR MCR ONLY,Q0091,85.00,The_Ruby_Valley_Hospital
11702038,INJ INFLUENZA VACCINE 3YR +,Q2038,30.00,The_Ruby_Valley_Hospital
11702039,INJ INFLUENZA VACCINE NOS,Q2039,30.00,The_Ruby_Valley_Hospital
11704049,"FINGER SPLINT, STATIC",Q4049,19.76,The_Ruby_Valley_Hospital
11719,TRIMMING NONDYSTROPHIC NAILS ANY #,11719,68.00,The_Ruby_Valley_Hospital
11720,DEBRIDEMENT NAIL(S) ONE TO FIVE,11720,158.08,The_Ruby_Valley_Hospital
11730,AVULSION NAIL PLATE SIMPLE SINGLE,11730,260.00,The_Ruby_Valley_Hospital
11732,AVULSION NAIL PLATE SIMPLE ADDITIONAL,11732,169.00,The_Ruby_Valley_Hospital
11740,DRAIN BLOOD FROM UNDER NAIL,11740,151.00,The_Ruby_Valley_Hospital
11750,EXCISION NAIL INGROWN PART/COMPLETE,11750,450.32,The_Ruby_Valley_Hospital
11765,EXCISION OF NAIL FOLD SKIN,11765,262.00,The_Ruby_Valley_Hospital
11864445,Pro Fee OP Inj Sciatic Nerve Block,64445,104.00,The_Ruby_Valley_Hospital
11900,"INJ INTRALESIONAL, UP TO 7 LESIONS",11900,158.08,The_Ruby_Valley_Hospital
11900020,CL  bupivacaine 0.25% inj,S0020,0.00,The_Ruby_Valley_Hospital
11901,"INJ INTRALESIONAL, MORE THAN 7 LESIONS",11901,166.40,The_Ruby_Valley_Hospital
11908110,PEAK EXPIRATORY FLOW RATE,S8110,12.48,The_Ruby_Valley_Hospital
12001,LAC REPAIR SIMPLE=<2.5CM,12001,300.00,The_Ruby_Valley_Hospital
12002,LAC REPAIR SIMPLE 2.6CM-7.5CM,12002,310.00,The_Ruby_Valley_Hospital
12004,LAC REPAIR SIMPLE 7.6-12.5CM,12004,325.00,The_Ruby_Valley_Hospital
12007,LAC REPAIR SIMPLE >30 CM,12007,370.00,The_Ruby_Valley_Hospital
12011,"LAC REPAIR SIMPLE OF FACE,EARS >2.5",12011,385.00,The_Ruby_Valley_Hospital
12013,LAC REPAIR SIMPLE FACIAL/EAR 2.6CM-5.0CM,12013,366.00,The_Ruby_Valley_Hospital
12014,LAC REPAIR SIMPLE FACIAL/EARS 5.1-7.5CM,12014,385.00,The_Ruby_Valley_Hospital
12015,LAC REPAIR SIMPLE FACIAL/EAR7.6CM-12.5CM,12015,440.00,The_Ruby_Valley_Hospital
12031,LAC REPAIR INT S/A/T/E=<2.5CM,12031,510.00,The_Ruby_Valley_Hospital
12032,LAC REPAIR INTERM S/A/T/E 2.6CM-7.5CM,12032,561.00,The_Ruby_Valley_Hospital
12034,LAC REPAIR INT S/A/T/E 7.6-12.5CM,12034,632.00,The_Ruby_Valley_Hospital
12041,LAC REPAIR INT N/H/F/G =>2.5CM,12041,417.00,The_Ruby_Valley_Hospital
12042,LAC REPAIR INT N/H/F/G 2.6-7.5CM,12042,458.00,The_Ruby_Valley_Hospital
12044,LAC REPAIR INT N/H/F/XTG 7.6-12.5CM,12044,574.00,The_Ruby_Valley_Hospital
12051,LAC REPAIR INT F/E/E/N/L/M =<2.5CM,12051,490.00,The_Ruby_Valley_Hospital
12052,LAC REPAIR IN F/E/E/N/L 2.6-5.0CM,12052,523.00,The_Ruby_Valley_Hospital
12053,LAC REPAIR INT F/E/E/N/L 5.1-7.5CM,12053,240.00,The_Ruby_Valley_Hospital
12054,LAC REPAIR INT F/E/E/N/L 7.6-12.5CM,12054,570.00,The_Ruby_Valley_Hospital
12600805,INJ ADMIN IMMUNIZATION MEDICAID,Z0805,27.04,The_Ruby_Valley_Hospital
13101,LAC REPAIR CMPLX 2.6<7.5CM,13101,669.76,The_Ruby_Valley_Hospital
13121,LAC REPAIR COMP 2.6-7.5CM,13121,777.00,The_Ruby_Valley_Hospital
13122,LAC REPAIR COMP ADD SCALP/ARM/LEGS,13122,250.64,The_Ruby_Valley_Hospital
13131,LAC REPAIR COMPL FAC/GENIT/H/F 1.1-2.5CM,13131,634.00,The_Ruby_Valley_Hospital
13132,LAC REPAIR COMPLEX FC/HN/FT 2.6-7.5CM,13132,847.00,The_Ruby_Valley_Hospital
13133,LAC REPAIR COMPLEXFC/HND/FT ADD ON =<5CM,13133,494.00,The_Ruby_Valley_Hospital
1510060,TR INCISION AND DRAINAGE  ABCESS SIMPLE,10060,381.00,The_Ruby_Valley_Hospital
1510080,TR I & D PILONIDAL CYST SIMPLE,10080,324.00,The_Ruby_Valley_Hospital
1510100,ER ROOM/OP ROOM  LIMITED,99282,400.00,The_Ruby_Valley_Hospital
1510101,ER ROOM/OP ROOM  INTERMEDIATE,99283,655.00,The_Ruby_Valley_Hospital
1510102,CRITICAL CARE 1ST HOUR,99291,"2,280.00",The_Ruby_Valley_Hospital
1510105,ER ROOM/OP ROOM  EXTENDED,99284,"1,055.00",The_Ruby_Valley_Hospital
1510106,ER ROOM/OP ROOM  COMPREHENSIVE,99285,"1,575.00",The_Ruby_Valley_Hospital
1510107,ER ROOM/OP ROOM  BRIEF,99281,240.00,The_Ruby_Valley_Hospital
1510108,CRITICAL CARE (EA 1/2 HR),99292,575.00,The_Ruby_Valley_Hospital
1510110,TRAUMA ACTIVATION,G0390,"3,400.00",The_Ruby_Valley_Hospital
1510111,ER ROOM/OPO EVALUATION FROM CLINIC,99211,82.00,The_Ruby_Valley_Hospital
1510120,ER REMOVE FOREIGN BODY,10120,455.00,The_Ruby_Valley_Hospital
1510168,ER REPAIR SIMPLE CLOSURE BY ADHESIVE,G0168,182.00,The_Ruby_Valley_Hospital
1511740,ER DRAIN BLOOD FROM UNDER NAIL,11740,151.00,The_Ruby_Valley_Hospital
1512001,ER REPAIR SIMPLE =<2.5cm,12001,300.00,The_Ruby_Valley_Hospital
1512002,ER REPAIR SIMPLE 2.6-7.5CM,12002,310.00,The_Ruby_Valley_Hospital
1512004,ER REPAIR SIMPLE 7.6-12.5CM,12004,325.00,The_Ruby_Valley_Hospital
1512005,"ER REPAIR SIM,S/N/T/HF 12.6 TO 20CM",12005,345.00,The_Ruby_Valley_Hospital
1512006,ER REPAIR SIMPLE S/N/A/HF 20.1-30CM,12006,365.00,The_Ruby_Valley_Hospital
1512007,ER REPAIR SIMPLE S/N/A/E/T<30CM,12007,370.00,The_Ruby_Valley_Hospital
1512011,"ER REPAIR SIMPLE FACE,EARS 2.5 CM/LESS",12011,385.00,The_Ruby_Valley_Hospital
1512013,"ER REPAIR SIMPLE FACE,EARS 2.6 TO 5.0 CM",12013,366.00,The_Ruby_Valley_Hospital
1512014,ER REPAIR SIMPLE FACE/EAR/LIP 5.1-7.5,12014,385.00,The_Ruby_Valley_Hospital
1512015,"ER REPAIR SIMPLE FACE,EARS...7.6-12.5CM",12015,440.00,The_Ruby_Valley_Hospital
1512031,ER REPAIR INT S/A/T/E =<2.5CM,12031,510.00,The_Ruby_Valley_Hospital
1512032,ER REPAIR INT S/A/T/E 2.6-7.5CM,12032,561.00,The_Ruby_Valley_Hospital
1512034,ER REPAIR INT S/A/T/E 7.6-12CM,12034,632.00,The_Ruby_Valley_Hospital
1512035,ER REPAIR INT S/A/T/E 12.6-20CM,12035,695.00,The_Ruby_Valley_Hospital
1512041,ER REPAIR INT N/H/F/G =>2.5CM,12041,417.00,The_Ruby_Valley_Hospital
1512042,ER REPAIR INT N/H/F/G 2.6-7.5CM,12042,458.00,The_Ruby_Valley_Hospital
1512051,ER REPAIR INT F/E/E/N/L/M=<2.5CM,12051,490.00,The_Ruby_Valley_Hospital
1512052,"ER REPAIR INT F,E,E,N,L 2.5 TO 5CM",12052,523.00,The_Ruby_Valley_Hospital
1512053,"ER REPAIR INT, F/E/E/N/L 5.1-7.5CM",12053,240.00,The_Ruby_Valley_Hospital
1512054,ER REPAIR INT F/E/E/N/L 7.6-12.5CM,12054,570.00,The_Ruby_Valley_Hospital
1513120,"ER REPAIR COMPLEX 1.1CM TO 2.5 SCALP, AR",13120,617.00,The_Ruby_Valley_Hospital
1513121,ER REPAIR COMPLEX  2.6CM TO 7.5CM,13121,777.00,The_Ruby_Valley_Hospital
1513131,ER REPAIR COMPLEX 1.1-2.5 CM,13131,634.00,The_Ruby_Valley_Hospital
1513132,ER REPAIR COMPLEX FC/HN 2.6 TO 7.5CM,13132,847.00,The_Ruby_Valley_Hospital
1513133,ER REPAIR COMPLEX FC/HNDS/FTADD ON =<5CM,13133,494.00,The_Ruby_Valley_Hospital
1516000,ER TX BURN INITIAL 1ST DEGREE,16000,251.00,The_Ruby_Valley_Hospital
1516020,ER DRESS/DEBRIDE PART-THICK BURNS >5%,16020,335.00,The_Ruby_Valley_Hospital
1516030,ER DRESS/DEBRIDE BURN >10%TOTAL LARGE,16030,453.00,The_Ruby_Valley_Hospital
1520520,ER REMOVE FB MUSCLE/TENDON SHEATH SIMPLE,20520,"1,595.00",The_Ruby_Valley_Hospital
1520525,ER REMOVE FB DEEP OR COMLICATED,20525,"3,276.00",The_Ruby_Valley_Hospital
1520550,TR INJ TENDON SHEATH/LIGAMENT,20550,286.00,The_Ruby_Valley_Hospital
1520605,ER INJ AND/OR ASPIRATION JOINT INTERM,20605,386.00,The_Ruby_Valley_Hospital
1520610,ER INJECT/ASPIR JOINT LG,20610,548.00,The_Ruby_Valley_Hospital
1521315,ER CLOSED TX NOSE FX W/O STAB,21315,900.00,The_Ruby_Valley_Hospital
1523650,ER TX  SHOULDER DISLOC W/O ANEST CLOSED,23650,515.00,The_Ruby_Valley_Hospital
1523655,ER TREAT SHOULDER DISLOCATION,23655,"1,032.00",The_Ruby_Valley_Hospital
1524200,ER REMOVE FB UPPER ARM ELBOW AREA,24200,"1,126.00",The_Ruby_Valley_Hospital
1524600,ER CLOSED DISLOCATION ELBOW,24600,500.00,The_Ruby_Valley_Hospital
1524640,ER TREAT ELBOW DISLOCATION,24640,380.00,The_Ruby_Valley_Hospital
1524650,Closed Treat Radial Head W/O Mani,24650,563.68,The_Ruby_Valley_Hospital
1525505,ER CLOSED FX WRIST WITH MANIPULATION,25505,624.00,The_Ruby_Valley_Hospital
1526641,ER CLOSED DISLOCATION OF THE THUMB,26641,430.00,The_Ruby_Valley_Hospital
1526700,ER CLSD TRT DISLC OF THE FINGER W/MANI,26700,440.00,The_Ruby_Valley_Hospital
1526705,ER TX DISLOC(M-P)W/ANES W/MANIP CLOSED,26705,494.00,The_Ruby_Valley_Hospital
1526725,ER CLTX OF FRAC OF THE FINGER EACH W/WO,26725,461.00,The_Ruby_Valley_Hospital
1526770,ER TX DISLOC(I-P)JT W/O ANES W/MANIP CLO,26770,355.00,The_Ruby_Valley_Hospital
1527788,TR OF ANKLE FRACTURE,27788,435.00,The_Ruby_Valley_Hospital
1528515,ER TX OF TOE FRACTURE,28515,375.00,The_Ruby_Valley_Hospital
1528540,ER CLOSED DISLOCATION OF THE TARSAL BONE,28540,370.00,The_Ruby_Valley_Hospital
1529075,ER APPLICATION OF FOREARM CAST,29075,245.00,The_Ruby_Valley_Hospital
1529105,ER APPLICATION SPLINT LONG,29105,316.00,The_Ruby_Valley_Hospital
1529125,ER APPLICATION SPLINT ARM SHORT,29125,285.00,The_Ruby_Valley_Hospital
1529130,ER APPLICATION SPLINT FINGER STATIC,29130,215.00,The_Ruby_Valley_Hospital
1529260,ER APPLICATION SPLINT ELBOW OR WRIST,29260,175.00,The_Ruby_Valley_Hospital
1529280,ER APPLICATION SPLINT HAND OR FINGER,29280,165.00,The_Ruby_Valley_Hospital
1529345,ER APPLY LONG LEG CAST,29345,300.00,The_Ruby_Valley_Hospital
1529405,ER APPLY SHORT LEG CAST,29405,255.00,The_Ruby_Valley_Hospital
1529505,ER APPLICATION SPLINT LEG LONG,29505,300.00,The_Ruby_Valley_Hospital
1529515,APPLY SHORT LEG SPLINT,29515,295.00,The_Ruby_Valley_Hospital
1529540,ER APPLICATION SPLING TO ANKLE/AND OR FO,29540,155.00,The_Ruby_Valley_Hospital
1530300,ER REMOVE NASAL FOREIGN BODY,30300,178.00,The_Ruby_Valley_Hospital
1530901,TR EPISTAXIS SIMPLE,30901,282.00,The_Ruby_Valley_Hospital
1530905,TR EPISTAXIS INITIAL,30905,309.00,The_Ruby_Valley_Hospital
1531500,ER INSERT EMERGENCY AIRWAY,31500,554.00,The_Ruby_Valley_Hospital
1532551,ER INSERTION OF CHEST TUBE,32551,"1,083.00",The_Ruby_Valley_Hospital
1533680,ER PLACE NEEDLE INFUSION INTRAOSSEOUS,36680,324.00,The_Ruby_Valley_Hospital
1536000,ER IV ACCESS,36000,100.00,The_Ruby_Valley_Hospital
1536556,TREATMENT RM,36556,"1,425.00",The_Ruby_Valley_Hospital
1536561,INSERT DEVICE CENTRAL VENOUS W/PORT >5YR,36561,"4,418.00",The_Ruby_Valley_Hospital
1536569,ER,36569,"1,650.00",The_Ruby_Valley_Hospital
1536591,TR BLOOD FROM IMPLANT DEVICE,36591,115.00,The_Ruby_Valley_Hospital
1536592,TR PICC LINE DRAW,36592,107.00,The_Ruby_Valley_Hospital
1536593,TR DECLOTTING IMPLANTED DEVICE,36593,400.00,The_Ruby_Valley_Hospital
1540152,SAFCLENS WOUND CLEANSER SINGLE DOSE,,10.00,The_Ruby_Valley_Hospital
1542180,ER REPAIR LACERATION OF PALATE UP 2CM,42180,472.00,The_Ruby_Valley_Hospital
1543246,TR GI SERVICES GENERAL,43246,"2,160.00",The_Ruby_Valley_Hospital
1543753,ER GASTRIC INTUBATION,43753,323.00,The_Ruby_Valley_Hospital
1543760,TREATMENT RM  CHG TUBE GASTROSTOMY,43760,506.00,The_Ruby_Valley_Hospital
1545900,ER REDUCTION OF RECTAL PROLAPSE,45900,745.00,The_Ruby_Valley_Hospital
1546040,ER INCISION OF RECTAL ABSCESS,46040,900.00,The_Ruby_Valley_Hospital
1550859,SPLINT LARGE,,428.00,The_Ruby_Valley_Hospital
1550909,CAST SHORT LEG,,316.00,The_Ruby_Valley_Hospital
1551702,ER CATH INDWELLING,51702,189.00,The_Ruby_Valley_Hospital
1556420,ER DRAINAGE OF BARTHOLINS GLAND ABSCESS,56420,381.00,The_Ruby_Valley_Hospital
1564450,ER N Block of Peripheral Branch,64450,781.00,The_Ruby_Valley_Hospital
1565205,ER REMOVE FOREIGN BODY EYELID EXT CONJ,65205,203.00,The_Ruby_Valley_Hospital
1567938,ER REMOV FOREIGN BODY EMBEDED EYLID EXT,67938,475.00,The_Ruby_Valley_Hospital
1592950,ER CARDIOPULMONARY RESUSCITATION,92950,756.00,The_Ruby_Valley_Hospital
1592960,ER CARDIOVERSION ELECTIVE EXTERNAL(DEFIB,92960,"1,328.00",The_Ruby_Valley_Hospital
1596523,TR IRRIGATION OF IMPLANTED VENOUS ACCESS,96523,124.00,The_Ruby_Valley_Hospital
1599152,ER MODERATE SEDATION SERVICES,99152,297.00,The_Ruby_Valley_Hospital
1599153,ED Moderate concious sedation add on 15m,99153,116.00,The_Ruby_Valley_Hospital
1599999,ER MISCELLANEOUS,,789.00,The_Ruby_Valley_Hospital
