CDM,DESCRIPTION,DEPT,CURRENT CHG,hospital
32200137,ASPIRATION AND/OR INJ OF GANGLION,3220,182.5,Mountainview_Medical_Center
32200138,EXCISION TUMOR FACE/SCALP  2CM,3220,1508.18,Mountainview_Medical_Center
32200139,FRACTURE FEE NASAL,3220,238.0,Mountainview_Medical_Center
32200140,FRACTURE CLAVICLE W/O MANIPUL,3220,238.0,Mountainview_Medical_Center
32200141,FRAC FEE PROX HUMERAL W/O MAN,3220,275.17,Mountainview_Medical_Center
32200142,FRACT HUMERAL W/MANIPULATION,3220,611.54,Mountainview_Medical_Center
32200143,DISLOC SHOULDER MANIP W/O ANE,3220,415.67,Mountainview_Medical_Center
32200144,DISLOC SHOULDER W/MANIP W/ANES,3220,938.74,Mountainview_Medical_Center
32200145,CLOSED TREAT OF SHOULDER DISLOCATI,3220,623.6,Mountainview_Medical_Center
32200146,INCISION/DRAINAGE UPPER ELBOW,3220,3347.0,Mountainview_Medical_Center
32200147,INCISION AND DRAINAGE OF BURSA,3220,676.83,Mountainview_Medical_Center
32200148,FRACTURE TREATMENT OF HUMERUS,3220,319.0,Mountainview_Medical_Center
32200149,FRAC SUPRACONDYLAR HUMERAL,3220,305.0,Mountainview_Medical_Center
32200150,DISLOCATION ELBOW W/O ANESTHES,3220,388.0,Mountainview_Medical_Center
32200151,REDUCTION RADIAL HEAD (CHILD),3220,355.0,Mountainview_Medical_Center
32200152,FRAC RADIAL HEAD OR NECK W/O,3220,260.19,Mountainview_Medical_Center
32200153,FRAC FEE ULNAR PROXIMAL END,3220,230.52,Mountainview_Medical_Center
32200154,FRAC RADIAL W/O MANIPULATION,3220,236.41,Mountainview_Medical_Center
32200155,FRAC RADIAL SHAFT W/MANIPULATION,3220,582.92,Mountainview_Medical_Center
32200156,FRAC ULNAR SHAFT CLOSED,3220,200.28,Mountainview_Medical_Center
32200157,FRACT FEE ULNA W/MANIPULATION,3220,418.28,Mountainview_Medical_Center
32200158,FRACT FEE RADIAL/ULNAR SHAFT,3220,315.0,Mountainview_Medical_Center
32200159,FRACT FEE RADIUS/ULNA W/MANIPU,3220,559.02,Mountainview_Medical_Center
32200160,FRACTURE FEE RADIAL FX,3220,324.0,Mountainview_Medical_Center
32200161,FRAC DISTAL RADIUS W/MANIPULA,3220,663.22,Mountainview_Medical_Center
32200162,FRACT FEE SCAPHOID,3220,241.0,Mountainview_Medical_Center
32200163,FX CARPAL BONE CLOSED W/O MANIPULA,3220,212.4,Mountainview_Medical_Center
32200164,I&D HAND/FINGER SIMPLE,3220,326.0,Mountainview_Medical_Center
32200165,REPAIR HAND TENDON,3220,1689.05,Mountainview_Medical_Center
32200166,EXTENSOR TENDON REPAIR,3220,1984.5,Mountainview_Medical_Center
32200167,FRACTURE FEE METACARPAL,3220,245.0,Mountainview_Medical_Center
32200168,DISLOCATION MIPJ W/O ANESTHESIA,3220,351.0,Mountainview_Medical_Center
32200169,FRACTURE FEE PHALANX,3220,237.0,Mountainview_Medical_Center
32200170,FRACT PHALANG W/MANIPULATION,3220,350.0,Mountainview_Medical_Center
32200171,"FRAC PHALANX, OPEN",3220,3295.0,Mountainview_Medical_Center
32200172,FRAC PHALANGEAL W/O MANIPULA,3220,223.73,Mountainview_Medical_Center
32200173,"FRACT FEE, PHALANX OPEN, DISTA",3220,1826.5,Mountainview_Medical_Center
32200174,DISLOCATION PHALANGEAL W/MANIP,3220,332.0,Mountainview_Medical_Center
32200175,FX AND/OR DISLOCATION OF PELVIS,3220,214.9,Mountainview_Medical_Center
32200176,FRACTURE FEE COCCYGEAL FX,3220,176.0,Mountainview_Medical_Center
32200177,TREATMENT OF FEM FX PROXIMAL W/MAN,3220,220.25,Mountainview_Medical_Center
32200178,I&D ABSCESS HEMATOMA OF KNEE/THIGH,3220,2931.01,Mountainview_Medical_Center
32200179,FRACT FEMORAL W/MANIPULATION,3220,250.0,Mountainview_Medical_Center
32200180,"FRAC FEMORAL, DISTAL END",3220,233.0,Mountainview_Medical_Center
32200181,TREATMENT OF PATELLAR FRACTURE CLO,3220,250.43,Mountainview_Medical_Center
32200182,"FRAC TIBIA, PROXIMAL W/O MANIP",3220,259.0,Mountainview_Medical_Center
32200183,"DISLOCATION, PATELLAR",3220,351.25,Mountainview_Medical_Center
32200184,FRAC TIBIA W/O MANIPULATION,3220,297.0,Mountainview_Medical_Center
32200185,FRAC FEE MEDIAL MALLEOLUS,3220,287.0,Mountainview_Medical_Center
32200186,FRACTURE FEE FIBULA,3220,261.0,Mountainview_Medical_Center
32200187,FRACT FEE ANKLE (MALLEOLUS),3220,273.5,Mountainview_Medical_Center
32200188,CLOSED TREATMENT WITH MANIPULATION,3220,406.0,Mountainview_Medical_Center
32200189,FRAC BIMALLEOLAR ANKLE W/O MAN,3220,275.0,Mountainview_Medical_Center
32200190,FRAC DISTAL TIBIA W/O MAN,3220,310.0,Mountainview_Medical_Center
32200191,DISLOCATION ANKLE W/O ANESTHESIA,3220,435.0,Mountainview_Medical_Center
32200192,REMOVAL FOREIGN BODY FOOT SUB Q,3220,841.0,Mountainview_Medical_Center
32200193,FRAC CALCANEAL FRACTURE,3220,256.0,Mountainview_Medical_Center
32200194,FRACTURE FEE ANKLE FRACTURE,3220,265.0,Mountainview_Medical_Center
32200195,FRACT FEE METATARSAL,3220,255.0,Mountainview_Medical_Center
32200196,FRACTURE FEE GREAT TOE,3220,184.0,Mountainview_Medical_Center
32200197,"FRACT FEE GREAT TOE, OPEN",3220,3146.29,Mountainview_Medical_Center
32200198,FRAC PHALANX OTHER THAN GR TOE,3220,207.0,Mountainview_Medical_Center
32200199,LONG ARM CAST APPLICATION,3220,236.0,Mountainview_Medical_Center
32200200,SHORT ARM CAST APPLICATION,3220,217.74,Mountainview_Medical_Center
32200201,APPLICATION CAST HAND/LWR FORE,3220,188.87,Mountainview_Medical_Center
32200202,LONG ARM SPLINT APPLICATION,3220,243.57,Mountainview_Medical_Center
32200203,SHORT ARM SPLINT APPLICATION,3220,231.19,Mountainview_Medical_Center
32200204,"APPLIC SPLINT, FINGER",3220,177.58,Mountainview_Medical_Center
32200205,APPL STRAP/SPLINTING CLAVICLE,3220,170.61,Mountainview_Medical_Center
32200206,LONG LEG CAST APPLICATION,3220,255.0,Mountainview_Medical_Center
32200207,APPLICATION LONG LEG CAST/WALKER,3220,296.0,Mountainview_Medical_Center
32200208,LONG LEG CAST APP PROFESSIONAL,3220,432.27,Mountainview_Medical_Center
32200209,SHORT LEG CAST APPLICATION,3220,235.0,Mountainview_Medical_Center
32200210,LONG LEG SPLINT APPLICATION,3220,240.84,Mountainview_Medical_Center
32200211,SHORT LEG SPLINT APPLICATION,3220,236.0,Mountainview_Medical_Center
32200212,UNNA BOOTS STRAPPING APPLICATION,3220,233.58,Mountainview_Medical_Center
32200213,REMOVAL FOREIGN BODY INTRANASA,3220,166.33,Mountainview_Medical_Center
32200214,NASAL CAUTERY (SIMPLEAND/OR PACKIN,3220,263.44,Mountainview_Medical_Center
32200215,"CAUTERY, NASAL COMPLEX PACKING",3220,289.62,Mountainview_Medical_Center
32200216,NASAL PACKING POSTERIOR INITIA,3220,288.6,Mountainview_Medical_Center
32200217,"INTUBATION, ENDOTRACHIAL",3220,480.18,Mountainview_Medical_Center
32200218,"INTUBATION, ENDO EMER PROCEDURE",3220,480.18,Mountainview_Medical_Center
32200219,INSERTION OF CHEST TUBE,3220,815.85,Mountainview_Medical_Center
32200220,THORACENTESIS FOR ASPIRATION,3220,830.53,Mountainview_Medical_Center
32200221,THORACOSTOMY,3220,815.85,Mountainview_Medical_Center
32200222,"VENIPUNCTURE, UNDER 3 YEARS",3220,68.63,Mountainview_Medical_Center
32200223,"VENIPUNCTURE, SCALP VEIN",3220,60.52,Mountainview_Medical_Center
32200224,VENIPUNCTURE UNDER 3 Y/O OTHER,3220,27.0,Mountainview_Medical_Center
32200225,VENI PUNCTURE OVER 3YRS OR ADULT,3220,49.46,Mountainview_Medical_Center
32200226,ARTERIAL PUNCTURE OF BLOOD DX,3220,74.0,Mountainview_Medical_Center
32200227,REPAIR LIP OVER 1/2 VERT HEIG,3220,1118.4,Mountainview_Medical_Center
32200228,DRAINAGE OF ABSCESS,3220,322.03,Mountainview_Medical_Center
32200229,ENDOSCOPE TO DUODENUM,3220,1578.59,Mountainview_Medical_Center
32200230,ENDOSCOPE TO DUODENUM W/BIOPSY,3220,1566.75,Mountainview_Medical_Center
32200231,SIGMOID TO SPLENIC FLEXURE,3220,1217.46,Mountainview_Medical_Center
32200232,SIGMOID TO SPLENIC FLEX W/BIO,3220,1321.0,Mountainview_Medical_Center
32200233,INCISION OF EXTERN HEMORRHOID,3220,349.0,Mountainview_Medical_Center
32200234,"EXC SKIN TAG, ANUS",3220,1845.0,Mountainview_Medical_Center
32200235,EXC THROMBOSED HEMORRHOID,3220,1852.0,Mountainview_Medical_Center
32200236,ANOSCOPIC EXAM,3220,154.1,Mountainview_Medical_Center
32200237,INSERT NON-INDWELLING BLADDER CATH,3220,146.43,Mountainview_Medical_Center
32200238,INSERT TEMP INDWELLING BLADDER CAT,3220,171.5,Mountainview_Medical_Center
32200239,INSERT INDWELLING CATH COMPLICATED,3220,242.0,Mountainview_Medical_Center
32200240,CHANGE OF BLADDER TUBE,3220,401.14,Mountainview_Medical_Center
32200241,CHANGE OF CYSTOSTOMY TUBE SIMPLE,3220,401.14,Mountainview_Medical_Center
32200242,"DESTRUCTION OF LESION, PENIS",3220,130.0,Mountainview_Medical_Center
32200243,"DESTRUCTION OF LESION, VULVA",3220,1790.06,Mountainview_Medical_Center
32200244,ENDOMETRIAL BIOPSY,3220,206.0,Mountainview_Medical_Center
32200245,D&C NON-OBSTETRICAL,3220,2773.0,Mountainview_Medical_Center
32200246,REMOVAL OF IUD,3220,230.0,Mountainview_Medical_Center
32200247,NON-STRESS TEST,3220,307.0,Mountainview_Medical_Center
32200248,DELIVERY ONLY,3220,200.67,Mountainview_Medical_Center
32200249,SPONT AB ANY TRIMEST SURG,3220,2678.0,Mountainview_Medical_Center
32200250,SPINAL PUNCTURE,3220,740.17,Mountainview_Medical_Center
32200251,REMOVAL FOREIGN BODY SUPER CON,3220,183.7,Mountainview_Medical_Center
32200252,REMOVAL FOREIGN BODY EMBEDDED,3220,154.63,Mountainview_Medical_Center
32200253,REMOVAL FOREIGN BODY CORN SUPE,3220,223.0,Mountainview_Medical_Center
32200254,CORNEAL REMOVAL OF FOREIGN BODY,3220,3620.34,Mountainview_Medical_Center
32200255,"BLEPHAROTOMY, DRAIN ABSC EYELID",3220,417.88,Mountainview_Medical_Center
32200256,"EXCISION OF CHALAZION, SINGLE",3220,390.2,Mountainview_Medical_Center
32200257,REMOVAL OF EMBED FP EYELID,3220,381.0,Mountainview_Medical_Center
32200258,REMOVAL FOREIGN BODY EXT AUD CANAL,3220,162.5,Mountainview_Medical_Center
32200259,MD DEBRIDEMENT <20 CM,3220,270.46,Mountainview_Medical_Center
32200260,OSTEOPATHIC MANIPULATIVE TX 1-2,3220,30.42,Mountainview_Medical_Center
32200261,OSTEOPATHIC MANIPULATIVE TX 3-4,3220,30.54,Mountainview_Medical_Center
32200262,MD DEBRIDEMENT <20 CM,3220,270.46,Mountainview_Medical_Center
32200263,REMOVE FB EXTERNAL AUDITORY PRO,3220,1345.45,Mountainview_Medical_Center
32200264,TELEMEDICINE,3220,49.61,Mountainview_Medical_Center
32200265,IRRIGATION OF VENOUS ACCESS DEVICE,3220,115.77,Mountainview_Medical_Center
32200266,IMMUNIZATION ADMIN,3220,57.74,Mountainview_Medical_Center
32200267,"ACNE SURGERY, REMOVAL MULT MILIA",3220,112.5,Mountainview_Medical_Center
32200268,EXCISION TUMOR FACE 2CM OR GREATER,3220,2470.0,Mountainview_Medical_Center
32200269,ADMINISTRATION FLU INJECTION,3220,40.0,Mountainview_Medical_Center
32200270,ADMINISTRATION PNEU INJECTION,3220,45.0,Mountainview_Medical_Center
32200271,IV MED INFUSION FIRST HOUR,3220,350.0,Mountainview_Medical_Center
32200272,IV MED INFUSION EACH ADD'L HOUR,3220,105.09,Mountainview_Medical_Center
32200273,TREATMENT ROOM,3220,85.0,Mountainview_Medical_Center
32200274,THERAPEUTIC INJ IV PUSH,3220,167.64,Mountainview_Medical_Center
32200275,THERAPEUTIC INJ IVP ADD'L DIFF DRU,3220,126.42,Mountainview_Medical_Center
32202006,SMPL RPR S/N/A/GEN/TRK 20.1-30 CM,3220,350.5,Mountainview_Medical_Center
32202017,RPR FE/E/EN/L/M 20.1-30 CM,3220,70120.18,Mountainview_Medical_Center
32202018,RPR F/E/E/N/L/M > 30.0 CM,3220,244.4,Mountainview_Medical_Center
32202021,CLOSURE OF SPLIT WOUND,3220,395.0,Mountainview_Medical_Center
32202037,REPAIR INTERMEDIATE S/A/T/E > 30CM,3220,1337.0,Mountainview_Medical_Center
32202046,INTMD RPR N-HF/GENIT20.1-30.0CM,3220,375.44,Mountainview_Medical_Center
32202047,INTMD RPR N-HF/GENIT>30.0 CM,3220,398.82,Mountainview_Medical_Center
32202056,INTMD RPR FACE/MM 20.1-30.0CM,3220,325.0,Mountainview_Medical_Center
32202057,INTMD RPR FACE/MM>30CM,3220,628.82,Mountainview_Medical_Center
32206367,IV INFUSION THER ADDL SEQ TO 1 HR,3220,132.0,Mountainview_Medical_Center
32206372,THER/PROPH/DIAG INJ SC/IM,3220,92.0,Mountainview_Medical_Center
32206376,TX/PRO/DX INJ SAME DRUG ADON,3220,113.0,Mountainview_Medical_Center
32300102,EMERGENCY DEPT LOW/MOD FACILITY,3230,312.62,Mountainview_Medical_Center
32300106,CRITICAL CARE FIRST HOUR FACILITY,3230,1788.88,Mountainview_Medical_Center
32300107,EMERGENCY DEPT HIGH/URGENT FACILIT,3230,829.78,Mountainview_Medical_Center
