CPT Code,Description,Procedure Code,Revenue Code,Charge Amount,Click to select insurance,hospital
,BETA ETEX 10CC 76-6017,27846049,278,6127.68,,St_Peter's_Health
,SYNMESH TITANIUM 12X32MM,27856508,278,6055.92,,St_Peter's_Health
,MODULAR PLUS TIBIAL TRAY 67MM,27824528,278,6018.01,,St_Peter's_Health
,TIBIAL TRAY PFC MODULAR,27815972,278,6018.01,,St_Peter's_Health
,TIBIAL TRAY PFC MODULAR 64MM,27823507,278,6018.01,,St_Peter's_Health
,FEMORAL COMPONENT PS #7 RT,27826376,278,5911.0,,St_Peter's_Health
,KYPHOPAK FRACTURE TRAY,27264942,272,5763.68,,St_Peter's_Health
,MODULAR PLUS TIBIAL TRAY,27833323,278,5731.44,,St_Peter's_Health
,TIBIAL TRAY PFC MODULAR SZ 3,27832491,278,5731.44,,St_Peter's_Health
,PRODIGY CHARGING SYSTEM,27858370,278,5477.68,,St_Peter's_Health
,CAGE SYNCAGE NARROW 9MM,27854472,278,5467.28,,St_Peter's_Health
,TRANSFIXING PIN ANKLE FRAME LT,27829635,278,5446.48,,St_Peter's_Health
,EQUIVABONE 10CC 76-6022,27231499,272,5424.64,,St_Peter's_Health
,PLATE TRESTLE 60MM 4 LEVEL,27840316,278,5331.04,,St_Peter's_Health
,SPACEOAR SYSTEM S0-2101,27277456,272,5322.0,,St_Peter's_Health
,SPANNING KNEE TEMPFIX,27833875,278,5300.88,,St_Peter's_Health
,KIT KYPAK EXP W/EIOS 10/2,27229840,272,5255.12,,St_Peter's_Health
,KYPAK 15/2,27257810,272,5255.12,,St_Peter's_Health
,PLATE OCCIPITAL PLATE 37MM,27859371,278,5255.12,,St_Peter's_Health
,TRANSFIXING PIN ANKLE FRAME RT,27829636,278,5187.52,,St_Peter's_Health
,CROSSLINK 47MMX10,27836537,278,5178.89,,St_Peter's_Health
,CROSSLINK SOLERA X10,27836834,278,5178.89,,St_Peter's_Health
,SCREWDRIVER RACHET HNDL QK CNT,27229707,272,5162.3,,St_Peter's_Health
,DBM GRAFTON MATRIX 2.5X10CM,27853489,278,5161.52,,St_Peter's_Health
,GLOBAL ADVANTAGE STEM 12 MM,27030437,278,5117.11,,St_Peter's_Health
,GLOBAL ADVANTAGE STEM 14 MM,27030438,278,5117.11,,St_Peter's_Health
,GLOBAL ADVANTAGE STEM 6 MM,27030434,278,5117.11,,St_Peter's_Health
,GLOBAL FX STEM 12MM,27030425,278,5117.11,,St_Peter's_Health
,GLOBAL FX STEM 6MM,27030422,278,5117.11,,St_Peter's_Health
,GLOBAL FX STEM 8MM,27030423,278,5117.11,,St_Peter's_Health
,PLATE ANT CERV 19MM,27835070,278,5116.61,,St_Peter's_Health
,PLATE ANT CERV 21MM,27835071,278,5116.61,,St_Peter's_Health
,PLATE ANT CERV 30MM,27835072,278,5116.61,,St_Peter's_Health
,GLENOSPHERE DXTEND STD 42MM,27848177,278,5111.15,,St_Peter's_Health
,STENT POLYFLUX,27225103,272,5106.98,,St_Peter's_Health
,PLATE 32.5 ANTERIOR CERVICAL,27020711,278,5095.06,,St_Peter's_Health
,KIT PERITONEAL COMPLETE,27257861,272,5085.6,,St_Peter's_Health
,WEK LIGATING CLIP APPLER 45CM,27273648,272,5085.6,,St_Peter's_Health
,UNIVERSAL STEM FLUTED 115X16MM,27829016,278,5073.12,,St_Peter's_Health
,PLATE TRANSLATIONAL 55MM,27856902,278,5072.49,,St_Peter's_Health
,PLATE TRANSLATIONAL 57.5MM,27856747,278,5072.49,,St_Peter's_Health
,PLATE TRANSLATIONAL 65MM,27859547,278,5072.49,,St_Peter's_Health
,LINEAR CONTACT LEAD 3-4 7CM 8,27237356,272,5068.96,,St_Peter's_Health
,TRAY TIB MBT KEEL POROUS SZ 4,27843929,278,5037.53,,St_Peter's_Health
,TRAY TIB MBT KEEL POROUS SZ 5,27843251,278,5037.53,,St_Peter's_Health
,TRAY TIB MBT KEEL POROUS SZ 6,27844658,278,5037.53,,St_Peter's_Health
,TRAY TIB MBT KEEL POROUS SZ2.5,27842447,278,5037.53,,St_Peter's_Health
,CROSSLINK X-10 5442160,27837931,278,5028.04,,St_Peter's_Health
,PRESERVATION UNI KNEE TIBIAL,27826439,278,5025.06,,St_Peter's_Health
,DALL MILES LG 110MM,27831894,278,5017.24,,St_Peter's_Health
,DALL MILES MED 100MM,27831891,278,5017.24,,St_Peter's_Health
,DALL MILES LG SS GRIP 210MM,27831896,278,5005.52,,St_Peter's_Health
,GRAFT ACL TENDON PRE-SUTURE,27850408,278,4996.91,,St_Peter's_Health
,SCREW PEEK LEGACY 6.5X40MM,27827363,278,4993.06,,St_Peter's_Health
,SCREW PEEK LEGACY 6.5X45MM,27827362,278,4993.06,,St_Peter's_Health
,SCREW PEEK ROD 5.5X40,27827793,278,4993.06,,St_Peter's_Health
,SCREW PEEK ROD 5.5X45,27827794,278,4993.06,,St_Peter's_Health
,PINNACLE MAR +4NEUT 56X36,29010124,272,4987.29,,St_Peter's_Health
,PINNACLE MAR 10DEG+4 62X36,29010120,272,4987.29,,St_Peter's_Health
,GLOBAL ADVANTAGE STEM 8MM,27030435,278,4983.89,,St_Peter's_Health
,PACK CONVENIENCE MPFL,27837989,278,4979.96,,St_Peter's_Health
,PLATE TRESTLE LUXE 12MM,27843508,278,4967.29,,St_Peter's_Health
,PLATE TRUSTLE LUXE 14MM,27842385,278,4967.29,,St_Peter's_Health
,S-ROM SLEEVE OS 22F-LRG20ID,27820245,278,4959.22,,St_Peter's_Health
,S-ROM SLEEVE OS 24F-XXL22ID,27820249,278,4959.22,,St_Peter's_Health
,LINER COCR MDM 42MM E,27842987,278,4958.52,,St_Peter's_Health
,RADIAL HEAD TITANIUM SWANSON,272801111,278,4957.46,,St_Peter's_Health
,VIVIGEN F BONE MATRIX 5CC,27871201,278,4933.66,,St_Peter's_Health
,CROSSLINK 34MMX10,27833944,278,4931.33,,St_Peter's_Health
,CROSSLINK 39MMX10,27833943,278,4931.33,,St_Peter's_Health
,CROSSLINK 45MM X-10,27835434,278,4931.33,,St_Peter's_Health
,"DUR OPT CUP CER INS 28/48,50",27820052,278,4900.2,,St_Peter's_Health
,LINER DURALOC OPTION CUP 48MM,27820035,278,4900.2,,St_Peter's_Health
,LINER DURALOC OPTION CUP 50MM,27820036,278,4900.2,,St_Peter's_Health
,LINER DURALOC OPTION CUP 54MM,27820038,278,4900.2,,St_Peter's_Health
,LINER DURALOC OPTION CUP 60MM,27820046,278,4900.2,,St_Peter's_Health
,LINER DURALOC OPTION CUP 62MM,27820047,278,4900.2,,St_Peter's_Health
,LINER DURALOC OPTION CUP 64MM,27820048,278,4900.2,,St_Peter's_Health
,LINER DURALOC OPTION CUP 66MM,27820049,278,4900.2,,St_Peter's_Health
,SPY SCOPE ACCESS CATHETER,27266413,272,4895.44,,St_Peter's_Health
,GLOBAL ADVANTAGE HUM HD 40X18,27030374,278,4893.92,,St_Peter's_Health
,PLATE TRESTLE 30MM,27839730,278,4888.49,,St_Peter's_Health
,PLATE TRESTLE LEVEL 2 28MM,27840497,278,4888.49,,St_Peter's_Health
,NAIL GAMMA LG LT11x340-440/130,27081054,278,4878.12,,St_Peter's_Health
,S-ROM HEAD CER DLT11/13X36+6,27820141,278,4876.92,,St_Peter's_Health
,STEM HUMERAL 16MMx160MM,27020902,278,4873.44,,St_Peter's_Health
,SHELL PINNACLE LINER 10DEG+4,27010245,278,4836.03,,St_Peter's_Health
,DALL MILES LG VIT GRIP 110MM,27831904,278,4822.51,,St_Peter's_Health
,DALL MILES VIT GRIP 100MM,27831897,278,4822.51,,St_Peter's_Health
,DALL MILES LG VIT GRIP 200MM,27831907,278,4813.12,,St_Peter's_Health
,DALL MILES MED VIT GRIP 200MM,27831902,278,4813.12,,St_Peter's_Health
,S-ROM SLEEVE PRX ZTT 16D-LRG,27010352,278,4806.22,,St_Peter's_Health
,S-ROM SLEEVE PRX ZTT 18D-LRG,27010357,278,4806.22,,St_Peter's_Health
,S-ROM SLEEVE PRX ZTT 18D-SML,27010356,278,4806.22,,St_Peter's_Health
,S-ROM SLEEVE PRX ZTT 20D-SML,27010361,278,4806.22,,St_Peter's_Health
,S-ROM SLEEVE PRX ZTT 20F-XXL,27010365,278,4806.22,,St_Peter's_Health
,S-ROM SLEEVE PRX ZTT 22B-LRG,27010340,278,4806.22,,St_Peter's_Health
,S-ROM SLEEVE PRX ZTT 22F-LRG,27010369,278,4806.22,,St_Peter's_Health
,S-ROM SLEEVE PRX ZTT 24F-XXL,27010377,278,4806.22,,St_Peter's_Health
,CROSSLINK X-10 58MM,27839189,278,4787.68,,St_Peter's_Health
,ESSURE PERM BIRTH CONTROL,27829544,278,4750.97,,St_Peter's_Health
,PLATE ATLANTIS 23MM,27835851,278,4739.59,,St_Peter's_Health
,SCREW ILIAC 7.5X80MM,27840430,278,4738.06,,St_Peter's_Health
,SCREW LEGACY 8.5X80,27840842,278,4738.06,,St_Peter's_Health
,SCREW LEGACY 8.5X90,27837934,278,4738.06,,St_Peter's_Health
,PLATE ZEPHIR 30mm,27010137,278,4731.11,,St_Peter's_Health
,PLATE ELITE 60MM 7200060,27860522,278,4728.66,,St_Peter's_Health
,PLATE ELITE ATLANTIS 52.5MM,27857305,278,4728.66,,St_Peter's_Health
,PLATE ELITE ATLANTIS 7200057,27858547,278,4728.66,,St_Peter's_Health
,CANCELLOUS DENSE LORDOTIC 6MM,27840315,278,4722.54,,St_Peter's_Health
,CANCELLOUS DENSE LORDOTIC 7MM,27839732,278,4722.54,,St_Peter's_Health
,MACROPLASTIQUE STARTER KIT,27843116,278,4721.46,,St_Peter's_Health
,SCREW LEGACY REDUCTION 6.5X45M,27838132,278,4719.46,,St_Peter's_Health
,SCREW LEGACY REDUCTION 7.5X40M,27838130,278,4719.46,,St_Peter's_Health
,ANKLE DISTRACTION SYSTEM,27010415,272,4714.58,,St_Peter's_Health
,CUP DURALOC BANTAM 44MM,27010279,278,4694.4,,St_Peter's_Health
,CUP DURALOC BANTAM 46MM,27010280,278,4694.4,,St_Peter's_Health
,LINER DURALOC 10DEG 44MM,27010281,278,4694.4,,St_Peter's_Health
,END CAP VERTE STACK 6X14X11,27834986,278,4686.93,,St_Peter's_Health
,PEEK ANATOMIC 16X14X10MM,27836291,278,4686.93,,St_Peter's_Health
,PEEK ANATOMIC 16X14X11MM,27836290,278,4686.93,,St_Peter's_Health
,PEEK ANATOMIC 16X14X9MM,27836292,278,4686.93,,St_Peter's_Health
,CANCELLOUS DENSE LORDOTIC 5MM,27842408,278,4674.66,,St_Peter's_Health
,TROCH NAIL RT LONG 440MMX13MM,27825602,278,4655.02,,St_Peter's_Health
,TROCHANTERIC NAIL 440MMX11MM,27824499,278,4655.02,,St_Peter's_Health
,THERMA CHOICE,27232173,272,4646.4,,St_Peter's_Health
,S-ROM HEAD CER DLT11/13X32+3,27820137,278,4620.19,,St_Peter's_Health
,TROCHANTERIC REATTACHMENT TITA,27842666,278,4619.07,,St_Peter's_Health
,PLATE TRESTLE 32MM,27841556,278,4611.76,,St_Peter's_Health
,PLATE TRESTLE 34MM,27841616,278,4611.76,,St_Peter's_Health
,SCREW LAG TROCH NAIL LT 420X11,27829527,278,4610.79,,St_Peter's_Health
,TROCH NAIL LT 380MMX13MM,27827469,278,4610.79,,St_Peter's_Health
,S-ROM STEM UNI 39,27820499,278,4608.55,,St_Peter's_Health
,S-ROM STEM UNI 41,27820500,278,4608.55,,St_Peter's_Health
,S-ROM STEM UNI 43,27820501,278,4608.55,,St_Peter's_Health
,S-ROM STEM UNI 46,27820503,278,4608.55,,St_Peter's_Health
,S-ROM STEM UNI 47,27820504,278,4608.55,,St_Peter's_Health
,S-ROM STEM UNI 49,27820505,278,4608.55,,St_Peter's_Health
,S-ROM STEM UNI 51,27820506,278,4608.55,,St_Peter's_Health
,S-ROM STEM UNI 53,27820507,278,4608.55,,St_Peter's_Health
,S-ROM STEM UNI 55,27820508,278,4608.55,,St_Peter's_Health
,IMPLANT HTO IBALANCE,27854483,278,4602.0,,St_Peter's_Health
,GLOBAL SHD END PEG GLEN 40,27030406,278,4593.56,,St_Peter's_Health
,GLOBAL SHD END PEG GLEN 44,27030407,278,4593.56,,St_Peter's_Health
,GLOBAL SHD END PEG GLEN 48,27030408,278,4593.56,,St_Peter's_Health
,GLOBAL SHD END PEG GLEN 52,27030410,278,4593.56,,St_Peter's_Health
,FEMORAL POST STAB CEM SZ4N LFT,27848830,278,4590.02,,St_Peter's_Health
,FEMORAL POST STAB CEMENT SZ6 L,27848735,278,4590.02,,St_Peter's_Health
,FEMORAL POST STAB CEMNT SZ9 RT,27848754,278,4590.02,,St_Peter's_Health
,FEMORAL POST STAB CMNT SZ8 LT,27848827,278,4590.02,,St_Peter's_Health
,PLATE VA-LCP CRVD 14 HOLE LEFT,27848764,278,4581.65,,St_Peter's_Health
,APOGEE KIT 72404212,27805100,278,4575.85,,St_Peter's_Health
,TRUMATCH ATTUNE RES. GUIDE SET,27250730,272,4563.53,,St_Peter's_Health
,PLATE ATLANTIS 25MM,27842777,278,4557.6,,St_Peter's_Health
,ANATOMIC 12X16X14,27838670,278,4550.37,,St_Peter's_Health
,ANATOMIC 13X16X14,27838669,278,4550.37,,St_Peter's_Health
,ANATOMIC PEEK 7X16X14,27839445,278,4550.37,,St_Peter's_Health
,ANATOMIC PEEK 8X16X14,27839446,278,4550.37,,St_Peter's_Health
,HIP STEM OMNIFIT #5 C-TPR 25MM,27829665,278,4503.41,,St_Peter's_Health
,CEMENT SPACER MOLD 48X65MM,27246497,272,4499.04,,St_Peter's_Health
,FEMORAL CEMENT SPACER MOLD,27231648,272,4499.04,,St_Peter's_Health
,CUP PINNACLE 54MM,27831308,278,4492.33,,St_Peter's_Health
,S-ROM SLEEVE PRX ZTT 24D-SML,27010373,278,4486.62,,St_Peter's_Health
,TENDON ACHILLES 16CM - 19.5CM,27863355,278,4467.8,,St_Peter's_Health
,CROSSLINK X-10 34MM,27837152,278,4464.89,,St_Peter's_Health
,PINNACLE LINER LIPPED 28x60MM,27020912,278,4431.37,,St_Peter's_Health
,PINNACLE LINER LIPPED 28x62MM,27020913,278,4431.37,,St_Peter's_Health
,PINNACLE LINER LIPPED 28x64MM,27020914,278,4431.37,,St_Peter's_Health
,PINNACLE LINER LIPPED 28x66MM,27020915,278,4431.37,,St_Peter's_Health
,PINNACLE MARATHON 10DEG+4 32M,27010486,278,4431.37,,St_Peter's_Health
,PINNACLE MARATHON 10DEG+4 60MM,27010275,278,4431.37,,St_Peter's_Health
,CHARGING KIT 641220,27836652,278,4426.5,,St_Peter's_Health
,CHARGING KIT 641230,27836653,278,4426.5,,St_Peter's_Health
,PRECISION CHRG SYSTEM KIT,27235526,272,4426.5,,St_Peter's_Health
,STAPLE VANTAGE CANDAL THOR,27835724,278,4426.5,,St_Peter's_Health
,STAPLE VANTAGE ROST THOR,27835723,278,4426.5,,St_Peter's_Health
,PUTTY ALPHAGRAFT DBM 10CC,27839602,278,4418.56,,St_Peter's_Health
,TISSUE EXPANDER 350-1660 375CC,27821847,272,4416.88,,St_Peter's_Health
,TISSUE EXPANDER 350-1670 425CC,27821848,272,4416.88,,St_Peter's_Health
,TISSUE EXPANDER 354-6314,27821244,272,4416.88,,St_Peter's_Health
,STENT COLONIC WALL FLEX 12FR,27228552,272,4399.2,,St_Peter's_Health
,STENT COLONIC WALL FLEX 6FR,27228550,272,4399.2,,St_Peter's_Health
,CERAMIC INSERT METALLIC CUP,27840878,278,4390.62,,St_Peter's_Health
,SCREW SOLERA 5.5X45,27836805,278,4380.23,,St_Peter's_Health
,SCREW SOLERA 6.5X45MM,27836547,278,4380.23,,St_Peter's_Health
,SCREW SOLERA 6.5X50MM,27836533,278,4380.23,,St_Peter's_Health
,SCREW SOLERA 7.5X45MM,27836546,278,4380.23,,St_Peter's_Health
,SCREW SOLERA 7.5X50MM,27836534,278,4380.23,,St_Peter's_Health
,HEAD FEM COMP SROM ZIRCON,27012715,278,4377.09,,St_Peter's_Health
,HEAD CER DELTA 12/14X28+.5,27820120,278,4363.59,,St_Peter's_Health
,TROCH NAIL LT 340MM X 13MM,27827658,278,4350.48,,St_Peter's_Health
,HOOK LAMINAL 4.5MM OFFSET L,27835144,278,4348.26,,St_Peter's_Health
,HOOK LAMINAR 4.5MM OFFSET R,27835145,278,4348.26,,St_Peter's_Health
,HOOK LAMINAR 6.0MM OFFSET L,27835146,278,4348.26,,St_Peter's_Health
,HOOK LAMINAR 6.0MM OFFSET R,27835147,278,4348.26,,St_Peter's_Health
,CROSSLINK SS 28MM,27834005,278,4340.24,,St_Peter's_Health
,CROSSLINK SS 36MM 8105536,27834006,278,4340.24,,St_Peter's_Health
,MTO 2.7/2.9 SPG-LD DRILL GUIDE,27227185,272,4324.99,,St_Peter's_Health
,ARTICUL/EZE CER BALL 28+1.5,27220029,272,4305.18,,St_Peter's_Health
,ARTICUL/EZE CER BALL 28+5,27220030,272,4305.18,,St_Peter's_Health
