"Powell County Memorial Hospital Association, dba Deer Lodge Medical Center",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,hospital
12010001,EAP,Custom 12010001,,0120 - ROOM & BOARD - SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL) - GENERAL CLASSIFICATION,Hc R&b-semi-private,1327,1,1181.03,1181.03,1260.65,1287.19,1260.65,1061.6,1181.03,1287.19,Deer_Lodge_Medical_Center
12010004,EAP,Custom 12010004,,0120 - ROOM & BOARD - SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL) - GENERAL CLASSIFICATION,Hc R&b-semi-private Swing Bed,1273,1,1132.97,1132.97,1209.35,1234.81,1209.35,1018.4,1132.97,1234.81,Deer_Lodge_Medical_Center
12010004,EAP,Custom 12010004,,0120 - ROOM & BOARD - SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL) - GENERAL CLASSIFICATION,Hc R&b-semi-private Swing Bed,1273,1,1132.97,1132.97,1209.35,1234.81,1209.35,1018.4,1132.97,1234.81,Deer_Lodge_Medical_Center
12010004,EAP,Custom 12010004,,0120 - ROOM & BOARD - SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL) - GENERAL CLASSIFICATION,Hc R&b-semi-private Swing Bed,1273,1,1132.97,1132.97,1209.35,1234.81,1209.35,1018.4,1132.97,1234.81,Deer_Lodge_Medical_Center
12010009,EAP,Custom 12010009,,0120 - ROOM & BOARD - SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL) - GENERAL CLASSIFICATION,Hc R&b-semi-private Med Surg W/ Tele,1591,1,1415.99,1415.99,1511.45,1543.27,1511.45,1272.8,1415.99,1543.27,Deer_Lodge_Medical_Center
12010009,EAP,Custom 12010009,,0120 - ROOM & BOARD - SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL) - GENERAL CLASSIFICATION,Hc R&b-semi-private Med Surg W/ Tele,1591,1,1415.99,1415.99,1511.45,1543.27,1511.45,1272.8,1415.99,1543.27,Deer_Lodge_Medical_Center
12010009,EAP,Custom 12010009,,0120 - ROOM & BOARD - SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL) - GENERAL CLASSIFICATION,Hc R&b-semi-private Med Surg W/ Tele,1591,1,1415.99,1415.99,1511.45,1543.27,1511.45,1272.8,1415.99,1543.27,Deer_Lodge_Medical_Center
12910003,EAP,Custom 12910003,,0129 - ROOM & BOARD - SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL) - OTHER,Hc R&b-semi-private Other Swing Bed,228,1,202.92,202.92,216.6,221.16,216.6,182.4,202.92,221.16,Deer_Lodge_Medical_Center
12910003,EAP,Custom 12910003,,0129 - ROOM & BOARD - SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL) - OTHER,Hc R&b-semi-private Other Swing Bed,228,1,202.92,202.92,216.6,221.16,216.6,182.4,202.92,221.16,Deer_Lodge_Medical_Center
12910003,EAP,Custom 12910003,,0129 - ROOM & BOARD - SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL) - OTHER,Hc R&b-semi-private Other Swing Bed,228,1,202.92,202.92,216.6,221.16,216.6,182.4,202.92,221.16,Deer_Lodge_Medical_Center
164452,ERX,HCPCS 25030001,09958-0033-61,0250 - PHARMACY - GENERAL CLASSIFICATION,MEDIHONEY WOUND/BURN DRESSING EX PSTE,79.86, 44 Application ,71.08,71.08,75.87,  100% of 2012 CMS Rate  ,75.87,63.89,71.08,75.87,Deer_Lodge_Medical_Center
182953,ERX,HCPCS A4216,00409-4888-10,0250 - PHARMACY - GENERAL CLASSIFICATION,SODIUM CHLORIDE (PF) 0.9 % IJ SOLN,43.83, 10 mL ,39.01,39.01,41.64,  See (D) Below  ,41.64,35.06,39.01,41.64,Deer_Lodge_Medical_Center
182953,ERX,HCPCS A4216,00409-4888-01,0250 - PHARMACY - GENERAL CLASSIFICATION,SODIUM CHLORIDE (PF) 0.9 % IJ SOLN,43.23, 0.5 mL ,38.47,38.47,41.07,  See (D) Below  ,41.07,34.58,38.47,41.07,Deer_Lodge_Medical_Center
182953,ERX,HCPCS A4216,63323-0186-10,0250 - PHARMACY - GENERAL CLASSIFICATION,SODIUM CHLORIDE (PF) 0.9 % IJ SOLN,43.23, 0.5 mL ,38.47,38.47,41.07,  See (D) Below  ,41.07,34.58,38.47,41.07,Deer_Lodge_Medical_Center
7484,ERX,HCPCS A4217,00409-4887-17,0250 - PHARMACY - GENERAL CLASSIFICATION,STERILE WATER FOR INJECTION IJ SOLN,43.97, 10 mL ,39.13,39.13,41.77,  See (D) Below  ,41.77,35.18,39.13,41.77,Deer_Lodge_Medical_Center
2999,ERX,HCPCS A9150,00065-0530-01,0250 - PHARMACY - GENERAL CLASSIFICATION,EYE STREAM OP SOLN,106.92, 30 mL ,95.16,95.16,101.57,  See (D) Below  ,101.57,85.54,95.16,101.57,Deer_Lodge_Medical_Center
612,ERX,HCPCS A9150,72140-0031-47,0250 - PHARMACY - GENERAL CLASSIFICATION,AQUAPHOR EX OINT,71.28, 396 Application ,63.44,63.44,67.72,  See (D) Below  ,67.72,57.02,63.44,67.72,Deer_Lodge_Medical_Center
612,ERX,HCPCS A9150,72140-0452-31,0250 - PHARMACY - GENERAL CLASSIFICATION,AQUAPHOR EX OINT,71.28, 50 Application ,63.44,63.44,67.72,  See (D) Below  ,67.72,57.02,63.44,67.72,Deer_Lodge_Medical_Center
27099,ERX,HCPCS A9150,66689-0201-08,0250 - PHARMACY - GENERAL CLASSIFICATION,CHARCOAL ACTIVATED PO LIQD,58.8, 120 mL ,52.33,52.33,55.86,  See (D) Below  ,55.86,47.04,52.33,55.86,Deer_Lodge_Medical_Center
27099,ERX,HCPCS A9150,66689-0202-04,0250 - PHARMACY - GENERAL CLASSIFICATION,CHARCOAL ACTIVATED PO LIQD,58.8, 120 mL ,52.33,52.33,55.86,  See (D) Below  ,55.86,47.04,52.33,55.86,Deer_Lodge_Medical_Center
10919,ERX,HCPCS A9150,74300-0004-21,0250 - PHARMACY - GENERAL CLASSIFICATION,PERMETHRIN 0.5 % AERO,53.89, 142 Application ,47.96,47.96,51.2,  See (D) Below  ,51.2,43.11,47.96,51.2,Deer_Lodge_Medical_Center
28836,ERX,HCPCS A9150,00121-0431-30,0250 - PHARMACY - GENERAL CLASSIFICATION,MAGNESIUM HYDROXIDE 400 MG/5ML PO SUSP,51.98, 30 mL ,46.26,46.26,49.38,  See (D) Below  ,49.38,41.58,46.26,49.38,Deer_Lodge_Medical_Center
28836,ERX,HCPCS A9150,66689-0053-01,0250 - PHARMACY - GENERAL CLASSIFICATION,MAGNESIUM HYDROXIDE 400 MG/5ML PO SUSP,51.98, 30 mL ,46.26,46.26,49.38,  See (D) Below  ,49.38,41.58,46.26,49.38,Deer_Lodge_Medical_Center
8943,ERX,HCPCS A9150,50580-0325-01,0250 - PHARMACY - GENERAL CLASSIFICATION,ACETAMINOPHEN 160 MG/5ML PO SUSP,49.77, 60 mL ,44.3,44.3,47.28,  See (D) Below  ,47.28,39.82,44.3,47.28,Deer_Lodge_Medical_Center
9645,ERX,HCPCS A9150,49348-0379-54,0250 - PHARMACY - GENERAL CLASSIFICATION,CLOTRIMAZOLE 2 % VA CREA,47.2, 210 applicator ,42.01,42.01,44.84,  See (D) Below  ,44.84,37.76,42.01,44.84,Deer_Lodge_Medical_Center
5040,ERX,HCPCS A9150,49348-0530-77,0250 - PHARMACY - GENERAL CLASSIFICATION,MICONAZOLE NITRATE 2 % VA CREA,40.57, 45 g ,36.11,36.11,38.54,  See (D) Below  ,38.54,32.46,36.11,38.54,Deer_Lodge_Medical_Center
15419,ERX,HCPCS A9150,00904-5463-35,0250 - PHARMACY - GENERAL CLASSIFICATION,IBUPROFEN 40 MG/ML PO SUSP,36.39, 15 mL ,32.39,32.39,34.57,  See (D) Below  ,34.57,29.11,32.39,34.57,Deer_Lodge_Medical_Center
12556,ERX,HCPCS A9150,50580-0535-01,0250 - PHARMACY - GENERAL CLASSIFICATION,DIPHENHYDRAMINE HCL 12.5 MG/5ML PO LIQD,29.74, 118 mL ,26.47,26.47,28.25,  See (D) Below  ,28.25,23.79,26.47,28.25,Deer_Lodge_Medical_Center
22012,ERX,HCPCS A9150,41167-0011-00,0250 - PHARMACY - GENERAL CLASSIFICATION,GOLD BOND EX POWD,29.72, 283 Application ,26.45,26.45,28.23,  See (D) Below  ,28.23,23.78,26.45,28.23,Deer_Lodge_Medical_Center
1359,ERX,HCPCS A9150,00904-6627-35,0250 - PHARMACY - GENERAL CLASSIFICATION,CARBAMIDE PEROXIDE 6.5 % OT SOLN,29.61, 15 mL ,26.35,26.35,28.13,  See (D) Below  ,28.13,23.69,26.35,28.13,Deer_Lodge_Medical_Center
1359,ERX,HCPCS A9150,42037-0104-78,0250 - PHARMACY - GENERAL CLASSIFICATION,CARBAMIDE PEROXIDE 6.5 % OT SOLN,29.61, 15 mL ,26.35,26.35,28.13,  See (D) Below  ,28.13,23.69,26.35,28.13,Deer_Lodge_Medical_Center
1359,ERX,HCPCS A9150,49348-0960-29,0250 - PHARMACY - GENERAL CLASSIFICATION,CARBAMIDE PEROXIDE 6.5 % OT SOLN,29.61, 15 mL ,26.35,26.35,28.13,  See (D) Below  ,28.13,23.69,26.35,28.13,Deer_Lodge_Medical_Center
27991,ERX,HCPCS A9150,00023-0798-01,0250 - PHARMACY - GENERAL CLASSIFICATION,CARBOXYMETHYLCELLULOSE SODIUM 0.5 % OP SOLN,27.8, 15 mL ,24.74,24.74,26.41,  See (D) Below  ,26.41,22.24,24.74,26.41,Deer_Lodge_Medical_Center
28188,ERX,HCPCS A9150,00234-0575-04,0250 - PHARMACY - GENERAL CLASSIFICATION,CHLORHEXIDINE GLUCONATE 4 % EX LIQD,25.32, 118 mL ,22.53,22.53,24.05,  See (D) Below  ,24.05,20.26,22.53,24.05,Deer_Lodge_Medical_Center
1767,ERX,HCPCS A9150,00904-7822-31,0250 - PHARMACY - GENERAL CLASSIFICATION,CLOTRIMAZOLE 1 % EX CREA,17.47, 29 Application ,15.55,15.55,16.6,  See (D) Below  ,16.6,13.98,15.55,16.6,Deer_Lodge_Medical_Center
1767,ERX,HCPCS A9150,45802-0434-11,0250 - PHARMACY - GENERAL CLASSIFICATION,CLOTRIMAZOLE 1 % EX CREA,17.47, 30 Application ,15.55,15.55,16.6,  See (D) Below  ,16.6,13.98,15.55,16.6,Deer_Lodge_Medical_Center
850,ERX,HCPCS A9150,00713-0280-31,0250 - PHARMACY - GENERAL CLASSIFICATION,BACITRACIN 500 UNIT/GM EX OINT,16.43, 29 Application ,14.62,14.62,15.61,  See (D) Below  ,15.61,13.14,14.62,15.61,Deer_Lodge_Medical_Center
3726,ERX,HCPCS A9150,45802-0438-03,0250 - PHARMACY - GENERAL CLASSIFICATION,HYDROCORTISONE 1 % EX CREA,15.56, 28 Application ,13.85,13.85,14.78,  See (D) Below  ,14.78,12.45,13.85,14.78,Deer_Lodge_Medical_Center
100,ERX,HCPCS A9150,00121-0657-05,0250 - PHARMACY - GENERAL CLASSIFICATION,ACETAMINOPHEN 160 MG/5ML PO SOLN,14.31, 10.2 mL ,12.74,12.74,13.59,  See (D) Below  ,13.59,11.45,12.74,13.59,Deer_Lodge_Medical_Center
9506,ERX,HCPCS A9150,16714-0271-03,0250 - PHARMACY - GENERAL CLASSIFICATION,CETIRIZINE HCL 10 MG PO TABS,13.74, 1 tablet ,12.23,12.23,13.05,  See (D) Below  ,13.05,10.99,12.23,13.05,Deer_Lodge_Medical_Center
1701,ERX,HCPCS A9150,00904-6787-44,0250 - PHARMACY - GENERAL CLASSIFICATION,CITRATE OF MAGNESIA PO SOLN,8.14, 296 mL ,7.24,7.24,7.73,  See (D) Below  ,7.73,6.51,7.24,7.73,Deer_Lodge_Medical_Center
27863,ERX,HCPCS A9150,00536-5896-88,0250 - PHARMACY - GENERAL CLASSIFICATION,NICOTINE 21 MG/24HR TD PT24,7.36, 1 patch ,6.55,6.55,6.99,  See (D) Below  ,6.99,5.89,6.55,6.99,Deer_Lodge_Medical_Center
27863,ERX,HCPCS A9150,49348-0144-46,0250 - PHARMACY - GENERAL CLASSIFICATION,NICOTINE 21 MG/24HR TD PT24,7.36, 1 patch ,6.55,6.55,6.99,  See (D) Below  ,6.99,5.89,6.55,6.99,Deer_Lodge_Medical_Center
27345,ERX,HCPCS A9150,00536-1184-97,0250 - PHARMACY - GENERAL CLASSIFICATION,DEXTROMETHORPHAN-GUAIFENESIN 10-100 MG/5ML PO SYRP,7.14, 118 mL ,6.35,6.35,6.78,  See (D) Below  ,6.78,5.71,6.35,6.78,Deer_Lodge_Medical_Center
27345,ERX,HCPCS A9150,54838-0209-40,0250 - PHARMACY - GENERAL CLASSIFICATION,DEXTROMETHORPHAN-GUAIFENESIN 10-100 MG/5ML PO SYRP,7.14, 118 mL ,6.35,6.35,6.78,  See (D) Below  ,6.78,5.71,6.35,6.78,Deer_Lodge_Medical_Center
5943,ERX,HCPCS A9150,00904-6761-30,0250 - PHARMACY - GENERAL CLASSIFICATION,OXYMETAZOLINE HCL 0.05 % NA SOLN,6.6, 300 spray ,5.87,5.87,6.27,  See (D) Below  ,6.27,5.28,5.87,6.27,Deer_Lodge_Medical_Center
5943,ERX,HCPCS A9150,49348-0231-27,0250 - PHARMACY - GENERAL CLASSIFICATION,OXYMETAZOLINE HCL 0.05 % NA SOLN,6.6, 300 spray ,5.87,5.87,6.27,  See (D) Below  ,6.27,5.28,5.87,6.27,Deer_Lodge_Medical_Center
3123,ERX,HCPCS A9150,00132-0201-40,0250 - PHARMACY - GENERAL CLASSIFICATION,FLEET ENEMA 7-19 GM/118ML RE ENEM,6.59, 1 enema ,5.87,5.87,6.26,  See (D) Below  ,6.26,5.27,5.87,6.26,Deer_Lodge_Medical_Center
81823,ERX,HCPCS A9150,00574-0069-15,0250 - PHARMACY - GENERAL CLASSIFICATION,GLUCOSE 40 % PO GEL,6.44, 15 g ,5.73,5.73,6.12,  See (D) Below  ,6.12,5.15,5.73,6.12,Deer_Lodge_Medical_Center
114401,ERX,HCPCS A9150,00487-5901-99,0250 - PHARMACY - GENERAL CLASSIFICATION,RACEPINEPHRINE HCL 2.25 % IN NEBU,5.24, 0.25 mL ,4.66,4.66,4.98,  See (D) Below  ,4.98,4.19,4.66,4.98,Deer_Lodge_Medical_Center
9009,ERX,HCPCS A9150,00121-1761-30,0250 - PHARMACY - GENERAL CLASSIFICATION,ALUM & MAG HYDROXIDE-SIMETH 200-200-20 MG/5ML PO SUSP,5.12, 10 mL ,4.56,4.56,4.86,  See (D) Below  ,4.86,4.1,4.56,4.86,Deer_Lodge_Medical_Center
7493,ERX,HCPCS A9150,68455-0106-90,0250 - PHARMACY - GENERAL CLASSIFICATION,STOMAHESIVE PASTE PSTE,4.99, 56.7 g ,4.44,4.44,4.74,  See (D) Below  ,4.74,3.99,4.44,4.74,Deer_Lodge_Medical_Center
10246,ERX,HCPCS A9150,68094-0600-59,0250 - PHARMACY - GENERAL CLASSIFICATION,IBUPROFEN 100 MG/5ML PO SUSP,4.9, 10 mL ,4.36,4.36,4.66,  See (D) Below  ,4.66,3.92,4.36,4.66,Deer_Lodge_Medical_Center
118827,ERX,HCPCS A9150,49100-0381-64,0250 - PHARMACY - GENERAL CLASSIFICATION,CULTURELLE PO CAPS,4.39, 1 capsule ,3.91,3.91,4.17,  See (D) Below  ,4.17,3.51,3.91,4.17,Deer_Lodge_Medical_Center
7030,ERX,HCPCS A9150,00187-5260-03,0250 - PHARMACY - GENERAL CLASSIFICATION,SALINE NASAL SPRAY 0.65 % NA SOLN,3.88, 0.05 mL ,3.45,3.45,3.69,  See (D) Below  ,3.69,3.1,3.45,3.69,Deer_Lodge_Medical_Center
7030,ERX,HCPCS A9150,00904-3865-75,0250 - PHARMACY - GENERAL CLASSIFICATION,SALINE NASAL SPRAY 0.65 % NA SOLN,3.88, 44 mL ,3.45,3.45,3.69,  See (D) Below  ,3.69,3.1,3.45,3.69,Deer_Lodge_Medical_Center
2805,ERX,HCPCS A9150,00536-7415-51,0250 - PHARMACY - GENERAL CLASSIFICATION,ENEMA 7-19 GM/118ML RE ENEM,3.66, 1 enema ,3.26,3.26,3.48,  See (D) Below  ,3.48,2.93,3.26,3.48,Deer_Lodge_Medical_Center
103,ERX,HCPCS A9150,45802-0732-00,0250 - PHARMACY - GENERAL CLASSIFICATION,ACETAMINOPHEN 120 MG RE SUPP,3.52, 3 suppository ,3.13,3.13,3.34,  See (D) Below  ,3.34,2.82,3.13,3.34,Deer_Lodge_Medical_Center
8943,ERX,HCPCS A9150,00121-1781-05,0250 - PHARMACY - GENERAL CLASSIFICATION,ACETAMINOPHEN 160 MG/5ML PO SUSP,3.33, 5 mL ,2.96,2.96,3.16,  See (D) Below  ,3.16,2.66,2.96,3.16,Deer_Lodge_Medical_Center
38245,ERX,HCPCS A9150,50383-0779-15,0250 - PHARMACY - GENERAL CLASSIFICATION,LACTULOSE 10 GM/15ML PO SOLN,3.22, 15 mL ,2.87,2.87,3.06,  See (D) Below  ,3.06,2.58,2.87,3.06,Deer_Lodge_Medical_Center
439,ERX,HCPCS A9150,39822-9900-01,0250 - PHARMACY - GENERAL CLASSIFICATION,AMMONIA AROMATIC IN INHA,2.97, 1 ampule ,2.64,2.64,2.82,  See (D) Below  ,2.82,2.38,2.64,2.82,Deer_Lodge_Medical_Center
76829,ERX,HCPCS A9150,50383-0063-10,0250 - PHARMACY - GENERAL CLASSIFICATION,GUAIFENESIN 100 MG/5ML PO SOLN,2.7, 10 mL ,2.4,2.4,2.57,  See (D) Below  ,2.57,2.16,2.4,2.57,Deer_Lodge_Medical_Center
101,ERX,HCPCS A9150,63739-0440-01,0250 - PHARMACY - GENERAL CLASSIFICATION,ACETAMINOPHEN 325 MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
10466,ERX,HCPCS A9150,00904-6852-61,0250 - PHARMACY - GENERAL CLASSIFICATION,LORATADINE 10 MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
10466,ERX,HCPCS A9150,68084-0248-11,0250 - PHARMACY - GENERAL CLASSIFICATION,LORATADINE 10 MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
1079,ERX,HCPCS A9150,00904-6407-61,0250 - PHARMACY - GENERAL CLASSIFICATION,BISACODYL 5 MG PO TBEC,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
1080,ERX,HCPCS A9150,00574-7050-12,0250 - PHARMACY - GENERAL CLASSIFICATION,BISACODYL 10 MG RE SUPP,2.4, 1 suppository ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
11217,ERX,HCPCS A9150,37000-0740-87,0250 - PHARMACY - GENERAL CLASSIFICATION,PSYLLIUM 28 % PO PACK,2.4, 1 packet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
11349,ERX,HCPCS A9150,00904-6522-61,0250 - PHARMACY - GENERAL CLASSIFICATION,SENNOSIDES 8.6 MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
12025,ERX,HCPCS A9150,00904-6517-61,0250 - PHARMACY - GENERAL CLASSIFICATION,MECLIZINE HCL 25 MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
120355,ERX,HCPCS A9150,10006-0700-28,0250 - PHARMACY - GENERAL CLASSIFICATION,MAGNESIUM OXIDE 400 (240 MG) MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
13654,ERX,HCPCS A9150,57896-0921-01,0250 - PHARMACY - GENERAL CLASSIFICATION,ASPIRIN EC 325 MG PO TBEC,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
13748,ERX,HCPCS A9150,00904-6763-20,0250 - PHARMACY - GENERAL CLASSIFICATION,GUAIFENESIN 100 MG/5ML PO LIQD,2.4, 5 mL ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
14113,ERX,HCPCS A9150,63739-0522-10,0250 - PHARMACY - GENERAL CLASSIFICATION,ASPIRIN EC 81 MG PO TBEC,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
16830,ERX,HCPCS A9150,68094-0110-59,0250 - PHARMACY - GENERAL CLASSIFICATION,MELATONIN 3 MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
169591,ERX,HCPCS A9150,00699-3100-02,0250 - PHARMACY - GENERAL CLASSIFICATION,BENZOCAINE 20 % MT AERO,2.4, 1 spray ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
19483,ERX,HCPCS A9150,10939-0533-44,0250 - PHARMACY - GENERAL CLASSIFICATION,CALCIUM-VITAMIN D 500-200 MG-UNIT PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
2566,ERX,HCPCS A9150,00904-6455-61,0250 - PHARMACY - GENERAL CLASSIFICATION,DOCUSATE SODIUM 100 MG PO CAPS,2.4, 1 capsule ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
2571,ERX,HCPCS A9150,54838-0107-80,0250 - PHARMACY - GENERAL CLASSIFICATION,DOCUSATE SODIUM 60 MG/15ML PO SYRP,2.4, 12.5 mL ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
3074,ERX,HCPCS A9150,00603-0179-55,0250 - PHARMACY - GENERAL CLASSIFICATION,FERROUS SULFATE 325 (65 FE) MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
3074,ERX,HCPCS A9150,00904-7591-61,0250 - PHARMACY - GENERAL CLASSIFICATION,FERROUS SULFATE 325 (65 FE) MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
3233,ERX,HCPCS A9150,62584-0897-11,0250 - PHARMACY - GENERAL CLASSIFICATION,FOLIC ACID 1 MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
34574,ERX,HCPCS A9150,57896-0794-01,0250 - PHARMACY - GENERAL CLASSIFICATION,GUAIFENESIN 400 MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
37053,ERX,HCPCS A9150,00904-5492-61,0250 - PHARMACY - GENERAL CLASSIFICATION,THERA M PLUS PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
3841,ERX,HCPCS A9150,00904-7914-61,0250 - PHARMACY - GENERAL CLASSIFICATION,IBUPROFEN 200 MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
3841,ERX,HCPCS A9150,63739-0134-01,0250 - PHARMACY - GENERAL CLASSIFICATION,IBUPROFEN 200 MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
664,ERX,HCPCS A9150,00904-0523-61,0250 - PHARMACY - GENERAL CLASSIFICATION,ASCORBIC ACID 500 MG PO TABS,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
680,ERX,HCPCS A9150,00904-6794-89,0250 - PHARMACY - GENERAL CLASSIFICATION,ASPIRIN 81 MG PO CHEW,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
680,ERX,HCPCS A9150,63739-0434-01,0250 - PHARMACY - GENERAL CLASSIFICATION,ASPIRIN 81 MG PO CHEW,2.4, 1 tablet ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
7228,ERX,HCPCS A9150,00904-5894-30,0250 - PHARMACY - GENERAL CLASSIFICATION,SIMETHICONE 40 MG/0.6ML PO SUSP,2.4, 0.6 mL ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
7640,ERX,HCPCS A9150,00281-0205-43,0250 - PHARMACY - GENERAL CLASSIFICATION,SURGILUBE EX GEL,2.4, 3 Application ,2.14,2.14,2.28,  See (D) Below  ,2.28,1.92,2.14,2.28,Deer_Lodge_Medical_Center
