Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE,BCBS_CLOSED_NETWORK,BCBS_HEALTHLINK_NETWORK,BCBS_POS,BCBS_TRADITIONAL,EBMS,HEALTH_INFO_NET_PEAK_EQUITY,HEALTH_INFO_NET_STANDARD,HUMANA_PPO_NETWORK,INTEGRATED_HEALTH_PLAN,INTERWEST_HEALTH_PPO,INTERWEST_HEALTH_TRADITIONAL,MOUNTAIN_HEALTH_CO-OP_HPN,MOUNTAIN_HEALTH_CO-OP_PPO_POS,PACIFIC_SOURCE,UHC_COMMERCIAL,hospital
1500123,LAC REPAIR 2.6-7.5CM INT,ProFee,983,12032,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm",,0,914,731.2,318.3279,1359.8425,321.321,758.62,758.62,758.62,758.62,1263.92,1258.425,1359.8425,,,1239.813,1239.813,981.6174,1090.686,886.58,318.3279,Pioneer_Medical_Center
1500149,SCHOOL PHYSICAL AGES 12-17,ProFee,983,99394,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, established patient; adolescent (age 12 through 17 years)",,0,30,24,12,149.42,145.948,24.9,24.9,24.9,24.9,138.88,30.94,149.42,,,30.4824,30.4824,51.4998,57.222,29.1,12,Pioneer_Medical_Center
1500156,CLINIC MORPHINE SULFATE UP TO 10MG,ProFee,983,J2270,Morphine sulfate injection,,0,33,26.4,13.2,32.01,,27.39,27.39,27.39,27.39,26.4,28.05,28.05,,,0,0,21.45,24.75,32.01,13.2,Pioneer_Medical_Center
1500164,LAC REPAIR INT 2.6-7.5CM,ProFee,983,12042,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm",,0,870,696,329.291,1827.3825,331.914,722.1,722.1,722.1,722.1,1698.48,1267.35,1827.3825,,,1248.606,1248.606,1505.979,1673.31,843.9,329.291,Pioneer_Medical_Center
1500172,LAC REPAIR <2.5CM INT,ProFee,983,12051,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less",,0,777,621.6,284.058,1981.962,285.4225,644.91,644.91,644.91,644.91,868.56,660.45,934.4775,,,0,0,1783.7658,1981.962,753.69,284.058,Pioneer_Medical_Center
1500198,ENDOMETRIAL BIOPSY,ProFee,983,58100,"Endometrial sampling (biopsy) with or without endocervical sampling (biopsy), without cervical dilation, any method (separate procedure)",,0,367,293.6,35.28,1960.525,109.461,304.61,304.61,304.61,304.61,35.28,1960.525,37.9575,,,1931.529,1931.529,449.4528,499.392,355.99,108.8653,Pioneer_Medical_Center
1500206,DISLOCATION/MANIPULATION FINGER,ProFee,983,26770,"Closed treatment of interphalangeal joint dislocation, single, with manipulation; without anesthesia",,0,835,668,436.0785,809.95,436.0785,693.05,693.05,693.05,693.05,668,577.15,709.75,,,568.614,568.614,483.786,537.54,809.95,436.2266,Pioneer_Medical_Center
1500214,PESSARY INSERTION,ProFee,983,57160,Fitting and insertion of pessary or other intravaginal support device,,0,243,194.4,79.3366,1464.295,79.4475,201.69,201.69,201.69,201.69,129.36,1464.295,139.1775,,,1442.6382,1442.6382,599.7906,666.434,235.71,79.3366,Pioneer_Medical_Center
1500230,EXCISION LESION <.5CM,ProFee,983,11420,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less",,0,370,296,137.709,1633.98,137.709,307.1,307.1,307.1,307.1,1518.72,819.91,1633.98,,,807.7836,807.7836,766.7748,851.972,358.9,214.1373,Pioneer_Medical_Center
1500248,LAC REPAIR INT 5.1-7.5CM,ProFee,983,12053,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm",,0,1042,833.6,362.8123,1135.7125,364.87,864.86,864.86,864.86,864.86,1055.6,579.53,1135.7125,,,570.9588,570.9588,677.3,781.5,1010.74,362.8123,Pioneer_Medical_Center
1500255,FRACTURE CARE DISTAL PHALANGEAL,ProFee,983,26750,"Closed treatment of distal phalangeal fracture, finger or thumb; without manipulation, each",,0,558,446.4,314.2522,541.26,314.8475,463.14,463.14,463.14,463.14,446.4,474.3,474.3,,,0,0,362.7,418.5,541.26,314.2522,Pioneer_Medical_Center
1500263,FRACTURE CARE TIB/FIB WITH MANIPULA,ProFee,983,27752,"Closed treatment of tibial shaft fracture (with or without fibular fracture); with manipulation, with or without skeletal traction",,0,1646,1316.8,174.72,3334.38,835.0815,1366.18,1366.18,1366.18,1366.18,174.72,3334.38,187.98,,,3285.0648,3285.0648,1069.9,1234.5,1596.62,844.6712,Pioneer_Medical_Center
1500297,EXCISION MALIGNANT LESION 1.1-2CM,ProFee,983,11602,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 1.1 to 2.0 cm",,0,748,598.4,107.52,2666.195,272.4755,620.84,620.84,620.84,620.84,107.52,2666.195,115.68,,,2626.7622,2626.7622,1762.4376,1958.264,725.56,271.3315,Pioneer_Medical_Center
1500305,DEBRIDEMENT INFECTED SKIN,ProFee,983,11000,Debridement of extensive eczematous or infected skin; up to 10% of body surface,,0,166,132.8,46.9465,2143.224,48.257,137.78,137.78,137.78,137.78,670.32,1962.905,721.1925,,,1933.8738,1933.8738,1928.9016,2143.224,161.02,46.9465,Pioneer_Medical_Center
1500339,FRACTURE CARE TOE WITH MANIPULATION,ProFee,983,28515,"Closed treatment of fracture, phalanx or phalanges, other than great toe; with manipulation, each",,0,500,400,240.1059,827.696,240.108,415,415,415,415,611.52,733.04,657.93,,,722.1984,722.1984,744.9264,827.696,485,240.1059,Pioneer_Medical_Center
1500347,FRACTURE CARE METATARSAL,ProFee,983,28470,"Closed treatment of metatarsal fracture; without manipulation, each",,0,673,538.4,344.2725,2980.168,344.2725,558.59,558.59,558.59,558.59,576.8,1436.33,620.575,,,1415.0868,1415.0868,2682.1512,2980.168,652.81,349.6533,Pioneer_Medical_Center
1500354,LAC REPAIR 7.6-12.5CM,ProFee,983,12015,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm",,0,676,540.8,160.8692,1225.7,163.603,561.08,561.08,561.08,561.08,806.4,1225.7,867.6,,,1207.572,1207.572,709.5528,788.392,655.72,160.8692,Pioneer_Medical_Center
1500362,TOBACCO CESSATION VISIT > 10 MINUTE,ProFee,983,99407,"Smoking and tobacco use cessation counseling visit; intensive, greater than 10 minutes",,0,193,154.4,41.44,193.052,43.549,160.19,160.19,160.19,160.19,41.44,120.19,44.585,,,118.4124,118.4124,173.7468,193.052,187.21,42.904,Pioneer_Medical_Center
1500388,CLINIC IMMUNIZATION ADM ONE VACCINE,ProFee,983,90471,"Immunization administration (includes percutaneous, intradermal, subcutaneous, or intramuscular injections); 1 vaccine (single or combination vaccine/toxoid)",,0,53,42.4,23.54,57.2375,23.54,43.99,43.99,43.99,43.99,53.2,45.05,57.2375,,,0,0,34.45,39.75,51.41,24.2052,Pioneer_Medical_Center
1500396,CLINIC IMMUNIZATION ADM ADDITIONAL,ProFee,983,90472,"Immunization administration (includes percutaneous, intradermal, subcutaneous, or intramuscular injections); each additional vaccine (single or combination vaccine/toxoid) (List separately in addition to code for primary procedure)",,0,38,30.4,20.9779,73.505,21.186,31.54,31.54,31.54,31.54,68.32,32.3,73.505,,,0,0,24.7,28.5,36.86,20.9779,Pioneer_Medical_Center
1500404,CLINIC WET MOUNT,ProFee,983,87210,"Smear, primary source with interpretation; wet mount for infectious agents (eg, saline, India ink, KOH preps)",,0,59,47.2,3.492,343.425,,48.97,48.97,48.97,48.97,319.2,50.15,343.425,,,0,0,6.693,7.275,57.23,3.492,Pioneer_Medical_Center
1500412,CLINIC MMR,ProFee,983,90707,"Measles, mumps and rubella virus vaccine (MMR), live, for subcutaneous use",,0,104,83.2,41.6,187.98,,86.32,86.32,86.32,86.32,174.72,88.4,187.98,,,0,0,67.6,78,100.88,41.6,Pioneer_Medical_Center
1500420,CLINIC DEXAMETHOSONE PER 1 MG,ProFee,983,J1100,Dexamethasone sodium phos,,0,4,3.2,1.6,3.88,,3.32,3.32,3.32,3.32,3.2,3.4,3.4,,,0,0,2.6,3,3.88,1.6,Pioneer_Medical_Center
1500453,LAC REPAIR 2.6-5.0 CM,ProFee,983,12052,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm",,0,886,708.8,335.6459,862.1775,337.799,735.38,735.38,735.38,735.38,801.36,753.1,862.1775,,,0,0,575.9,664.5,859.42,335.6459,Pioneer_Medical_Center
1500461,FRACTURE CARE PHALANGE WITH MANIP,ProFee,983,26725,"Closed treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb; with manipulation, with or without skin or skeletal traction, each",,0,1025,820,278.32,2389.52,513.7605,850.75,850.75,850.75,850.75,278.32,2389.52,299.4425,,,2354.1792,2354.1792,1886.7654,2096.406,994.25,522.2508,Pioneer_Medical_Center
1500479,CLINIC HIB,ProFee,983,90647,"Haemophilus influenzae type b vaccine (Hib), PRP-OMP conjugate, 3 dose schedule, for intramuscular use",,0,71,56.8,28.4,83.7475,,58.93,58.93,58.93,58.93,77.84,60.35,83.7475,,,0,0,46.15,53.25,68.87,28.4,Pioneer_Medical_Center
1500487,CLINIC ACTHIB,ProFee,983,90648,"Haemophilus influenzae type b vaccine (Hib), PRP-T conjugate, 4 dose schedule, for intramuscular use",,0,44,35.2,17.6,47.5975,,36.52,36.52,36.52,36.52,44.24,37.4,47.5975,,,0,0,28.6,33,42.68,17.6,Pioneer_Medical_Center
1500495,CLINIC PENTACEL,ProFee,983,90698,"Diphtheria, tetanus toxoids, acellular pertussis vaccine, Haemophilus influenzae type b, and inactivated poliovirus vaccine, (DTaP-IPV/Hib), for intramuscular use",,0,85,68,34,82.45,,70.55,70.55,70.55,70.55,40.88,72.25,43.9825,,,0,0,55.25,63.75,82.45,34,Pioneer_Medical_Center
1500503,CLINIC KINRIX,ProFee,983,90696,"Diphtheria, tetanus toxoids, acellular pertussis vaccine and inactivated poliovirus vaccine (DTaP-IPV), when administered to children 4 through 6 years of age, for intramuscular use",,0,116,92.8,46.4,168.0975,,96.28,96.28,96.28,96.28,156.24,98.6,168.0975,,,0,0,75.4,87,112.52,46.4,Pioneer_Medical_Center
1500602,ADMIT/DC SAME DAY OBS LEVEL 1,ProFee,983,99234,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of low severity. Typically, 40 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,475,380,48.3786,460.75,221.8645,394.25,394.25,394.25,394.25,211.12,65.45,227.1425,,,64.482,64.482,48.3786,53.754,460.75,218.5625,Pioneer_Medical_Center
1500610,ADMIT/DC SAME DAY OBS LEVEL 2,ProFee,983,99235,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of moderate severity. Typically, 50 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,640,512,57.222,620.8,280.7145,531.2,531.2,531.2,531.2,267.12,129.115,287.3925,,,127.2054,127.2054,57.222,63.58,620.8,277.7364,Pioneer_Medical_Center
1500628,ADMIT/DC SAME DAY OBS LEVEL 3,ProFee,983,99236,"Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually the presenting problem(s) requiring admission are of high severity. Typically, 55 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,788,630.4,55.689,764.36,361.339,654.04,654.04,654.04,654.04,343.84,56.525,369.935,,,55.689,55.689,112.8834,125.426,764.36,356.5905,Pioneer_Medical_Center
1500701,SCHOOL PHYSICAL AGES 5-11,ProFee,983,99393,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, established patient; late childhood (age 5 through 11 years)",,0,30,24,12,131.9475,128.8815,24.9,24.9,24.9,24.9,122.64,58.905,131.9475,,,58.0338,58.0338,78.5502,87.278,29.1,12,Pioneer_Medical_Center
1500727,SCHOOL PHYSICAL AGES 18-39,ProFee,983,99395,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, established patient; 18-39 years",,0,30,24,12,153.6375,150.0675,24.9,24.9,24.9,24.9,142.8,44.625,153.6375,,,43.965,43.965,27.0504,30.056,29.1,12,Pioneer_Medical_Center
1500735,EXCISION MALIGNANT LESION,ProFee,983,11624,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm",,0,1024,819.2,30.24,993.28,403.1225,849.92,849.92,849.92,849.92,30.24,728.875,32.535,,,718.095,718.095,101.439,112.71,993.28,399.8938,Pioneer_Medical_Center
1501105,CLINIC DTAP (TRIPEDIA/DAPTACEL),ProFee,983,90700,"Diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP), when administered to individuals younger than 7 years, for intramuscular use",,0,44,35.2,17.6,419.34,,36.52,36.52,36.52,36.52,389.76,37.4,419.34,,,0,0,28.6,33,42.68,17.6,Pioneer_Medical_Center
1501113,CLINIC POLIO  (IPOL),ProFee,983,90713,"Poliovirus vaccine, inactivated (IPV), for subcutaneous or intramuscular use",,0,56,44.8,22.4,402.47,,46.48,46.48,46.48,46.48,374.08,47.6,402.47,,,0,0,36.4,42,54.32,22.4,Pioneer_Medical_Center
1501121,CLINIC HIB/HEP B,ProFee,983,90747,"Hepatitis B vaccine (HepB), dialysis or immunosuppressed patient dosage, 4 dose schedule, for intramuscular use",,0,96,76.8,38.4,93.12,,79.68,79.68,79.68,79.68,42,81.6,45.1875,,,0,0,62.4,72,93.12,38.4,Pioneer_Medical_Center
1501139,EXC MALIGNANT LESION <.5CM,ProFee,983,11600,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.5 cm or less",,0,580,464,109.2,1070.405,203.621,481.4,481.4,481.4,481.4,109.2,1070.405,117.4875,,,1054.5738,1054.5738,890.5824,989.536,562.6,206.202,Pioneer_Medical_Center
1501147,PMC PROCTOSIGMOID WITH POLYPECTOMY,ProFee,983,45308,"Proctosigmoidoscopy, rigid; with removal of single tumor, polyp, or other lesion by hot biopsy forceps or bipolar cautery",,0,673,538.4,142.9523,2935.73,143.594,558.59,558.59,558.59,558.59,509.6,2935.73,548.275,,,2892.3108,2892.3108,1359.8028,1510.892,652.81,142.9523,Pioneer_Medical_Center
1501154,INCISION/DRAINAGE TOOTH ABSCESS,ProFee,983,41800,"Drainage of abscess, cyst, hematoma from dentoalveolar structures",,0,835,668,256.276,2212.584,257.1745,693.05,693.05,693.05,693.05,2052.96,2090.83,2208.765,,,2059.9068,2059.9068,1991.3256,2212.584,809.95,256.276,Pioneer_Medical_Center
1501162,PMC SIGMOIDOSCOPY ABLATION OF TUM,ProFee,983,45339,,,0,658,526.4,263.2,638.26,0,546.14,546.14,546.14,546.14,0,0,0,,,0,0,0,0,638.26,263.2,Pioneer_Medical_Center
1501170,FRACTURE CARE ULNAR SHAFT,ProFee,983,25530,Closed treatment of ulnar shaft fracture; without manipulation,,0,798,638.4,404.888,1788.22,404.888,662.34,662.34,662.34,662.34,1662.08,678.3,1788.22,,,0,0,518.7,598.5,774.06,406.415,Pioneer_Medical_Center
1501550,HOSPITAL ADMISSION - LEVEL 1,ProFee,987,99221,"Initial hospital care, per day, for the evaluation and management of a patient, which requires these 3 key components: A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission are of low severity. Typically, 30 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,307,245.6,42.2064,297.79,169.488,254.81,254.81,254.81,254.81,161.28,42.84,173.52,,,42.2064,42.2064,242.9334,269.926,297.79,179.0522,Pioneer_Medical_Center
1501576,CLINIC DERMABOND,ProFee,983,A4550,Surgical trays,,0,121,96.8,48.4,117.37,,100.43,100.43,100.43,100.43,96.8,102.85,102.85,,,0,0,78.65,90.75,117.37,48.4,Pioneer_Medical_Center
1501600,HOSPITAL ADMISSION - LEVEL 2,ProFee,987,99222,"Initial hospital care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission are of moderate severity. Typically, 50 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,438,350.4,37.4544,424.86,228.9265,363.54,363.54,363.54,363.54,217.84,50.575,234.3725,,,49.827,49.827,37.4544,41.616,424.86,226.0985,Pioneer_Medical_Center
1501659,HOSPITAL ADMISSION - LEVEL 3,ProFee,987,99223,"Initial hospital care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission are of high severity. Typically, 70 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,614,491.2,28.7238,595.58,336.0335,509.62,509.62,509.62,509.62,319.76,29.155,344.0275,,,28.7238,28.7238,44.217,49.13,595.58,332.8178,Pioneer_Medical_Center
1501709,HOSPITAL VISIT - LEVEL 1,ProFee,987,99231,"Subsequent hospital care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: A problem focused interval history; A problem focused examination; Medical decision making that is straightforward or of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is stable, recovering or improving. Typically, 15 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,157,125.6,41.616,152.29,65.3235,130.31,130.31,130.31,130.31,62.16,54.74,66.8775,,,53.9304,53.9304,41.616,46.24,152.29,63.782,Pioneer_Medical_Center
1501717,INJECTION TENDON,ProFee,983,20550,"Injection(s); single tendon sheath, or ligament, aponeurosis (eg, plantar ""fascia"")",,0,218,174.4,66.0612,1395.9925,66.5005,180.94,180.94,180.94,180.94,1297.52,1288.175,1395.9925,,,1269.123,1269.123,1189.1772,1321.308,211.46,66.0612,Pioneer_Medical_Center
1501725,LAC REPAIR <2.5CM INT,ProFee,983,12031,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.5 cm or less",,0,714,571.2,255.0783,1618.9175,256.586,592.62,592.62,592.62,592.62,1504.72,1122.765,1618.9175,,,1106.1594,1106.1594,597.1896,663.544,692.58,255.0783,Pioneer_Medical_Center
1501733,PMC REPLACEMENT CENTRAL VENOUS CATH,ProFee,983,36580,"Replacement, complete, of a non-tunneled centrally inserted central venous catheter, without subcutaneous port or pump, through same venous access",,0,656,524.8,112.4035,636.32,112.4035,544.48,544.48,544.48,544.48,162.4,154.7,174.725,,,152.412,152.412,126.9288,141.032,636.32,373.1931,Pioneer_Medical_Center
1501758,HOSPITAL VISIT - LEVEL 2,ProFee,983,99232,"Subsequent hospital care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: An expanded problem focused interval history; An expanded problem focused examination; Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is responding inadequately to therapy or has developed a minor complication. Typically, 25 minutes are spent at the bedside and on the patient's hospital floor or unit.",,0,222,177.6,47.8584,215.34,120.054,184.26,184.26,184.26,184.26,114.24,120.785,122.91,,,118.9986,118.9986,47.8584,53.176,215.34,119.4458,Pioneer_Medical_Center
1501766,PROLONGED SERVICES INPATIENT,ProFee,983,99358,Prolonged evaluation and management service before and/or after direct patient care; first hour,,0,344,275.2,66.5856,333.68,185.3775,285.52,285.52,285.52,285.52,176.4,166.005,189.7875,,,163.5498,163.5498,66.5856,73.984,333.68,185.5568,Pioneer_Medical_Center
1501774,PROLONGED SERVICES IP ADD 30 MINUTE,ProFee,983,99359,Prolonged evaluation and management service before and/or after direct patient care; each additional 30 minutes (List separately in addition to code for prolonged service),,0,166,132.8,86.24,161.262,90.629,137.78,137.78,137.78,137.78,86.24,122.57,92.785,,,120.7572,120.7572,145.1358,161.262,161.02,93.7766,Pioneer_Medical_Center
