DESCRIPTION,CDM,PRICE,hospital
SHOULDER COMPLETE,1400654,284.38,Beartooth_Billings_Clinic
SI JOINTS,1400662,311.13,Beartooth_Billings_Clinic
SINUSES COMPLETE,1400670,283.2,Beartooth_Billings_Clinic
SINUSES LTD,1400688,205.18,Beartooth_Billings_Clinic
SKULL COMP,1400696,411.79,Beartooth_Billings_Clinic
SKULL LTD,1400704,311.13,Beartooth_Billings_Clinic
SPINE 1 VIEW,1400712,266.51,Beartooth_Billings_Clinic
STERNUM,1400720,187.87,Beartooth_Billings_Clinic
"T-SPINE COMP, 2 VIEWS",1400738,311.13,Beartooth_Billings_Clinic
TIB/FIB,1400746,273.88,Beartooth_Billings_Clinic
TOES,1400753,271.2,Beartooth_Billings_Clinic
WRIST COMPLETE,1400811,279.23,Beartooth_Billings_Clinic
WRIST LTD,1400829,239.78,Beartooth_Billings_Clinic
KNEE 1 OR 2 VIEWS,1400860,262.44,Beartooth_Billings_Clinic
L-S SPINE W/FL/EXT,1400878,361.89,Beartooth_Billings_Clinic
RIBS BILATERAL,1400886,331.87,Beartooth_Billings_Clinic
RIBS UNILATERAL,1400894,237.0,Beartooth_Billings_Clinic
KNEE BILATERAL STANDING,1401017,239.78,Beartooth_Billings_Clinic
KNEE 3 VIEWS,1401025,262.44,Beartooth_Billings_Clinic
KNEE COMPLETE 4 OR MORE VIEWS,1401033,227.6,Beartooth_Billings_Clinic
XR L SPINE AP/LAT/FLEX/EXT,1401058,354.94,Beartooth_Billings_Clinic
XR LOWER EXTREMITY INFANT,1401066,187.87,Beartooth_Billings_Clinic
ORBITS FOR MRI,1401082,200.9,Beartooth_Billings_Clinic
CHEST 2V WITH OBLIQUES,1401090,290.61,Beartooth_Billings_Clinic
XR THORACOLUMBAR 2 VIEWS,1401108,281.14,Beartooth_Billings_Clinic
XR NOSE TO RECTUM/CHILD,1401116,593.19,Beartooth_Billings_Clinic
TMJ UNILATERAL,1401124,281.14,Beartooth_Billings_Clinic
XR HIP UNI 1 VIEW W/PELVIS,1401140,324.45,Beartooth_Billings_Clinic
XR FEMUR 1 VIEW,1401157,257.5,Beartooth_Billings_Clinic
XR FEMUR 2 OR MORE VIEWS,1401165,270.53,Beartooth_Billings_Clinic
SI JOINTS COMPLETE,1401173,243.0,Beartooth_Billings_Clinic
XR HIP BILAT 3/4 VIEW W/PELVIS WHEN,1401181,340.0,Beartooth_Billings_Clinic
CSPINE W/OBLIQUES&FLEX/EXTEND,1401199,398.0,Beartooth_Billings_Clinic
CHEST 1V,1401200,243.7,Beartooth_Billings_Clinic
CHEST 2V,1401201,269.19,Beartooth_Billings_Clinic
CHEST 3V,1401202,279.9,Beartooth_Billings_Clinic
CHEST 4+V,1401203,290.61,Beartooth_Billings_Clinic
ABDOMEN 1V,1401204,354.22,Beartooth_Billings_Clinic
ABDOMEN 2V,1401205,365.63,Beartooth_Billings_Clinic
ABDOMEN 3V,1401206,377.03,Beartooth_Billings_Clinic
EKG - 12 LEAD,1500016,280.1,Beartooth_Billings_Clinic
CT ABDOMEN UPPER W & W/O CONTRAST,1600006,2397.65,Beartooth_Billings_Clinic
CT ABDOMEN UPPER W/CONTRAST,1600014,1899.45,Beartooth_Billings_Clinic
CT ABDOMEN UPPER W/O CONTRAST,1600022,1772.6,Beartooth_Billings_Clinic
CT C SPINE W/CONTRAST,1600030,2148.05,Beartooth_Billings_Clinic
CT C SPINE W/O CONTRAST,1600048,1866.8,Beartooth_Billings_Clinic
CT CHEST W/CONTRAST,1600055,2114.0,Beartooth_Billings_Clinic
CT CHEST W/O CONTRAST,1600063,1820.8,Beartooth_Billings_Clinic
CT EXT LOWER W/CONTRAST L,1600097,1710.75,Beartooth_Billings_Clinic
CT EXT LOW W/O CONTRAST,1600113,1618.95,Beartooth_Billings_Clinic
CT EXT UPPER W/CONTRAST L,1600154,1710.75,Beartooth_Billings_Clinic
CT EXT UPP W/O CONTRAST L,1600170,1597.55,Beartooth_Billings_Clinic
CT HEAD W & W/O CONTRAST,1600196,2038.6,Beartooth_Billings_Clinic
CT HEAD W/CONTRAST,1600204,1775.75,Beartooth_Billings_Clinic
CT HEAD W/O CONTRAST,1600212,1597.55,Beartooth_Billings_Clinic
CT L SPINE W/CONTRAST,1600220,2149.85,Beartooth_Billings_Clinic
CT L SPINE W/O CONTRAST,1600238,1866.8,Beartooth_Billings_Clinic
CT MAXILLOFACIAL W/CONTRAST,1600253,1775.75,Beartooth_Billings_Clinic
CT MAXILLOFACIAL W/O CONTRAST,1600261,1538.35,Beartooth_Billings_Clinic
CT ORBITS W/CONTRAST,1600279,1775.75,Beartooth_Billings_Clinic
CT ORBITS W/O CONTRAST,1600287,1538.35,Beartooth_Billings_Clinic
CT PELVIS W/CONTRAST,1600303,2044.15,Beartooth_Billings_Clinic
CT PELVIS W/O CONTRAST,1600311,1618.1,Beartooth_Billings_Clinic
CT SINUS LIMITED,1600329,846.35,Beartooth_Billings_Clinic
CT SOFT TISSUE NECK W/CONTRAST,1600337,1932.45,Beartooth_Billings_Clinic
CT SOFT TISSUE NECK W/O CONTRAST,1600345,1597.55,Beartooth_Billings_Clinic
CT T SPINE W/CONTRAST,1600352,2149.85,Beartooth_Billings_Clinic
CT T SPINE W/O CONTRAST,1600360,1866.8,Beartooth_Billings_Clinic
CT CHEST W & W/O CONTRAST,1600394,2227.85,Beartooth_Billings_Clinic
RAD IOPAMIDOL 76% 100ML,1600436,71.15,Beartooth_Billings_Clinic
CT PELVIS W OR W/O CONTRAST,1600444,1998.6,Beartooth_Billings_Clinic
CT ABDOMEN & PELV W&W/O CONTRAST,1600451,2412.2,Beartooth_Billings_Clinic
CT ABDOMEN & PELVIS W/CONTRAST,1600469,2618.95,Beartooth_Billings_Clinic
CT IVP WITHOUT & WITH CONTRAST,1600477,2963.55,Beartooth_Billings_Clinic
CT ABD PEL W/W/O CON IN 1 OR BOTH,1600485,2963.55,Beartooth_Billings_Clinic
RAD IOPAMIDOL 76% 150ML,1600493,100.3,Beartooth_Billings_Clinic
CT CHEST ANGIO PE PROTOCOL,1600501,2177.8,Beartooth_Billings_Clinic
CT ABD/PEL ANGIO,1600535,2618.95,Beartooth_Billings_Clinic
CT ABDOMEN ANGIO W/CONTRAST,1600543,1899.45,Beartooth_Billings_Clinic
CT HEAD ANGIO,1600550,1775.75,Beartooth_Billings_Clinic
CT NECK ANGIO,1600568,1932.45,Beartooth_Billings_Clinic
CT ABD/PEL/LE VENO W,1600576,3609.9,Beartooth_Billings_Clinic
CT ABD/PEL WO,1600584,2199.5,Beartooth_Billings_Clinic
CT CHEST WO/W,1600592,2120.0,Beartooth_Billings_Clinic
CT LOW DOSE LUNG SCREENING,1600600,144.15,Beartooth_Billings_Clinic
CT MAXOFACIAL WO/W,1600601,1775.0,Beartooth_Billings_Clinic
PNEUMOCOCCAL VAC HOME CARE,1705441,28.9,Beartooth_Billings_Clinic
ADM IMM 90471,1706738,31.0,Beartooth_Billings_Clinic
ADMIN OF FLU VACCINE,1755222,31.0,Beartooth_Billings_Clinic
ADMINISTRATION OF PNEUMOCOCAL VACC,1755230,30.1,Beartooth_Billings_Clinic
ADMINISTRATION OF HEPATITIS B VACC,1755248,30.1,Beartooth_Billings_Clinic
IMMUNIZATION ADMIN EACH ADD'L VACC,1755263,31.9,Beartooth_Billings_Clinic
LOSARTAN TAB 100MG,1755365,1.55,Beartooth_Billings_Clinic
PT EVALUATION,2000016,247.7,Beartooth_Billings_Clinic
PT RE-EVALUATION,2000024,133.65,Beartooth_Billings_Clinic
BIO FEEDBACK,2000131,121.25,Beartooth_Billings_Clinic
APPL SURFACE STIM (TENS),2000149,52.6,Beartooth_Billings_Clinic
AQUATIC THERAPY,2000156,136.8,Beartooth_Billings_Clinic
ELEC STIM-UNATTENDED,2000222,45.6,Beartooth_Billings_Clinic
ELEC STIM-MANUAL PER 15 MINUTES,2000230,63.05,Beartooth_Billings_Clinic
GAIT TRAINING PER 15 MINUTES,2000248,90.55,Beartooth_Billings_Clinic
IONTOPHORESIS PER 15 MINUTES,2000289,83.8,Beartooth_Billings_Clinic
MANUAL THERAPY PER 15 MINUTES,2000297,102.65,Beartooth_Billings_Clinic
NEUROMUSCULAR RE-ED PER 15 MINUTES,2000347,126.05,Beartooth_Billings_Clinic
NON-SELECTIVE DEBRIDEMENT,2000354,185.7,Beartooth_Billings_Clinic
"ORTHOTICS, F & T PER 15 MINUTES",2000362,121.25,Beartooth_Billings_Clinic
ORTHOTIC/PROSTHETIC CH/OUT,2000370,151.45,Beartooth_Billings_Clinic
PARAFFIN BATH,2000388,35.25,Beartooth_Billings_Clinic
PROSTHETIC TRAINING PER 15 MINUTES,2000404,109.7,Beartooth_Billings_Clinic
SELECT WND DEBRIDEMENT 1ST 20CM/LES,2000412,322.45,Beartooth_Billings_Clinic
THERAPEUTIC ACTIVITIES PER 15 MINUT,2000446,110.85,Beartooth_Billings_Clinic
THERAPEUTIC EXERCISE PER 15 MINUTES,2000453,112.6,Beartooth_Billings_Clinic
"TRACTION,MECHANICAL",2000487,51.05,Beartooth_Billings_Clinic
ULTRASOUND PER 15 MINUTES,2000529,42.15,Beartooth_Billings_Clinic
WHEELCHAIR MNGMNT TRAIN PER 15 MINU,2000552,108.3,Beartooth_Billings_Clinic
SELECT WND DEBRIDEMENT EA ADD 20SCM,2001006,98.8,Beartooth_Billings_Clinic
EPLEY MANEUVER,2001014,138.65,Beartooth_Billings_Clinic
APP MULTILAYER COMP SYS BELOW KNEE,2001220,250.55,Beartooth_Billings_Clinic
BI APP MULTILAY COMP SYS BLW KNEE,2001238,285.95,Beartooth_Billings_Clinic
INITIAL EVALUATION LOW COMPLEXITY,2001246,247.7,Beartooth_Billings_Clinic
INITIAL EVAL MODERATE COMPLEXITY,2001253,247.7,Beartooth_Billings_Clinic
INITIAL EVALUATION HIGH COMPLEXITY,2001261,247.7,Beartooth_Billings_Clinic
REEVALUATION OF PHYSICAL THERAPY,2001279,133.75,Beartooth_Billings_Clinic
NEG PRESSURE TX >50SQ CM 97606,2003267,258.65,Beartooth_Billings_Clinic
NEG PRESSURE TX <50 SQ CM 97605,2003275,185.7,Beartooth_Billings_Clinic
UNATTENDED E-STIM 97014,2003283,45.6,Beartooth_Billings_Clinic
PT EVALUATION,2100014,247.7,Beartooth_Billings_Clinic
PT RE-EVALUATION,2100022,133.65,Beartooth_Billings_Clinic
CEDARWOOD HEALTHCARE CONTRACT/HOUR,2100113,78.8,Beartooth_Billings_Clinic
BIO FEEDBACK,2100139,121.25,Beartooth_Billings_Clinic
APPL SURFACE STIM (TENS),2100147,52.6,Beartooth_Billings_Clinic
AQUATIC THERAPY,2100154,136.8,Beartooth_Billings_Clinic
ELEC STIM- UNATTENDED,2100220,45.6,Beartooth_Billings_Clinic
ELEC STIM-MANUAL PER 15 MINUTES,2100238,63.05,Beartooth_Billings_Clinic
GAIT TRAINING PER 15 MINUTES,2100246,90.55,Beartooth_Billings_Clinic
IONTOPHORESIS PER 15 MINUTES,2100287,83.8,Beartooth_Billings_Clinic
MANUAL THERAPY PER 15 MINUTES,2100295,102.7,Beartooth_Billings_Clinic
NEUROMUSCULAR RE-ED PER 15 MINUTES,2100345,126.05,Beartooth_Billings_Clinic
NON-SELECTIVE DEBRIDEMENT,2100352,185.7,Beartooth_Billings_Clinic
"ORTHOTICS, F & T PER 15 MINUTES",2100360,121.25,Beartooth_Billings_Clinic
ORTHOTIC/PROSTHETIC CH/OUT PER 15MI,2100378,151.45,Beartooth_Billings_Clinic
PROSTHETIC TRAINING PER 15 MINUTES,2100402,109.7,Beartooth_Billings_Clinic
SELECT WND DEBRIDEMENT 1ST 20CM/LES,2100410,322.45,Beartooth_Billings_Clinic
THERAPEUTIC ACTIVITIES PER 15 MINUT,2100444,110.85,Beartooth_Billings_Clinic
THERAPEUTIC EXERCISE PER 15 MINUTES,2100451,112.6,Beartooth_Billings_Clinic
"TRACTION, MECHANICAL",2100485,51.05,Beartooth_Billings_Clinic
ULTRASOUND PER 15 MINUTES,2100527,42.15,Beartooth_Billings_Clinic
WHEELCHAIR MNGMNT TRAIN PER 15 MINU,2100550,108.3,Beartooth_Billings_Clinic
WHIRLPOOL,2100568,74.7,Beartooth_Billings_Clinic
SELECT WND DEBRIDEMENT EA ADD20SQCM,2101012,98.8,Beartooth_Billings_Clinic
EPLEY MANEUVER,2101020,138.65,Beartooth_Billings_Clinic
APP MULTILAYER COMP SYS BELOW KNEE,2101228,250.55,Beartooth_Billings_Clinic
BIL APP MULTILAY COMP SYS BEL KNEE,2101236,375.8,Beartooth_Billings_Clinic
NEG PRS WOUND TX 97606 ADD>50 SQ CM,2103265,371.4,Beartooth_Billings_Clinic
NEG PRS WOUND TX 97605 ADD<50 SQ CM,2103273,185.7,Beartooth_Billings_Clinic
UNATTENDED E-STIM 97014,2103281,45.6,Beartooth_Billings_Clinic
INITIAL EVAL LOW COMPLEXITY,2103299,247.7,Beartooth_Billings_Clinic
INITIAL EVAL MODERATE COMPLEXITY,2103307,247.7,Beartooth_Billings_Clinic
INITIAL EVAL HIGH COMPLEXITY,2103315,247.7,Beartooth_Billings_Clinic
REEVALUATION OF PHYSICAL THERAPY,2103323,133.75,Beartooth_Billings_Clinic
SKIN SUB APP 0-25CM SQ,2103330,291.4,Beartooth_Billings_Clinic
SKIN SUB APP 25-75CM SQ,2103331,291.4,Beartooth_Billings_Clinic
"SKIN SUB:FACE,SCALP,ETC 0-100SQ CM",2103332,291.4,Beartooth_Billings_Clinic
"SKIN SUB:FACE,SCALP,ETC ADD 25SQ CM",2103333,291.4,Beartooth_Billings_Clinic
PALINGEN PER SQ CM,2103334,261.65,Beartooth_Billings_Clinic
CEDARWOOD HEALTHCARE CONTRACT/HOUR,2200020,80.9,Beartooth_Billings_Clinic
COGNITIVE SKILLS DEVELOP PER 15 MIN,2200038,84.85,Beartooth_Billings_Clinic
COMMUNITY/WORK REINTEGRAT PER 15MIN,2200046,96.45,Beartooth_Billings_Clinic
CONTRAST BATH PER 15 MINUTES,2200061,57.8,Beartooth_Billings_Clinic
ELEC STIM - MANUAL PER 15 MINUTES,2200129,61.2,Beartooth_Billings_Clinic
ELEC STIM- UNATTENDED,2200137,44.25,Beartooth_Billings_Clinic
MANUAL THERAPY PER 15 MINUTES,2200251,95.05,Beartooth_Billings_Clinic
MASSAGE,2200269,101.7,Beartooth_Billings_Clinic
NEUROMUSCULAR RE-ED PER 15 MINUTES,2200301,126.05,Beartooth_Billings_Clinic
"ORTHOTICS, F & T PER 15 MINUTES",2200335,121.25,Beartooth_Billings_Clinic
ORTHOTIC/PROSTHETIC CH/OUT PER15MIN,2200343,151.45,Beartooth_Billings_Clinic
OT EVALUATION,2200350,271.0,Beartooth_Billings_Clinic
OT RE-EVALUATION,2200368,167.55,Beartooth_Billings_Clinic
PARAFFIN BATH,2200384,35.25,Beartooth_Billings_Clinic
PROSTHETIC TRAINING PER 15 MINUTES,2200392,109.7,Beartooth_Billings_Clinic
SELF CARE/HOME MANAGE (ADL)PER 15 M,2200442,116.9,Beartooth_Billings_Clinic
SENSORY INTEGRATIVE TECH PER 15 MIN,2200459,92.75,Beartooth_Billings_Clinic
THERAPEUTIC ACTIVITIES PER 15 MINUT,2200566,110.85,Beartooth_Billings_Clinic
THERAPEUTIC EXERCISE PER 15 MINUTES,2200574,103.15,Beartooth_Billings_Clinic
ULTRASOUND PER 15 MINUTES,2200608,40.9,Beartooth_Billings_Clinic
WHEELCHAIR MNGMENT TRAIN PER 15 MIN,2200707,108.3,Beartooth_Billings_Clinic
FLUIDOTHERAPY,2200764,74.75,Beartooth_Billings_Clinic
COGNITIVE TRTMENT/RETRAINING G0515,2200766,84.85,Beartooth_Billings_Clinic
UNATTENDED E-STIM 97014,2203289,45.6,Beartooth_Billings_Clinic
OT EVALUATION LOW COMPLEXITY,2203297,271.0,Beartooth_Billings_Clinic
OT EVALUATION MODERATE COMPLEXITY,2203305,271.0,Beartooth_Billings_Clinic
OT EVALUATION HIGH COMPLEXITY,2203313,271.0,Beartooth_Billings_Clinic
OT REEVALUATION,2203321,167.55,Beartooth_Billings_Clinic
CARDIAC REHAB PHASE II,2300085,268.8,Beartooth_Billings_Clinic
CARDIAC REHAB UNMONITORED SESSION,2300093,134.45,Beartooth_Billings_Clinic
SUPERVISED EXER PHASE IV MONTHLY,2300101,80.0,Beartooth_Billings_Clinic
CARDIOVASCULAR STRESS TEST,2300127,502.25,Beartooth_Billings_Clinic
TOBACCO CESSATION (PER SESSION),2300424,42.75,Beartooth_Billings_Clinic
FEELING FIT EXERCISE CLASS 6 WKS,2300473,267.85,Beartooth_Billings_Clinic
SPIROMETRY-BABD TECHNICAL 94060 TC,2300523,347.25,Beartooth_Billings_Clinic
SPIROMETRY TECHNICAL 94010 TC,2300549,204.45,Beartooth_Billings_Clinic
ASSESSMENT OF APHASIA,2400018,354.3,Beartooth_Billings_Clinic
EVAL SPEECH FLUENCY,2400026,354.45,Beartooth_Billings_Clinic
COGNITIVE SKILLS DEVELOPMENT,2400042,84.85,Beartooth_Billings_Clinic
CLINICAL EVALUATION SWALLOWING,2400059,462.25,Beartooth_Billings_Clinic
BEHAV QUAL ANALYSIS VOICE,2400067,295.9,Beartooth_Billings_Clinic
COGNITIVE PERFORMANCE TESTING 60MIN,2400075,375.3,Beartooth_Billings_Clinic
EVAL SPEECH LANG COMP AND EXPRESS,2400141,443.1,Beartooth_Billings_Clinic
EVAL SPEECH PRODUCTION,2400166,354.45,Beartooth_Billings_Clinic
SPEECH/LANGUAGE THERAPY,2400216,210.8,Beartooth_Billings_Clinic
TREAT SWALLOWING DYSFUNCTION,2400265,275.5,Beartooth_Billings_Clinic
COGNITIVE TRTMENT/RETRAINING G0515,2400267,84.85,Beartooth_Billings_Clinic
CEDARWOOD HEALTHCARE CONTRACT/HOUR,2400299,80.9,Beartooth_Billings_Clinic
GAIT TRAINING PER 15 MINUTES,2600246,90.55,Beartooth_Billings_Clinic
MANUAL THERAPY PER 15 MINUTES,2600295,102.7,Beartooth_Billings_Clinic
NEUROMUSCULAR RE-ED PER 15 MINUTES,2600345,126.05,Beartooth_Billings_Clinic
NON-SELECTIVE DEBRIDEMENT,2600352,185.7,Beartooth_Billings_Clinic
SELECT WND DEBRIDEMENT 1ST 20CM/LES,2600410,322.45,Beartooth_Billings_Clinic
THERAPEUTIC ACTIVITIES PER 15 MINUT,2600444,110.85,Beartooth_Billings_Clinic
THERAPEUTIC EXERCISE PER 15 MINUTES,2600451,112.6,Beartooth_Billings_Clinic
SELECT WND DEBRIDEMENT EA ADD20SQCM,2601012,98.8,Beartooth_Billings_Clinic
APP MULTILAYER COMP SYS BELOW KNEE,2601228,250.55,Beartooth_Billings_Clinic
BIL APP MULTILAY COMP SYS BEL KNEE,2601236,375.8,Beartooth_Billings_Clinic
NEG PRS WOUND TX 97606 ADD>50 SQ CM,2603265,371.4,Beartooth_Billings_Clinic
NEG PRS WOUND TX 97605 ADD<50 SQ CM,2603273,185.7,Beartooth_Billings_Clinic
INITIAL EVAL LOW COMPLEXITY,2603299,247.7,Beartooth_Billings_Clinic
INITIAL EVAL MODERATE COMPLEXITY,2603307,247.7,Beartooth_Billings_Clinic
INITIAL EVAL HIGH COMPLEXITY,2603315,247.7,Beartooth_Billings_Clinic
REEVALUATION OF PHYSICAL THERAPY,2603323,133.75,Beartooth_Billings_Clinic
SKIN SUB APP 0-25CM SQ,2603330,291.4,Beartooth_Billings_Clinic
SKIN SUB APP 25-75CM SQ,2603331,291.4,Beartooth_Billings_Clinic
"SKIN SUB:FACE,SCALP,ETC 0-100SQ CM",2603332,291.4,Beartooth_Billings_Clinic
"SKIN SUB:FACE,SCALP,ETC ADD 25SQ CM",2603333,291.4,Beartooth_Billings_Clinic
PALINGEN PER SQ CM,2603334,261.65,Beartooth_Billings_Clinic
EGD W/SNARE TECHNIQUE,3200078,1931.0,Beartooth_Billings_Clinic
EGD WITH BIOPSY,3200086,1107.5,Beartooth_Billings_Clinic
EGD WITH HOT BIOPSY,3200094,1107.5,Beartooth_Billings_Clinic
FLEXIBLE SIGMOID WITH HOT BIOPSY,3200110,1571.0,Beartooth_Billings_Clinic
FLEX SIG W/SNARE POLYPECTOMY,3200128,1686.85,Beartooth_Billings_Clinic
EGD,3200177,903.05,Beartooth_Billings_Clinic
FLEXIBLE SIGMOIDOSCOPY WITH BIOPSY,3200219,1571.0,Beartooth_Billings_Clinic
