MSDRG,MSDRGDSC,lookup,Average Facility Charges,hospital
87,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",87 Average,17622.686505205456,The_Billings_Clinic
88,CONCUSSION W MCC,88 Average,13734.0,The_Billings_Clinic
91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,91 Average,26495.637288134345,The_Billings_Clinic
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,92 Average,12540.098563362364,The_Billings_Clinic
93,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,93 Average,10860.120213506583,The_Billings_Clinic
94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,94 Average,53224.62385348887,The_Billings_Clinic
95,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,95 Average,55290.38069798485,The_Billings_Clinic
96,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,96 Average,62272.0,The_Billings_Clinic
97,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,97 Average,28695.44826976103,The_Billings_Clinic
98,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,98 Average,15095.364899604343,The_Billings_Clinic
99,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,99 Average,22756.188597817512,The_Billings_Clinic
100,SEIZURES W MCC,100 Average,22417.563053982354,The_Billings_Clinic
101,SEIZURES W/O MCC,101 Average,12921.171236959735,The_Billings_Clinic
102,HEADACHES W MCC,102 Average,23324.0,The_Billings_Clinic
103,HEADACHES W/O MCC,103 Average,11921.112443383212,The_Billings_Clinic
114,ORBITAL PROCEDURES W/O CC/MCC,114 Average,22939.25,The_Billings_Clinic
115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,115 Average,18518.83992873064,The_Billings_Clinic
117,INTRAOCULAR PROCEDURES W/O CC/MCC,117 Average,27205.481,The_Billings_Clinic
121,ACUTE MAJOR EYE INFECTIONS W CC/MCC,121 Average,10668.855027431393,The_Billings_Clinic
122,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,122 Average,7933.82,The_Billings_Clinic
123,NEUROLOGICAL EYE DISORDERS,123 Average,15200.215876846467,The_Billings_Clinic
125,OTHER DISORDERS OF THE EYE W/O MCC,125 Average,12016.717597695359,The_Billings_Clinic
129,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,129 Average,19713.280324055744,The_Billings_Clinic
130,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,130 Average,37838.09660930106,The_Billings_Clinic
131,CRANIAL/FACIAL PROCEDURES W CC/MCC,131 Average,29773.023503368953,The_Billings_Clinic
132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,132 Average,34080.97720211493,The_Billings_Clinic
133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",133 Average,22855.369637149648,The_Billings_Clinic
134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",134 Average,18579.80616918835,The_Billings_Clinic
135,SINUS & MASTOID PROCEDURES W CC/MCC,135 Average,19076.85,The_Billings_Clinic
137,MOUTH PROCEDURES W CC/MCC,137 Average,13772.731216822427,The_Billings_Clinic
138,MOUTH PROCEDURES W/O CC/MCC,138 Average,11288.63889049517,The_Billings_Clinic
146,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",146 Average,26632.972609154993,The_Billings_Clinic
147,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",147 Average,7190.604703361185,The_Billings_Clinic
149,DYSEQUILIBRIUM,149 Average,14570.224739565137,The_Billings_Clinic
151,EPISTAXIS W/O MCC,151 Average,7950.0,The_Billings_Clinic
152,OTITIS MEDIA & URI W MCC,152 Average,13322.04901616832,The_Billings_Clinic
153,OTITIS MEDIA & URI W/O MCC,153 Average,7194.515406443462,The_Billings_Clinic
154,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",154 Average,10815.072389686473,The_Billings_Clinic
155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",155 Average,10981.140963387912,The_Billings_Clinic
156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",156 Average,7471.531663794441,The_Billings_Clinic
157,DENTAL & ORAL DISEASES W MCC,157 Average,37092.48795479363,The_Billings_Clinic
158,DENTAL & ORAL DISEASES W CC,158 Average,10396.499444041574,The_Billings_Clinic
159,DENTAL & ORAL DISEASES W/O CC/MCC,159 Average,9161.37130724613,The_Billings_Clinic
163,MAJOR CHEST PROCEDURES W MCC,163 Average,57431.91483186437,The_Billings_Clinic
164,MAJOR CHEST PROCEDURES W CC,164 Average,34155.851057879154,The_Billings_Clinic
165,MAJOR CHEST PROCEDURES W/O CC/MCC,165 Average,32915.22546580333,The_Billings_Clinic
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,166 Average,38758.257957294634,The_Billings_Clinic
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,167 Average,27614.593309976135,The_Billings_Clinic
168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,168 Average,22668.021424963685,The_Billings_Clinic
175,PULMONARY EMBOLISM W MCC OR ACUTE COR PULMONALE,175 Average,17265.87379891409,The_Billings_Clinic
176,PULMONARY EMBOLISM W/O MCC,176 Average,9990.70534825298,The_Billings_Clinic
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177 Average,20917.793885501567,The_Billings_Clinic
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178 Average,22322.252941573486,The_Billings_Clinic
179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,179 Average,26441.273933039876,The_Billings_Clinic
180,RESPIRATORY NEOPLASMS W MCC,180 Average,24485.64399952463,The_Billings_Clinic
181,RESPIRATORY NEOPLASMS W CC,181 Average,19097.008585793996,The_Billings_Clinic
182,RESPIRATORY NEOPLASMS W/O CC/MCC,182 Average,27819.766380067278,The_Billings_Clinic
183,MAJOR CHEST TRAUMA W MCC,183 Average,30361.343295230654,The_Billings_Clinic
184,MAJOR CHEST TRAUMA W CC,184 Average,22399.552683621503,The_Billings_Clinic
185,MAJOR CHEST TRAUMA W/O CC/MCC,185 Average,16393.97458101016,The_Billings_Clinic
186,PLEURAL EFFUSION W MCC,186 Average,18045.936221732143,The_Billings_Clinic
187,PLEURAL EFFUSION W CC,187 Average,13245.99781065964,The_Billings_Clinic
188,PLEURAL EFFUSION W/O CC/MCC,188 Average,8263.36834269904,The_Billings_Clinic
189,PULMONARY EDEMA & RESPIRATORY FAILURE,189 Average,14538.40060443263,The_Billings_Clinic
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190 Average,13259.184733541691,The_Billings_Clinic
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191 Average,11578.878292482173,The_Billings_Clinic
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192 Average,6952.058806001681,The_Billings_Clinic
193,SIMPLE PNEUMONIA & PLEURISY W MCC,193 Average,15135.802356184895,The_Billings_Clinic
194,SIMPLE PNEUMONIA & PLEURISY W CC,194 Average,11180.620231774115,The_Billings_Clinic
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195 Average,7867.772905707749,The_Billings_Clinic
196,INTERSTITIAL LUNG DISEASE W MCC,196 Average,21407.129049192226,The_Billings_Clinic
197,INTERSTITIAL LUNG DISEASE W CC,197 Average,18583.221146209362,The_Billings_Clinic
199,PNEUMOTHORAX W MCC,199 Average,14731.999433685398,The_Billings_Clinic
200,PNEUMOTHORAX W CC,200 Average,13359.83997957742,The_Billings_Clinic
201,PNEUMOTHORAX W/O CC/MCC,201 Average,10630.803317814449,The_Billings_Clinic
202,BRONCHITIS & ASTHMA W CC/MCC,202 Average,9919.007413342206,The_Billings_Clinic
203,BRONCHITIS & ASTHMA W/O CC/MCC,203 Average,7074.88622675145,The_Billings_Clinic
204,RESPIRATORY SIGNS & SYMPTOMS,204 Average,10281.59188437369,The_Billings_Clinic
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,205 Average,16035.30500025826,The_Billings_Clinic
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,206 Average,10459.816805677048,The_Billings_Clinic
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,207 Average,92910.66528832594,The_Billings_Clinic
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,208 Average,39881.98518442685,The_Billings_Clinic
215,OTHER HEART ASSIST SYSTEM IMPLANT,215 Average,157702.04602458738,The_Billings_Clinic
216,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,216 Average,193898.4181040291,The_Billings_Clinic
217,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,217 Average,147522.57717851188,The_Billings_Clinic
218,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC,218 Average,125006.83,The_Billings_Clinic
219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,219 Average,161548.64910495182,The_Billings_Clinic
220,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,220 Average,119832.84482019935,The_Billings_Clinic
221,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,221 Average,101241.01742127036,The_Billings_Clinic
222,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,222 Average,163818.13642564672,The_Billings_Clinic
223,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC,223 Average,147415.1,The_Billings_Clinic
224,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,224 Average,144275.3850604426,The_Billings_Clinic
225,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,225 Average,123160.42187417568,The_Billings_Clinic
226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,226 Average,118110.02081623909,The_Billings_Clinic
227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,227 Average,78538.78803466617,The_Billings_Clinic
228,OTHER CARDIOTHORACIC PROCEDURES W MCC,228 Average,114645.62427817401,The_Billings_Clinic
229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,229 Average,98292.74498992268,The_Billings_Clinic
231,CORONARY BYPASS W PTCA W MCC,231 Average,158464.23652485028,The_Billings_Clinic
232,CORONARY BYPASS W PTCA W/O MCC,232 Average,144867.65300450654,The_Billings_Clinic
233,CORONARY BYPASS W CARDIAC CATH W MCC,233 Average,141903.08628811748,The_Billings_Clinic
234,CORONARY BYPASS W CARDIAC CATH W/O MCC,234 Average,107044.11571769127,The_Billings_Clinic
235,CORONARY BYPASS W/O CARDIAC CATH W MCC,235 Average,110672.00184789453,The_Billings_Clinic
236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,236 Average,92835.04202483108,The_Billings_Clinic
239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,239 Average,57789.15011768005,The_Billings_Clinic
240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,240 Average,27911.726710934836,The_Billings_Clinic
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,242 Average,60107.17037126211,The_Billings_Clinic
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243 Average,43954.16597472206,The_Billings_Clinic
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244 Average,32975.59445934981,The_Billings_Clinic
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,246 Average,67251.15758998493,The_Billings_Clinic
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247 Average,47628.986011541325,The_Billings_Clinic
248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,248 Average,69348.86539826274,The_Billings_Clinic
249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249 Average,37315.82779465036,The_Billings_Clinic
250,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,250 Average,67111.75275196349,The_Billings_Clinic
251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251 Average,36941.8688818509,The_Billings_Clinic
252,OTHER VASCULAR PROCEDURES W MCC,252 Average,49724.94527694324,The_Billings_Clinic
253,OTHER VASCULAR PROCEDURES W CC,253 Average,46406.484248357796,The_Billings_Clinic
254,OTHER VASCULAR PROCEDURES W/O CC/MCC,254 Average,35798.359447534596,The_Billings_Clinic
255,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,255 Average,46574.05971696639,The_Billings_Clinic
256,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,256 Average,13441.414399578352,The_Billings_Clinic
258,CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC,258 Average,63769.8,The_Billings_Clinic
259,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,259 Average,55002.01,The_Billings_Clinic
260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,260 Average,43075.0,The_Billings_Clinic
261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,261 Average,31817.948929361653,The_Billings_Clinic
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,264 Average,70483.43457193361,The_Billings_Clinic
266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT & SUPPLEMENT PROCEDURES W MCC,266 Average,110932.16509375778,The_Billings_Clinic
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT & SUPPLEMENT PROCEDURES W/O MCC,267 Average,97353.11517735329,The_Billings_Clinic
268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,268 Average,126389.09770834111,The_Billings_Clinic
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,269 Average,71267.95344092557,The_Billings_Clinic
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,270 Average,77712.92710214626,The_Billings_Clinic
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,271 Average,50319.548722074775,The_Billings_Clinic
272,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,272 Average,33346.49426047338,The_Billings_Clinic
273,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,273 Average,76429.48582667303,The_Billings_Clinic
274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,274 Average,63638.7293793013,The_Billings_Clinic
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",280 Average,25623.89599596385,The_Billings_Clinic
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",281 Average,16544.841578630876,The_Billings_Clinic
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",282 Average,16948.196484661923,The_Billings_Clinic
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC",283 Average,34766.75996427826,The_Billings_Clinic
284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC",284 Average,28916.25646587054,The_Billings_Clinic
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",286 Average,37058.23341083713,The_Billings_Clinic
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",287 Average,21398.127517936155,The_Billings_Clinic
288,ACUTE & SUBACUTE ENDOCARDITIS W MCC,288 Average,44117.04380032733,The_Billings_Clinic
289,ACUTE & SUBACUTE ENDOCARDITIS W CC,289 Average,21556.091912389023,The_Billings_Clinic
291,HEART FAILURE & SHOCK W MCC,291 Average,17497.836344404466,The_Billings_Clinic
292,HEART FAILURE & SHOCK W CC,292 Average,13636.14803726493,The_Billings_Clinic
293,HEART FAILURE & SHOCK W/O CC/MCC,293 Average,10283.997624255115,The_Billings_Clinic
296,"CARDIAC ARREST, UNEXPLAINED W MCC",296 Average,22852.608740459098,The_Billings_Clinic
299,PERIPHERAL VASCULAR DISORDERS W MCC,299 Average,17396.516147876122,The_Billings_Clinic
300,PERIPHERAL VASCULAR DISORDERS W CC,300 Average,10245.180228068502,The_Billings_Clinic
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301 Average,10648.927303385577,The_Billings_Clinic
302,ATHEROSCLEROSIS W MCC,302 Average,10986.317953277581,The_Billings_Clinic
303,ATHEROSCLEROSIS W/O MCC,303 Average,8276.4517368036,The_Billings_Clinic
304,HYPERTENSION W MCC,304 Average,17271.50003634762,The_Billings_Clinic
305,HYPERTENSION W/O MCC,305 Average,9903.136317735,The_Billings_Clinic
306,CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,306 Average,16380.062894776678,The_Billings_Clinic
307,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,307 Average,27482.930442989164,The_Billings_Clinic
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308 Average,14061.836556017895,The_Billings_Clinic
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309 Average,11136.715850878238,The_Billings_Clinic
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310 Average,7412.792025944383,The_Billings_Clinic
311,ANGINA PECTORIS,311 Average,6919.188102660601,The_Billings_Clinic
312,SYNCOPE & COLLAPSE,312 Average,11206.121418069602,The_Billings_Clinic
313,CHEST PAIN,313 Average,9245.981812417062,The_Billings_Clinic
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314 Average,26397.66434809554,The_Billings_Clinic
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315 Average,12161.007841768565,The_Billings_Clinic
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,316 Average,11092.300795818317,The_Billings_Clinic
319,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES W MCC,319 Average,58889.33100775766,The_Billings_Clinic
320,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES W/O MCC,320 Average,80149.8,The_Billings_Clinic
326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",326 Average,47069.02206825987,The_Billings_Clinic
327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",327 Average,31389.523874785667,The_Billings_Clinic
328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",328 Average,28586.008597569733,The_Billings_Clinic
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329 Average,54821.37739168016,The_Billings_Clinic
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330 Average,32675.566179557496,The_Billings_Clinic
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,331 Average,26452.908461315892,The_Billings_Clinic
333,RECTAL RESECTION W CC,333 Average,26928.29,The_Billings_Clinic
334,RECTAL RESECTION W/O CC/MCC,334 Average,14131.16,The_Billings_Clinic
335,PERITONEAL ADHESIOLYSIS W MCC,335 Average,43151.382698793364,The_Billings_Clinic
336,PERITONEAL ADHESIOLYSIS W CC,336 Average,31457.00410698621,The_Billings_Clinic
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,337 Average,22170.409743562897,The_Billings_Clinic
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,339 Average,20601.394663754494,The_Billings_Clinic
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,340 Average,18458.266144159115,The_Billings_Clinic
342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,342 Average,31857.153995475874,The_Billings_Clinic
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,343 Average,12805.490009935671,The_Billings_Clinic
344,MINOR SMALL & LARGE BOWEL PROCEDURES W MCC,344 Average,17591.0,The_Billings_Clinic
345,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,345 Average,22617.474157169003,The_Billings_Clinic
346,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,346 Average,22074.50436928904,The_Billings_Clinic
348,ANAL & STOMAL PROCEDURES W CC,348 Average,12481.234491210069,The_Billings_Clinic
349,ANAL & STOMAL PROCEDURES W/O CC/MCC,349 Average,16394.68833823274,The_Billings_Clinic
351,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,351 Average,12294.748512352744,The_Billings_Clinic
353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,353 Average,33926.363056431495,The_Billings_Clinic
