Department,Description,HCPCS Code,Gross Price,Minimum,Maximum,BCBS Traditional,BCBS HealthLink,Allegiance,Montana Health Co-op,Pacific Source,Three Rivers Provider Network,Health Info Net/ First Choice Health,Interwest PPO Network,interwest Traditional Network,hospital
THERAPY,SP EVALUATION OF FLUENCY,"92521,GN (1 units)",521.0,468.90000000000003,521.0,521.0,489.73999999999995,510.58,489.73999999999995,510.58,468.90000000000003,515.79,515.79,521.0,Roosevelt_Medical_Center
THERAPY,SP EVALUATION OF LANGUAGE COMPREHENSION,"92523,GN (1 units)",521.0,468.90000000000003,521.0,521.0,489.73999999999995,510.58,489.73999999999995,510.58,468.90000000000003,515.79,515.79,521.0,Roosevelt_Medical_Center
THERAPY,SP EVALUATION OF SOUND PRODUCTION,"92522,GN (1 units)",521.0,468.90000000000003,521.0,521.0,489.73999999999995,510.58,489.73999999999995,510.58,468.90000000000003,515.79,515.79,521.0,Roosevelt_Medical_Center
THERAPY,SPEECH TREATMENT PER VISIT,"92507,GN (1 units)",412.0,370.8,412.0,412.0,387.28,403.76,387.28,403.76,370.8,407.88,407.88,412.0,Roosevelt_Medical_Center
THERAPY,SWALLOW EVALUATION PER VISIT,"92610,GN (1 units)",583.0,524.7,583.0,583.0,548.02,571.34,548.02,571.34,524.7,577.17,577.17,583.0,Roosevelt_Medical_Center
THERAPY,SWALLOW TREATMENT PER VISIT,"92526,GN (1 units)",364.0,327.6,364.0,364.0,342.15999999999997,356.71999999999997,342.15999999999997,356.71999999999997,327.6,360.36,360.36,364.0,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-EXPANDED NEW With NP,99202,146.0,131.4,54.26,75.44,75.44,59.29,137.23999999999998,54.26,143.07999999999998,95.07,55.41,55.41,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-EXPANDED NEW with PA,99202,146.0,131.4,54.26,71.25,71.25,59.29,137.23999999999998,54.26,143.07999999999998,95.07,55.41,55.41,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-EXPANDED NEW with DO or MD,99202,146.0,131.4,63.84,83.83,83.83,69.75,137.23999999999998,63.84,143.07999999999998,111.85,65.18,65.18,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-DETAILED NEW With NP,99203,214.0,192.6,74.12,112.9,112.9,91.25,201.16,74.12,209.72,136.78,75.68,75.68,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-DETAILED NEW With PA,99203,214.0,192.6,74.12,106.63,106.63,91.25,201.16,74.12,209.72,136.78,75.68,75.68,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-DETAILED NEW with DO or MD,99203,214.0,192.6,87.21,125.45,125.45,107.35,201.16,87.21,209.72,160.92,89.05,89.05,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-MODERATE COMPLEXITY NEW With NP,99204,324.0,291.6,101.26,193.09,193.09,154.32,304.56,101.26,317.52,208.53,103.39,103.39,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-MODERATE COMPLEXITY NEW With PA,99204,324.0,291.6,101.26,182.37,182.37,154.32,304.56,101.26,317.52,208.53,103.39,103.39,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-MODERATE COMPLEXITY NEW With DO or MD,99204,324.0,291.6,121.22,214.55,214.55,181.55,304.56,121.22,317.52,245.33,121.64,121.64,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-HIGH COMPLEXITY NEW With NP,99205,350.0,315.0,130.33,252.18,252.18,200.75,329.0,130.33,343.0,262.35,133.07,133.07,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-HIGH COMPLEXITY NEW With PA,99205,350.0,315.0,130.33,238.17,238.17,200.75,329.0,130.33,343.0,262.35,133.07,133.07,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-HIGH COMPLEXITY NEW With DO or MD,99205,350.0,315.0,156.03,280.2,280.2,235.97,329.0,156.03,343.0,308.65,156.56,156.56,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-FOCUSED - ESTABLISHED With NP,99212,86.0,77.4,43.6,38.5,38.5,30.27,80.83999999999999,43.6,84.28,55.6,44.52,44.52,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-FOCUSED - ESTABLISHED With PA,99212,86.0,77.4,43.6,36.37,36.37,30.24,80.83999999999999,43.6,84.28,55.6,44.52,44.52,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC-FOCUSED - ESTABLISHED With DO or MD,99212,86.0,77.4,51.3,42.79,42.79,35.65,80.83999999999999,51.3,84.28,65.42,52.38,52.38,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC - EXPANDED- ESTABLISHED with NP,99213,143.0,128.70000000000002,60.14,76.5,76.5,60.14,134.42,62.01,140.14,92.39,63.32,63.32,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC - EXPANDED- ESTABLISHED With PA,99213,143.0,128.70000000000002,60.14,72.25,72.25,60.14,134.42,62.01,140.14,92.39,63.32,63.32,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC - EXPANDED- ESTABLISHED With DO or MD,99213,143.0,128.70000000000002,70.75,85.0,85.0,70.75,134.42,72.96,140.14,108.69,74.5,74.5,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC - DETAILED - ESTABLISHED With NP,99214,214.0,192.6,85.27,117.65,117.65,92.93,201.16,85.27,209.72,136.33,87.06,87.06,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC - DETAILED - ESTABLISHED With PA,99214,214.0,192.6,85.27,111.11,111.11,92.93,201.16,85.27,209.72,136.66,87.06,87.06,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC - DETAILED - ESTABLISHED With DO or MD,99214,214.0,192.6,100.32,130.72,130.72,109.33,201.16,100.32,209.72,160.39,102.43,102.43,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC - COMPREHENSIVE - ESTABLISHED With NP,99215,285.0,256.5,112.4,166.19,166.19,132.04,267.9,112.4,279.3,183.87,114.77,114.77,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC - COMPREHENSIVE - ESTABLISHED With PA,99215,285.0,256.5,112.4,156.95,156.95,132.04,267.9,112.4,279.3,183.87,114.77,114.77,Roosevelt_Medical_Center
CAH CLINIC,CAH CLINIC - COMPREHENSIVE - ESTABLISHED With DO or MD,99215,285.0,256.5,139.78,184.65,184.65,155.34,267.9,132.24,279.3,216.32,135.02,135.02,Roosevelt_Medical_Center
CAH CLINIC,"Psychotherapy, 30 min",90832,,,,,,,,,,,,,Roosevelt_Medical_Center
CAH CLINIC,"Psychotherapy, 45 min",90834,,,,,,,,,,,,,Roosevelt_Medical_Center
CAH CLINIC,"psychotherapy, 60 min",90837,,,,,,,,,,,,,Roosevelt_Medical_Center
CAH CLINIC,"Family psychotherapy, not including patient, 50 min",90846,,,,,,,,,,,,,Roosevelt_Medical_Center
CAH CLINIC,"Family psychotherapy, including patient, 50 min",90847,,,,,,,,,,,,,Roosevelt_Medical_Center
CAH CLINIC,Group psychotherapy,90853,,,,,,,,,,,,,Roosevelt_Medical_Center
CAH CLINIC,"PATIENT OFFICE CONSULTATION, TYPICALLY 40 MIN",99243,,,,,,,,,,,,,Roosevelt_Medical_Center
CAH CLINIC,"PATIENT OFFICE CONSULTATION, TYPICALLY 60 MIN",99244,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,IMMUNOTHERAPY - MULTIPLE,95117 (1 units),34.0,30.6,34.0,34.0,31.959999999999997,33.32,31.959999999999997,33.32,30.6,33.66,33.66,34.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,IRRIGATION IMPLANTED VENOUS DEVICE,96523 (1 units),146.0,131.4,146.0,146.0,137.23999999999998,143.07999999999998,137.23999999999998,143.07999999999998,131.4,144.54,144.54,146.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,INSERTION OF TEMP-INDWELLING BLADDER CATHETER,51702 (1 units),113.0,101.7,113.0,113.0,106.22,110.74,106.22,110.74,101.7,111.87,111.87,113.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,IV INFUSION THERAPY INITIAL  + Price of Drug,96365 (1 units),380.0,342.0,380.0,380.0,357.2,372.4,357.2,372.4,342.0,376.2,376.2,380.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,IV INFUSION EACH ADD HOUR,96366 (1 units),107.0,96.3,107.0,107.0,100.58,104.86,100.58,104.86,96.3,105.92999999999999,105.92999999999999,107.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,IV INFUSION ADD SEQ NEW DRUG 1 HOUR +Price of Drug,96367 (1 units),139.0,125.10000000000001,139.0,139.0,130.66,136.22,130.66,136.22,125.10000000000001,137.60999999999999,137.60999999999999,139.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,IV PUSH INITIAL DRUG   +Price of Drug,96374 (1 units),196.0,176.4,196.0,196.0,184.23999999999998,192.07999999999998,184.23999999999998,192.07999999999998,176.4,194.04,194.04,196.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,IV PUSH ADD SEQ NEW DRUG +Price of Drug,96375 (1 units),161.0,144.9,161.0,161.0,151.34,157.78,151.34,157.78,144.9,159.39,159.39,161.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,IV PUSH ADD SEQ SAME DRUG,96376 (1 units),123.0,110.7,123.0,123.0,115.61999999999999,120.53999999999999,115.61999999999999,120.53999999999999,110.7,121.77,121.77,123.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,JOINT INJECTION: MAJOR JOINT,20610 (1 units),254.0,228.6,254.0,254.0,238.76,248.92,238.76,248.92,228.6,251.46,251.46,254.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,JOINT INJECTION: MAJOR JOINT WITH KENALOG          ,20610 & J3301,311.0,279.90000000000003,311.0,311.0,292.34,304.78,292.34,304.78,279.90000000000003,307.89,307.89,311.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,JOINT INJECTION: MAJOR JOINT WITH SYNVISC,20610 & J7325,1310.0,1179.0,1310.0,1310.0,1231.3999999999999,1283.8,1231.3999999999999,1283.8,1179.0,1296.9,1296.9,1310.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,BLADDER IRRIGATION SIMPLE LAVAGE OR INSTILLATION With Saline Solution and Gentamicin                                                           ,51700 (1 units),189.0,170.1,189.0,189.0,177.66,185.22,177.66,185.22,170.1,187.10999999999999,187.10999999999999,189.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,BLADDER IRRIGATION SIMPLE LAVAGE OR INSTILLATION With Saline Solution    ,57100 & 272,213.0,191.70000000000002,213.0,213.0,200.22,208.74,200.22,208.74,191.70000000000002,210.87,210.87,213.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,BLADDER IRRIGATION SIMPLE LAVAGE OR INSTILLATION With Saline Solution and Gentamicin                                                           ,51700 & 272 & 250,215.0,193.5,215.0,215.0,202.1,210.7,202.1,210.7,193.5,212.85,212.85,215.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,"ARTHROCENTESIS, ASPIRATION OR INJ: INTERMEDIATE JOINT OR BURSA, WRIST, ELBOW, ANKLE, ETC                                                                ",20605 (1 units),248.0,223.20000000000002,248.0,248.0,233.11999999999998,243.04,233.11999999999998,243.04,223.20000000000002,245.52,245.52,248.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,"ARTHROCENTESIS, ASPIRATION OR INJ: INTERMEDIATE JOINT OR BURSA, WRIST, ELBOW, ANKLE, ETC with Kenalog               ",20605 & J3301,57.0,51.300000000000004,57.0,57.0,53.58,55.86,53.58,55.86,51.300000000000004,56.43,56.43,57.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,NEBULIZER TREATMENT,94640 (1 units),105.0,94.5,105.0,105.0,98.69999999999999,102.89999999999999,98.69999999999999,102.89999999999999,94.5,103.95,103.95,105.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,NEBULIZER TREATMENT WITH Duo Neb,94640 & J7620,107.0,96.3,107.0,107.0,100.58,104.86,100.58,104.86,96.3,105.92999999999999,105.92999999999999,107.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,NEBULIZER TREATMENT   With Albuteral ,94640 & J7613,108.0,97.2,108.0,108.0,101.52,105.84,101.52,105.84,97.2,106.92,106.92,108.0,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES,216,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,SPINAL FUSION EXCEPT CERVICAL WITHOUT COMPLICATIONS,460,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,MAJOR JOINT REPLACEMENT OR REATTCHMENT OF LOWER EXTREMITY WITHOUT COMPLICATION,470,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,CERVICAL SPINAL FUSION WITHOUT COMPLICATION,473,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT COMPLICATION,743,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,"REMOVAL OF 1 OR MORE BREAT GROWTH, OPEN PROCEDURE",19120,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,SHAVING OF SHOULDER BONE USING AN ENDOSCOPE,29826,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,REMOVAL OF ONE KNEE CARTILAGE USING AN ENDOSCOP,29881,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,REMOVAL OF TONSILS AND ADENOID GLANDS PATIENT YOUNGER THAN 12,42820,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,"DIAGNOSTIC EXAMINATION OF ESOPHAGUS, STOMACH, AND/OR UPPER SMALL BOWEL USING AN ENDOSCOPE",43235,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,"BIOPSY OF THE ESOPHAGUS, STOMACH, AND/OR UPPER SMALL BOWEL USING AN ENDOSCOPE",43239,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,DIAGNOSTIC EXAMINATION OF LARGE BOWEL USING AN ENDOSCOPE,45378,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,BIOPSY OF LARGE BOWEL USING AN ENDOSCOPE,45380,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,REMOVAL OF POLYPS OR GROWTHS OF LARGE BOWEL USING AN ENDOSCOP,45385,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,ULTRASOUND EXAMINATION OF LOWER LARGE BOWEL USING AN ENDOSCOPE,45391,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,REMOVAL OF GALLBLADDER USING AN ENDOSCOPE,47562,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,REPAIR OF GROIN HERNIA PATIENT AGE 5 YEARS OR OLDER,49505,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,BIOPSY OF PROSTATE GLAND,55700,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,SURGICAL REMOVAL OF PROSTATE AND SURROUNDING LYMPH NODES USING AN ENDOSCOP,55866,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,"ROUTINE OBSTETRIC CARE FOR VAGINAL DELIVERY, INCLUDING PRE- AND POST- DELIVERY CARE",59400,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,"ROUTINE OBSTETRIC CARE FOR CESAREAN DELIVERY, INCLUDING PRE- AND POST- DELIVERY CARE",59510,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,ROUTINE OBSTETRIC CARE FOR VAGINAL DELIVERY AFTER PRIOR CESAREAN DELIVERY INCLUDING PRE- AND POST-DELIVERY CARE,59610,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,INJECTION OF SUBSTANCE INTO SPINAL CANAL OF LOWER BACK OR SACRUM USING IMAGING GUIDANCE,62322-62323,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,INJECTIONS OF ANESTHETIC AND/OR STEROID DRUG INTO LOWER OR SACRAL SPINE NERVE ROOT USING IMAGING GUIDANCE,64483,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,REMOVAL OF RECURRING CATARACT IN LENS CAPSUL USING LASER,66821,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,REMOVAL OF CATARACT WITH INSERTION OF LENS,66984,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,"ELECTROCARDIOGRAM, ROUTINE, WITH INTERPRETATION AND REPORT",93000,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,INSERTION OF CATHETER INTO LEFT HEART FOR DIAGNOSIS,93452,,,,,,,,,,,,,Roosevelt_Medical_Center
OUTPATIENT HOSPITAL,SLEEP STUDY,95810,,,,,,,,,,,,,Roosevelt_Medical_Center
LABORATORY,"BASIC METABOLIC PANEL (CALCIUM, TOTAL)",80048,108.0,97.2,108.0,108.0,101.52,105.84,101.52,105.84,97.2,106.92,106.92,108.0,Roosevelt_Medical_Center
LABORATORY,GENERAL HEALTH PANEL,80050,243.0,218.70000000000002,243.0,243.0,228.42,238.14,228.42,238.14,218.7,240.57,240.57,243.0,Roosevelt_Medical_Center
LABORATORY,GENERAL HEALTH PANEL W/ MANUAL DIFF,80050,285.0,256.5,285.0,285.0,267.9,279.3,267.9,279.3,256.5,282.15,282.15,285.0,Roosevelt_Medical_Center
LABORATORY,GENERAL HEALTH PANEL W/ AUTOMATED DIFF,80050,260.0,234.0,260.0,260.0,244.4,254.8,244.4,254.8,234.0,257.4,257.4,260.0,Roosevelt_Medical_Center
