BILL_ITEM_ID,LONG_DESCRIPTION,ACTIVITY_TYPE,CPT-4,GMC Global AP Price Schedule,GMC Urgent Care Price Schedule,Glendive Hosp Office Visit Price Schedule,Glendive Medical Center Base Price Schedule,Prof GMC Base Price Schedule,Prof GMC Hosp Office Visit Price Schedule,Prof GMC Urgent Care Price Sched,hospital
6975965,"Citrate Excretion, Ur",AFC BILL ITEM SPECIFIC ADD-ON,82507,,,,202,,,,Glendive_Medical_Center
6987324,"CMV Total Rep Pan, Viromed",AFC BILL ITEM SPECIFIC ADD-ON,86644,,,,55,,,,Glendive_Medical_Center
2608084,"Coccidiodes IgG, Immunodif",AFC BILL ITEM SPECIFIC ADD-ON,86635,,,,108,,,,Glendive_Medical_Center
2608085,"Coccidiodes IgM, Immunodiff",AFC BILL ITEM SPECIFIC ADD-ON,86635,,,,108,,,,Glendive_Medical_Center
5666536,Complex Stain (Trichrome),AFC BILL ITEM SPECIFIC ADD-ON,87209,,,,44,,,,Glendive_Medical_Center
5553175,"Congeital Adrenal Hyperplasia (CAH), PKU",AFC BILL ITEM SPECIFIC ADD-ON,83498,,,,33,,,,Glendive_Medical_Center
6975966,"Creatinine, Ur",AFC BILL ITEM SPECIFIC ADD-ON,82570,,,,54,,,,Glendive_Medical_Center
5666544,Cryptosporidium Ag Complete,AFC BILL ITEM SPECIFIC ADD-ON,87272,,,,75,,,,Glendive_Medical_Center
5553176,"Cystic Fibrosis (IRT), PKU",AFC BILL ITEM SPECIFIC ADD-ON,83516,,,,33,,,,Glendive_Medical_Center
760072,DNA Probe-CLL Mayo,AFC BILL ITEM SPECIFIC ADD-ON,88271,,,,785,,,,Glendive_Medical_Center
5553177,"Fatty and Organic Acids, PKU",AFC BILL ITEM SPECIFIC ADD-ON,82017,,,,33,,,,Glendive_Medical_Center
667295,"Flow Cytom, additional Mayo",AFC BILL ITEM SPECIFIC ADD-ON,88185,,,,75,,,,Glendive_Medical_Center
5553178,"Galactose, PKU",AFC BILL ITEM SPECIFIC ADD-ON,82775,,,,33,,,,Glendive_Medical_Center
5666543,Giardia Ag Complete,AFC BILL ITEM SPECIFIC ADD-ON,87269,,,,75,,,,Glendive_Medical_Center
5647854,Giardia Ag Screen,AFC BILL ITEM SPECIFIC ADD-ON,87269,,,,72,,,,Glendive_Medical_Center
6814188,GMC CG4+ POC add on,AFC BILL ITEM SPECIFIC ADD-ON,83605,,,,156,,,,Glendive_Medical_Center
7123318,"GSEP, IgA Serum",AFC BILL ITEM SPECIFIC ADD-ON,82784,,,,20,,,,Glendive_Medical_Center
4110139,HBc Donor Panel,AFC BILL ITEM SPECIFIC ADD-ON,86704,,,,46,,,,Glendive_Medical_Center
4110137,HBs Ag Donor Panel,AFC BILL ITEM SPECIFIC ADD-ON,87340,,,,39,,,,Glendive_Medical_Center
4110138,HCV Donor Panel,AFC BILL ITEM SPECIFIC ADD-ON,86803,,,,52,,,,Glendive_Medical_Center
5553179,"Hemoglobinopathy Screen, PKU",AFC BILL ITEM SPECIFIC ADD-ON,83020,,,,33,,,,Glendive_Medical_Center
6987321,"Hepatitis B Core Rep Pan, Viromed",AFC BILL ITEM SPECIFIC ADD-ON,86704,,,,59,,,,Glendive_Medical_Center
4114122,Hepatitis Be Ab,AFC BILL ITEM SPECIFIC ADD-ON,86707,,,,114,,,,Glendive_Medical_Center
6987320,"Hepatitis BsAg Rep Pan, Viromed",AFC BILL ITEM SPECIFIC ADD-ON,87340,,,,46,,,,Glendive_Medical_Center
6987327,"Hepatitis C Rep Pan, Viromed",AFC BILL ITEM SPECIFIC ADD-ON,86803,,,,68,,,,Glendive_Medical_Center
7126195,Herpes Simplex 2 PCR,AFC BILL ITEM SPECIFIC ADD-ON,87529,,,,272,,,,Glendive_Medical_Center
2596073,"Herpes Simplex HSV-2, State",AFC BILL ITEM SPECIFIC ADD-ON,86696,,,,153,,,,Glendive_Medical_Center
7410531,"Herpes Simplex PCR, CSF - HSV 2",AFC BILL ITEM SPECIFIC ADD-ON,87529,,,,230,,,,Glendive_Medical_Center
1970109,Hgb Quant by HPLC,AFC BILL ITEM SPECIFIC ADD-ON,83021,,,,97,,,,Glendive_Medical_Center
6987325,"HIV-1, HBV, HCV Ampflication Rep Pan Viromed",AFC BILL ITEM SPECIFIC ADD-ON,87801,,,,333,,,,Glendive_Medical_Center
4110140,HIV-I/HCV NAT Donor Panel,AFC BILL ITEM SPECIFIC ADD-ON,87801,,,,215,,,,Glendive_Medical_Center
6987319,"HTLV I/II Rep Pan, Viromed",AFC BILL ITEM SPECIFIC ADD-ON,86790,,,,59,,,,Glendive_Medical_Center
4110135,HTLV-I Donor Panel,AFC BILL ITEM SPECIFIC ADD-ON,86687,,,,35,,,,Glendive_Medical_Center
4110136,HTLV-II Donor Panel,AFC BILL ITEM SPECIFIC ADD-ON,86688,,,,51,,,,Glendive_Medical_Center
4998160,Immunofixation Serum,AFC BILL ITEM SPECIFIC ADD-ON,86334,,,,168,,,,Glendive_Medical_Center
5648951,"Immunoglobulin A, S",AFC BILL ITEM SPECIFIC ADD-ON,82784,,,,84,,,,Glendive_Medical_Center
5394556,"Influenza B, Nursing",AFC BILL ITEM SPECIFIC ADD-ON,87804,,80.0,,80,80.0,,80.0,Glendive_Medical_Center
5554580,"Inhibin A, AFP4",AFC BILL ITEM SPECIFIC ADD-ON,86336,,,,211,,,,Glendive_Medical_Center
760073,Insitu Hybrid-CLL Mayo,AFC BILL ITEM SPECIFIC ADD-ON,88275,,,,590,,,,Glendive_Medical_Center
1478073,"Lipid Panel, Lipo",AFC BILL ITEM SPECIFIC ADD-ON,80061,,,,108,,,,Glendive_Medical_Center
5010351,M. avium ID Probe,AFC BILL ITEM SPECIFIC ADD-ON,87560,,,,101,,,,Glendive_Medical_Center
5010367,M. kansasii ID Probe,AFC BILL ITEM SPECIFIC ADD-ON,87550,,,,165,,,,Glendive_Medical_Center
6975967,"Magnesium, Ur",AFC BILL ITEM SPECIFIC ADD-ON,83735,,,,86,,,,Glendive_Medical_Center
7046556,Methylenedioxyamphet,AFC BILL ITEM SPECIFIC ADD-ON,80359,,,,131,,,,Glendive_Medical_Center
7320519,MMR Immunity (LC 058495) - Mumps,AFC BILL ITEM SPECIFIC ADD-ON,86735,,,,61,,,,Glendive_Medical_Center
7320520,MMR Immunity (LC 058495) - Rubella,AFC BILL ITEM SPECIFIC ADD-ON,86762,,,,51,,,,Glendive_Medical_Center
7388433,"Mycoplasma Pneumoniae, Ab IgM",AFC BILL ITEM SPECIFIC ADD-ON,86738,,,,91,,,,Glendive_Medical_Center
6975968,"Osmolality, Ur",AFC BILL ITEM SPECIFIC ADD-ON,83935,,,,53,,,,Glendive_Medical_Center
6975969,"Oxalate, Ur",AFC BILL ITEM SPECIFIC ADD-ON,83945,,,,104,,,,Glendive_Medical_Center
6975970,"pH, Ur",AFC BILL ITEM SPECIFIC ADD-ON,83986,,,,59,,,,Glendive_Medical_Center
6975971,"Phosphorus, Ur",AFC BILL ITEM SPECIFIC ADD-ON,84105,,,,59,,,,Glendive_Medical_Center
5661548,PI Linked Ag Each Addtl RBC,AFC BILL ITEM SPECIFIC ADD-ON,88185,,,,64,,,,Glendive_Medical_Center
5661550,PI Linked Ag Each Addtl WBC,AFC BILL ITEM SPECIFIC ADD-ON,88185,,,,68,,,,Glendive_Medical_Center
5661545,PI Linked Ag Flow WBC,AFC BILL ITEM SPECIFIC ADD-ON,88184,,,,98,,,,Glendive_Medical_Center
612557,"Porphobilinogen, Urine",AFC BILL ITEM SPECIFIC ADD-ON,84110,,,,84,,,,Glendive_Medical_Center
6975972,"Potassium, Ur",AFC BILL ITEM SPECIFIC ADD-ON,84133,,,,59,,,,Glendive_Medical_Center
662317,Rcky Mt IgM,AFC BILL ITEM SPECIFIC ADD-ON,86757,,,,123,,,,Glendive_Medical_Center
6719059,"Resp Panel PCR, B pertussis",AFC BILL ITEM SPECIFIC ADD-ON,87798,,,,343,,,,Glendive_Medical_Center
6719057,"Resp Panel PCR, Chlam pneumoniae",AFC BILL ITEM SPECIFIC ADD-ON,87486,,,,343,,,,Glendive_Medical_Center
6719058,"Resp Panel PCR, Myco pneumoniae",AFC BILL ITEM SPECIFIC ADD-ON,87581,,,,343,,,,Glendive_Medical_Center
4110143,Rh Donor Panel,AFC BILL ITEM SPECIFIC ADD-ON,86901,,,,107,,,,Glendive_Medical_Center
6987322,"Rh Rep Pan, Viromed",AFC BILL ITEM SPECIFIC ADD-ON,86901,,,,107,,,,Glendive_Medical_Center
1534117,"Smear, Complex Stain (Trichrome)",AFC BILL ITEM SPECIFIC ADD-ON,87209,,,,53,,,,Glendive_Medical_Center
6131826,"Strep Pneumoniae IgG, 23 Serotypes",AFC BILL ITEM SPECIFIC ADD-ON,86317,,,,14,,,,Glendive_Medical_Center
4110145,STS Donor Panel,AFC BILL ITEM SPECIFIC ADD-ON,86592,,,,22,,,,Glendive_Medical_Center
6975974,"Sulfate, Ur",AFC BILL ITEM SPECIFIC ADD-ON,84392,,,,68,,,,Glendive_Medical_Center
6987326,"Syphillis Rep Pan, Viromed",AFC BILL ITEM SPECIFIC ADD-ON,86780,,,,59,,,,Glendive_Medical_Center
5553180,"Thyroxine, PKU",AFC BILL ITEM SPECIFIC ADD-ON,84437,,,,33,,,,Glendive_Medical_Center
5554579,"UE3, AFP4",AFC BILL ITEM SPECIFIC ADD-ON,82677,,,,320,,,,Glendive_Medical_Center
6975977,"Urea Nitrogen, Ur",AFC BILL ITEM SPECIFIC ADD-ON,84540,,,,59,,,,Glendive_Medical_Center
6975975,"Uric acid, Ur",AFC BILL ITEM SPECIFIC ADD-ON,84560,,,,59,,,,Glendive_Medical_Center
7341005,"von Villebrand Factor Ag, P (Mayo AVWPR)",AFC BILL ITEM SPECIFIC ADD-ON,85246,,,,288,,,,Glendive_Medical_Center
7341006,"von Willebrand Factor Activity, P (Mayo AVWPR)",AFC BILL ITEM SPECIFIC ADD-ON,85397,,,,341,,,,Glendive_Medical_Center
6987328,"West Nile Virus Rep Pan, Viromed",AFC BILL ITEM SPECIFIC ADD-ON,87798,,,,168,,,,Glendive_Medical_Center
4110141,WNV Donor Panel,AFC BILL ITEM SPECIFIC ADD-ON,87798,,,,50,,,,Glendive_Medical_Center
3838124,WNV IgM CSF,AFC BILL ITEM SPECIFIC ADD-ON,86788,,,,199,,,,Glendive_Medical_Center
599568,AFB Smear  AFB Smear  AFB Smear,AFC GENERIC ADD-ON,87206,,,,85,,,,Glendive_Medical_Center
6911447,Anti-RNP Charge,AFC GENERIC ADD-ON,86235,,,,147,,,,Glendive_Medical_Center
600940,Blood Gas Draw-Art,AFC GENERIC ADD-ON,36600,,,,70,,,,Glendive_Medical_Center
5397690,Blood Gas Draw-Ven,AFC GENERIC ADD-ON,36415,,,,25,,,,Glendive_Medical_Center
5671629,"Brucella Ab, IgM",AFC GENERIC ADD-ON,86622,,,,170,,,,Glendive_Medical_Center
888075,C4 Complement Charge,AFC GENERIC ADD-ON,86160,,,,247,,,,Glendive_Medical_Center
888072,Cardiolipin Ab IgM Charge,AFC GENERIC ADD-ON,86147,,,,215,,,,Glendive_Medical_Center
5664044,Collection: Venous Bld Draw,AFC GENERIC ADD-ON,36415,,,,26,,,,Glendive_Medical_Center
1490100,"Concentration, AFB",AFC GENERIC ADD-ON,87015,,,,95,,,,Glendive_Medical_Center
748072,DNA Probe-FISH Mayo,AFC GENERIC ADD-ON,88271,,,,243,,,,Glendive_Medical_Center
5944853,E Test add'l,AFC GENERIC ADD-ON,87181,,,,97,,,,Glendive_Medical_Center
748073,Insitu Hybrid-FISH Mayo,AFC GENERIC ADD-ON,88275,,,,501,,,,Glendive_Medical_Center
888081,Jo-1 Antibody Charge,AFC GENERIC ADD-ON,86235,,,,87,,,,Glendive_Medical_Center
5760578,"Protein Total, Serum",AFC GENERIC ADD-ON,84155,,,,62,,,,Glendive_Medical_Center
5756683,"Protein Total, Urine",AFC GENERIC ADD-ON,84156,,,,64,,,,Glendive_Medical_Center
599035,Rh only,AFC GENERIC ADD-ON,86901,,,,107,,,,Glendive_Medical_Center
6911445,Ro52 Charge,AFC GENERIC ADD-ON,86235,,,,147,,,,Glendive_Medical_Center
6911446,Ro60 Charge,AFC GENERIC ADD-ON,86235,,,,147,,,,Glendive_Medical_Center
7520821,SARS-CoV-2 Pre-Op Collection Fee,AFC GENERIC ADD-ON,C9803,,,,0,,,,Glendive_Medical_Center
5491746,SCL 70 Ab Charge,AFC GENERIC ADD-ON,86235,,,,87,,,,Glendive_Medical_Center
888077,Smith Ab Charge,AFC GENERIC ADD-ON,86235,,,,87,,,,Glendive_Medical_Center
888078,SM-RNP Charge,AFC GENERIC ADD-ON,86235,,,,87,,,,Glendive_Medical_Center
888079,SSA (Ro) Charge,AFC GENERIC ADD-ON,86235,,,,87,,,,Glendive_Medical_Center
888080,SSB (La) Charge,AFC GENERIC ADD-ON,86235,,,,87,,,,Glendive_Medical_Center
5714547,UIBC,AFC GENERIC ADD-ON,83550,,,,71.4,,,,Glendive_Medical_Center
5607689,85060 X 1 Smear Review,Anatomic Pathology,85060,,,,146,,,,Glendive_Medical_Center
5602640,88112 X 1 Cytopath Liquid Based,Anatomic Pathology,88112,200.0,,,204,,,,Glendive_Medical_Center
5602647,88300 X 1 Surg Path Level I,Anatomic Pathology,88300,97.0,,,97,,,,Glendive_Medical_Center
5602648,88302 X 1 Surg Path Level II,Anatomic Pathology,88302,118.0,,,118,,,,Glendive_Medical_Center
5602649,88304 X 1 Surg Path Level III,Anatomic Pathology,88304,140.0,,,140,,,,Glendive_Medical_Center
5602650,88305 X 1 Surg Path Level IV,Anatomic Pathology,88305,183.0,,,183,,,,Glendive_Medical_Center
5602651,88307 X 1 Surg Path Level V,Anatomic Pathology,88307,278.0,,,278,,,,Glendive_Medical_Center
5607505,88307 X 5 Surg Path Level V,Anatomic Pathology,88307,,,,,,,,Glendive_Medical_Center
5602652,88309 X 1 Surg Path Level VI,Anatomic Pathology,88309,440.0,,,440,,,,Glendive_Medical_Center
5602653,88311 X 1 Decalcification,Anatomic Pathology,88311,54.0,,,54,,,,Glendive_Medical_Center
5602655,"88312 X 1 Special Stains, Group I",Anatomic Pathology,88312,171.0,,,171,,,,Glendive_Medical_Center
5602656,"88313 X 1 Special Stains, Group II",Anatomic Pathology,88313,150.0,,,150,,,,Glendive_Medical_Center
5602664,88331 X 1 Consult during Surgery with FS,Anatomic Pathology,88331,118.0,,,118,,,,Glendive_Medical_Center
5602665,"88332 X 1 Consult during Surgery, Add'l FS",Anatomic Pathology,88332,54.0,,,54,,,,Glendive_Medical_Center
6518824,88341 x 1 Additional Immunohistochemistry Stain,Anatomic Pathology,88341,204.0,,,204,,,,Glendive_Medical_Center
5602668,88342 X 1 Immunohistochemistry Stain,Anatomic Pathology,88342,204.0,,,204,,,,Glendive_Medical_Center
5602671,88360 X 1 Morph Anal Semi Qnt,Anatomic Pathology,88360,183.0,,,183,,,,Glendive_Medical_Center
5644013,88365 X 1 ISH,Anatomic Pathology,88365,,,,489,,,,Glendive_Medical_Center
6129238,88368 X 1 FISH Interp,Anatomic Pathology,88368,525.0,,,525,,,,Glendive_Medical_Center
5606150,88368 X 2 FISH Interp,Anatomic Pathology,88368,,,,,,,,Glendive_Medical_Center
593690,"Bill Cyto, Cytopath LB 88112",Anatomic Pathology,88112,,,,204,,,,Glendive_Medical_Center
593691,"Bill Cyto, PAP LB  88142",Anatomic Pathology,88142,,,,183,,,,Glendive_Medical_Center
295392,"Bill Cyto, Path Intp PAP Non-MDCR  88141",Anatomic Pathology,88141,120.0,,,,,,,Glendive_Medical_Center
667816,"Bill PAP, LB AS+MS 88175",Anatomic Pathology,88175,171.0,,,171,,,,Glendive_Medical_Center
667817,"Bill PAP, LB MCS AS+MS G0145",Anatomic Pathology,G0145,,,,171,,,,Glendive_Medical_Center
613473,"Bill Surg, FISH Interp 88368",Anatomic Pathology,88368,,,,,,,,Glendive_Medical_Center
592629,ABO,Blood Bank,86900,,,,107,,,,Glendive_Medical_Center
592694,ABO/Rh Interpretation,Blood Bank,86900,,,,107,,,,Glendive_Medical_Center
594921,ABO/RH Newborn Interpretation,Blood Bank,86900,,,,107,,,,Glendive_Medical_Center
3358107,Antibody ID (Red Lodge-UBS),Blood Bank,86870,,,,321,,,,Glendive_Medical_Center
612311,Antibody Screen,Blood Bank,86850,,,,161,,,,Glendive_Medical_Center
669497,"Antibody Screen, OB",Blood Bank,86850,,,,161,,,,Glendive_Medical_Center
5666853,Crossmatch Anti-Human Globulin Gel Interpretation,Blood Bank,86922,,,,380,,,,Glendive_Medical_Center
3926119,Crossmatch Anti-Human Globulin Interpretation,Blood Bank,86922,,,,380,,,,Glendive_Medical_Center
592604,Crossmatch Immediate Spin Interpretation,Blood Bank,86920,,,,214,,,,Glendive_Medical_Center
592634,"DAT, BB",Blood Bank,86880,,,,161,,,,Glendive_Medical_Center
593903,"DAT, Cord Blood",Blood Bank,86880,,,,161,,,,Glendive_Medical_Center
592632,Fetal Screen,Blood Bank,85461,,,,107,,,,Glendive_Medical_Center
1176080,"Interp Anti-C3b,C3d DAT",Blood Bank,86880,,,,161,,,,Glendive_Medical_Center
1176078,Interp Anti-IgG DAT,Blood Bank,86880,,,,161,,,,Glendive_Medical_Center
593923,Interp Polyspecific DAT,Blood Bank,86880,,,,161,,,,Glendive_Medical_Center
5751030,"Kleihauer Betke, Regional",Blood Bank,85460,,,,161,,,,Glendive_Medical_Center
598672,Ref Lab Phenotype- Extended,Blood Bank,86905,,,,590,,,,Glendive_Medical_Center
594469,Ref Lab Rh Phenotype,Blood Bank,86906,,,,379,,,,Glendive_Medical_Center
592630,RH,Blood Bank,86901,,,,107,,,,Glendive_Medical_Center
4378116,RhIG Lot Number,Blood Bank,J2790,,,,347,,,,Glendive_Medical_Center
595746,TS ABO/RH Interpretation,Blood Bank,86900,,,,107,,,,Glendive_Medical_Center
5634786,Type and Screen (ABO add on),Blood Bank,86850,,,,161,,,,Glendive_Medical_Center
6768826,FFP (PH) ACD Thawed DIV E1237,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
6768820,FFP (PH) ACD Thawed DIV E1314,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
6768819,FFP (PH) ACD Thawed E1237,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
6768825,FFP (PH) ACD Thawed E1314,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
6768821,FFP (PH) CP2D Thawed DIV E5273,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
6768833,FFP CPD Thawed DIV E0773,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
6768812,FFP CPD Thawed E0773,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
4460108,FFP PH (DIV) THAWED,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
6706782,"FZ PLASMA (PH), 24HR THAW (DIV) E7731",Blood Bank Product,P9059,,,,220,,,,Glendive_Medical_Center
614884,"FZ PLASMA (PH), 24HR THAW E7731",Blood Bank Product,P9059,,,,220,,,,Glendive_Medical_Center
6768817,FZ Plasma CP2D Thawed E2737,Blood Bank Product,P9059,,,,214,,,,Glendive_Medical_Center
3224115,PLT LR (PH) E3077,Blood Bank Product,P9035,,,,1607,,,,Glendive_Medical_Center
599199,PLT LR (PH1) E3087,Blood Bank Product,P9035,,,,1607,,,,Glendive_Medical_Center
599200,PLT LR (PH2) E3088,Blood Bank Product,P9035,,,,1607,,,,Glendive_Medical_Center
599212,PLT LR (PH3) E3089,Blood Bank Product,P9035,,,,1607,,,,Glendive_Medical_Center
3224114,PLT LR IR (PH) E3046,Blood Bank Product,P9037,,,,2166,,,,Glendive_Medical_Center
599197,PLT LR IR (PH1) E3056,Blood Bank Product,P9037,,,,2166,,,,Glendive_Medical_Center
599198,PLT LR IR (PH2) E3057,Blood Bank Product,P9037,,,,2166,,,,Glendive_Medical_Center
599211,PLT LR IR (PH3) E3058,Blood Bank Product,P9037,,,,2166,,,,Glendive_Medical_Center
3224111,RBC LR AS-1 (PH) E4531,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
2618072,RBC LR AS-1 (PH1) E4532,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
2604073,RBC LR AS-1 (PH2) E4533,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
599195,RBC LR AS-1 E0336,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
3224108,RBC LR AS3 (PH) E0678,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
3224110,RBC LR AS3 (PH)ACD E4543,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
609257,RBC LR AS3 (PH1) ACD E4544,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
609251,RBC LR AS3 (PH1) E0685,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
609258,RBC LR AS3 (PH2) ACD E4545,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
609252,RBC LR AS3 (PH2) E0686,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
1628075,RBC LR AS3 E0382,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
609261,RBC LR AS-5 E0424,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
5367665,RBC LR CP2D E0276,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
660515,RBC LR CPD E0181,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
599196,RBC LR CPDA-1 E0226,Blood Bank Product,P9016,,,,697,,,,Glendive_Medical_Center
3224112,RBC LR IR AS-1 (PH) E4526,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
2618074,RBC LR IR AS-1 (PH1) E4527,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
2604072,RBC LR IR AS-1 (PH2) E4528,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
599194,RBC LR IR AS-1 E0332,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
3224107,RBC LR IR AS3 (PH) E0661,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
3224109,RBC LR IR AS3 (PH)ACD E4538,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
609253,RBC LR IR AS3 (PH1) E0668,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
806079,RBC LR IR AS3 (PH1)ACD CMV NEG,Blood Bank Product,P9058,,,,621,,,,Glendive_Medical_Center
609259,RBC LR IR AS3 (PH1)ACD E4539,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
609254,RBC LR IR AS3 (PH2) E0669,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
806080,RBC LR IR AS3 (PH2)ACD CMV NEG,Blood Bank Product,P9058,,,,621,,,,Glendive_Medical_Center
609260,RBC LR IR AS3 (PH2)ACD E4540,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
1712073,RBC LR IR AS3 E0379,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
609262,RBC LR IR AS-5  E0420,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
5367666,RBC LR IR CP2D E0274,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
1628073,RBC LR IR CPD E0179,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
599190,RBC LR IR CPDA-1 E0224,Blood Bank Product,P9040,,,,804,,,,Glendive_Medical_Center
599209,RHOGAM,Blood Bank Product,,,,,336,,,,Glendive_Medical_Center
599222,zzFFP (PH) THAWED,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
599217,zzFFP DIV-1 THAWED,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
599218,zzFFP DIV-2 THAWED,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
599219,zzFFP DIV-3 THAWED,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
599220,zzFFP DIV-4 THAWED,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
609673,zzFFP PHER DIV-1 THAWED,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
609674,zzFFP PHER DIV-2 THAWED,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
613272,zzFFP PHER DIV-3 THAWED,Blood Bank Product,P9017,,,,214,,,,Glendive_Medical_Center
